event_id,source_storm_id,storm_name,season_year,storm_start_date,storm_end_date,event_date,two_week_period,storm_lifetime_category,storm_lifetime_severity,historical_category,severity_class,country_impact_start_date,country_impact_end_date,country_impact_date,country_impact_date_status,country_impact_date_basis,country_impact_category,country_impact_category_status,country_impact_category_basis,country_impact_severity,affected_country,affected_country_code,evidence_basis,evidence_ids,no_affected,no_affected_status,total_affected,total_affected_status,event_year_population,population_unit,no_affected_pct_population,total_affected_pct_population,native_demand_basis,native_demand_value,native_demand_unit,demand_cap,source_dataset,source_reference,source_locator,provenance_class,reconstruction_status,transformation_rule,notes
AL021950,AL021950,BAKER,1950,1950-08-18,1950-09-01,1950-08-18,,H2,Mild,H2,Mild,1950-08-22,1950-08-22,1950-08-22,RESOLVED,CHN_EXPLICIT_DATE,H2,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Mild,Antigua and Barbuda,ATG,CHN,CHN-TABA-19500822-034|CHN-TAPA-19500822-038,,MISSING,,MISSING,45444,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TABA_ALL_ISL|CHN_CURRENT_TAPA_ALL_ISL,TABA_all_isl.htm:storm_row:34|TAPA_all_isl.htm:storm_row:38,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL021950,AL021950,BAKER,1950,1950-08-18,1950-09-01,1950-08-18,,H2,Mild,H2,Mild,1950-08-24,1950-08-24,1950-08-24,RESOLVED,CHN_EXPLICIT_DATE,TS_OR_LOWER,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Mild,Bahamas,BHS,CHN,CHN-MYIG-19500824-028,,MISSING,,MISSING,83487,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MYIG_ALL_ISL,MYIG_all_isl.htm:storm_row:28,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL021950,AL021950,BAKER,1950,1950-08-18,1950-09-01,1950-08-18,,H2,Mild,H2,Mild,1950-08-22,1950-08-22,1950-08-22,RESOLVED,CHN_EXPLICIT_DATE,H2,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Mild,Saint Kitts and Nevis,KNA,CHN,CHN-TKNV-19500822-038|CHN-TKPK-19500822-036,,MISSING,,MISSING,47232,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TKNV_ALL_ISL|CHN_CURRENT_TKPK_ALL_ISL,TKNV_all_isl.htm:storm_row:38|TKPK_all_isl.htm:storm_row:36,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL021950,AL021950,BAKER,1950,1950-08-18,1950-09-01,1950-08-18,,H2,Mild,H2,Mild,1950-08-22,1950-08-22,1950-08-22,RESOLVED,CHN_EXPLICIT_DATE,H2,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Mild,Montserrat,MSR,CHN,CHN-TKMN-19500822-038,,MISSING,,MISSING,12944,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TKMN_ALL_ISL,TKMN_all_isl.htm:storm_row:38,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL041950,AL041950,DOG,1950,1950-08-30,1950-09-18,1950-08-30,,H4,Very Strong,H4,Very Strong,1950-09-01,1950-09-01,1950-09-01,RESOLVED,CHN_EXPLICIT_DATE,H4,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Very Strong,Anguilla,AIA,CHN,CHN-TQPF-19500901-039,,MISSING,,MISSING,5002,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:39,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL041950,AL041950,DOG,1950,1950-08-30,1950-09-18,1950-08-30,,H4,Very Strong,H4,Very Strong,1950-09-01,1950-09-01,1950-09-01,RESOLVED,CHN_DATE_WITHIN_EMDAT_WINDOW,H4,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Very Strong,Antigua and Barbuda,ATG,BOTH,CHN-TABA-19500901-035|CHN-TAPA-19500901-039|EMDAT-1950-0009-ATG,,MISSING,,MISSING,45444,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CHN+EM_DAT,CHN_CURRENT_TABA_ALL_ISL|CHN_CURRENT_TAPA_ALL_ISL|EMDAT_PUBLIC_CUSTOM_REQUEST_2026_08_28,TABA_all_isl.htm:storm_row:35|TAPA_all_isl.htm:storm_row:39|row:1031,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL041950,AL041950,DOG,1950,1950-08-30,1950-09-18,1950-08-30,,H4,Very Strong,H4,Very Strong,1950-09-01,1950-09-01,1950-09-01,RESOLVED,CHN_EXPLICIT_DATE,H4,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Very Strong,Saint Kitts and Nevis,KNA,CHN,CHN-TKNV-19500901-039|CHN-TKPK-19500901-037,,MISSING,,MISSING,47232,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TKNV_ALL_ISL|CHN_CURRENT_TKPK_ALL_ISL,TKNV_all_isl.htm:storm_row:39|TKPK_all_isl.htm:storm_row:37,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL041950,AL041950,DOG,1950,1950-08-30,1950-09-18,1950-08-30,,H4,Very Strong,H4,Very Strong,1950-09-01,1950-09-01,1950-09-01,RESOLVED,CHN_EXPLICIT_DATE,H4,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Very Strong,Montserrat,MSR,CHN,CHN-TKMN-19500901-039,,MISSING,,MISSING,12944,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TKMN_ALL_ISL,TKMN_all_isl.htm:storm_row:39,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL041950,AL041950,DOG,1950,1950-08-30,1950-09-18,1950-08-30,,H4,Very Strong,H4,Very Strong,1950-09-02,1950-09-02,1950-09-02,RESOLVED,CHN_EXPLICIT_DATE,H4,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Very Strong,British Virgin Islands,VGB,CHN,CHN-TUAN-19500902-039|CHN-TUPJ-19500902-040|CHN-TUVG-19500902-037,,MISSING,,MISSING,7372,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUAN_ALL_ISL|CHN_CURRENT_TUPJ_ALL_ISL|CHN_CURRENT_TUVG_ALL_ISL,TUAN_all_isl.htm:storm_row:39|TUPJ_all_isl.htm:storm_row:40|TUVG_all_isl.htm:storm_row:37,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
AL111950,AL111950,KING,1950,1950-10-13,1950-10-20,1950-10-13,,H4,Very Strong,H4,Very Strong,1950-10-18,1950-10-18,1950-10-18,RESOLVED,CHN_EXPLICIT_DATE,H4,RESOLVED,HURDAT_AT_CHN_IMPACT_DATE_PLUS_MINUS_1_DAY,Very Strong,Bahamas,BHS,CHN,CHN-MYBS-19501018-055,,MISSING,,MISSING,83487,persons,,,NOT_GENERATED_R6I_SCOPE,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MYBS_ALL_ISL,MYBS_all_isl.htm:storm_row:55,RECONSTRUCTED,SOURCE_SUPPORTED,included iff at least one confirmed CHN explicit or EM-DAT explicit matched country-impact record; impact timing/category use only country-specific CHN date or EM-DAT window evidence; storm-lifetime maximum is never substituted,"event_date is a compatibility alias for storm_start_date, not country-impact timing. historical_category/severity_class are storm-lifetime aliases, not country-impact intensity. Not an assertion of the unpublished Balcik mapping."
