chn_evidence_id,paper_country_code,affected_country,affected_country_code,chn_site_code,chn_site_name,event_date,storm_name,wind_mph,chn_original_category,chn_country_impact_category,closest_point_of_approach_miles,hurdat_storm_id,match_status,candidate_hurdat_ids,hurdat_country_impact_category,category_conflict_flag,adopted_country_impact_category,country_impact_category_status,adoption_rule,source_dataset,source_reference,source_locator,source_url,source_sha256,proximity_rule,provenance_class
CHN-MYAB-20190901-085,BHS,Bahamas,BHS,MYAB,", Bahamas",2019-09-01,DORIAN,184,H5,H5,2,AL052019,CONFIRMED_EXACT_NAME_DATE,AL052019,H5,NO,H5,RESOLVED,HURDAT category within +/-1 day of CHN country-impact date; adopt HURDAT when it differs from CHN,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MYAB_ALL_ISL,MYAB_all_isl.htm:storm_row:85,https://www.stormcarib.com/climatology/MYAB_all_isl.htm,b1447f023fa4002a375dc789bd475cae45c3fbf662b80b2e28c8c8acdfa48663,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-MYAB-20190915-086,BHS,Bahamas,BHS,MYAB,", Bahamas",2019-09-15,HUMBERTO,58,TS,TS,28,AL092019,CONFIRMED_EXACT_NAME_DATE,AL092019,H1,YES,H1,RESOLVED,HURDAT category within +/-1 day of CHN country-impact date; adopt HURDAT when it differs from CHN,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MYAB_ALL_ISL,MYAB_all_isl.htm:storm_row:86,https://www.stormcarib.com/climatology/MYAB_all_isl.htm,b1447f023fa4002a375dc789bd475cae45c3fbf662b80b2e28c8c8acdfa48663,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-MYGF-20190902-080,BHS,Bahamas,BHS,MYGF,"Grand Bahama, Bahamas",2019-09-02,DORIAN,178,H5,H5,25,AL052019,CONFIRMED_EXACT_NAME_DATE,AL052019,H5,NO,H5,RESOLVED,HURDAT category within +/-1 day of CHN country-impact date; adopt HURDAT when it differs from CHN,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MYGF_ALL_ISL,MYGF_all_isl.htm:storm_row:80,https://www.stormcarib.com/climatology/MYGF_all_isl.htm,bed943601f7b8b4abf8928ddff5a230c17a686f62686be63c5a65313eb38b868,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TXKF-20190919-069,BMU,Bermuda,BMU,TXKF,Bermuda,2019-09-19,HUMBERTO,127,H3,H3,60,AL092019,CONFIRMED_EXACT_NAME_DATE,AL092019,H3,NO,H3,RESOLVED,HURDAT category within +/-1 day of CHN country-impact date; adopt HURDAT when it differs from CHN,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TXKF_ALL_ISL,TXKF_all_isl.htm:storm_row:69,https://www.stormcarib.com/climatology/TXKF_all_isl.htm,91791e184286599d510ad15058cbb39d631d96114fbe9c95fb3df6a31d401409,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TBPB-20180927-059,BRB,Barbados,BRB,TBPB,Barbados,2018-09-27,KIRK,58,TS,TS,52,AL122018,CONFIRMED_EXACT_NAME_DATE,AL122018,TS_OR_LOWER,NO,TS_OR_LOWER,RESOLVED,HURDAT category within +/-1 day of CHN country-impact date; adopt HURDAT when it differs from CHN,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TBPB_ALL_ISL,TBPB_all_isl.htm:storm_row:59,https://www.stormcarib.com/climatology/TBPB_all_isl.htm,7b8aea2c01c4dbbeb57c14e9828defb9d21402e8cc467916f9dd2fcbb18741b0,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TBPB-20190827-060,BRB,Barbados,BRB,TBPB,Barbados,2019-08-27,DORIAN,52,TS,TS,4,AL052019,CONFIRMED_EXACT_NAME_DATE,AL052019,H1,YES,H1,RESOLVED,HURDAT category within +/-1 day of CHN country-impact date; adopt HURDAT when it differs from CHN,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TBPB_ALL_ISL,TBPB_all_isl.htm:storm_row:60,https://www.stormcarib.com/climatology/TBPB_all_isl.htm,7b8aea2c01c4dbbeb57c14e9828defb9d21402e8cc467916f9dd2fcbb18741b0,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TUPJ-20190828-066,BVI,British Virgin Islands,VGB,TUPJ,"Tortola, BVI",2019-08-28,DORIAN,81,H1,H1,31,AL052019,CONFIRMED_EXACT_NAME_DATE,AL052019,H1,NO,H1,RESOLVED,HURDAT category within +/-1 day of CHN country-impact date; adopt HURDAT when it differs from CHN,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUPJ_ALL_ISL,TUPJ_all_isl.htm:storm_row:66,https://www.stormcarib.com/climatology/TUPJ_all_isl.htm,dc9d5e90bdfdcb3a95a2b9b1dc456e24bd9727382bd154f458c6ea7b901c304b,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TUPJ-20190924-067,BVI,British Virgin Islands,VGB,TUPJ,"Tortola, BVI",2019-09-24,KAREN,46,TS,TS,44,AL122019,CONFIRMED_EXACT_NAME_DATE,AL122019,TS_OR_LOWER,NO,TS_OR_LOWER,RESOLVED,HURDAT category within +/-1 day of CHN country-impact date; adopt HURDAT when it differs from CHN,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUPJ_ALL_ISL,TUPJ_all_isl.htm:storm_row:67,https://www.stormcarib.com/climatology/TUPJ_all_isl.htm,dc9d5e90bdfdcb3a95a2b9b1dc456e24bd9727382bd154f458c6ea7b901c304b,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TUVG-20190828-064,BVI,British Virgin Islands,VGB,TUVG,"Virgin Gorda, BVI",2019-08-28,DORIAN,81,H1,H1,40,AL052019,CONFIRMED_EXACT_NAME_DATE,AL052019,H1,NO,H1,RESOLVED,HURDAT category within +/-1 day of CHN country-impact date; adopt HURDAT when it differs from CHN,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUVG_ALL_ISL,TUVG_all_isl.htm:storm_row:64,https://www.stormcarib.com/climatology/TUVG_all_isl.htm,20438e2d0b2a920a825fd8ef348c1f24e59ae796c8a82516955a68fe75877061,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TUVG-20190924-065,BVI,British Virgin Islands,VGB,TUVG,"Virgin Gorda, BVI",2019-09-24,KAREN,46,TS,TS,53,AL122019,CONFIRMED_EXACT_NAME_DATE,AL122019,TS_OR_LOWER,NO,TS_OR_LOWER,RESOLVED,HURDAT category within +/-1 day of CHN country-impact date; adopt HURDAT when it differs from CHN,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUVG_ALL_ISL,TUVG_all_isl.htm:storm_row:65,https://www.stormcarib.com/climatology/TUVG_all_isl.htm,20438e2d0b2a920a825fd8ef348c1f24e59ae796c8a82516955a68fe75877061,named tropical system passing within 60 nautical miles of CHN location,DIRECT
