source_row,paper_country_code,country,iso3,population_source_location,year,population_1_july_persons,original_population_thousands,variant,source_dataset,source_reference,source_locator,transformation_rule,provenance_class
71358,AIA,Anguilla,AIA,Anguilla,2018,14721,14.721,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71358,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71359,AIA,Anguilla,AIA,Anguilla,2019,14823,14.823,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71359,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71360,AIA,Anguilla,AIA,Anguilla,2020,14843,14.843,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71360,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71361,AIA,Anguilla,AIA,Anguilla,2021,14475,14.475,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71361,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71362,AIA,Anguilla,AIA,Anguilla,2022,14180,14.18,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71362,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71363,AIA,Anguilla,AIA,Anguilla,2023,14410,14.41,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71363,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71364,AIA,Anguilla,AIA,Anguilla,2024,14598,14.598,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71364,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71365,AIA,Anguilla,AIA,Anguilla,2025,14728,14.728,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71365,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71510,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,2018,90926,90.926,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71510,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71511,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,2019,91364,91.364,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71511,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71512,ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,2020,91846,91.846,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71512,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
