evidence_id,source_dataset,source_reference,source_locator,hurdat_storm_id,candidate_hurdat_ids,match_status,affected_country,affected_country_code,evidence_date,event_name,evidence_type,chn_country_impact_category,hurdat_country_impact_category,conflict_flag,adopted_country_impact_category,no_affected,total_affected,provenance_class,notes
CHN-MYAB-20190901-085,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MYAB_ALL_ISL,MYAB_all_isl.htm:storm_row:85,AL052019,AL052019,CONFIRMED_EXACT_NAME_DATE,Bahamas,BHS,2019-09-01,DORIAN,CHN_EXPLICIT_WITHIN_60_NM,H5,H5,NO,H5,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-MYAB-20190915-086,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MYAB_ALL_ISL,MYAB_all_isl.htm:storm_row:86,AL092019,AL092019,CONFIRMED_EXACT_NAME_DATE,Bahamas,BHS,2019-09-15,HUMBERTO,CHN_EXPLICIT_WITHIN_60_NM,TS,H1,YES,H1,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-MYGF-20190902-080,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MYGF_ALL_ISL,MYGF_all_isl.htm:storm_row:80,AL052019,AL052019,CONFIRMED_EXACT_NAME_DATE,Bahamas,BHS,2019-09-02,DORIAN,CHN_EXPLICIT_WITHIN_60_NM,H5,H5,NO,H5,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TBPB-20180927-059,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TBPB_ALL_ISL,TBPB_all_isl.htm:storm_row:59,AL122018,AL122018,CONFIRMED_EXACT_NAME_DATE,Barbados,BRB,2018-09-27,KIRK,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TBPB-20190827-060,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TBPB_ALL_ISL,TBPB_all_isl.htm:storm_row:60,AL052019,AL052019,CONFIRMED_EXACT_NAME_DATE,Barbados,BRB,2019-08-27,DORIAN,CHN_EXPLICIT_WITHIN_60_NM,TS,H1,YES,H1,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TDPD-20180709-065,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TDPD_ALL_ISL,TDPD_all_isl.htm:storm_row:65,AL022018,AL022018,CONFIRMED_EXACT_NAME_DATE,Dominica,DMA,2018-07-09,BERYL,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TDPD-20180913-066,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TDPD_ALL_ISL,TDPD_all_isl.htm:storm_row:66,AL092018,AL092018,CONFIRMED_EXACT_NAME_DATE,Dominica,DMA,2018-09-13,ISAAC,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TDPD-20190827-067,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TDPD_ALL_ISL,TDPD_all_isl.htm:storm_row:67,AL052019,AL052019,CONFIRMED_EXACT_NAME_DATE,Dominica,DMA,2019-08-27,DORIAN,CHN_EXPLICIT_WITHIN_60_NM,TS,H1,YES,H1,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TGPY-20190922-036,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TGPY_ALL_ISL,TGPY_all_isl.htm:storm_row:36,AL122019,AL122019,CONFIRMED_EXACT_NAME_DATE,Grenada,GRD,2019-09-22,KAREN,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TKMN-20180709-066,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TKMN_ALL_ISL,TKMN_all_isl.htm:storm_row:66,AL022018,AL022018,CONFIRMED_EXACT_NAME_DATE,Montserrat,MSR,2018-07-09,BERYL,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TLPC-20180928-062,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TLPC_ALL_ISL,TLPC_all_isl.htm:storm_row:62,AL122018,AL122018,CONFIRMED_EXACT_NAME_DATE,Saint Lucia,LCA,2018-09-28,KIRK,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TLPC-20190827-063,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TLPC_ALL_ISL,TLPC_all_isl.htm:storm_row:63,AL052019,AL052019,CONFIRMED_EXACT_NAME_DATE,Saint Lucia,LCA,2019-08-27,DORIAN,CHN_EXPLICIT_WITHIN_60_NM,TS,H1,YES,H1,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TTPT-20190922-022,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TTPT_ALL_ISL,TTPT_all_isl.htm:storm_row:22,AL122019,AL122019,CONFIRMED_EXACT_NAME_DATE,Trinidad and Tobago,TTO,2019-09-22,KAREN,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TUAN-20190828-066,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUAN_ALL_ISL,TUAN_all_isl.htm:storm_row:66,AL052019,AL052019,CONFIRMED_EXACT_NAME_DATE,British Virgin Islands,VGB,2019-08-28,DORIAN,CHN_EXPLICIT_WITHIN_60_NM,H1,H1,NO,H1,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TUAN-20190924-067,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUAN_ALL_ISL,TUAN_all_isl.htm:storm_row:67,AL122019,AL122019,CONFIRMED_EXACT_NAME_DATE,British Virgin Islands,VGB,2019-09-24,KAREN,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TUPJ-20190828-066,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUPJ_ALL_ISL,TUPJ_all_isl.htm:storm_row:66,AL052019,AL052019,CONFIRMED_EXACT_NAME_DATE,British Virgin Islands,VGB,2019-08-28,DORIAN,CHN_EXPLICIT_WITHIN_60_NM,H1,H1,NO,H1,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TUPJ-20190924-067,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUPJ_ALL_ISL,TUPJ_all_isl.htm:storm_row:67,AL122019,AL122019,CONFIRMED_EXACT_NAME_DATE,British Virgin Islands,VGB,2019-09-24,KAREN,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TUVG-20190828-064,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUVG_ALL_ISL,TUVG_all_isl.htm:storm_row:64,AL052019,AL052019,CONFIRMED_EXACT_NAME_DATE,British Virgin Islands,VGB,2019-08-28,DORIAN,CHN_EXPLICIT_WITHIN_60_NM,H1,H1,NO,H1,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TUVG-20190924-065,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TUVG_ALL_ISL,TUVG_all_isl.htm:storm_row:65,AL122019,AL122019,CONFIRMED_EXACT_NAME_DATE,British Virgin Islands,VGB,2019-09-24,KAREN,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TVSV-20180928-057,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TVSV_ALL_ISL,TVSV_all_isl.htm:storm_row:57,AL122018,AL122018,CONFIRMED_EXACT_NAME_DATE,Saint Vincent and the Grenadines,VCT,2018-09-28,KIRK,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TVSV-20190827-058,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TVSV_ALL_ISL,TVSV_all_isl.htm:storm_row:58,AL052019,AL052019,CONFIRMED_EXACT_NAME_DATE,Saint Vincent and the Grenadines,VCT,2019-08-27,DORIAN,CHN_EXPLICIT_WITHIN_60_NM,TS,H1,YES,H1,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TVSV-20190922-059,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TVSV_ALL_ISL,TVSV_all_isl.htm:storm_row:59,AL122019,AL122019,CONFIRMED_EXACT_NAME_DATE,Saint Vincent and the Grenadines,VCT,2019-09-22,KAREN,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
CHN-TXKF-20190919-069,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TXKF_ALL_ISL,TXKF_all_isl.htm:storm_row:69,AL092019,AL092019,CONFIRMED_EXACT_NAME_DATE,Bermuda,BMU,2019-09-19,HUMBERTO,CHN_EXPLICIT_WITHIN_60_NM,H3,H3,NO,H3,,,DIRECT,2018-2025 extension; frozen CHN/HURDAT identity and +/-1-day category rules.
EMDAT-2019-0412-BHS,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:30,AL052019,AL052019,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Bahamas,BHS,2019-09-01,Tropical cyclone 'Dorian',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,14940,14940,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2020-0376-HTI,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:393,AL132020,AL132020,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Haiti,HTI,2020-08-23,Hurricane 'Laura',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,44175,44175,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2020-0474-BLZ,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:402,AL292020,AL292020,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Belize,BLZ,2020-11-04,Hurricane 'Eta',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,60000,60000,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2021-0373-BRB,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:39,AL052021,AL052021,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Barbados,BRB,2021-07-03,Hurricane 'Elsa',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,3114,3300,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2021-0373-HTI,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:41,AL052021,AL052021,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Haiti,HTI,2021-07-03,Hurricane 'Elsa',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,,3,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2021-0373-LCA,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:366,AL052021,AL052021,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Saint Lucia,LCA,2021-07-03,Hurricane 'Elsa',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,,,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2021-0373-VCT,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:43,AL052021,AL052021,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Saint Vincent and the Grenadines,VCT,2021-07-02,Hurricane 'Elsa',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,129,129,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2021-0510-HTI,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:207,AL062021,AL062021,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Haiti,HTI,2021-08-12,Tropical cyclone 'Fred',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,,,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2022-0719-BLZ,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:436,AL152022,AL152022,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Belize,BLZ,2022-11-02,Hurricane 'Lisa',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,172000,172150,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2023-0360-BRB,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:259,AL032023,AL032023,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Barbados,BRB,2023-06-22,Tropical storm 'Bret',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,179,179,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2023-0360-VCT,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:442,AL032023,AL032023,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Saint Vincent and the Grenadines,VCT,2023-06-22,Tropical storm 'Bret',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,150,150,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2024-0422-BRB,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:9,AL022024,AL022024,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Barbados,BRB,2024-07-01,Hurricane 'Beryl',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,2500,2500,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2024-0422-CYM,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:3,AL022024,AL022024,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Cayman Islands,CYM,2024-07-09,Hurricane 'Beryl',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,,,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2024-0422-GRD,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:447,AL022024,AL022024,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Grenada,GRD,2024-07-01,Hurricane 'Beryl',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,12000,12027,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2024-0422-JAM,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:7,AL022024,AL022024,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Jamaica,JAM,2024-07-03,Hurricane 'Beryl',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,618496,618556,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2024-0422-LCA,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:4,AL022024,AL022024,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Saint Lucia,LCA,2024-07-08,Hurricane 'Beryl',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,,,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2024-0422-VCT,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:174,AL022024,AL022024,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Saint Vincent and the Grenadines,VCT,2024-07-01,Hurricane 'Beryl',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,40000,40028,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2024-0822-JAM,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:285,AL182024,AL182024,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Jamaica,JAM,2024-11-06,Tropical cyclone 'Rafael',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,,,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2024-0857-BLZ,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:286,AL192024,AL192024,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Belize,BLZ,2024-11-15,Cyclone 'Sara',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,162,162,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
EMDAT-2024-0857-HTI,EM_DAT,EMDAT_PUBLIC_CUSTOM_REQUEST_2018_2025_2026_08_28,EM-DAT Data!row:157,AL192024,AL192024,CONFIRMED_EXACT_NAME_DATE_OVERLAP,Haiti,HTI,2024-11-17,Cyclone 'Sara',EMDAT_EXPLICIT_COUNTRY_IMPACT,,,,,,,DIRECT,2018-2025 extension; confirmed only by frozen unique-name and date-overlap rule.
