field_name,source_type,source_reference,source_locator,original_value,original_unit,transformation_rule,final_value,final_unit,provenance_class,reconstruction_status,notes
event_id,NOAA HURDAT2,NOAA HURDAT2,storm header identifier,row-specific,source-specific,Copied as canonical identity,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
source_storm_id,NOAA HURDAT2,NOAA HURDAT2,storm header identifier,row-specific,source-specific,Copied as source identity,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
storm_name,NOAA HURDAT2,NOAA HURDAT2,storm header name,row-specific,source-specific,Copied,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
season_year,NOAA HURDAT2,NOAA HURDAT2,storm identifier year,row-specific,source-specific,Parsed from storm ID,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
event_date,NOAA HURDAT2,NOAA HURDAT2,first track observation date,row-specific,source-specific,Minimum observation date,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
event_end_date,NOAA HURDAT2,NOAA HURDAT2,last track observation date,row-specific,source-specific,Maximum observation date,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
storm_start_date,NOAA HURDAT2,NOAA HURDAT2,first track observation date,row-specific,source-specific,Minimum observation date; not a country-impact date,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
storm_end_date,NOAA HURDAT2,NOAA HURDAT2,last track observation date,row-specific,source-specific,Maximum observation date; not a country-impact date,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
two_week_period,Balcik literature,Balcik literature,unpublished calendar boundary rule,row-specific,source-specific,Left null; no rule selected,row-specific or null,schema-specific,UNRESOLVED,UNRESOLVED,Row-level source locators are retained in canonical and evidence tables.
historical_category,NOAA HURDAT2,NOAA HURDAT2,full-lifecycle maximum sustained wind,row-specific,source-specific,Compatibility alias for storm_lifetime_category; never country-impact intensity,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
severity_class,Balcik et al. (2019),Balcik et al. (2019),storm-lifetime H2 or lower/H3/H4-H5 rule,row-specific,source-specific,Compatibility alias for storm_lifetime_severity; never country-impact severity,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
storm_lifetime_category,NOAA HURDAT2,NOAA HURDAT2,full-lifecycle maximum sustained wind in knots,row-specific,source-specific,Saffir-Simpson thresholds over the full storm lifecycle,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
storm_lifetime_severity,Balcik et al. (2019) + storm_lifetime_category,Balcik et al. (2019) + storm_lifetime_category,H2 or lower/H3/H4-H5 rule,row-specific,source-specific,Mild/Strong/Very Strong storm-level mapping,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
max_wind,NOAA HURDAT2,NOAA HURDAT2,maximum track wind,row-specific,source-specific,Maximum nonmissing observation wind,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
max_wind_unit,NOAA HURDAT2,NOAA HURDAT2,data specification,row-specific,source-specific,Recorded as knots,row-specific or null,schema-specific,DIRECT,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
country_impact_start_date,EM-DAT or CHN,EM-DAT or CHN,confirmed country-impact interval/point evidence,row-specific,source-specific,Unique EM-DAT window boundary or CHN point date; blank on conflicting windows,row-specific or null,schema-specific,RECONSTRUCTED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
country_impact_end_date,EM-DAT or CHN,EM-DAT or CHN,confirmed country-impact interval/point evidence,row-specific,source-specific,Unique EM-DAT window boundary or CHN point date; blank on conflicting windows,row-specific or null,schema-specific,RECONSTRUCTED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
country_impact_date,CHN or single-day EM-DAT,CHN or single-day EM-DAT,country-specific point-date evidence,row-specific,source-specific,"CHN exact date when consistent, or single-day EM-DAT; never storm start date",row-specific or null,schema-specific,RECONSTRUCTED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
country_impact_date_status,CHN + EM-DAT timing evidence,CHN + EM-DAT timing evidence,date consistency result,row-specific,source-specific,"RESOLVED, INTERVAL_ONLY, CONFLICT, or UNRESOLVED",row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
country_impact_date_basis,CHN + EM-DAT timing evidence,CHN + EM-DAT timing evidence,date rule identity,row-specific,source-specific,"Explicitly identifies CHN point, EM-DAT single day/window, or conflict",row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
country_impact_category,CHN-timed or EM-DAT-window HURDAT observations,CHN-timed or EM-DAT-window HURDAT observations,country-specific impact timing,row-specific,source-specific,CHN: HURDAT within +/-1 day; EM-DAT-only: maximum HURDAT category inside impact window; never lifecycle maximum,row-specific or null,schema-specific,RECONSTRUCTED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
country_impact_category_status,country-timed category evidence,country-timed category evidence,category consistency result,row-specific,source-specific,"RESOLVED, CONFLICT, or UNRESOLVED",row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
country_impact_category_basis,country-timed category evidence,country-timed category evidence,intensity rule identity,row-specific,source-specific,CHN +/-1-day or EM-DAT-window rule,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
country_impact_severity,country_impact_category + Balcik severity rule,country_impact_category + Balcik severity rule,country-specific impact category,row-specific,source-specific,Mild/Strong/Very Strong only when country-impact category resolves,row-specific or null,schema-specific,DERIVED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
affected_country,CHN or matched EM-DAT,CHN or matched EM-DAT,explicit island/country evidence,row-specific,source-specific,Included only under frozen Rule A or B,row-specific or null,schema-specific,RECONSTRUCTED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
affected_country_code,Balcik country identity + ISO3 crosswalk,Balcik country identity + ISO3 crosswalk,country crosswalk,row-specific,source-specific,Paper code normalized to ISO3/territory code,row-specific or null,schema-specific,RECONSTRUCTED,DOCUMENTED,Row-level source locators are retained in canonical and evidence tables.
