paper_name,paper_code,normalized_name,iso_or_territory_code,study_membership_evidence,study_membership_status,chn_identity,emdat_identity,population_source_identity,notes
Anguilla,AIA,Anguilla,AIA,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TQPF,AIA,Anguilla,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Antigua and Barbuda,ATG,Antigua and Barbuda,ATG,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TAPA|TABA,ATG,Antigua and Barbuda,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Bahamas,BHS,Bahamas,BHS,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,MYAB|MYGF|MYBS|MYSM|MYNN|MYEG|MYIG,BHS,Bahamas,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Belize,BLZ,Belize,BLZ,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,MZAC,BLZ,Belize,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Bermuda,BMU,Bermuda,BMU,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TXKF,BMU,Bermuda,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Barbados,BRB,Barbados,BRB,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TBPB,BRB,Barbados,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
British Virgin Islands,BVI,British Virgin Islands,VGB,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TUPJ|TUVG|TUAN,VGB,British Virgin Islands,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Cayman Islands,CYM,Cayman Islands,CYM,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,MWCR|MWLC|MWCB,CYM,Cayman Islands,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Dominica,DMA,Dominica,DMA,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TDPD,DMA,Dominica,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Grenada,GRD,Grenada,GRD,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TGPY,GRD,Grenada,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Guyana,GUY,Guyana,GUY,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,,GUY,Guyana,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Haiti,HTI,Haiti,HTI,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,MTPP,HTI,Haiti,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Jamaica,JAM,Jamaica,JAM,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,MKJP|MKJS,JAM,Jamaica,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,KNA,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TKNV|TKPK,KNA,Saint Kitts and Nevis,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Saint Lucia,LCA,Saint Lucia,LCA,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TLPC,LCA,Saint Lucia,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Montserrat,MST,Montserrat,MSR,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TKMN,MSR,Montserrat,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Suriname,SUR,Suriname,SUR,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,,SUR,Suriname,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Turks and Caicos Islands,TCA,Turks and Caicos Islands,TCA,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,MBPV|MBSC|MBGT,TCA,Turks and Caicos Islands,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Trinidad and Tobago,TTO,Trinidad and Tobago,TTO,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TTPT|TTPP,TTO,Trinidad and Tobago,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,VCT,Balcik et al. (2019) main-text explicit 20-state list,CONFIRMED_STUDY_COUNTRY,TVSV,VCT,Saint Vincent and the Grenadines,Paper-specific code retained separately from ISO3 (BVI/VGB and MST/MSR differ).
