chn_evidence_id,paper_country_code,affected_country,affected_country_code,chn_site_code,chn_site_name,event_date,storm_name,wind_mph,chn_original_category,closest_point_of_approach_miles,hurdat_storm_id,match_status,candidate_hurdat_ids,hurdat_original_category,category_conflict_flag,adopted_category,adoption_rule,source_dataset,source_reference,source_locator,source_url,source_sha256,proximity_rule,provenance_class
CHN-TQPF-19500901-039,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1950-09-01,DOG,127,H3,1,AL041950,CONFIRMED_EXACT_NAME_DATE,AL041950,H4,YES,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:39,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19550102-040,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1955-01-02,ALICE,81,H1,15,,UNMATCHED,,,,,,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:40,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19600905-041,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1960-09-05,DONNA,127,H3,4,AL051960,CONFIRMED_EXACT_NAME_DATE,AL051960,H4,YES,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:41,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19650829-042,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1965-08-29,BETSY,46,TS,5,AL031965,CONFIRMED_EXACT_NAME_DATE,AL031965,H4,YES,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:42,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19660826-043,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1966-08-26,FAITH,92,H1,32,AL061966,CONFIRMED_EXACT_NAME_DATE,AL061966,H3,YES,H3,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:43,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19790717-044,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1979-07-17,CLAUDETTE,46,TS,6,AL061979,CONFIRMED_EXACT_NAME_DATE,AL061979,TS_OR_LOWER,NO,TS_OR_LOWER,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:44,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19790903-045,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1979-09-03,FREDERIC,58,TS,23,AL111979,CONFIRMED_EXACT_NAME_DATE,AL111979,H4,YES,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:45,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19810904-046,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1981-09-04,FLOYD,40,TS,11,AL141981,CONFIRMED_EXACT_NAME_DATE,AL141981,H3,YES,H3,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:46,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19901006-047,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1990-10-06,KLAUS,69,TS,40,AL131990,CONFIRMED_EXACT_NAME_DATE,AL131990,H1,YES,H1,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:47,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TQPF-19950905-048,AIA,Anguilla,AIA,TQPF,"Anguilla, BWI",1995-09-05,LUIS,132,H4,14,AL131995,CONFIRMED_EXACT_NAME_DATE,AL131995,H4,NO,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TQPF_ALL_ISL,TQPF_all_isl.htm:storm_row:48,https://www.stormcarib.com/climatology/TQPF_all_isl.htm,8b72799f77c1e46ed19dd2b20946e41d4f21afac91768b4db2ec42bf5c71153c,named tropical system passing within 60 nautical miles of CHN location,DIRECT
