source_row,paper_country_code,country,iso3,population_source_location,year,population_1_july_persons,original_population_thousands,variant,source_dataset,source_reference,source_locator,transformation_rule,provenance_class
71290,AIA,Anguilla,AIA,Anguilla,1950,5002,5.002,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71290,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71291,AIA,Anguilla,AIA,Anguilla,1951,5210,5.21,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71291,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71292,AIA,Anguilla,AIA,Anguilla,1952,5369,5.369,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71292,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71293,AIA,Anguilla,AIA,Anguilla,1953,5503,5.503,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71293,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71294,AIA,Anguilla,AIA,Anguilla,1954,5644,5.644,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71294,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71295,AIA,Anguilla,AIA,Anguilla,1955,5741,5.741,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71295,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71296,AIA,Anguilla,AIA,Anguilla,1956,5780,5.78,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71296,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71297,AIA,Anguilla,AIA,Anguilla,1957,5796,5.796,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71297,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71298,AIA,Anguilla,AIA,Anguilla,1958,5795,5.795,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71298,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71299,AIA,Anguilla,AIA,Anguilla,1959,5777,5.777,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71299,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71300,AIA,Anguilla,AIA,Anguilla,1960,5782,5.782,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71300,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71301,AIA,Anguilla,AIA,Anguilla,1961,5822,5.822,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71301,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71302,AIA,Anguilla,AIA,Anguilla,1962,5875,5.875,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71302,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
71303,AIA,Anguilla,AIA,Anguilla,1963,5923,5.923,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71303,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
