conflict_id,conflict_type,hurdat_storm_id,country_code,source_a,value_a,source_b,value_b,resolution,status,notes
CATEGORY-CHN-MBGT-19540907-036,HURDAT_CHN_CATEGORY,AL081954,TCA,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBGT-19550913-037,HURDAT_CHN_CATEGORY,AL091955,TCA,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBGT-19551017-038,HURDAT_CHN_CATEGORY,AL131955,TCA,NOAA_NHC_HURDAT2,H2,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBGT-19611004-042,HURDAT_CHN_CATEGORY,AL071961,TCA,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBGT-19630928-043,HURDAT_CHN_CATEGORY,AL061963,TCA,NOAA_NHC_HURDAT2,H2,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBGT-19810909-044,HURDAT_CHN_CATEGORY,AL151981,TCA,NOAA_NHC_HURDAT2,H2,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBGT-19851118-046,HURDAT_CHN_CATEGORY,AL131985,TCA,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,H1,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBGT-19901008-047,HURDAT_CHN_CATEGORY,AL131990,TCA,NOAA_NHC_HURDAT2,H1,CARIBBEAN_HURRICANE_NETWORK,TS,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBGT-19960709-048,HURDAT_CHN_CATEGORY,AL021996,TCA,NOAA_NHC_HURDAT2,H3,CARIBBEAN_HURRICANE_NETWORK,H2,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
CATEGORY-CHN-MBGT-19960912-049,HURDAT_CHN_CATEGORY,AL081996,TCA,NOAA_NHC_HURDAT2,H4,CARIBBEAN_HURRICANE_NETWORK,H3,ADOPT_HURDAT_PRESERVE_BOTH,RESOLVED_BY_AUTHOR_REPORTED_RULE,Original values remain in normalized/evidence tables.
