evidence_id,source_dataset,source_reference,source_locator,hurdat_storm_id,candidate_hurdat_ids,match_status,affected_country,affected_country_code,evidence_date,event_name,evidence_type,chn_original_category,hurdat_original_category,conflict_flag,adopted_category,no_affected,total_affected,provenance_class,notes
CHN-MBGT-19540907-036,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MBGT_ALL_ISL,MBGT_all_isl.htm:storm_row:36,AL081954,AL081954,CONFIRMED_EXACT_NAME_DATE,Turks and Caicos Islands,TCA,1954-09-07,EDNA,CHN_EXPLICIT_WITHIN_60_NM,TS,H3,YES,H3,,,DIRECT,CHN factual row; HURDAT identity is reconstructed by frozen name/date rule.
CHN-MBGT-19550913-037,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MBGT_ALL_ISL,MBGT_all_isl.htm:storm_row:37,AL091955,AL091955,CONFIRMED_EXACT_NAME_DATE,Turks and Caicos Islands,TCA,1955-09-13,HILDA,CHN_EXPLICIT_WITHIN_60_NM,H1,H3,YES,H3,,,DIRECT,CHN factual row; HURDAT identity is reconstructed by frozen name/date rule.
CHN-MBGT-19551017-038,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MBGT_ALL_ISL,MBGT_all_isl.htm:storm_row:38,AL131955,AL131955,CONFIRMED_EXACT_NAME_DATE,Turks and Caicos Islands,TCA,1955-10-17,KATIE,CHN_EXPLICIT_WITHIN_60_NM,TS,H2,YES,H2,,,DIRECT,CHN factual row; HURDAT identity is reconstructed by frozen name/date rule.
CHN-MBGT-19560813-039,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MBGT_ALL_ISL,MBGT_all_isl.htm:storm_row:39,AL031956,AL031956,CONFIRMED_EXACT_NAME_DATE,Turks and Caicos Islands,TCA,1956-08-13,BETSY,CHN_EXPLICIT_WITHIN_60_NM,H3,H3,NO,H3,,,DIRECT,CHN factual row; HURDAT identity is reconstructed by frozen name/date rule.
CHN-MBGT-19600907-040,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MBGT_ALL_ISL,MBGT_all_isl.htm:storm_row:40,AL051960,AL051960,CONFIRMED_EXACT_NAME_DATE,Turks and Caicos Islands,TCA,1960-09-07,DONNA,CHN_EXPLICIT_WITHIN_60_NM,H4,H4,NO,H4,,,DIRECT,CHN factual row; HURDAT identity is reconstructed by frozen name/date rule.
CHN-MBGT-19600918-041,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MBGT_ALL_ISL,MBGT_all_isl.htm:storm_row:41,AL071960,AL071960,CONFIRMED_EXACT_NAME_DATE,Turks and Caicos Islands,TCA,1960-09-18,FLORENCE,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,CHN factual row; HURDAT identity is reconstructed by frozen name/date rule.
CHN-MBGT-19611004-042,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MBGT_ALL_ISL,MBGT_all_isl.htm:storm_row:42,AL071961,AL071961,CONFIRMED_EXACT_NAME_DATE,Turks and Caicos Islands,TCA,1961-10-04,FRANCES,CHN_EXPLICIT_WITHIN_60_NM,TS,H4,YES,H4,,,DIRECT,CHN factual row; HURDAT identity is reconstructed by frozen name/date rule.
CHN-MBGT-19630928-043,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MBGT_ALL_ISL,MBGT_all_isl.htm:storm_row:43,AL061963,AL061963,CONFIRMED_EXACT_NAME_DATE,Turks and Caicos Islands,TCA,1963-09-28,EDITH,CHN_EXPLICIT_WITHIN_60_NM,TS,H2,YES,H2,,,DIRECT,CHN factual row; HURDAT identity is reconstructed by frozen name/date rule.
CHN-MBGT-19810909-044,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MBGT_ALL_ISL,MBGT_all_isl.htm:storm_row:44,AL151981,AL151981,CONFIRMED_EXACT_NAME_DATE,Turks and Caicos Islands,TCA,1981-09-09,GERT,CHN_EXPLICIT_WITHIN_60_NM,TS,H2,YES,H2,,,DIRECT,CHN factual row; HURDAT identity is reconstructed by frozen name/date rule.
CHN-MBGT-19851008-045,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_MBGT_ALL_ISL,MBGT_all_isl.htm:storm_row:45,AL111985,AL111985,CONFIRMED_EXACT_NAME_DATE,Turks and Caicos Islands,TCA,1985-10-08,ISABEL,CHN_EXPLICIT_WITHIN_60_NM,TS,TS_OR_LOWER,NO,TS_OR_LOWER,,,DIRECT,CHN factual row; HURDAT identity is reconstructed by frozen name/date rule.
