scenario_id,hurricane_name,year,category,evacuees,sheltered,evacuees_qualifier,sheltered_qualifier,historical_rawls_water_1000_gallons,historical_rawls_food_1000_units,historical_rawls_medical_units,source_reference
h01,Alicia,1983,3,35000,25000,reported,reported,350,525,500,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h02,Camille,1969,5,56000,44152,reported,reported,560,927,883,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h03,Bonnie,1998,2,287000,20087,reported,reported,861,181,402,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h04,Floyd,1999,2,3000000,188000,reported,reported,9000,1692,3760,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h05,Andrew,1992,4,750000,84340,reported,reported,7500,1771,1687,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h06,Opal,1995,3,100000,87534,reported,reported,1000,1838,1751,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h07,Isabel,2003,2,200000,36000,estimated: sheltered close to 10% of evacuees,reported,600,324,720,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h08,Lili,2002,1,500000,18000,reported,reported,1500,162,360,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h09,Katrina,2005,5,1040000,3800000,reported,reported,10400,133000,950000,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h10,Bertha,1996,2,750000,75000,estimated: sheltered close to 10% of evacuees,reported,2250,1125,18750,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h11,Fran,1996,3,500000,50000,estimated: sheltered close to 10% of evacuees,reported,5000,1750,12500,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h12,Dennis,2005,3,1800000,18000,estimated: sheltered close to 1% of evacuees in tourist area,reported,18000,630,4500,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h13,Emily,1993,3,281750,2282,reported,reported,2818,80,571,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h14,Georges,1998,4,223900,42204,reported,reported,2239,1477,10551,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
h15,Hugo,1989,4,440000,112027,reported,reported,4400,3921,28007,"Rawls (2008) dissertation Table 5-3, PDF p.60 / printed p.49"
