scenario_id,hurricane_name,year,category,evacuees,sheltered,geographic_scope,evidence_status,scenario_type,source_group,E_evidence_identity,S_evidence_identity,source_reference,notes
h01,Alicia,1983,3,35000,25000,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees,Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Preserve original Category/E/S; reconstruct demand with the final dissertation rule.
h02,Camille,1969,5,56000,44152,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees,Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Preserve original Category/E/S; reconstruct demand with the final dissertation rule.
h03,Bonnie,1998,2,287000,20087,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees,Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Preserve original Category/E/S; reconstruct demand with the final dissertation rule.
h04,Floyd,1999,2,3000000,188000,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees,Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Preserve original Category/E/S; reconstruct demand with the final dissertation rule.
h05,Andrew,1992,4,750000,84340,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees,Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Preserve original Category/E/S; reconstruct demand with the final dissertation rule.
h06,Opal,1995,3,100000,87534,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees,Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Preserve original Category/E/S; reconstruct demand with the final dissertation rule.
h07,Isabel,2003,2,200000,36000,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees (estimated),Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Table 5-3 marks evacuees as estimated; preserve Category/E/S and reconstruct demand.
h08,Lili,2002,1,500000,18000,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees,Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Preserve original Category/E/S; reconstruct demand with the final dissertation rule.
h09,Katrina,2005,5,1040000,3800000,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees,Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Preserve original Category/E/S; reconstruct demand with the final dissertation rule.
h10,Bertha,1996,2,750000,75000,Rawls historical event aggregate,FROZEN,single_hurricane,Rawls15,Rawls Table 5-3 evacuees (estimated),Rawls Table 5-3 sheltered,Rawls dissertation Table 5-3,Table 5-3 marks evacuees as estimated; preserve Category/E/S and reconstruct demand.
