scenario_id,commodity,raw_value,raw_unit,multiplier,formal_value,formal_unit,rounding_status,rationale,provenance_identity
omega_01,Water,350.0,1000 gallons,1000.0,350000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_01,Seasonal Influenza Vaccine,500.0,abstract medical unit,10.0603621730382,5030.18108651911,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_01,Crackers,525.0,1000 meals,14000.0,7350000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_02,Water,7500.0,1000 gallons,1000.0,7500000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_02,Seasonal Influenza Vaccine,1687.0,abstract medical unit,10.0603621730382,16971.8309859155,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_02,Crackers,1771.0,1000 meals,14000.0,24794000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_03,Water,2250.0,1000 gallons,1000.0,2250000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_03,Seasonal Influenza Vaccine,18750.0,abstract medical unit,10.0603621730382,188631.790744467,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_03,Crackers,1125.0,1000 meals,14000.0,15750000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_04,Water,861.0,1000 gallons,1000.0,861000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_04,Seasonal Influenza Vaccine,402.0,abstract medical unit,10.0603621730382,4044.26559356137,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_04,Crackers,181.0,1000 meals,14000.0,2534000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_05,Water,560.0,1000 gallons,1000.0,560000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_05,Seasonal Influenza Vaccine,883.0,abstract medical unit,10.0603621730382,8883.29979879276,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_05,Crackers,927.0,1000 meals,14000.0,12978000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_06,Water,18000.0,1000 gallons,1000.0,18000000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_06,Seasonal Influenza Vaccine,4500.0,abstract medical unit,10.0603621730382,45271.629778672,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_06,Crackers,630.0,1000 meals,14000.0,8820000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_07,Water,2818.0,1000 gallons,1000.0,2818000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_07,Seasonal Influenza Vaccine,571.0,abstract medical unit,10.0603621730382,5744.46680080483,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_07,Crackers,80.0,1000 meals,14000.0,1120000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_08,Water,9000.0,1000 gallons,1000.0,9000000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_08,Seasonal Influenza Vaccine,3760.0,abstract medical unit,10.0603621730382,37826.9617706237,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_08,Crackers,1692.0,1000 meals,14000.0,23688000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_09,Water,5000.0,1000 gallons,1000.0,5000000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_09,Seasonal Influenza Vaccine,12500.0,abstract medical unit,10.0603621730382,125754.527162978,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
