scenario_id,scenario_type,probability,hurricanes,category,raw_water_1000_gallons,raw_mre_1000_meals,raw_medical_units,q_availability,disruption,source_identity
omega_01,single,0.02308,h01,3,350.0,525.0,500.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_02,single,0.05,h05,4,7500.0,1771.0,1687.0,0.75,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_03,single,0.16167,h10,2,2250.0,1125.0,18750.0,0.85,0.3,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_04,single,0.05363,h03,2,861.0,181.0,402.0,0.85,0.3,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_05,single,0.00925,h02,5,560.0,927.0,883.0,0.7,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_06,single,0.03083,h12,3,18000.0,630.0,4500.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_07,single,0.1338,h13,3,2818.0,80.0,571.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_08,single,0.05363,h04,2,9000.0,1692.0,3760.0,0.85,0.3,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_09,single,0.02295,h11,3,5000.0,1750.0,12500.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_10,single,0.02295,h14,4,2239.0,1477.0,10551.0,0.75,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_11,single,0.02295,h15,4,4400.0,3921.0,28007.0,0.75,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_12,single,0.05363,h07,2,600.0,324.0,720.0,0.85,0.3,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_13,single,0.05,h09,5,1040.0,13300.0,95000.0,0.7,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_14,single,0.0308,h08,1,1500.0,162.0,360.0,0.9,0.1,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_15,single,0.03083,h06,3,1000.0,1838.0,1751.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_16,combined,0.0046,h01+h02,5,910.0,1452.0,1383.0,0.7,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_17,combined,0.0057,h01+h04,3,9350.0,2217.0,4260.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_18,combined,0.0057,h01+h07,3,950.0,849.0,1220.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_19,combined,0.006,h10+h02,5,2810.0,2052.0,19633.0,0.7,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_20,combined,0.0261,h10+h13,3,5068.0,1205.0,19321.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_21,combined,0.0125,h10+h09,5,3290.0,14425.0,113750.0,0.7,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_22,combined,0.0094,h10+h08,2,3750.0,1287.0,19110.0,0.85,0.3,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_23,combined,0.005,h02+h05,5,8060.0,2698.0,2570.0,0.7,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_24,combined,0.0047,h02+h06,5,1560.0,2765.0,2634.0,0.7,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_25,combined,0.0052,h12+h01,3,18350.0,1155.0,5000.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_26,combined,0.0061,h12+h03,3,18861.0,811.0,4902.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_27,combined,0.0047,h12+h02,5,18560.0,1557.0,5383.0,0.7,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_28,combined,0.0061,h12+h04,3,27000.0,2322.0,8260.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_29,combined,0.0052,h12+h14,4,20239.0,2107.0,15051.0,0.75,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_30,combined,0.0057,h13+h02,5,3378.0,1007.0,1454.0,0.7,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_31,combined,0.0086,h13+h08,3,4318.0,242.0,931.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_32,combined,0.005,h04+h02,5,9560.0,2619.0,4643.0,0.7,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_33,combined,0.0056,h11+h05,4,12500.0,3521.0,14187.0,0.75,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_34,combined,0.0052,h11+h12,3,23000.0,2380.0,17000.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_35,combined,0.0075,h11+h13,3,7818.0,1830.0,13071.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_36,combined,0.0057,h11+h07,3,5600.0,2074.0,13220.0,0.8,0.6,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_37,combined,0.0057,h14+h03,4,3100.0,1658.0,10953.0,0.75,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_38,combined,0.0052,h14+h06,4,3239.0,3315.0,12302.0,0.75,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_39,combined,0.0056,h15+h05,4,11900.0,5692.0,29694.0,0.75,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_40,combined,0.0057,h15+h07,4,5000.0,4245.0,28727.0,0.75,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_41,combined,0.0075,h15+h13,4,7218.0,4001.0,28578.0,0.75,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
omega_42,combined,0.005,h15+h14,4,6639.0,5398.0,38558.0,0.75,1.0,RAWLS_TABLES_3_4_YANG_TABLES_12_13
