simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,certificate_status,data_sha256,scenario_sha256,first_stage_sha256,policy_label,Q_Water,Q_Vaccine,Q_Crackers,F_Water,F_Vaccine,F_Crackers,R_Water,R_Vaccine,R_Crackers,z_R0_Water,z_R1_Water,z_R2_Water,z_R0_Vaccine,z_R1_Vaccine,z_R2_Vaccine,z_R0_Crackers,z_R1_Crackers,z_R2_Crackers,Q_active_Water,Q_active_Vaccine,Q_active_Crackers,F_active_Water,F_active_Vaccine,F_active_Crackers,same_item_QF_Water,same_item_QF_Vaccine,same_item_QF_Crackers,same_item_QF_coexistence,cross_item_specialization,portfolio_pattern,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_usage,worst_exercise_Water,worst_exercise_Vaccine,worst_exercise_Crackers,worst_shortage_Water,worst_shortage_Vaccine,worst_shortage_Crackers,promoted_row_sha256
LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,M2,A1_FINAL_NO_MEMORY_V1,PASS,a53c7ade6289ad8101b99ec421aa4ab32dc07947ba7e97d34c4dbe8a5666fd91,e9923c8deda5bc80d34c2dd7d6f9010a393422b552344b0644dc26ca6f591a9c,b697716fe3f06388425f65d594918d773b239b8f5fcfc69298b6beac2479260f,P4,0.0,0.0,0.0,13509125.819073599,0.0,414610174.2448552,R0,NONE,R0,1,0,0,0,0,0,1,0,0,False,False,False,True,False,True,False,False,False,False,False,Q[NONE]|F[Water+Crackers],1129507408.2703202,1129507408.2703202,0.0,98638.65331107801,0.0,98638.65331107801,h09,5,Katrina,1129408769.6170092,19039267.2021274,1110369502.4148817,1552369717.1301227,329587626.93426377,1.0,10400000.0,0.0,319187626.93426377,0.0,9557344.06438629,1542812373.0657363,76b2ca3784c82aad4f92a30cdcea70913d69ec2ec5ef2ca2a757ac7b00520f16
LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,M2,A1_FINAL_NO_MEMORY_V1,PASS,587a89a437c68b24a9aa7908dd36c2de029fadfb87bbbae1802ca40f79f1d11d,1ded1b633d42f1ae88a2b71b2f881c5901e506492bdb8af975ef764e80b7fde0,9bafc6783c4ccd85b863cfe20b13ab8c3580811f3423c4e718af256be56b11d7,P4,0.0,0.0,0.0,18499196.389126413,0.0,149223978.31402862,R0,NONE,R0,1,0,0,0,0,0,1,0,0,False,False,False,True,False,True,False,False,False,False,False,Q[NONE]|F[Water+Crackers],1217715138.4542887,1217715138.4542887,0.0,10083587.872734142,0.0,10083587.872734142,h09,5,Katrina,1207631550.5815547,9054317.982704338,1198577232.5988503,1787665625.6447635,94291718.4196229,1.0,10400000.0,0.0,83891718.4196229,0.0,9557344.06438629,1778108281.580377,c4ecaa833463695f49c470d3f17c9731c2826ed2ef29db97cbc6cbed36678705
LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,M2,A1_FINAL_NO_MEMORY_V1,PASS,47309d5373b9ac94e04d99d7550d8b50e678e8c687df7b00cc464d9da5864fb6,317e375adf5a11bf0fe3533f3a0b6f7d7c2affc0fe9c859db6cc7aa7e4dce291,ae7e87e6c1255fc48a411ed79ea64360f3b3479a26c75ab628aa74206cbafa44,P1,14045150.246489204,696508.1881789276,0.0,0.0,0.0,0.0,NONE,NONE,NONE,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,Q[Water+Vaccine]|F[NONE],1220456158.4677374,1220456158.4677374,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1201318252.612299,0.0,1201318252.612299,1871041601.2613592,0.0,1.0,0.0,0.0,0.0,0.0,9041601.261359207,1862000000.0,7b63a3a372e30dfc5b59d286d2e26cdfb7e5784440342a3876adeb13cd14693c
LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,M2,A1_FINAL_NO_MEMORY_V1,PASS,400884a8e44a7b4108a77462584fb7d16f69645b39572c79ed1b698cf98d2af6,ada55aa7028a785a0045252d4368255222b8528119142809cb96bfecda114cee,2c4fe98740700a573c350a873403a056caca4c9ebf145ba97429279912ad5f77,P4,0.0,0.0,0.0,0.0,0.0,333528129.92772025,NONE,NONE,R0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,Q[NONE]|F[Crackers],1219546842.7838023,1219546842.7838023,0.0,2483165.939070249,0.0,2483165.939070249,h09,5,Katrina,1217063676.844732,16654739.916368227,1200408936.9283638,1731077214.2318141,150880129.8325723,1.0,0.0,0.0,150880129.8325723,10400000.0,9557344.06438629,1711119870.1674278,d2c75983c6fc037735d6e6600f89b2ead963cb5fabf489295f0e580864c25312
LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,M2,A1_FINAL_NO_MEMORY_V1,PASS,4800ef41b86c87a98ec98a4a4104e36c13df79110531b460cd7d899344e73b30,0b3b06bb888b501c47d187b866593744e5e2b506461e28b0c686989eb0b18536,86fdfad36047d86fa2aecfba6f5a671a13894d9754c080fd483553dad1d69466,P1,17637799.914796602,535093.150015588,0.0,0.0,0.0,0.0,NONE,NONE,NONE,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,Q[Water+Vaccine]|F[NONE],1231601707.3162727,1231601707.3162727,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1212463801.4608343,0.0,1212463801.4608343,1871241830.293562,0.0,1.0,0.0,0.0,0.0,0.0,9241830.293561982,1862000000.0,80424f3bc1554b7e64382a6dd51fb75bf057ec7f1cb63cdb3018f01997d0facf
LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,M2,A1_FINAL_NO_MEMORY_V1,PASS,19b6bf8fce85d49430ca7a030f81ed06818b34935bcce087b0a8c6af04793b84,66fac1fa9b1c2d908709d7da62a70d5011d1a3de860ce746c14097a05dba78c6,08bc1fd84ddb1bc731209a12396938a59f923d50a1a9dff3d2fed5934280d737,P4,0.0,0.0,0.0,0.0,0.0,138001015.2037785,NONE,NONE,R2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,True,False,False,False,False,False,Q[NONE]|F[Crackers],1228010902.1554124,1228010902.1554124,0.0,5188605.725132992,2400927.354830025,7589533.079963017,h09,5,Katrina,1220421369.0754495,11548372.775475461,1208872996.299974,1753655264.1987638,128302079.86562265,1.0,0.0,0.0,128302079.86562265,10400000.0,9557344.06438629,1733697920.1343775,1c0dd7b19b8642905c77ef2e65f2e16af64b69a8f7f81e27485366ba95163b52
LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,M2,A1_FINAL_NO_MEMORY_V1,PASS,073acfec07dfb715ceee3b887bd0c9376cff02f27c447d94500553a779a05b0f,8d986dbb5e7852f166b07023296fe6b051397c80c4cfe6f71f52ab5d149a420f,888705aaf9586f607e58aa7c7c80fa3e311d03987f28d0844d411db5134c6bef,P4,0.0,0.0,0.0,0.0,0.0,295507077.09389716,NONE,NONE,R0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,True,False,False,False,False,False,Q[NONE]|F[Crackers],1224101753.973965,1224101753.973965,0.0,1537727.6813731613,0.0,1537727.6813731613,h09,5,Katrina,1222564026.2925918,17600178.174065318,1204963848.1185265,1743227532.1739895,138729811.89039683,1.0,0.0,0.0,138729811.89039683,10400000.0,9557344.06438629,1723270188.1096032,0c45765b466c902a5ed23d46db565cd71dae83aca355b914fc30e94b8ca177cb
LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,M2,A1_FINAL_NO_MEMORY_V1,PASS,a0d398dd9e4f60d077190a2a7acd25fee767b32285326c2d5d90776db43d9e77,d1e8240dca3ebd47a5dac04a043251a71fee898f3c213ace377a680db1ffe87a,1bece451a05b4595e082d1c62a82f615a4300f5ed6f4706723749f7a4303ee2a,P1,18778115.09301475,483859.6496734721,0.0,0.0,0.0,0.0,NONE,NONE,NONE,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,Q[Water+Vaccine]|F[NONE],1234247683.2378776,1234247683.2378776,19137905.85543843,0.0,0.0,19137905.85543843,h09,5,Katrina,1215109777.3824391,0.0,1215109777.3824391,1871289365.0722628,0.0,0.9999999999999974,0.0,0.0,0.0,0.0,9289365.072262846,1862000000.0,01eef20dd8a86e377d58a6fc451200e3fcd429c3d98d2ae93f340cb95ce8473d
LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,M2,A1_FINAL_NO_MEMORY_V1,PASS,34fa770bcb8cc4de462e78d46320785558276bd46ec8a39b46049d5e4318e052,c624a018749efba578bd3b366f1a2c90f1956874c075c25c9f4d318fe98311a5,3f9f526dc968af0b2b5a7a7f9a7aaf5fe6d56b7a3711ccbad40ff275ea3864d8,P1,17745663.72808323,530246.9102912714,0.0,0.0,0.0,0.0,NONE,NONE,NONE,0,0,0,0,0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,Q[Water+Vaccine]|F[NONE],1231866555.1965904,1231866555.1965904,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1212728649.341152,0.0,1212728649.341152,1871246588.2678418,0.0,1.0,0.0,0.0,0.0,0.0,9246588.26784191,1862000000.0,4caf887608a5c82ff97fab0667b3f45c32de501a584b0f9707a858c1594c1e72
LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,M2,A1_FINAL_NO_MEMORY_V1,PASS,fcc2493f1c91b3b49e4aa5072a67f76d726de94cbde488d616ea6974f05a4578,2cf6ef34d145697be4961db0aba478947fe26f91acbc974bb5ea676fdea569eb,6289df582dd6764f04667516fd5ca306d9d38285a309d8c1d00dea31b3bd2ff5,P4,0.0,0.0,0.0,426298.26574119116,1338265.7747305832,0.0,R0,R0,NONE,1,0,0,1,0,0,0,0,0,False,False,False,True,True,False,False,False,False,False,False,Q[NONE]|F[Water+Vaccine],1216833970.5307605,1216833970.5307605,0.0,5384998.5007976815,0.0,5384998.5007976815,h09,5,Katrina,1211448972.0299628,13752907.354640797,1197696064.675322,1880573780.3341582,1383563.7302281326,1.0,334252.99689376773,1049310.7333343648,0.0,10065747.003106233,8508033.331051925,1862000000.0,92331f0e3e40fca56cf822abf4a9ac9d5c53a3f641085ca69407872e6b0ef0d4
