case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,h_V_tau,a_C,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_usage,Q_Water,F_Water,R_Water,Q_active_Water,F_active_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,Q_active_Vaccine,F_active_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,Q_active_Crackers,F_active_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256
E2A_CRACKERS_A080,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,3ba068bd57f991d066afb9cbd2b5ac5f9795588bead979cf950803ed34268763,e9923c8deda5bc80d34c2dd7d6f9010a393422b552344b0644dc26ca6f591a9c,0.5,0.8,19137905.85543848,4.0,1.0,1.0,1.0,1.0,240f1bfa88aaa717bfafd9a6ecb3d6e4c19355f604c2f2e7b4a0b01c4d06002e,3,2,2,b128e96ca5c73d91002ede115aad0dd151dbfeca3d97827567cc2a0de135b5b6,P4,1129507408.2703202,1129507408.2703202,0.0,98638.65331107801,0.0,98638.65331107801,h09,5,Katrina,1129408769.6170092,19039267.2021274,1110369502.4148817,1552369717.1301227,329587626.93426377,1.0,0.0,13509125.819073599,R0,False,True,10400000.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,414610174.2448552,R0,False,True,319187626.93426377,1542812373.0657363,f0a06046deca3a66b258d5c4ee928c150b089d51830bb54fbfb3c7665f9c9b62
E2A_CRACKERS_A080,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,M2,A1_FINAL_NO_MEMORY_V1,oracle_failure,FAIL,oracle_failure,Full exact certification was incomplete,58b45e72a24cc3f94b1f218956080bb70b6f7d33cc3b87d5162cac1b7596ed63,1ded1b633d42f1ae88a2b71b2f881c5901e506492bdb8af975ef764e80b7fde0,0.5,0.8,19137905.85543848,4.0,1.0,1.0,1.0,1.0,5a006f37af21b364da241068bb91c6eae0f49add311c93a6202b7e681e40cc56,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e06010d8c5fc11f63912cb0b6a5559a55913dded3202792e1e9cabff3d5ab7ba
E2A_CRACKERS_A080,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,93a5d3c4700efa549a5c82cc890b44b749bf743b292bcabc7f3671b4084144e5,317e375adf5a11bf0fe3533f3a0b6f7d7c2affc0fe9c859db6cc7aa7e4dce291,0.5,0.8,19137905.85543848,4.0,1.0,1.0,1.0,1.0,5c2952e82f4c4bea18900a160c2e9f64f6f2ea2e8dd30d77070d68e5960aeac7,7,2,2,6331ed36fb5d04e8fbdb591b42687149003aaede0d8b0e1b7a190f87d369a34c,P1,1220456158.4677374,1220456158.4677374,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1201318252.612299,0.0,1201318252.612299,1871041601.2613592,0.0,1.0,14045150.246489204,0.0,NONE,True,False,0.0,0.0,696508.1881789276,0.0,NONE,True,False,0.0,9041601.261359207,0.0,0.0,NONE,False,False,0.0,1862000000.0,958ba116312e3f2dff572c785b2a99fb14274d74828eafe9b66897c3a30b7ca9
E2A_CRACKERS_A080,LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,8e4e76f4530d967ddc617ff5ab703c364be9a48518adbe2dcecf2e3d11a41e31,ada55aa7028a785a0045252d4368255222b8528119142809cb96bfecda114cee,0.5,0.8,19137905.85543848,4.0,1.0,1.0,1.0,1.0,c0c5adf70a919b7240df9fdc980b67cdbcee71aa8ac21a2e47a7af32fef18e67,3,2,2,1e5c114a956a47ed8f8e5782290cfb49a036370a910005f948176fd45d29b8b6,P4,1219546842.7838023,1219546842.7838023,0.0,2483165.939070249,0.0,2483165.939070249,h09,5,Katrina,1217063676.844732,16654739.916368227,1200408936.9283638,1731077214.2318141,150880129.8325723,1.0,0.0,0.0,NONE,False,False,0.0,10400000.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,333528129.92772025,R0,False,True,150880129.8325723,1711119870.1674278,f12fc36eccfe3d161d46bb67e6b5424afab67021d8107864d3da3bae65bf59a7
E2A_CRACKERS_A080,LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,fedc0072fcc85f0817fab072fe31c91d50ab9100a301a5fe3708f0ac9fa3f70e,0b3b06bb888b501c47d187b866593744e5e2b506461e28b0c686989eb0b18536,0.5,0.8,19137905.85543848,4.0,1.0,1.0,1.0,1.0,66c6d6d2f996f981f3d9fe4b0d3bc12ef152101c59b11f9055ca7e23a96c14a7,3,2,2,45aba5dad80bcbc4f2b0f5c3146e03097de101a01868b14f6dd6b7b261c351b5,P1,1231601707.3162727,1231601707.3162727,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1212463801.4608343,0.0,1212463801.4608343,1871241830.293562,0.0,1.0,17637799.914796602,0.0,NONE,True,False,0.0,0.0,535093.150015588,0.0,NONE,True,False,0.0,9241830.293561982,0.0,0.0,NONE,False,False,0.0,1862000000.0,ca194217e2c7b963f5e540ffd86719a86caa6c8c45e508eac2bfb54cc8341d8b
E2A_CRACKERS_A080,LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,48a58a9a20659cbb2da1492ba3141fcf7736f4c6736a0dd30ceb618960e795b0,66fac1fa9b1c2d908709d7da62a70d5011d1a3de860ce746c14097a05dba78c6,0.5,0.8,19137905.85543848,4.0,1.0,1.0,1.0,1.0,413bc814cd69ab2c1b7e54d74020eb79e28cfa45ba5ccfc4fd69f96525838023,3,2,2,b0a742f842764c3c647327211e3623b372e7d9b3353ac4578b9f94c38b8f2509,P4,1228010902.1554124,1228010902.1554124,0.0,5188605.725132992,2400927.354830025,7589533.079963017,h09,5,Katrina,1220421369.0754495,11548372.775475461,1208872996.299974,1753655264.1987638,128302079.86562265,1.0,0.0,0.0,NONE,False,False,0.0,10400000.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,138001015.2037785,R2,False,True,128302079.86562265,1733697920.1343775,6065d6700dad38bf92d98d357b99f5fa54a224a955cc327bc3acf07f31cec15d
E2A_CRACKERS_A080,LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,ca62eba6320f879048451cbc69296ee57036bc06d344651ecbb0c4f8ec0ba860,8d986dbb5e7852f166b07023296fe6b051397c80c4cfe6f71f52ab5d149a420f,0.5,0.8,19137905.85543848,4.0,1.0,1.0,1.0,1.0,9852db67123bf2e6fc37aa54425f050a4ec0c01f9aef05db5842de902fe4ef04,3,2,2,c39eae3c8614d02f315b08ce255dfb57e517b7514b7b668c2bd621566edca1de,P4,1224101753.973965,1224101753.973965,0.0,1537727.6813731613,0.0,1537727.6813731613,h09,5,Katrina,1222564026.2925918,17600178.174065318,1204963848.1185265,1743227532.1739895,138729811.89039683,1.0,0.0,0.0,NONE,False,False,0.0,10400000.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,295507077.09389716,R0,False,True,138729811.89039683,1723270188.1096032,5c9c518eb3be33511e65b6a9f009d444edcb9d802b10b5469f535a5e5f5f4f14
E2A_CRACKERS_A080,LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,9ca960a7c7ccebdf924a0f3f505e221ff21ff55a32890afabff4ef3309c81950,d1e8240dca3ebd47a5dac04a043251a71fee898f3c213ace377a680db1ffe87a,0.5,0.8,19137905.85543848,4.0,1.0,1.0,1.0,1.0,5c3a8311e89163f6e8d8d05f821b2f3d11c365173195a68263bf69a3789f4e3d,3,2,2,0a0f50f8dc17054afd288eb8ad08382559716d3ff04aa9b022d695a4a5fdcd77,P1,1234247683.2378776,1234247683.2378776,19137905.85543843,0.0,0.0,19137905.85543843,h09,5,Katrina,1215109777.3824391,0.0,1215109777.3824391,1871289365.0722628,0.0,0.9999999999999974,18778115.09301475,0.0,NONE,True,False,0.0,0.0,483859.6496734721,0.0,NONE,True,False,0.0,9289365.072262846,0.0,0.0,NONE,False,False,0.0,1862000000.0,6a5a4d434696f2e49702cfe3a79c8cc2d736ea8cfb5884c80ac62a37f58db41e
E2A_CRACKERS_A080,LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,bac380d24398f881c04c166db6044169cb9c48632fab1a32abe2d1d10430d758,c624a018749efba578bd3b366f1a2c90f1956874c075c25c9f4d318fe98311a5,0.5,0.8,19137905.85543848,4.0,1.0,1.0,1.0,1.0,55afcc209368547bf7e07334f6d3d257d81ff8e6b59c1832d83e8dc076573c1f,3,2,2,571d4d6e23609f31dee7c0c01ad5910d1b0b7dbdec42cf068e978334be2295ac,P1,1231866555.1965904,1231866555.1965904,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1212728649.341152,0.0,1212728649.341152,1871246588.2678418,0.0,1.0,17745663.72808323,0.0,NONE,True,False,0.0,0.0,530246.9102912714,0.0,NONE,True,False,0.0,9246588.26784191,0.0,0.0,NONE,False,False,0.0,1862000000.0,6fa754138c4c90c789bcccd3a46d16a1663031418f32c07de551637e38f6aa39
E2A_CRACKERS_A080,LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,5734c27efb7361c13caa154ecb27a952f13ebe730b737e07bc8e25fc37336f98,2cf6ef34d145697be4961db0aba478947fe26f91acbc974bb5ea676fdea569eb,0.5,0.8,19137905.85543848,4.0,1.0,1.0,1.0,1.0,c5beeb8556b53704ffd024033f2cf902d2a1c1cd678ceb0be3e1069e2990b650,3,2,2,589a9554d7c988c55f7fc61dab099f333f888e058a8ce7073e1dda5f3a542962,P4,1216833970.5307605,1216833970.5307605,0.0,5384998.5007976815,0.0,5384998.5007976815,h09,5,Katrina,1211448972.0299628,13752907.354640797,1197696064.675322,1880573780.3341582,1383563.7302281326,1.0,0.0,426298.26574119116,R0,False,True,334252.99689376773,10065747.003106233,0.0,1338265.7747305832,R0,False,True,1049310.7333343648,8508033.331051925,0.0,0.0,NONE,False,False,0.0,1862000000.0,b046743f2b17509f12dcc6b8d7c4d73dba46b20a91d2e6895a8f28750b579a07
