case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,h_V_tau,a_C,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_usage,Q_Water,F_Water,R_Water,Q_active_Water,F_active_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,Q_active_Vaccine,F_active_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,Q_active_Crackers,F_active_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256
E2A_VACCINE_H0,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,ec8ec802a83e12bcdd4250354e78a3ead6bb05cb35398bb104110cecd76aee01,e9923c8deda5bc80d34c2dd7d6f9010a393422b552344b0644dc26ca6f591a9c,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,71255bae38fec30915555926d1b25641c9596b829d966f0d8b0f16399c8adff3,3,2,2,c1bf2d12345087483e8810ba083a451072c634573769a7025b893af9fcaeb8e3,P4,1129507408.2703202,1129507408.2703202,0.0,98638.65331107803,0.0,98638.65331107803,h09,5,Katrina,1129408769.6170092,19039267.2021274,1110369502.4148817,1490895197.2837718,391062146.7806146,1.0,0.0,0.0,NONE,False,False,0.0,10400000.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,507971898.45541835,R0,False,True,391062146.7806146,1470937853.2193854,2613011a79f96ae15b8c1dab0cba46be91f531bb97b9362bf293dfa504492c85
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,M2,A1_FINAL_NO_MEMORY_V1,oracle_failure,FAIL,oracle_failure,Full exact certification was incomplete,40cb4188da1a338f95de8a19361d896b5ac6143d9d7c89d6bf6bc0c12156660e,1ded1b633d42f1ae88a2b71b2f881c5901e506492bdb8af975ef764e80b7fde0,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,39f1b5f732f52e6ba1fb1f1483f3ce2310276fd46cc80e42caa7ab03002b9036,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c8a7b87ce315f9727291c3bae00c98db9e6b00569e49a2cc69107fd41fdcc6d5
E2A_VACCINE_H0,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,dcf21f8d6aadaed97bd547082a0252318899d588b040cb2d11675411798b44c8,317e375adf5a11bf0fe3533f3a0b6f7d7c2affc0fe9c859db6cc7aa7e4dce291,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,c4e6605e2a5950b9cd0ff120b496ee1427d36a3e30d626c36bd87c0a1e43501e,7,2,2,321312193512047b5f43fdd66b0dfb60b6240aa283d0863ada3e8ce69ced437d,P1,1219424672.8616834,1219424672.8616834,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1200286767.006245,0.0,1200286767.006245,1880939017.8033602,0.0,1.0,0.0,0.0,NONE,False,False,0.0,10400000.0,1375244.743851572,0.0,NONE,True,False,0.0,8539017.803360248,0.0,0.0,NONE,False,False,0.0,1862000000.0,6fc6ebe144c14eebe3545e86f524e22c0d05e29975ebf1bf120a85ebb5e67698
E2A_VACCINE_H0,LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,1c539ecb639af406e0e6aaa7e7125e6a86ad2828695ab7fd25213231d2acb2bb,ada55aa7028a785a0045252d4368255222b8528119142809cb96bfecda114cee,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,76d50fad055beeaa1d791029474dc5f6dab249b7541d641083f99cee2dd2f4e8,3,2,2,32161bdb38493ea4b3e0fd0404f1a2ff8c1db9a883bda34c18ee7cab2b0ffce2,P4,1219546842.7838023,1219546842.7838023,0.0,2483165.939070249,0.0,2483165.939070249,h09,5,Katrina,1217063676.844732,16654739.916368231,1200408936.9283638,1792551734.0781648,89405609.98622149,1.0,0.0,22989724.0617264,R0,False,True,10399999.999999998,1.862645149230957e-09,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,174645882.0107315,R0,False,True,79005609.98622149,1782994390.0137784,152c7e10ff0e52bb32f9d9365cd2da0a664f87fb771ef3216b93c9508c7fc208
E2A_VACCINE_H0,LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,a68e045320f9436f2f6bc815c551669ae43fc90d1c1cffc68eb441887dc1cadd,0b3b06bb888b501c47d187b866593744e5e2b506461e28b0c686989eb0b18536,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,80e4a4b1eba3418e8c83de77b48a61dde4141be7c30abf35b8fc03a135c34c1b,3,2,2,7ecb2e4b775e3210fffaaf9eb0a41604b45ac964323ba9da30d5593cbb921dd7,P1,1230970679.774624,1230970679.774624,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1211832773.9191856,0.0,1211832773.9191856,1871230493.926401,0.0,1.0,17637799.914796602,0.0,NONE,True,False,0.0,0.0,554318.9746065477,0.0,NONE,True,False,0.0,9230493.926401006,0.0,0.0,NONE,False,False,0.0,1862000000.0,f83054b5bf7a5bba9f114b549d0bab4870f08c5207111113aff01d50f52ef7b9
E2A_VACCINE_H0,LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,6145cdac8cbef6b5dedddfe40a2d6f5165b67f688dcce4ec9499d88e319f8556,66fac1fa9b1c2d908709d7da62a70d5011d1a3de860ce746c14097a05dba78c6,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,62c1ed56b1c394002c7046c8e43ad1bd4da282b861e508ab64c1b9fd6019042b,3,2,2,c7932f95fbaf13554c80135f890c5bb2cfadb34aa3ac2e262a0f7abcb8132380,P4,1228010902.1554124,1228010902.1554124,0.0,5188605.725132992,2400927.354830025,7589533.079963017,h09,5,Katrina,1220421369.0754495,11548372.775475461,1208872996.299974,1753655264.1987638,128302079.86562265,1.0,0.0,0.0,NONE,False,False,0.0,10400000.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,138001015.2037785,R2,False,True,128302079.86562265,1733697920.1343775,827a3bf986b20955d4509f85578c2d75832cbfae1137e7eb35548409adc8a2f4
E2A_VACCINE_H0,LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,e4c19cc547b0ff3faf8f07f333f5b78babb73edfb296d3ca484a0363a1e0c901,8d986dbb5e7852f166b07023296fe6b051397c80c4cfe6f71f52ab5d149a420f,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,9feaa72d291758ddb7cf512254f393788ef443b5810e3159b6360eb2867f0366,3,2,2,629e20ffe8a7dad7bad59f1fabf3286bd76361a1a5851c2873f16420ad06ccc4,P4,1224101753.973965,1224101753.973965,0.0,1537727.6813731613,0.0,1537727.6813731613,h09,5,Katrina,1222564026.2925918,17600178.174065318,1204963848.1185265,1743227532.1739895,138729811.89039683,1.0,0.0,0.0,NONE,False,False,0.0,10400000.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,295507077.09389716,R0,False,True,138729811.89039683,1723270188.1096032,57d923c42c10d540a5467a9461590f49a0a4d6d20c23c47566a79150ba6c0efe
E2A_VACCINE_H0,LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,dd90e17e213c86922029771a4528d4446a511a6149577b167925b63a0e843418,d1e8240dca3ebd47a5dac04a043251a71fee898f3c213ace377a680db1ffe87a,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,4f26e57894826af212293fb18ab0a357a3782fe2d5b71355310698a9c617886f,3,2,2,276cca0b674cb6e48d623d2bd9be7a959514b59589648dcf6a49c9ceba96f19d,P1,1233711725.2536306,1233711725.2536306,19137905.85543843,0.0,0.0,19137905.85543843,h09,5,Katrina,1214573819.3981922,0.0,1214573819.3981922,1871279736.6232789,0.0,0.9999999999999974,18778115.09301475,0.0,NONE,True,False,0.0,0.0,501244.66151859553,0.0,NONE,True,False,0.0,9279736.623278819,0.0,0.0,NONE,False,False,0.0,1862000000.0,e8ce62c25c65cfc0745436bfdbdd2d78b6eca713d4cb10b89640d8cfcbda2a78
E2A_VACCINE_H0,LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,4c82506ec887da877cd78ac3b94afb30afbe79edd8406be410ebcc916105c429,c624a018749efba578bd3b366f1a2c90f1956874c075c25c9f4d318fe98311a5,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,3886bb7acfac2cadb2c639c74a2aff3b0baa0282ab2ed59e4a7f4a721bd5782f,3,2,2,dca784c6ac86213d3012693ee156583540668e4525bd5ecee485003bae31d074,P1,1231245043.6035018,1231245043.6035018,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1212107137.7480633,0.0,1212107137.7480633,1881151369.965293,0.0,1.0,0.0,0.0,NONE,False,False,0.0,10400000.0,1375244.743851572,0.0,NONE,True,False,0.0,8751369.965292888,0.0,0.0,NONE,False,False,0.0,1862000000.0,c1b06495b8888635f0edf191f9e572d2ee0b392c6ce0cc306ef070e3baf31de3
E2A_VACCINE_H0,LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,dc959a36c93993e80bc18db52e7417e9a3a00e2c1662923f73d05b9eae951059,2cf6ef34d145697be4961db0aba478947fe26f91acbc974bb5ea676fdea569eb,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,7f55ea7d03262b82150c1b44f1eddfa9682295af5c918ebe74f88a80cd9216de,3,2,2,394be12c178146da11dc5de288f23934811121bb26751cbe8db7dfc069f423a3,P4,1216833970.5307605,1216833970.5307605,0.0,5384998.5007976815,0.0,5384998.5007976815,h09,5,Katrina,1211448972.0299628,13752907.354640797,1197696064.675322,1880573780.3341582,1383563.7302281326,1.0,0.0,426298.26574119116,R0,False,True,334252.99689376773,10065747.003106233,0.0,1338265.7747305832,R0,False,True,1049310.7333343648,8508033.331051925,0.0,0.0,NONE,False,False,0.0,1862000000.0,dea3556fb61e557ed793ce3c094342067db3cf680b8b93db06fd82226629446f
