case_id,simulation_id,sample_index,input_sha256,decision_role,first_stage_sha256,Q,F,z,first_stage_cost,B,first_stage_cost_minus_B,budget_violation,budget_reference_scale,budget_tolerance,first_stage_feasibility_validation,validation_error,evidence_sha256
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,FAILED_FULL_CERTIFICATION_DECISION,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,"{""Crackers"":0.0,""Seasonal Influenza Vaccine"":0.0,""Water"":0.0}","{""Crackers"":{""0"":149223978.31402862,""1"":0.0,""2"":0.0},""Seasonal Influenza Vaccine"":{""0"":0.0,""1"":0.0,""2"":0.0},""Water"":{""0"":18499196.389126413,""1"":0.0,""2"":0.0}}","{""Crackers"":{""0"":1,""1"":0,""2"":0},""Seasonal Influenza Vaccine"":{""0"":0,""1"":1,""2"":0},""Water"":{""0"":1,""1"":0,""2"":0}}",10083587.872734142,19137905.85543848,-9054317.982704336,0.0,19137905.85543848,1.9237905855438477e-05,True,,39e4ed0314a043d4bf8eec57b82495e8d3791cc8a9a88334f56dd643e32d8f61
E2A_VACCINE_H0,LA-0061,61,cd7ba256524cb036f33013c1005baf2ca2bf23e5fdc7a9fa10871d5c2a2e0738,FAILED_FULL_CERTIFICATION_DECISION,b6006f880a8b3eea3a25dd9d053e6f0621e8f6635ce65ae531f4d1bbbf4e3d7c,"{""Crackers"":0.0,""Seasonal Influenza Vaccine"":0.0,""Water"":0.0}","{""Crackers"":{""0"":106964803.78387314,""1"":0.0,""2"":0.0},""Seasonal Influenza Vaccine"":{""0"":0.0,""1"":0.0,""2"":0.0},""Water"":{""0"":18512709.00126394,""1"":0.0,""2"":0.0}}","{""Crackers"":{""0"":1,""1"":0,""2"":0},""Seasonal Influenza Vaccine"":{""0"":0,""1"":1,""2"":0},""Water"":{""0"":1,""1"":0,""2"":0}}",6145056.466944706,19137905.85543848,-12992849.388493773,0.0,19137905.85543848,1.9237905855438477e-05,True,,c5caac57fa3eff5dcc3a3c66b0fcac016b307ad84ab9b441fa4cee21b32a31f5
E2A_VACCINE_H0,LA-0062,62,0a8476101aed9a3c938c73fcf4aa585e93a174a4346c5bbb4dd77fc8e931e499,FAILED_FULL_CERTIFICATION_DECISION,1728d01c0e5c7784e5e1266e6030f7240c8e50b09049bbf6b79a3cbd00ec4166,"{""Crackers"":0.0,""Seasonal Influenza Vaccine"":0.0,""Water"":0.0}","{""Crackers"":{""0"":73921753.79331498,""1"":0.0,""2"":0.0},""Seasonal Influenza Vaccine"":{""0"":0.0,""1"":0.0,""2"":0.0},""Water"":{""0"":14171235.120877307,""1"":0.0,""2"":0.0}}","{""Crackers"":{""0"":1,""1"":0,""2"":0},""Seasonal Influenza Vaccine"":{""0"":0,""1"":0,""2"":1},""Water"":{""0"":1,""1"":0,""2"":0}}",2619591.143098095,19137905.85543848,-16518314.712340383,0.0,19137905.85543848,1.9237905855438477e-05,True,,1e7f53db92fc579572ddd8b48706ce469d724058f887627e6c51babef091eb13
E2A_VACCINE_H0,LA-0065,65,d256eadfc4945b86a5b851692b96cf9234577168b1f35668db33d3fc2eb72510,FAILED_FULL_CERTIFICATION_DECISION,2f3d117aa14546a151d7239de149c8486de87c68d35c5aaea1f2ed050ba370ad,"{""Crackers"":0.0,""Seasonal Influenza Vaccine"":0.0,""Water"":0.0}","{""Crackers"":{""0"":141832001.1205789,""1"":0.0,""2"":0.0},""Seasonal Influenza Vaccine"":{""0"":0.0,""1"":0.0,""2"":0.0},""Water"":{""0"":17962244.14754356,""1"":0.0,""2"":0.0}}","{""Crackers"":{""0"":1,""1"":0,""2"":0},""Seasonal Influenza Vaccine"":{""0"":0,""1"":0,""2"":1},""Water"":{""0"":1,""1"":0,""2"":0}}",1516456.7292841289,19137905.85543848,-17621449.12615435,0.0,19137905.85543848,1.9237905855438477e-05,True,,072d21dba45f891a4939e66e919575b0de1b297c0f7e2297bee7346bbf10190f
E2A_VACCINE_H0,LA-0080,80,767df1245d20d80741dfd4fbe80031014f35f4df4a9f845ee1a0c50bb9fc1ab8,FAILED_FULL_CERTIFICATION_DECISION,df9bcfcb8daa742512fe490483a0e94fb5f2855c5c2bd24d0c778843b171ee46,"{""Crackers"":0.0,""Seasonal Influenza Vaccine"":0.0,""Water"":0.0}","{""Crackers"":{""0"":121135995.24627636,""1"":0.0,""2"":0.0},""Seasonal Influenza Vaccine"":{""0"":0.0,""1"":0.0,""2"":0.0},""Water"":{""0"":14504733.025962869,""1"":0.0,""2"":0.0}}","{""Crackers"":{""0"":1,""1"":0,""2"":0},""Seasonal Influenza Vaccine"":{""0"":0,""1"":1,""2"":0},""Water"":{""0"":1,""1"":0,""2"":0}}",2243911.3290007543,19137905.85543848,-16893994.526437722,0.0,19137905.85543848,1.9237905855438477e-05,True,,83ad96087f427da9960a74813c1a05bcfabaf808f3792b9d98d34862ae005952
E2A_VACCINE_H0,LA-0116,116,eee7d7cadd2df98a957bcce527a651580363520b9b2911b3872414e22cc8b5f2,FAILED_FULL_CERTIFICATION_DECISION,bf8d63836de2f00c7190e8cfcd1261267617358e6f46e46063410504bd8970c5,"{""Crackers"":0.0,""Seasonal Influenza Vaccine"":0.0,""Water"":0.0}","{""Crackers"":{""0"":121921099.20285995,""1"":0.0,""2"":0.0},""Seasonal Influenza Vaccine"":{""0"":0.0,""1"":0.0,""2"":0.0},""Water"":{""0"":17166592.3313989,""1"":0.0,""2"":0.0}}","{""Crackers"":{""0"":1,""1"":0,""2"":0},""Seasonal Influenza Vaccine"":{""0"":0,""1"":0,""2"":1},""Water"":{""0"":1,""1"":0,""2"":0}}",4083221.0371552575,19137905.85543848,-15054684.81828322,0.0,19137905.85543848,1.9237905855438477e-05,True,,f306dfb9857f0f9def72e8fe78b964e0be42ce10caed8fc13a2626fa357e8d82
E2A_VACCINE_H0,LA-0186,186,ad1879d20a25fa7fb3a6a0748ebcb2db03bb2ffdfd6666f96c0b3d44fc01510f,FAILED_FULL_CERTIFICATION_DECISION,5de06b8de0045c4bf5674f713ef6d340b0a63d91b36164df3e10ad6412110c30,"{""Crackers"":0.0,""Seasonal Influenza Vaccine"":0.0,""Water"":0.0}","{""Crackers"":{""0"":153186225.69401336,""1"":0.0,""2"":0.0},""Seasonal Influenza Vaccine"":{""0"":0.0,""1"":0.0,""2"":0.0},""Water"":{""0"":16119467.118262904,""1"":0.0,""2"":0.0}}","{""Crackers"":{""0"":1,""1"":0,""2"":0},""Seasonal Influenza Vaccine"":{""0"":0,""1"":1,""2"":0},""Water"":{""0"":1,""1"":0,""2"":0}}",8143959.383954534,19137905.85543848,-10993946.471483944,0.0,19137905.85543848,1.9237905855438477e-05,True,,5ffda861feeb2df4ce8322051a94c40aff66d24e3073dcb7dfa1d6aaf1d3cc65
E2A_VACCINE_H0,LA-0208,208,86f8dee9613183fc59f97a4e65221bcd624a99be001735564d47f13ecd95937f,FAILED_FULL_CERTIFICATION_DECISION,8ef998eca072c5e4eee8836e9dcc2c124906f3777c2df4f886100b99acf09bee,"{""Crackers"":0.0,""Seasonal Influenza Vaccine"":0.0,""Water"":0.0}","{""Crackers"":{""0"":59312129.45594894,""1"":0.0,""2"":0.0},""Seasonal Influenza Vaccine"":{""0"":0.0,""1"":0.0,""2"":0.0},""Water"":{""0"":12983934.471336452,""1"":0.0,""2"":0.0}}","{""Crackers"":{""0"":1,""1"":0,""2"":0},""Seasonal Influenza Vaccine"":{""0"":0,""1"":0,""2"":1},""Water"":{""0"":1,""1"":0,""2"":0}}",4083776.044720443,19137905.85543848,-15054129.810718035,0.0,19137905.85543848,1.9237905855438477e-05,True,,52a40b1a8494bd6843d3dfc94f4491da79938bbef82f836fc641f1fa25b68d6c
E2A_VACCINE_H0,LA-0252,252,ebcbb6754023d7b2880c4a4e4a2478d6a78d4c0fd647ff136422e5364d6081e5,FAILED_FULL_CERTIFICATION_DECISION,bf8101e555644459c429bb2154c14d1181139dbba5d2c404f962fb508397eec2,"{""Crackers"":0.0,""Seasonal Influenza Vaccine"":0.0,""Water"":0.0}","{""Crackers"":{""0"":202895928.01638657,""1"":0.0,""2"":0.0},""Seasonal Influenza Vaccine"":{""0"":0.0,""1"":0.0,""2"":0.0},""Water"":{""0"":17308021.26246605,""1"":0.0,""2"":0.0}}","{""Crackers"":{""0"":1,""1"":0,""2"":0},""Seasonal Influenza Vaccine"":{""0"":0,""1"":1,""2"":0},""Water"":{""0"":1,""1"":0,""2"":0}}",7391994.292550104,19137905.85543848,-11745911.562888375,0.0,19137905.85543848,1.9237905855438477e-05,True,,57248b63e4e0f2886de08f6006b387dc05821a00dc6fe736548db798aef47456
E2A_VACCINE_H0,LA-0256,256,5128bcece17cb3a18b6cd3de9cea9319781eb35b13a59ecbc186a3a22e80cc55,FAILED_FULL_CERTIFICATION_DECISION,0a5f21da19ce56b0740aca99a2ed1beb5277346de7e0b8cdba49e3baca751db0,"{""Crackers"":0.0,""Seasonal Influenza Vaccine"":0.0,""Water"":0.0}","{""Crackers"":{""0"":154013329.61404163,""1"":0.0,""2"":0.0},""Seasonal Influenza Vaccine"":{""0"":0.0,""1"":0.0,""2"":0.0},""Water"":{""0"":19456946.503895056,""1"":0.0,""2"":0.0}}","{""Crackers"":{""0"":1,""1"":0,""2"":0},""Seasonal Influenza Vaccine"":{""0"":0,""1"":1,""2"":0},""Water"":{""0"":1,""1"":0,""2"":0}}",6816706.6182581,19137905.85543848,-12321199.237180378,0.0,19137905.85543848,1.9237905855438477e-05,True,,9d6e7a482fc57090691433626cea111dbcfc0c023e346a234683e244faf8c176
