case_id,simulation_id,sample_index,input_sha256,first_stage_sha256,scenario_id,scenario_identity,production_status,production_solver_status,production_termination,production_objective,production_scaled_retry_triggered,diagnostic_scaled_retry_attempted,scaled_status,scaled_solver_status,scaled_termination,scaled_objective,scaled_original_semantic_validation,witness_feasible,witness_sha256,scenario_diagnostic_sha256
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,h01,7fcab5d178da78f32923d1650749a81fbc49060b0cabeafbb6c978ab9732cd93,optimal,ok,optimal,4352665.316552747,False,False,,,,,NOT_ATTEMPTED,,,ac7f0d292822b562be1d90e1515640377bcd76c9bb71c2d4ad9b63a009741745
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,h02,ab36c1b28c917aa104d7a2a142f9d1ead533c2324e997e2205bb39ee4538345d,optimal,ok,optimal,7663803.951242881,False,False,,,,,NOT_ATTEMPTED,,,5a8315bf84849b2693c5fd3f3ece445c047f3b5eb1818d0bf296ea9c4374d53b
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,h03,ebbd867be900d8cbf2f821094eeb31b981307796c22d7e90cf7638351c859158,optimal,ok,optimal,3403259.298870556,False,False,,,,,NOT_ATTEMPTED,,,ca68873f83fa26d39260aad36c8ffad8da63d31ebded24c0449ec31b6b21e8dd
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,h04,d6ea1666a2127dddc5389cf26c910da5a82f74b046f008eefcb2be1bbf895c21,optimal,ok,optimal,32230362.52441024,False,False,,,,,NOT_ATTEMPTED,,,1e562c45e5b85b3fd5329bafdac2153446580289ceab935729acc63ad32e5e7c
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,h05,2a817fcf3d75a3211611fed296a9db0b9a5c7d54cd351afebfb5ec256dd17a25,optimal,ok,optimal,17222720.159002326,False,False,,,,,NOT_ATTEMPTED,,,29d0b28d7e1c572d6fa9fba6cc38e6344cfdf7876bf5733a6401ef9fda989a82
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,h06,7e5835adfcd73fd0b27095079caba2882d52b60adb3b4bfef18b3a6d07584f62,optimal,ok,optimal,15149669.894361487,False,False,,,,,NOT_ATTEMPTED,,,8ec142367e065843620fc8a9a9d553fd3bc427e4a71a9da9d770255009823ef5
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,h07,41f7e2cdfe97b570a5fe2b5837247d598f8c3fd090f783f1332ce079d75c6e11,optimal,ok,optimal,5720476.993472836,False,False,,,,,NOT_ATTEMPTED,,,94c8ea8ddd71f79860a65b78c25a799f39bfc79e53ede5d5495553391e8e1662
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,h08,bc1d951bfc81b4d7089e9865c675c5b95ee92dbc303692337bfbca6ca3981bda,optimal,ok,optimal,3342303.133701619,False,False,,,,,NOT_ATTEMPTED,,,534398e172e5657ee56e5bf8a112efa5dbf19ace869dd505cd9af78418b39af4
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,h09,4391c10580f13e91f520aa5dc1c34589265327dda20d73f8ba97375073959f4a,failed,warning,infeasible,,False,True,optimal,ok,optimal,1207631550.5815547,PASS,True,65d99845c0e7acebd80d225661853bf213b0996ff385192d2ec71624b933ac54,344e5f7ef4d60ab5481501377ebb1aa8b3a4811441251440557189349409ef41
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,h10,9df6e29fd0d2aa554dfcb06291ede1de4c011c924035cfb932cde506cea0dd0d,optimal,ok,optimal,12319380.933872743,False,False,,,,,NOT_ATTEMPTED,,,e6fda5531f689b5d89a43138fa41c71920d549c58c0a3e40e724b01ce5ea18fd
