case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,h_V_tau,a_C,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_usage,Q_Water,F_Water,R_Water,Q_active_Water,F_active_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,Q_active_Vaccine,F_active_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,Q_active_Crackers,F_active_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256
E2A_VACCINE_H0,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,40cb4188da1a338f95de8a19361d896b5ac6143d9d7c89d6bf6bc0c12156660e,1ded1b633d42f1ae88a2b71b2f881c5901e506492bdb8af975ef764e80b7fde0,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,d8f82c098fce3bb814f1bdd982ba6c8aefcd9b90f12430a9752244e459d2bd03,3,2,2,debf7dc58e0101673bfbaed0761dae51696bb0311989a74ec82fb0560e481b76,P4,1217715138.4542887,1217715138.4542887,0.0,10083587.872734142,0.0,10083587.872734142,h09,5,Katrina,1207631550.5815547,9054317.982704338,1198577232.5988503,1787665625.6447635,94291718.4196229,1.0,0.0,18499196.389126413,R0,False,True,10400000.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,149223978.31402862,R0,False,True,83891718.4196229,1778108281.580377,94768f26a06b1dd9313d28b358081aa9dae11bcff714e19582c8b5f047a64b00
E2A_VACCINE_H0,LA-0061,61,cd7ba256524cb036f33013c1005baf2ca2bf23e5fdc7a9fa10871d5c2a2e0738,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,2eeae5bc3685f98d6233fc58f5ceec13abd21aaa6aeca5170530e64da4ec0553,daa8b3e265002fd5f2669fc635ced95e5886a2081d347fce6d27dbda1657aee8,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,2a5f2245303fa1e51378f78c2c1a8a658725b288ff5b2f5fa74e552144a38e5a,3,2,2,b6006f880a8b3eea3a25dd9d053e6f0621e8f6635ce65ae531f4d1bbbf4e3d7c,P4,1226637819.8279154,1226637819.8279154,0.0,6145056.466944706,0.0,6145056.466944706,h09,5,Katrina,1220492763.3609707,12992849.38849377,1207499913.972477,1811467059.0998073,70490284.96457921,1.0,0.0,18512709.00126394,R0,False,True,10400000.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,106964803.78387314,R0,False,True,60090284.96457921,1801909715.035421,1a3ebbaef5eea789daf077ff19c73d7796eeb308b1097aa3fc5e8907c2075d54
E2A_VACCINE_H0,LA-0062,62,0a8476101aed9a3c938c73fcf4aa585e93a174a4346c5bbb4dd77fc8e931e499,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,ed1eeae9f15c31bd00d33ff6e5e6cd5908d42a0b5426e0cfd3d2d9ffc87eea00,bf7ad3025570fa6cd1fd3916f0c218c0312a39580ede1ae7d74fe9f81fcb1ad9,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,ab1311061d0008437400cea500e87e9ae285f1e180ceb181145e5212a99d6a24,3,2,2,1728d01c0e5c7784e5e1266e6030f7240c8e50b09049bbf6b79a3cbd00ec4166,P4,1228827312.249072,1228827312.249072,0.0,2619591.143098095,0.0,2619591.143098095,h09,5,Katrina,1226207721.105974,16518314.712340381,1209689406.3936336,1817307574.5211596,64649769.5432268,0.9999999999999998,0.0,14171235.120877307,R0,False,True,10400000.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,73921753.79331498,R0,False,True,54249769.5432268,1807750230.4567733,67eaf7047f6230855b71f2b710cf6aaaae6a6a64d48267b00a52a26bc7c825d5
E2A_VACCINE_H0,LA-0065,65,d256eadfc4945b86a5b851692b96cf9234577168b1f35668db33d3fc2eb72510,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,4fc358ff47b0af910304980958cb5f609820f14bec65bf092ff979cff749df3f,f8c692d2c177de18a3914e5fcae2561b7b169c2e6ad922172677c41c58809fa6,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,de62793012ff327e1b1559e0be9955eb147e31322872938e089e6e3146e38af6,3,2,2,2f3d117aa14546a151d7239de149c8486de87c68d35c5aaea1f2ed050ba370ad,P4,1218379459.6228788,1218379459.6228788,0.0,1516456.7292841289,0.0,1516456.7292841289,h09,5,Katrina,1216863002.8935947,17621449.12615435,1199241553.7674403,1789437715.829863,92519628.2345234,1.0,0.0,17962244.14754356,R0,False,True,10400000.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,141832001.1205789,R0,False,True,82119628.2345234,1779880371.7654767,f72812b6cdcdeeea8a22f41c6701bdf0c60e9529ec5c850394a53d8ccec03155
E2A_VACCINE_H0,LA-0080,80,767df1245d20d80741dfd4fbe80031014f35f4df4a9f845ee1a0c50bb9fc1ab8,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,8972e8eaa1d627d69f129b815bfaa3e5ff439b81bd8f0f0031471cd1e6c908a5,dde24ec2378867c80a11582d44c0b3baa1509fba4e822b7fa01e4c63cde42de7,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,c62d35e2374bdacca523cde053638e311852dd11b7caa4d2239f8bbb78f53e5b,3,2,2,df9bcfcb8daa742512fe490483a0e94fb5f2855c5c2bd24d0c778843b171ee46,P4,1216604114.493364,1216604114.493364,0.0,2243911.3290007543,0.0,2243911.3290007543,h09,5,Katrina,1214360203.1643634,16893994.526437722,1197466208.6379256,1784701946.7050376,97255397.35934877,1.0,0.0,14504733.025962869,R0,False,True,10400000.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,121135995.24627636,R0,False,True,86855397.35934877,1775144602.6406512,798272a8f0bb8bbf886fffccbb6fe19b39a0180fcd5aad614659a60a3f7d3fa6
E2A_VACCINE_H0,LA-0116,116,eee7d7cadd2df98a957bcce527a651580363520b9b2911b3872414e22cc8b5f2,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,afc7895e6cded111eebc4d5f5d7a405e46e81d11dd84d5ba40f6165b61522d49,5955b877bce9f1e716c74ea464314d3d820806deb483f15e8a3f0e24067b2dfa,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,3fd63d419fc98514a229d11511698e48ec0475a5c2ab597d70b8767c674e1048,3,2,2,bf8d63836de2f00c7190e8cfcd1261267617358e6f46e46063410504bd8970c5,P4,1221474629.6792777,1221474629.6792777,0.0,4083221.0371552575,0.0,4083221.0371552575,h09,5,Katrina,1217391408.6421225,15054684.818283219,1202336723.8238392,1797694144.7041662,84263199.36022015,1.0,0.0,17166592.3313989,R0,False,True,10400000.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,121921099.20285995,R0,False,True,73863199.36022015,1788136800.6397798,0af2ebe09525795c68ad615edc1c2b2a3fae2d070171a0301a91dc9ca7e3718d
E2A_VACCINE_H0,LA-0186,186,ad1879d20a25fa7fb3a6a0748ebcb2db03bb2ffdfd6666f96c0b3d44fc01510f,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,3d7cf6959c2007f04db78495503c925b2d3c8d69217639cb191e631b1d1314de,f1db7ee17dae4a3fc055f14b73ec095ced6aa5832fc7c02e756c99a61ffe74b8,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,2ed574007105847c921efdaa3ec320f5311bf937f886b75c3a6152803bc8af08,3,2,2,5de06b8de0045c4bf5674f713ef6d340b0a63d91b36164df3e10ad6412110c30,P4,1212113917.0119002,1212113917.0119002,0.0,8143959.383954534,0.0,8143959.383954534,h09,5,Katrina,1203969957.6279457,10993946.471483946,1192976011.1564617,1772724253.8927667,109233090.17161986,1.0,0.0,16119467.118262904,R0,False,True,10400000.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,153186225.69401336,R0,False,True,98833090.17161986,1763166909.8283803,d0679a6bc8e703071ec9fdd16bdd1c877414b4d11248c639efc2258ea3f443c2
E2A_VACCINE_H0,LA-0208,208,86f8dee9613183fc59f97a4e65221bcd624a99be001735564d47f13ecd95937f,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,8fc03321f0369b596a83d88537fef376c0d60de42fc18fee5b35312acb700aec,dec12963c7a12301e3f98b03d002fe2ada265a57f4a46e74e6882f26ca6dc659,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,dfa3985df3236d2aa57e9ccf5fa2b74cc602e0413f8de0a75c9e6be422e94839,3,2,2,8ef998eca072c5e4eee8836e9dcc2c124906f3777c2df4f886100b99acf09bee,P4,1231354511.2649283,1231354511.2649283,0.0,4083776.044720443,0.0,4083776.044720443,h09,5,Katrina,1227270735.220208,15054129.810718033,1212216605.4094899,1824048929.1302514,57908414.93413485,1.0,0.0,12983934.471336452,R0,False,True,10400000.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,59312129.45594894,R0,False,True,47508414.93413485,1814491585.065865,15d5f73cbb2d5ba95c6c97d0e3191281d93955444d2832464f6648e2001aace9
E2A_VACCINE_H0,LA-0252,252,ebcbb6754023d7b2880c4a4e4a2478d6a78d4c0fd647ff136422e5364d6081e5,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,0c2771f767b204fae7a1a35abf6dc4ab099611102f881634330a5d7eef6c3ed6,d3935446eb21e80a26e4b282c034d729f1fabaf5abceb87399c5323b62aaed73,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,efd8d7077b5a8ba1fdd2d72916f0219b17511cdd92681afc37be9f8d717fa8aa,3,2,2,bf8101e555644459c429bb2154c14d1181139dbba5d2c404f962fb508397eec2,P4,1203460748.8822446,1203460748.8822446,0.0,7391994.292550104,0.0,7391994.292550104,h09,5,Katrina,1196068754.5896945,11745911.562888376,1184322843.026806,1749641752.4799,132315591.58448654,1.0,0.0,17308021.26246605,R0,False,True,10400000.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,202895928.01638657,R0,False,True,121915591.58448654,1740084408.4155135,41ed96dc27cbcf9dc386089fa5d0f6dd6dddec031878de1e8be101d52285e556
E2A_VACCINE_H0,LA-0256,256,5128bcece17cb3a18b6cd3de9cea9319781eb35b13a59ecbc186a3a22e80cc55,M2,A1_FINAL_NO_MEMORY_V1,certified,PASS,,,5a4856586748d9fad4753462644b288fa0337dde48fcce2ad3180de56000c914,110e320160b5bb4c3a9972fe66a48bc18516e9528acd5f80d53a19d24e371811,0.0,0.9,19137905.85543848,4.0,1.0,1.0,1.0,1.0,f713b21f1b5024ac59840c9fbab51a42dd312a6e1f97a0190f03f24e09e92dd4,3,2,2,0a5f21da19ce56b0740aca99a2ed1beb5277346de7e0b8cdba49e3baca751db0,P4,1218303519.779484,1218303519.779484,0.0,6816706.6182581,0.0,6816706.6182581,h09,5,Katrina,1211486813.161226,12321199.237180378,1199165613.9240456,1789235144.7580676,92722199.30631888,1.0,0.0,19456946.503895056,R0,False,True,10400000.0,0.0,0.0,0.0,NONE,False,False,0.0,9557344.06438629,0.0,154013329.61404163,R0,False,True,82322199.30631888,1779677800.6936812,53da16572fcd7bec19520e5137d2a64d71a57cfc4871821b0eb1d0e0e2efa060
