case_id,simulation_id,sample_index,input_sha256,source_first_stage_sha256,replay_first_stage_sha256,certified_status_invariant,first_stage_identity_invariant,policy_label_invariant,Q_F_R_invariant,objective_invariant,worst_scenario_invariant,all_categorical_scientific_fields_invariant,all_numeric_scientific_fields_invariant,certificate_valid,replay_result_sha256,comparison_sha256
E2A_VACCINE_H0,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,c1bf2d12345087483e8810ba083a451072c634573769a7025b893af9fcaeb8e3,c1bf2d12345087483e8810ba083a451072c634573769a7025b893af9fcaeb8e3,True,True,True,True,True,True,True,True,True,f8f0729bb556c9f09ca76afaec27ab6d8628037614dee54df0e165e79a0d6ca9,f2c5204599d77385c8258625b96944a65e5ada889246c44f3a24b65eedd27bed
E2A_VACCINE_H0,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,321312193512047b5f43fdd66b0dfb60b6240aa283d0863ada3e8ce69ced437d,321312193512047b5f43fdd66b0dfb60b6240aa283d0863ada3e8ce69ced437d,True,True,True,True,True,True,True,True,True,ca37763564c47dcb1e230f4a6707c197679bff9534822cdad9c00ca874eb6c56,59e8563fe50179c3c66f9af45f50437c06d0f68d2b27d3caaf5ec206128eefc3
E2A_VACCINE_H0,LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,32161bdb38493ea4b3e0fd0404f1a2ff8c1db9a883bda34c18ee7cab2b0ffce2,32161bdb38493ea4b3e0fd0404f1a2ff8c1db9a883bda34c18ee7cab2b0ffce2,True,True,True,True,True,True,True,True,True,6b0fc8c9fca5bfa2affb7c489879b846a1011395cf4e59dd0bc0a5ca04ce058a,52be5fcc1c9cb4fa387d93b5c4c372934c619b85a2fad478b39a80c8fc988b11
E2A_VACCINE_H0,LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,7ecb2e4b775e3210fffaaf9eb0a41604b45ac964323ba9da30d5593cbb921dd7,7ecb2e4b775e3210fffaaf9eb0a41604b45ac964323ba9da30d5593cbb921dd7,True,True,True,True,True,True,True,True,True,86c2582a7c58163de358a55094c20f612d26727b6dcf18f3ee182ac23bf3a06e,6a884e8a233afe694b08e7c7b793a8032ceb811328a2489550f936ef4722098a
E2A_VACCINE_H0,LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,c7932f95fbaf13554c80135f890c5bb2cfadb34aa3ac2e262a0f7abcb8132380,c7932f95fbaf13554c80135f890c5bb2cfadb34aa3ac2e262a0f7abcb8132380,True,True,True,True,True,True,True,True,True,ec4b51c111eed7e41a34774bda77a58ea1281e1891763ffd69d5bac22a5c292a,b583c620a534422f8c2ff0209a1d98b4eaffe271e9656994ae2dc1b29e75742d
E2A_VACCINE_H0,LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,629e20ffe8a7dad7bad59f1fabf3286bd76361a1a5851c2873f16420ad06ccc4,629e20ffe8a7dad7bad59f1fabf3286bd76361a1a5851c2873f16420ad06ccc4,True,True,True,True,True,True,True,True,True,9260b4a62bcd7b514ece5358fdb353f0e146ce1d348b3efaa2f90bf2231e5511,0e88436101af9c30e950306b1067cb972c109f8f4ee896618f70142897a8e01d
E2A_VACCINE_H0,LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,276cca0b674cb6e48d623d2bd9be7a959514b59589648dcf6a49c9ceba96f19d,276cca0b674cb6e48d623d2bd9be7a959514b59589648dcf6a49c9ceba96f19d,True,True,True,True,True,True,True,True,True,4bb84891f59ccf90ffdc7ca4d677587d0a672b0a2ee6cf47cb05736a3ab3d49b,c108776a132f990592acc070dd43864512ba8c5bd8681c2b284a18c69c494041
E2A_VACCINE_H0,LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,dca784c6ac86213d3012693ee156583540668e4525bd5ecee485003bae31d074,dca784c6ac86213d3012693ee156583540668e4525bd5ecee485003bae31d074,True,True,True,True,True,True,True,True,True,10eb48d312bb343c5cecf0cf4a1bda9abafe6c2983b706d994858cbfde4b0fcd,6f6fb4b5f703f2ee3c8551cce8bea354af9d98eca59df28548e7e5828d117ff2
E2A_VACCINE_H0,LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,394be12c178146da11dc5de288f23934811121bb26751cbe8db7dfc069f423a3,394be12c178146da11dc5de288f23934811121bb26751cbe8db7dfc069f423a3,True,True,True,True,True,True,True,True,True,4a1aa563357082c7dfcd9c32038656288a7ab0ce2741724bd4fff14a4a4f49be,1559fe402efe20998705860a8bc4ad4775fbc3e9417cae94452d6b5dd4ecb3a0
E2A_VACCINE_H0,LA-0011,11,d7c35ed9597b3fc9d08acf7141e130141104dec6b562dd2d3db68bb24ebfce1d,9438aad99cb752509817d929cc926fbe008f975b62deeaad2ced863a6a902b67,9438aad99cb752509817d929cc926fbe008f975b62deeaad2ced863a6a902b67,True,True,True,True,True,True,True,True,True,26c25d60d4d19ddf7747f2130f4574163c5a87898ee59a0c0a7107a28442ab3f,5aa267b3f412a8492e4b9a0381ecaf6df6d83e1343eb4d968f17d665d5e517f4
