simulation_id,sample_index,input_sha256,B075_policy_label,B075_T_COST,B075_worst_total_shortage,B075_budget_usage,B075_portfolio_pattern,B075_C_Q,B075_C_F,B075_C_R,B075_worst_exercise_cost,B075_Q_Water,B075_F_Water,B075_R_Water,B075_worst_shortage_Water,B075_Q_Vaccine,B075_F_Vaccine,B075_R_Vaccine,B075_worst_shortage_Vaccine,B075_Q_Crackers,B075_F_Crackers,B075_R_Crackers,B075_worst_shortage_Crackers,B100_policy_label,B100_T_COST,B100_worst_total_shortage,B100_budget_usage,B100_portfolio_pattern,B100_C_Q,B100_C_F,B100_C_R,B100_worst_exercise_cost,B100_Q_Water,B100_F_Water,B100_R_Water,B100_worst_shortage_Water,B100_Q_Vaccine,B100_F_Vaccine,B100_R_Vaccine,B100_worst_shortage_Vaccine,B100_Q_Crackers,B100_F_Crackers,B100_R_Crackers,B100_worst_shortage_Crackers,B125_policy_label,B125_T_COST,B125_worst_total_shortage,B125_budget_usage,B125_portfolio_pattern,B125_C_Q,B125_C_F,B125_C_R,B125_worst_exercise_cost,B125_Q_Water,B125_F_Water,B125_R_Water,B125_worst_shortage_Water,B125_Q_Vaccine,B125_F_Vaccine,B125_R_Vaccine,B125_worst_shortage_Vaccine,B125_Q_Crackers,B125_F_Crackers,B125_R_Crackers,B125_worst_shortage_Crackers,policy_transition_B075_B100,delta_T_COST_B075_B100,delta_worst_total_shortage_B075_B100,R_transition_Water_B075_B100,R_transition_Vaccine_B075_B100,R_transition_Crackers_B075_B100,policy_transition_B100_B125,delta_T_COST_B100_B125,delta_worst_total_shortage_B100_B125,R_transition_Water_B100_B125,R_transition_Vaccine_B100_B125,R_transition_Crackers_B100_B125,policy_transition_B075_B125,delta_T_COST_B075_B125,delta_worst_total_shortage_B075_B125,R_transition_Water_B075_B125,R_transition_Vaccine_B075_B125,R_transition_Crackers_B075_B125,row_sha256
LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,P4,1161373276.2027397,1588660733.9789255,1.0,Q[NONE]|F[Crackers],0.0,73978.98998330852,0.0,14279450.40159555,0.0,0.0,NONE,10400000.0,0.0,0.0,NONE,9557344.06438629,0.0,380978923.84156376,R0,1568703389.914539,P4,1129507408.2703202,1552369717.1301227,1.0,Q[NONE]|F[Water+Crackers],0.0,98638.65331107801,0.0,19039267.2021274,0.0,13509125.819073599,R0,0.0,0.0,0.0,NONE,9557344.06438629,0.0,414610174.2448552,R0,1542812373.0657363,P4,1097641540.3379006,1454604180.434969,1.0,Q[NONE]|F[Water+Crackers],0.0,123298.31663884752,0.0,23799084.00265925,0.0,13509125.819073599,R0,0.0,0.0,0.0,NONE,9557344.06438629,0.0,541603148.8587098,R0,1445046836.3705826,P4->P4,-31865867.93241954,-36291016.848802805,NONE->R0,NONE->NONE,R0->R0,P4->P4,-31865867.93241954,-97765536.69515371,R0->R0,NONE->NONE,R0->R0,P4->P4,-63731735.86483908,-134056553.54395652,NONE->R0,NONE->NONE,R0->R0,e0a8bec71b70cf119f0bf16134282e926df451e2611ebc3d63bc58422cf21c8f
LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,P4,1227529073.8407161,1826607185.211257,1.0,Q[NONE]|F[Water+Crackers],0.0,7562690.904550606,0.0,6790738.487028252,0.0,18499196.389126413,R0,0.0,0.0,0.0,NONE,9557344.06438629,0.0,79955943.87946837,R0,1817049841.1468706,P4,1217715138.4542887,1787665625.6447635,1.0,Q[NONE]|F[Water+Crackers],0.0,10083587.872734142,0.0,9054317.982704338,0.0,18499196.389126413,R0,0.0,0.0,0.0,NONE,9557344.06438629,0.0,149223978.31402862,R0,1778108281.580377,P4,1207901203.0678613,1748724066.07827,1.0,Q[NONE]|F[Water+Crackers],0.0,12604484.840917677,0.0,11317897.47838042,0.0,18499196.389126413,R0,3.725290298461914e-09,0.0,0.0,NONE,9557344.06438629,0.0,218492012.74858883,R0,1739166722.0138836,P4->P4,-9813935.386427402,-38941559.56649351,R0->R0,NONE->NONE,R0->R0,P4->P4,-9813935.386427402,-38941559.56649351,R0->R0,NONE->NONE,R0->R0,P4->P4,-19627870.772854805,-77883119.13298702,R0->R0,NONE->NONE,R0->R0,e1a1f80d8157d94742f620741640eca3b40e5e0e439416993c8229757d7d5762
LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,P1,1229351206.775331,1871287352.999852,1.0000000000000002,Q[Water+Vaccine]|F[NONE],14353429.39157886,0.0,0.0,0.0,14045150.246489204,0.0,NONE,0.0,364621.64101885416,0.0,NONE,9287352.999851827,0.0,0.0,NONE,1862000000.0,P1,1220456158.4677374,1871041601.2613592,1.0,Q[Water+Vaccine]|F[NONE],19137905.85543848,0.0,0.0,0.0,14045150.246489204,0.0,NONE,0.0,696508.1881789276,0.0,NONE,9041601.261359207,0.0,0.0,NONE,1862000000.0,P1,1211561110.1601439,1870795849.5228665,1.0,Q[Water+Vaccine]|F[NONE],23922382.319298096,0.0,0.0,0.0,14045150.246489204,0.0,NONE,0.0,1028394.7353390008,0.0,NONE,8795849.522866588,0.0,0.0,NONE,1862000000.0,P1->P1,-8895048.307593584,-245751.73849272728,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,-8895048.307593584,-245751.73849272728,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,-17790096.615187168,-491503.47698545456,NONE->NONE,NONE->NONE,NONE->NONE,a54d8ee527d9a59f45174c7932356cf62543917612ed98c0eb3a38566f4d62df
LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,P4,1228902852.0878513,1768797246.6899571,1.0,Q[NONE]|F[Crackers],0.0,1862374.454302687,0.0,12491054.937276172,0.0,0.0,NONE,10400000.0,0.0,0.0,NONE,9557344.06438629,0.0,250146097.4457902,R0,1748839902.6255708,P4,1219546842.7838023,1731077214.2318141,1.0,Q[NONE]|F[Crackers],0.0,2483165.939070249,0.0,16654739.916368227,0.0,0.0,NONE,10400000.0,0.0,0.0,NONE,9557344.06438629,0.0,333528129.92772025,R0,1711119870.1674278,P4,1210190833.4797533,1880687179.706102,1.0,Q[NONE]|F[Vaccine],0.0,3103957.4238378117,0.0,20818424.895460285,0.0,0.0,NONE,10400000.0,0.0,2807762.318269074,R0,8287179.7061018795,0.0,0.0,NONE,1862000000.0,P4->P4,-9356009.304049015,-37720032.458142996,NONE->NONE,NONE->NONE,R0->R0,P4->P4,-9356009.304049015,149609965.47428775,NONE->NONE,NONE->R0,R0->NONE,P4->P4,-18712018.60809803,111889933.01614475,NONE->NONE,NONE->R0,R0->NONE,e09bca32351359fd1fae62e4db0992c0ef4a146e4e78899a4a8974027c8b39fb
LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,P1,1237710368.4117324,1871437524.774004,1.0,Q[Water+Vaccine]|F[NONE],14353429.391578859,0.0,0.0,0.0,17637799.914796602,0.0,NONE,0.0,203206.6028555146,0.0,NONE,9437524.774003908,0.0,0.0,NONE,1862000000.0,P1,1231601707.3162727,1871241830.293562,1.0,Q[Water+Vaccine]|F[NONE],19137905.85543848,0.0,0.0,0.0,17637799.914796602,0.0,NONE,0.0,535093.150015588,0.0,NONE,9241830.293561982,0.0,0.0,NONE,1862000000.0,P1,1225493046.220813,1871046135.8131201,0.9999999999999962,Q[Water+Vaccine]|F[NONE],23922382.319298007,0.0,0.0,0.0,17637799.914796602,0.0,NONE,0.0,866979.6971756552,0.0,NONE,9046135.81312006,0.0,0.0,NONE,1862000000.0,P1->P1,-6108661.0954597,-195694.48044204712,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,-6108661.0954597,-195694.4804418087,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,-12217322.1909194,-391388.9608838558,NONE->NONE,NONE->NONE,NONE->NONE,2406d42ba6f6e860d6c57c266496e599d869cc7939142f7652553974d64f40ba
LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,P4,1235250896.6165588,1881309287.6405752,1.0000000000000002,Q[NONE]|F[Vaccine],0.0,3891454.2938497444,1800695.5161225186,8661279.581606597,0.0,0.0,NONE,10400000.0,0.0,697045.9441415343,R2,8909287.640575236,0.0,0.0,NONE,1862000000.0,P4,1228010902.1554124,1753655264.1987638,1.0,Q[NONE]|F[Crackers],0.0,5188605.725132992,2400927.354830025,11548372.775475461,0.0,0.0,NONE,10400000.0,0.0,0.0,NONE,9557344.06438629,0.0,138001015.2037785,R2,1733697920.1343775,P4,1220770907.6942658,1721579744.232358,1.0,Q[NONE]|F[Crackers],0.0,6485757.156416239,3001159.193537531,14435465.969344325,0.0,0.0,NONE,10400000.0,0.0,0.0,NONE,9557344.06438629,0.0,172501269.0047231,R2,1701622400.1679716,P4->P4,-7239994.461146355,-127654023.44181132,NONE->NONE,R2->NONE,NONE->R2,P4->P4,-7239994.461146593,-32075519.96640587,NONE->NONE,NONE->NONE,R2->R2,P4->P4,-14479988.922292948,-159729543.4082172,NONE->NONE,R2->NONE,NONE->R2,229eefed0c5bc2004901a8d638bd1a33292bd37da5ecf739b202a589b8e8e115
LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,P4,1232319035.4804735,1777909985.1465888,1.0,Q[NONE]|F[Crackers],0.0,1153295.761029871,0.0,13200133.630548988,0.0,0.0,NONE,10400000.0,0.0,0.0,NONE,9557344.06438629,0.0,221630307.8204229,R0,1757952641.0822024,P4,1224101753.973965,1743227532.1739895,1.0,Q[NONE]|F[Crackers],0.0,1537727.6813731613,0.0,17600178.174065318,0.0,0.0,NONE,10400000.0,0.0,0.0,NONE,9557344.06438629,0.0,295507077.09389716,R0,1723270188.1096032,P4,1215884472.4674568,1708545079.2013903,1.0,Q[NONE]|F[Crackers],0.0,1922159.6017164513,0.0,22000222.717581645,0.0,0.0,NONE,10400000.0,0.0,0.0,NONE,9557344.06438629,0.0,369383846.36737144,R0,1688587735.137004,P4->P4,-8217281.506508589,-34682452.97259927,NONE->NONE,NONE->NONE,R0->R0,P4->P4,-8217281.506508112,-34682452.97259927,NONE->NONE,NONE->NONE,R0->R0,P4->P4,-16434563.0130167,-69364905.94519854,NONE->NONE,NONE->NONE,R0->R0,14adbb0a4501634a33c78e8511321c5ade3605fecb0155a069fa6775450aeabb
LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,P1,1239694850.352936,1871473175.8580296,1.0,Q[Water+Vaccine]|F[NONE],14353429.391578859,0.0,0.0,0.0,18778115.09301475,0.0,NONE,0.0,151973.102513402,0.0,NONE,9473175.858029556,0.0,0.0,NONE,1862000000.0,P1,1234247683.2378776,1871289365.0722628,0.9999999999999974,Q[Water+Vaccine]|F[NONE],19137905.85543843,0.0,0.0,0.0,18778115.09301475,0.0,NONE,0.0,483859.6496734721,0.0,NONE,9289365.072262846,0.0,0.0,NONE,1862000000.0,P1,1228800516.122819,1871105554.2864962,1.0,Q[Water+Vaccine]|F[NONE],23922382.319298096,0.0,0.0,0.0,18778115.09301475,0.0,NONE,0.0,815746.1968335488,0.0,NONE,9105554.286496134,0.0,0.0,NONE,1862000000.0,P1->P1,-5447167.115058422,-183810.78576683998,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,-5447167.1150586605,-183810.78576660156,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,-10894334.230117083,-367621.57153344154,NONE->NONE,NONE->NONE,NONE->NONE,89ec372d296d71db3d1e8382c542c49ecf887e6a80dc05022e1dd64fc92da9f0
LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,P1,1237909004.321971,1871441093.2547138,1.0,Q[Water+Vaccine]|F[NONE],14353429.391578859,0.0,0.0,0.0,17745663.72808323,0.0,NONE,0.0,198360.36313119793,0.0,NONE,9441093.254713854,0.0,0.0,NONE,1862000000.0,P1,1231866555.1965904,1871246588.2678418,1.0,Q[Water+Vaccine]|F[NONE],19137905.85543848,0.0,0.0,0.0,17745663.72808323,0.0,NONE,0.0,530246.9102912714,0.0,NONE,9246588.26784191,0.0,0.0,NONE,1862000000.0,P1,1225824106.0712101,1871052083.2809699,1.0,Q[Water+Vaccine]|F[NONE],23922382.319298096,0.0,0.0,0.0,17745663.72808323,0.0,NONE,0.0,862133.4574513448,0.0,NONE,9052083.280969964,0.0,0.0,NONE,1862000000.0,P1->P1,-6042449.125380516,-194504.98687195778,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,-6042449.125380278,-194504.98687195778,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,-12084898.250760794,-389009.97374391556,NONE->NONE,NONE->NONE,NONE->NONE,75650404ede36f0864773f0f2468b71e24aedc7a3a174383ef06bd8dc3eb2e04
LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,P4,1226868197.8980699,1871242745.9130945,1.0,Q[NONE]|F[Water+Vaccine],0.0,4038748.875598261,0.0,10314680.515980598,0.0,13263910.884596925,R0,0.0,0.0,401230.94646091515,R0,9242745.91309448,0.0,0.0,NONE,1862000000.0,P4,1216833970.5307605,1880573780.3341582,1.0,Q[NONE]|F[Water+Vaccine],0.0,5384998.5007976815,0.0,13752907.354640797,0.0,426298.26574119116,R0,10065747.003106233,0.0,1338265.7747305832,R0,8508033.331051925,0.0,0.0,NONE,1862000000.0,P4,1206799743.163451,1684311379.6068385,1.0,Q[NONE]|F[Crackers],0.0,6731248.125997101,0.0,17191134.193300996,0.0,0.0,NONE,10400000.0,0.0,0.0,NONE,9557344.06438629,0.0,252072928.775493,R0,1664354035.542452,P4->P4,-10034227.367309332,9331034.421063662,R0->R0,R0->R0,NONE->NONE,P4->P4,-10034227.36730957,-196262400.72731972,R0->NONE,R0->NONE,NONE->R0,P4->P4,-20068454.734618902,-186931366.30625606,R0->NONE,R0->NONE,NONE->R0,244c39db9d411492cf0931cdc27cf77539dacdde334bf6bc772493c65198f6a4
