comparison,commodity,from,to,count
B075_to_B100,Water,NONE,NONE,503
B075_to_B100,Water,NONE,R0,180
B075_to_B100,Water,NONE,R1,3
B075_to_B100,Water,NONE,R2,5
B075_to_B100,Water,R0,NONE,123
B075_to_B100,Water,R0,R0,163
B075_to_B100,Water,R1,NONE,12
B075_to_B100,Water,R1,R1,2
B075_to_B100,Water,R2,NONE,6
B075_to_B100,Water,R2,R2,3
B075_to_B100,Vaccine,NONE,NONE,651
B075_to_B100,Vaccine,NONE,R0,116
B075_to_B100,Vaccine,NONE,R1,14
B075_to_B100,Vaccine,NONE,R2,4
B075_to_B100,Vaccine,R0,NONE,96
B075_to_B100,Vaccine,R0,R0,42
B075_to_B100,Vaccine,R1,NONE,15
B075_to_B100,Vaccine,R1,R1,35
B075_to_B100,Vaccine,R2,NONE,13
B075_to_B100,Vaccine,R2,R2,14
B075_to_B100,Crackers,NONE,NONE,299
B075_to_B100,Crackers,NONE,R0,97
B075_to_B100,Crackers,NONE,R1,15
B075_to_B100,Crackers,NONE,R2,15
B075_to_B100,Crackers,R0,NONE,106
B075_to_B100,Crackers,R0,R0,425
B075_to_B100,Crackers,R1,NONE,14
B075_to_B100,Crackers,R1,R1,17
B075_to_B100,Crackers,R2,NONE,2
B075_to_B100,Crackers,R2,R2,10
B100_to_B125,Water,NONE,NONE,485
B100_to_B125,Water,NONE,R0,152
B100_to_B125,Water,NONE,R1,1
B100_to_B125,Water,NONE,R2,6
B100_to_B125,Water,R0,NONE,129
B100_to_B125,Water,R0,R0,214
B100_to_B125,Water,R1,NONE,5
B100_to_B125,Water,R2,NONE,5
B100_to_B125,Water,R2,R2,3
B100_to_B125,Vaccine,NONE,NONE,633
B100_to_B125,Vaccine,NONE,R0,119
B100_to_B125,Vaccine,NONE,R1,13
B100_to_B125,Vaccine,NONE,R2,10
B100_to_B125,Vaccine,R0,NONE,105
B100_to_B125,Vaccine,R0,R0,53
B100_to_B125,Vaccine,R1,NONE,21
B100_to_B125,Vaccine,R1,R1,28
B100_to_B125,Vaccine,R2,NONE,6
B100_to_B125,Vaccine,R2,R2,12
B100_to_B125,Crackers,NONE,NONE,297
B100_to_B125,Crackers,NONE,R0,97
B100_to_B125,Crackers,NONE,R1,21
B100_to_B125,Crackers,NONE,R2,6
B100_to_B125,Crackers,R0,NONE,111
B100_to_B125,Crackers,R0,R0,411
B100_to_B125,Crackers,R1,NONE,13
B100_to_B125,Crackers,R1,R1,19
B100_to_B125,Crackers,R2,NONE,10
B100_to_B125,Crackers,R2,R2,15
B075_to_B125,Water,NONE,NONE,488
B075_to_B125,Water,NONE,R0,195
B075_to_B125,Water,NONE,R1,1
B075_to_B125,Water,NONE,R2,7
B075_to_B125,Water,R0,NONE,115
B075_to_B125,Water,R0,R0,171
B075_to_B125,Water,R1,NONE,14
B075_to_B125,Water,R2,NONE,7
B075_to_B125,Water,R2,R2,2
B075_to_B125,Vaccine,NONE,NONE,631
B075_to_B125,Vaccine,NONE,R0,137
B075_to_B125,Vaccine,NONE,R1,11
B075_to_B125,Vaccine,NONE,R2,6
B075_to_B125,Vaccine,R0,NONE,103
B075_to_B125,Vaccine,R0,R0,35
B075_to_B125,Vaccine,R1,NONE,20
B075_to_B125,Vaccine,R1,R1,30
B075_to_B125,Vaccine,R2,NONE,11
B075_to_B125,Vaccine,R2,R2,16
B075_to_B125,Crackers,NONE,NONE,289
B075_to_B125,Crackers,NONE,R0,104
B075_to_B125,Crackers,NONE,R1,20
B075_to_B125,Crackers,NONE,R2,13
B075_to_B125,Crackers,R0,NONE,127
B075_to_B125,Crackers,R0,R0,404
B075_to_B125,Crackers,R1,NONE,11
B075_to_B125,Crackers,R1,R1,20
B075_to_B125,Crackers,R2,NONE,4
B075_to_B125,Crackers,R2,R2,8
