metric,metric_quintile,F_exposure_quintile,N,R0_count,R1_count,R2_count,R0_share,R1_share,R2_share
A_R2,1,1,47,30,17,0,0.6382978723404256,0.3617021276595745,0.0
A_R2,1,2,48,44,4,0,0.9166666666666666,0.08333333333333333,0.0
A_R2,1,3,41,39,2,0,0.9512195121951219,0.04878048780487805,0.0
A_R2,1,4,50,42,8,0,0.84,0.16,0.0
A_R2,1,5,46,38,8,0,0.8260869565217391,0.17391304347826086,0.0
A_R2,2,1,47,32,15,0,0.6808510638297872,0.3191489361702128,0.0
A_R2,2,2,37,35,2,0,0.9459459459459459,0.05405405405405406,0.0
A_R2,2,3,42,40,2,0,0.9523809523809523,0.047619047619047616,0.0
A_R2,2,4,53,49,4,0,0.9245283018867925,0.07547169811320754,0.0
A_R2,2,5,53,46,7,0,0.8679245283018868,0.1320754716981132,0.0
A_R2,3,1,35,27,7,1,0.7714285714285715,0.2,0.02857142857142857
A_R2,3,2,54,52,2,0,0.9629629629629629,0.037037037037037035,0.0
A_R2,3,3,50,49,1,0,0.98,0.02,0.0
A_R2,3,4,45,43,0,2,0.9555555555555556,0.0,0.044444444444444446
A_R2,3,5,48,46,1,1,0.9583333333333334,0.020833333333333332,0.020833333333333332
A_R2,4,1,45,37,4,4,0.8222222222222222,0.08888888888888889,0.08888888888888889
A_R2,4,2,47,44,2,1,0.9361702127659575,0.0425531914893617,0.02127659574468085
A_R2,4,3,49,47,0,2,0.9591836734693877,0.0,0.04081632653061224
A_R2,4,4,45,44,0,1,0.9777777777777777,0.0,0.022222222222222223
A_R2,4,5,46,45,0,1,0.9782608695652174,0.0,0.021739130434782608
A_R2,5,1,58,45,0,13,0.7758620689655172,0.0,0.22413793103448276
A_R2,5,2,46,42,0,4,0.9130434782608695,0.0,0.08695652173913043
A_R2,5,3,50,45,0,5,0.9,0.0,0.1
A_R2,5,4,39,30,0,9,0.7692307692307693,0.0,0.23076923076923078
A_R2,5,5,39,32,0,7,0.8205128205128205,0.0,0.1794871794871795
