analysis,metric,scope,N,effect_size,comparison,N_lower,N_upper,AUC_upper_gt_lower,rank_biserial,ordering_violation_fraction
spearman_with_R_ordinal,A_R1,ALL_ACTIVE_ITEM_OBSERVATIONS,1160,0.27043710223618644,,,,,,
spearman_with_R_ordinal,A_R2,ALL_ACTIVE_ITEM_OBSERVATIONS,1160,-0.009767379912732656,,,,,,
spearman_with_R_ordinal,F_quantity,ALL_ACTIVE_ITEM_OBSERVATIONS,1160,-0.17074717718637417,,,,,,
spearman_with_R_ordinal,F_exposure,ALL_ACTIVE_ITEM_OBSERVATIONS,1160,-0.09614437806393011,,,,,,
spearman_with_R_ordinal,rho_F_severity_score,ALL_ACTIVE_ITEM_OBSERVATIONS,1160,0.28828713280989915,,,,,,
spearman_with_R_ordinal,phi,ALL_ACTIVE_ITEM_OBSERVATIONS,1160,0.31790809063070385,,,,,,
spearman_with_R_ordinal,psi,ALL_ACTIVE_ITEM_OBSERVATIONS,1160,-0.04557673619298076,,,,,,
rank_biserial,A_R1,ALL_ACTIVE_ITEM_OBSERVATIONS,,,R0_vs_R1plus,1023,137,0.7562486175624862,0.5124972351249724,0.24375138243751382
rank_biserial,F_exposure,ALL_ACTIVE_ITEM_OBSERVATIONS,,,R0_vs_R1plus,1023,137,0.4115632425027292,-0.17687351499454163,0.5884367574972709
rank_biserial,F_quantity,ALL_ACTIVE_ITEM_OBSERVATIONS,,,R0_vs_R1plus,1023,137,0.3465262466910689,-0.3069475066178622,0.6534737533089311
rank_biserial,A_R2,ALL_ACTIVE_ITEM_OBSERVATIONS,,,R1_vs_R2,86,51,0.9858641130870953,0.9717282261741906,0.014135886912904683
rank_biserial,F_exposure,ALL_ACTIVE_ITEM_OBSERVATIONS,,,R1_vs_R2,86,51,0.5287277701778386,0.057455540355677126,0.47127222982216144
rank_biserial,F_quantity,ALL_ACTIVE_ITEM_OBSERVATIONS,,,R1_vs_R2,86,51,0.466484268125855,-0.06703146374829005,0.533515731874145
spearman_with_R_ordinal,A_R1,Water,356,0.08241001614539892,,,,,,
spearman_with_R_ordinal,A_R2,Water,356,0.07892882506995884,,,,,,
spearman_with_R_ordinal,F_quantity,Water,356,-0.16779455577261046,,,,,,
spearman_with_R_ordinal,F_exposure,Water,356,0.04702063529842287,,,,,,
spearman_with_R_ordinal,rho_F_severity_score,Water,356,0.1697254586051906,,,,,,
spearman_with_R_ordinal,phi,Water,356,0.2242482939510966,,,,,,
spearman_with_R_ordinal,psi,Water,356,0.10219378955085069,,,,,,
rank_biserial,A_R1,Water,,,R0_vs_R1plus,343,13,0.6313074680421619,0.26261493608432374,0.36869253195783813
rank_biserial,F_exposure,Water,,,R0_vs_R1plus,343,13,0.5716528369589594,0.14330567391791882,0.4283471630410406
rank_biserial,F_quantity,Water,,,R0_vs_R1plus,343,13,0.24377663153173357,-0.5124467369365329,0.7562233684682664
rank_biserial,A_R2,Water,,,R1_vs_R2,5,8,1.0,1.0,0.0
rank_biserial,F_exposure,Water,,,R1_vs_R2,5,8,0.625,0.25,0.375
rank_biserial,F_quantity,Water,,,R1_vs_R2,5,8,0.125,-0.75,0.875
spearman_with_R_ordinal,A_R1,Vaccine,225,0.43015176982424846,,,,,,
spearman_with_R_ordinal,A_R2,Vaccine,225,-0.07517059126615155,,,,,,
spearman_with_R_ordinal,F_quantity,Vaccine,225,-0.2699311477532209,,,,,,
spearman_with_R_ordinal,F_exposure,Vaccine,225,0.08959360068450213,,,,,,
spearman_with_R_ordinal,rho_F_severity_score,Vaccine,225,0.475281322934578,,,,,,
spearman_with_R_ordinal,phi,Vaccine,225,0.39167070242557545,,,,,,
spearman_with_R_ordinal,psi,Vaccine,225,-0.08141504350817681,,,,,,
rank_biserial,A_R1,Vaccine,,,R0_vs_R1plus,158,67,0.8085206877007368,0.6170413754014736,0.19147931229926318
rank_biserial,F_exposure,Vaccine,,,R0_vs_R1plus,158,67,0.5764216890232382,0.1528433780464764,0.4235783109767618
rank_biserial,F_quantity,Vaccine,,,R0_vs_R1plus,158,67,0.3560362743245796,-0.28792745135084075,0.6439637256754204
rank_biserial,A_R2,Vaccine,,,R1_vs_R2,49,18,0.9841269841269841,0.9682539682539681,0.015873015873015928
rank_biserial,F_exposure,Vaccine,,,R1_vs_R2,49,18,0.2108843537414966,-0.5782312925170068,0.7891156462585034
rank_biserial,F_quantity,Vaccine,,,R1_vs_R2,49,18,0.07482993197278912,-0.8503401360544218,0.9251700680272109
spearman_with_R_ordinal,A_R1,Crackers,579,0.20314662159385025,,,,,,
spearman_with_R_ordinal,A_R2,Crackers,579,0.01037789629927743,,,,,,
spearman_with_R_ordinal,F_quantity,Crackers,579,-0.15341696584267703,,,,,,
spearman_with_R_ordinal,F_exposure,Crackers,579,0.03192613950503143,,,,,,
spearman_with_R_ordinal,rho_F_severity_score,Crackers,579,0.2512787529177217,,,,,,
spearman_with_R_ordinal,phi,Crackers,579,0.35715616053514626,,,,,,
spearman_with_R_ordinal,psi,Crackers,579,-0.07355935025585064,,,,,,
rank_biserial,A_R1,Crackers,,,R0_vs_R1plus,522,57,0.7096860926262015,0.41937218525240305,0.2903139073737985
rank_biserial,F_exposure,Crackers,,,R0_vs_R1plus,522,57,0.5319284802043422,0.0638569604086845,0.46807151979565775
rank_biserial,F_quantity,Crackers,,,R0_vs_R1plus,522,57,0.35494387309269343,-0.29011225381461314,0.6450561269073065
rank_biserial,A_R2,Crackers,,,R1_vs_R2,32,25,0.9975,0.9950000000000001,0.0024999999999999467
rank_biserial,F_exposure,Crackers,,,R1_vs_R2,32,25,0.45625,-0.08750000000000002,0.54375
rank_biserial,F_quantity,Crackers,,,R1_vs_R2,32,25,0.29125,-0.4175,0.70875
