case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,implementation_revision,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,budget_ratio,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,h_V_tau,a_C,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,mixed_aggregate_QF,same_item_QF_coexistence,cross_item_specialization,portfolio_pattern,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_spend,budget_residual,budget_usage,Q_budget_share,F_reservation_budget_share,R_budget_share,emergency_budget_share,Q_Water,F_Water,R_Water,z_R0_Water,z_R1_Water,z_R2_Water,Q_active_Water,F_active_Water,same_item_QF_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,z_R0_Vaccine,z_R1_Vaccine,z_R2_Vaccine,Q_active_Vaccine,F_active_Vaccine,same_item_QF_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,z_R0_Crackers,z_R1_Crackers,z_R2_Crackers,Q_active_Crackers,F_active_Crackers,same_item_QF_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256,experiment_part,C_Q_Water,C_F_Water,C_R_Water,weighted_shortage_loss_Water,C_Q_Vaccine,C_F_Vaccine,C_R_Vaccine,weighted_shortage_loss_Vaccine,C_Q_Crackers,C_F_Crackers,C_R_Crackers,weighted_shortage_loss_Crackers
E2D_LAMBDA_WATER,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,bb4a87f2387fd0ea07a75a1a930fffed9178265ec46f263a2e6eff0e93c587bd,e9923c8deda5bc80d34c2dd7d6f9010a393422b552344b0644dc26ca6f591a9c,1.0,19137905.85543848,4.0,1.5,1.0,1.0,1.0,0.5,0.9,854e6c219e2ab2b720320d62964845e8e917076fb82eee8afcd5f227b204e999,3,2,2,6784287ad9824ec399d44624fd6023d4ea3f47f71c86305330e686d05ffc6a5b,P4,False,False,False,Q[NONE]|F[Water+Crackers],1129507408.2703202,1129507408.2703202,0.0,98638.65331107801,0.0,98638.65331107801,h09,5,Katrina,1129408769.6170092,19039267.2021274,1110369502.4148817,1552369717.1301227,329587626.93426377,19137905.85543848,0.0,1.0,0.0,0.005154098575683377,0.0,0.9948459014243166,0.0,13509125.819073599,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,414610174.2448552,R0,1,0,0,False,True,False,319187626.93426377,1542812373.0657363,512a68b5344512d0a91218c98ab01bd4a918a6b2416c9e454bfc505a90b155e4,D2,0.0,18129.102761259215,0.0,0.0,0.0,0.0,0.0,531999999.99999845,0.0,80509.5505498188,0.0,578369502.4148833
E2D_LAMBDA_WATER,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,a2df24a56d51324b1036d93be8dcfd3c148cbcae319b04ed4de486481eb1ae59,1ded1b633d42f1ae88a2b71b2f881c5901e506492bdb8af975ef764e80b7fde0,1.0,19137905.85543848,4.0,1.5,1.0,1.0,1.0,0.5,0.9,e5dd67d2916b23be821decfd4e4bf7fc99475a45c9e7880deca69ef1cdd2804f,3,2,2,ac47eeed60d628b5e945d3c0350b6aa8dfb66aac79f0cf6b6a28d476f6e6870b,P4,False,False,False,Q[NONE]|F[Water+Crackers],1217715138.4542887,1217715138.4542887,0.0,10083587.872734142,0.0,10083587.872734142,h09,5,Katrina,1207631550.5815547,9054317.982704336,1198577232.5988503,1787665625.6447635,94291718.41962287,19137905.85543848,0.0,1.0,0.0,0.5268908703440328,0.0,0.47310912965596713,0.0,18499196.389126413,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,149223978.31402862,R0,1,0,0,False,True,False,83891718.41962287,1778108281.580377,2e9512fdde7a583af4fe02d684aaf0b4ed875de2831ec4d2e5c32a0d105cc85c,D2,0.0,4652824.9301605625,0.0,0.0,0.0,0.0,0.0,531999999.99999845,0.0,5430762.94257358,0.0,666577232.5988518
E2D_LAMBDA_WATER,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,15b6d0abe985e7c53ff9c413c4401024b4aa2bea06001c93e49d376c09b0627a,317e375adf5a11bf0fe3533f3a0b6f7d7c2affc0fe9c859db6cc7aa7e4dce291,1.0,19137905.85543848,4.0,1.5,1.0,1.0,1.0,0.5,0.9,9281768dfd47cedde1b0349a3669d4843f7bea9d0b88ff475ddf63022de434e8,7,2,2,f923a485ffcbe2511f43fcc1c1e14b07ef4c6b77ef6f6b720e292a0071aa0b2b,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1220456158.4677374,1220456158.4677374,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1201318252.612299,0.0,1201318252.612299,1871041601.2613592,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,14045150.246489204,0.0,NONE,1,0,0,True,False,False,0.0,0.0,696508.1881789276,0.0,NONE,1,0,0,True,False,False,0.0,9041601.261359207,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,21b91ac3812eae1b14792eb413eaeb88eef24f18f404f76d6d0ca1e74f452f38,D2,9097043.814651059,0.0,0.0,0.0,10040862.040787421,0.0,0.0,503291692.6122989,0.0,0.0,0.0,698026560.0
E2D_LAMBDA_WATER,LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,3bc969f4b39c4730743adfd3a5b65167e0b457481442fb05da9ad11e309264f4,ada55aa7028a785a0045252d4368255222b8528119142809cb96bfecda114cee,1.0,19137905.85543848,4.0,1.5,1.0,1.0,1.0,0.5,0.9,8bb43355499f89c3a7bf7b3da6c974409295722cc93376d005d63bbe451e48e6,3,2,2,7b7ad54dc4ec224d60498bdf3b08d63f21afa0ec5004252794309aaa0835b351,P4,False,False,False,Q[NONE]|F[Water+Crackers],1219546842.7838023,1219546842.7838023,0.0,2483165.939070249,0.0,2483165.939070249,h09,5,Katrina,1217063676.844732,16654739.91636823,1200408936.9283638,1792551734.0781648,89405609.98622149,19137905.85543848,0.0,1.0,0.0,0.12975118374117198,0.0,0.870248816258828,0.0,22989724.0617264,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,-1.1364286647835752e-10,9557344.06438629,0.0,174645882.0107315,R0,1,0,0,False,True,False,79005609.98622149,1782994390.0137784,e455acce7c2cd95f96d68091a521cea1c49077520b96fe0db8bc60e7845b35f3,D2,0.0,1182901.6833928863,0.0,0.0,0.0,0.0,0.0,531999999.99999845,0.0,1300264.255677363,0.0,668408936.9283652
E2D_LAMBDA_WATER,LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,db706ef9d0c69c633098ddadda9ec625ba19f807d401944f0a7e500f2f66cdcc,0b3b06bb888b501c47d187b866593744e5e2b506461e28b0c686989eb0b18536,1.0,19137905.85543848,4.0,1.5,1.0,1.0,1.0,0.5,0.9,af30a7461c551df410e152cffd09367a225421319c2984486dbb11de343525cb,3,2,2,e1f3c330e938cac3f954f35f2bc00c3f2504547286cd6a1f940892e84635beb2,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1231601707.3162727,1231601707.3162727,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1212463801.4608343,0.0,1212463801.4608343,1871241830.293562,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,17637799.914796602,0.0,NONE,1,0,0,True,False,False,0.0,0.0,535093.150015588,0.0,NONE,1,0,0,True,False,False,0.0,9241830.293561982,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,9f6b12d797a62651c1e3a4605d93dcc743d9c1849f1eb5eea111430f2bd8e4d2,D2,11424003.00481376,0.0,0.0,0.0,7713902.850624718,0.0,0.0,514437241.4608342,0.0,0.0,0.0,698026560.0
E2D_LAMBDA_WATER,LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,1988622b92dca4f495cadd2def766c10d2796396cfc7d8195d3a718483aa775f,66fac1fa9b1c2d908709d7da62a70d5011d1a3de860ce746c14097a05dba78c6,1.0,19137905.85543848,4.0,1.5,1.0,1.0,1.0,0.5,0.9,1702906eb3e76f2209cddbda7f1a5ee3491c184eed5048fb3548014b87cde6d3,3,2,2,43d253d07a2e259b431c6af1df4ee8bd1fe8af4198b0f63373a2bb21b8fa3492,P4,False,False,False,Q[NONE]|F[Water+Vaccine],1228010902.1554124,1228010902.1554124,0.0,5188605.7251329925,2400927.3548300248,7589533.079963017,h09,5,Katrina,1220421369.0754495,11548372.775475461,1208872996.299974,1871177321.7213993,10780022.342986932,19137905.85543848,0.0,1.0,0.0,0.27111669188499693,0.1254540268389786,0.6034292812760245,0.0,11186183.104922896,R2,0,0,1,False,True,False,10400000.0,0.0,0.0,408749.95313592703,R2,0,0,1,False,True,False,380022.3429869326,9177321.721399358,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,0f2bdd092203ff57cafccf0c4e9df20f93ff676b1be44d13258fd42db6cd695c,D2,0.0,2906644.5809494904,1344993.7911771494,0.0,0.0,2281961.144183502,1055933.5636528754,510846436.29997385,0.0,0.0,0.0,698026560.0
E2D_LAMBDA_WATER,LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,8d09ff290e92ed54d1aea7234f6215e90b3f9c82a25a3ce667fc5c444a7cc8cd,8d986dbb5e7852f166b07023296fe6b051397c80c4cfe6f71f52ab5d149a420f,1.0,19137905.85543848,4.0,1.5,1.0,1.0,1.0,0.5,0.9,20bc73b3dfb8e2b02591f0e57e5da1e2ef60e41146544ea6d143ace9aada892f,3,2,2,6b9efc92e195fca11641b48f8317ee7043740a23d715a5987230014d87d6badb,P4,False,False,False,Q[NONE]|F[Water+Crackers],1224101753.973965,1224101753.973965,0.0,1537727.6813731613,0.0,1537727.6813731613,h09,5,Katrina,1222564026.2925918,17600178.174065318,1204963848.1185265,1804702052.0203404,77255292.044046,19137905.85543848,0.0,1.0,0.0,0.08034984041559491,0.0,0.9196501595844051,0.0,22152942.903177604,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,142407833.40644374,R0,1,0,0,False,True,False,66855292.044046,1795144707.955954,9aa7397fac72d0efb6ddda8d4293b945f93f71dad296288fe5c633db88973308,D2,0.0,796681.2413791573,0.0,0.0,0.0,0.0,0.0,531999999.99999845,0.0,741046.4399940039,0.0,672963848.118528
E2D_LAMBDA_WATER,LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,9f097cfe832c6a82fd8341af3e6e06e665d72ca1fa37060c975bc680d24734b7,d1e8240dca3ebd47a5dac04a043251a71fee898f3c213ace377a680db1ffe87a,1.0,19137905.85543848,4.0,1.5,1.0,1.0,1.0,0.5,0.9,b64198247bc4f206e6332b04334090b894b646361befd88fcee4f34cfc55f88b,3,2,2,f45b98d7600d5e2cedb93c5aaeaae515264e732a619c10aa35a0d326e43e1565,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1234247683.2378776,1234247683.2378776,19137905.85543843,0.0,0.0,19137905.85543843,h09,5,Katrina,1215109777.3824391,0.0,1215109777.3824391,1871289365.0722628,0.0,19137905.85543843,4.842877388000488e-08,0.9999999999999974,0.9999999999999974,0.0,0.0,0.0,18778115.09301475,0.0,NONE,0,0,1,True,False,False,0.0,0.0,483859.6496734721,0.0,NONE,1,0,0,True,False,False,0.0,9289365.072262846,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,d4decdc383d5075fb080da4992bd19a930f70118a8f71c8002d29bbc90db5cdc,D2,12162585.145745656,0.0,0.0,0.0,6975320.709692774,0.0,0.0,517083217.3824391,0.0,0.0,0.0,698026560.0
E2D_LAMBDA_WATER,LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,505f68df0e3fb3eb15f0a21a557fc092a21ebf3b06fc78ed88708291e08c2a7c,c624a018749efba578bd3b366f1a2c90f1956874c075c25c9f4d318fe98311a5,1.0,19137905.85543848,4.0,1.5,1.0,1.0,1.0,0.5,0.9,2bcc8eefba0648c009693194818c28dff9b0efa8302bba26e89612c588f48ee2,3,2,2,bf0ebf48e4b43d31e5e87c51bcf6ce3e4d5bd560c854941fcec08468ea98a93b,P1,False,False,False,Q[Water+Vaccine]|F[NONE],1231866555.1965904,1231866555.1965904,19137905.85543848,0.0,0.0,19137905.85543848,h09,5,Katrina,1212728649.341152,0.0,1212728649.341152,1871246588.2678418,0.0,19137905.85543848,0.0,1.0,1.0,0.0,0.0,0.0,17745663.72808323,0.0,NONE,1,0,0,True,False,False,0.0,0.0,530246.9102912714,0.0,NONE,0,1,0,True,False,False,0.0,9246588.26784191,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,59798a50f5b041f19d887047693a97f7d18e2ca591d885409e064320e580295a,D2,11493866.39667951,0.0,0.0,0.0,7644039.458758969,0.0,0.0,514702089.341152,0.0,0.0,0.0,698026560.0
E2D_LAMBDA_WATER,LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,6945713d59ae562d2065b75ac186448d78939350a56363fb3faa6f23758f2c7f,2cf6ef34d145697be4961db0aba478947fe26f91acbc974bb5ea676fdea569eb,1.0,19137905.85543848,4.0,1.5,1.0,1.0,1.0,0.5,0.9,b3a931afbdabee1876424a46e73ae7ba00c6efb93055cd9b40bc5994d282226d,3,2,2,0f3d0cabe5fe101703a809830446d2c22140de190ea3da97cc946e67397b5137,P4,False,False,False,Q[NONE]|F[Water+Vaccine],1216833970.5307605,1216833970.5307605,0.0,5384998.5007976815,0.0,5384998.5007976815,h09,5,Katrina,1211448972.0299628,13752907.354640797,1197696064.675322,1870976528.8997436,10980815.164642794,19137905.85543848,0.0,1.0,0.0,0.2813786702408409,0.0,0.7186213297591592,0.0,13263910.884596925,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,740757.7484850485,R0,1,0,0,False,True,False,580815.1646427936,8976528.899743496,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,8a52fb3d8a8b9728efa7f1ecbb6c14327f0f3737a034a03b48a89348b28f3327,D2,0.0,2447837.6188986455,0.0,0.0,0.0,2937160.8818990355,0.0,499669504.67532194,0.0,0.0,0.0,698026560.0
