level,commodity,Q_active,F_active,R_NONE,R_R0,R_R1,R_R2,mean_Q,median_Q,mean_F,median_F
BETA4_BASELINE,Water,241,356,644,343,5,8,3901529.4204973173,0.0,5681255.09450649,0.0
BETA4_BASELINE,Vaccine,208,225,775,158,49,18,125419.01551011347,0.0,363361.7604418588,0.0
BETA4_BASELINE,Crackers,0,579,421,522,32,25,0.0,0.0,124579026.56277582,90070132.39494194
BETA2,Water,231,277,723,268,4,5,3681735.3401980707,0.0,4572911.022659371,0.0
BETA2,Vaccine,196,179,821,110,50,19,120958.44191199356,0.0,271052.90218027873,0.0
BETA2,Crackers,0,605,395,558,30,17,0.0,0.0,142075676.67113236,130614622.49038304
BETA6,Water,241,359,641,354,3,2,3901529.4204973173,0.0,5545552.172122017,0.0
BETA6,Vaccine,208,265,735,157,69,39,125419.01551011347,0.0,379205.87090161134,0.0
BETA6,Crackers,0,549,451,532,13,4,0.0,0.0,123164260.68217942,71539357.69378805
LAMBDA_WATER,Water,241,759,241,642,77,40,3901529.4204973173,0.0,13368090.306997987,14429473.257553462
LAMBDA_WATER,Vaccine,208,274,726,190,55,29,125419.01551011347,0.0,269291.14420048497,0.0
LAMBDA_WATER,Crackers,0,519,481,478,27,14,0.0,0.0,85423281.02803631,61502456.5559881
LAMBDA_VACCINE,Water,0,0,1000,0,0,0,0.0,0.0,0.0,0.0
LAMBDA_VACCINE,Vaccine,208,792,208,668,81,43,276129.60723718104,0.0,1493271.0195585361,1491022.5467597751
LAMBDA_VACCINE,Crackers,0,0,1000,0,0,0,0.0,0.0,0.0,0.0
LAMBDA_CRACKERS,Water,0,0,1000,0,0,0,5.751567544329032e-12,0.0,0.0,0.0
LAMBDA_CRACKERS,Vaccine,0,0,1000,0,0,0,0.0,0.0,0.0,0.0
LAMBDA_CRACKERS,Crackers,146,854,146,714,88,52,29813639.083376206,0.0,234456484.1512303,225496720.1756762
