simulation_id,sample_index,input_sha256,BETA2_policy_label,BETA2_T_COST,BETA2_worst_total_shortage,BETA2_worst_shortage_penalty,BETA2_normalized_shortage_value,BETA2_budget_usage,BETA2_worst_scenario,BETA2_C_Q,BETA2_C_F,BETA2_C_R,BETA2_Q_Water,BETA2_F_Water,BETA2_R_Water,BETA2_worst_shortage_Water,BETA2_weighted_shortage_loss_Water,BETA2_Q_Vaccine,BETA2_F_Vaccine,BETA2_R_Vaccine,BETA2_worst_shortage_Vaccine,BETA2_weighted_shortage_loss_Vaccine,BETA2_Q_Crackers,BETA2_F_Crackers,BETA2_R_Crackers,BETA2_worst_shortage_Crackers,BETA2_weighted_shortage_loss_Crackers,BETA4_policy_label,BETA4_T_COST,BETA4_worst_total_shortage,BETA4_worst_shortage_penalty,BETA4_normalized_shortage_value,BETA4_budget_usage,BETA4_worst_scenario,BETA4_C_Q,BETA4_C_F,BETA4_C_R,BETA4_Q_Water,BETA4_F_Water,BETA4_R_Water,BETA4_worst_shortage_Water,BETA4_weighted_shortage_loss_Water,BETA4_Q_Vaccine,BETA4_F_Vaccine,BETA4_R_Vaccine,BETA4_worst_shortage_Vaccine,BETA4_weighted_shortage_loss_Vaccine,BETA4_Q_Crackers,BETA4_F_Crackers,BETA4_R_Crackers,BETA4_worst_shortage_Crackers,BETA4_weighted_shortage_loss_Crackers,BETA6_policy_label,BETA6_T_COST,BETA6_worst_total_shortage,BETA6_worst_shortage_penalty,BETA6_normalized_shortage_value,BETA6_budget_usage,BETA6_worst_scenario,BETA6_C_Q,BETA6_C_F,BETA6_C_R,BETA6_Q_Water,BETA6_F_Water,BETA6_R_Water,BETA6_worst_shortage_Water,BETA6_weighted_shortage_loss_Water,BETA6_Q_Vaccine,BETA6_F_Vaccine,BETA6_R_Vaccine,BETA6_worst_shortage_Vaccine,BETA6_weighted_shortage_loss_Vaccine,BETA6_Q_Crackers,BETA6_F_Crackers,BETA6_R_Crackers,BETA6_worst_shortage_Crackers,BETA6_weighted_shortage_loss_Crackers,policy_transition_BETA2_BETA4,delta_T_COST_BETA2_BETA4,delta_worst_total_shortage_BETA2_BETA4,delta_worst_shortage_penalty_BETA2_BETA4,delta_normalized_shortage_value_BETA2_BETA4,R_transition_Water_BETA2_BETA4,R_transition_Vaccine_BETA2_BETA4,R_transition_Crackers_BETA2_BETA4,policy_transition_BETA4_BETA6,delta_T_COST_BETA4_BETA6,delta_worst_total_shortage_BETA4_BETA6,delta_worst_shortage_penalty_BETA4_BETA6,delta_normalized_shortage_value_BETA4_BETA6,R_transition_Water_BETA4_BETA6,R_transition_Vaccine_BETA4_BETA6,R_transition_Crackers_BETA4_BETA6,row_sha256
LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,P4,574322657.0628794,1552369717.1301227,555184751.2074409,277592375.6037204,1.0,h09,0.0,98638.65331107801,0.0,0.0,13509125.819073599,R0,0.0,0.0,0.0,0.0,NONE,9557344.06438629,265999999.99999923,0.0,414610174.2448552,R0,1542812373.0657363,289184751.2074416,P4,1129507408.2703202,1552369717.1301227,1110369502.4148817,277592375.6037204,1.0,h09,0.0,98638.65331107801,0.0,0.0,13509125.819073599,R0,0.0,0.0,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,414610174.2448552,R0,1542812373.0657363,578369502.4148833,P4,1684692159.477761,1552369717.1301227,1665554253.6223226,277592375.6037204,1.0,h09,0.0,98638.65331107803,0.0,0.0,13509125.819073599,R0,9.313225746154785e-09,3.6193057894706734e-08,0.0,0.0,NONE,9557344.06438629,797999999.9999977,0.0,414610174.2448553,R0,1542812373.0657363,867554253.6223247,P4->P4,555184751.2074407,0.0,555184751.2074409,0.0,R0->R0,NONE->NONE,R0->R0,P4->P4,555184751.2074409,0.0,555184751.2074409,0.0,R0->R0,NONE->NONE,R0->R0,c82f5af85cc6364733242ba13bfaa094bab4d09d3de98bdc9b8093cfd639f21b
LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,P4,618426522.1548636,1787665625.6447635,599288616.2994251,299644308.14971256,1.0,h09,0.0,10083587.872734142,0.0,0.0,18499196.389126413,R0,0.0,0.0,0.0,0.0,NONE,9557344.06438629,265999999.99999923,0.0,149223978.31402862,R0,1778108281.580377,333288616.2994259,P4,1217715138.4542887,1787665625.6447635,1198577232.5988503,299644308.14971256,1.0,h09,0.0,10083587.872734142,0.0,0.0,18499196.389126413,R0,0.0,0.0,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,149223978.31402862,R0,1778108281.580377,666577232.5988518,P4,1817003754.7537138,1726191105.7984128,1797865848.8982754,299644308.14971256,1.0,h09,0.0,10083587.872734144,0.0,0.0,0.0,NONE,10400000.0,40416480.00000001,0.0,0.0,NONE,9557344.06438629,797999999.9999977,0.0,277072137.73824096,R0,1706233761.7340264,959449368.8982776,P4->P4,599288616.2994251,0.0,599288616.2994251,0.0,R0->R0,NONE->NONE,R0->R0,P4->P4,599288616.2994251,-61474519.84635067,599288616.2994251,0.0,R0->NONE,NONE->NONE,R0->R0,b941138c51768f3425d1e7a40b01fc4962f2d00da3d2dfabd7db95c71d56e66d
LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,P1,619797032.161588,1871041601.2613592,600659126.3061495,300329563.15307474,1.0,h09,19137905.85543848,0.0,0.0,14045150.246489204,0.0,NONE,0.0,0.0,696508.1881789276,0.0,NONE,9041601.261359207,251645846.30614945,0.0,0.0,NONE,1862000000.0,349013280.0,P1,1220456158.4677374,1871041601.2613592,1201318252.612299,300329563.15307474,1.0,h09,19137905.85543848,0.0,0.0,14045150.246489204,0.0,NONE,0.0,0.0,696508.1881789276,0.0,NONE,9041601.261359207,503291692.6122989,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1821115284.773887,1871041601.2613592,1801977378.9184484,300329563.15307474,1.0,h09,19137905.85543848,0.0,0.0,14045150.246489204,0.0,NONE,0.0,0.0,696508.1881789276,0.0,NONE,9041601.261359207,754937538.9184484,0.0,0.0,NONE,1862000000.0,1047039839.9999999,P1->P1,600659126.3061495,0.0,600659126.3061495,0.0,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,600659126.3061495,0.0,600659126.3061495,0.0,NONE->NONE,NONE->NONE,NONE->NONE,b330d5781189b7982237b3cbe35e2d0b250d3dd48d19b623fe62e0544b52fadc
LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,P4,619342374.3196204,1792551734.0781648,600204468.4641819,300102234.23209095,1.0,h09,0.0,2483165.939070249,0.0,0.0,22989724.0617264,R0,1.862645149230957e-09,2.412870526313782e-09,0.0,0.0,NONE,9557344.06438629,265999999.99999923,0.0,174645882.0107315,R0,1782994390.0137784,334204468.4641826,P4,1219546842.7838023,1731077214.2318141,1200408936.9283638,300102234.23209095,1.0,h09,0.0,2483165.939070249,0.0,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,333528129.92772025,R0,1711119870.1674278,641464616.9283653,P4,1819751311.247984,1792551734.0781648,1800613405.3925455,300102234.2320909,1.0,h09,0.0,2483165.939070249,0.0,0.0,22989724.0617264,R0,1.862645149230957e-09,7.238611578941346e-09,0.0,0.0,NONE,9557344.06438629,797999999.9999977,0.0,174645882.0107315,R0,1782994390.0137784,1002613405.3925477,P4->P4,600204468.4641819,-61474519.84635067,600204468.4641819,0.0,R0->NONE,NONE->NONE,R0->R0,P4->P4,600204468.4641817,61474519.84635067,600204468.4641817,-5.960464477539063e-08,NONE->R0,NONE->NONE,R0->R0,002a4619f90211b0731e3f322078703ffcaef7b7f6f5050689a795e214303620
LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,P1,625369806.5858556,1871241830.293562,606231900.7304171,303115950.36520857,1.0,h09,19137905.85543848,0.0,0.0,17637799.914796602,0.0,NONE,0.0,0.0,535093.150015588,0.0,NONE,9241830.293561982,257218620.7304171,0.0,0.0,NONE,1862000000.0,349013280.0,P1,1231601707.3162727,1871241830.293562,1212463801.4608343,303115950.36520857,1.0,h09,19137905.85543848,0.0,0.0,17637799.914796602,0.0,NONE,0.0,0.0,535093.150015588,0.0,NONE,9241830.293561982,514437241.4608342,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1837833608.0466897,1871241830.293562,1818695702.1912513,303115950.36520857,1.0,h09,19137905.85543848,0.0,0.0,17637799.914796602,0.0,NONE,0.0,0.0,535093.150015588,0.0,NONE,9241830.293561982,771655862.1912513,0.0,0.0,NONE,1862000000.0,1047039839.9999999,P1->P1,606231900.7304171,0.0,606231900.7304171,0.0,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,606231900.730417,0.0,606231900.730417,0.0,NONE->NONE,NONE->NONE,NONE->NONE,48f6994cf119471d985545b59e828198af191484af8c07b21e766f918876a57b
LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,P4,623574404.0054255,1881093268.8326383,604436498.149987,302218249.0749935,1.0,h09,0.0,5188605.7251329925,2400927.3548300248,0.0,0.0,NONE,10400000.0,13472160.000000002,0.0,929394.5921887123,R2,8693268.832638219,241951058.14998692,0.0,0.0,NONE,1862000000.0,349013280.0,P4,1228010902.1554124,1753655264.1987638,1208872996.299974,302218249.0749935,1.0,h09,0.0,5188605.725132992,2400927.354830025,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,138001015.2037785,R2,1733697920.1343775,649928676.2999754,P4,1832447400.3053992,1881093268.8326383,1813309494.4499607,302218249.07499343,1.0,h09,0.0,5188605.725132992,2400927.3548300243,0.0,0.0,NONE,10400000.0,40416480.00000001,0.0,929394.5921887122,R2,8693268.832638219,725853174.4499608,0.0,0.0,NONE,1862000000.0,1047039839.9999999,P4->P4,604436498.149987,-127438004.63387442,604436498.149987,0.0,NONE->NONE,R2->NONE,NONE->R2,P4->P4,604436498.1499867,127438004.63387442,604436498.1499867,-5.960464477539063e-08,NONE->NONE,NONE->R2,R2->NONE,6a3d6426123c97fbbd16ca3881808b3b57e615289b2b33a4f7d1dac70c370d02
LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,P4,621619829.9147017,1743227532.1739895,602481924.0592632,301240962.0296316,1.0,h09,0.0,1537727.6813731613,0.0,0.0,0.0,NONE,10400000.0,13472160.000000002,0.0,0.0,NONE,9557344.06438629,265999999.99999923,0.0,295507077.09389716,R0,1723270188.1096032,323009764.059264,P4,1224101753.973965,1743227532.1739895,1204963848.1185265,301240962.0296316,1.0,h09,0.0,1537727.6813731613,0.0,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,295507077.09389716,R0,1723270188.1096032,646019528.118528,P4,1826583678.0332282,1743227532.1739895,1807445772.1777897,301240962.0296316,1.0,h09,0.0,1537727.6813731613,0.0,0.0,0.0,NONE,10400000.0,40416480.00000001,0.0,0.0,NONE,9557344.06438629,797999999.9999977,0.0,295507077.09389716,R0,1723270188.1096032,969029292.177792,P4->P4,602481924.0592632,0.0,602481924.0592632,0.0,NONE->NONE,NONE->NONE,R0->R0,P4->P4,602481924.0592632,0.0,602481924.0592632,0.0,NONE->NONE,NONE->NONE,R0->R0,7f212d172a29635191864aa3238937f9bc693f5e9dc167bb25ea0accc74f266d
LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,P1,626692794.546658,1871289365.0722628,607554888.6912196,303777444.3456098,0.9999999999999974,h09,19137905.85543843,0.0,0.0,18778115.09301475,0.0,NONE,0.0,0.0,483859.6496734721,0.0,NONE,9289365.072262846,258541608.69121954,0.0,0.0,NONE,1862000000.0,349013280.0,P1,1234247683.2378776,1871289365.0722628,1215109777.3824391,303777444.3456098,0.9999999999999974,h09,19137905.85543843,0.0,0.0,18778115.09301475,0.0,NONE,0.0,0.0,483859.6496734721,0.0,NONE,9289365.072262846,517083217.3824391,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1841802571.929097,1871289365.0722628,1822664666.0736585,303777444.3456097,1.0,h09,19137905.85543848,0.0,0.0,18778115.09301475,0.0,NONE,0.0,0.0,483859.6496734755,0.0,NONE,9289365.072262844,775624826.0736585,0.0,0.0,NONE,1862000000.0,1047039839.9999999,P1->P1,607554888.6912196,0.0,607554888.6912196,0.0,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,607554888.6912193,0.0,607554888.6912193,-5.960464477539063e-08,NONE->NONE,NONE->NONE,NONE->NONE,2f62ad3b21aaa41d4ea804eae066cc5323b7b22df542924e4e1e6ea5c4d26797
LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,P1,625502230.5260144,1871246588.2678418,606364324.670576,303182162.335288,1.0,h09,19137905.85543848,0.0,0.0,17745663.72808323,0.0,NONE,0.0,0.0,530246.9102912714,0.0,NONE,9246588.26784191,257351044.670576,0.0,0.0,NONE,1862000000.0,349013280.0,P1,1231866555.1965904,1871246588.2678418,1212728649.341152,303182162.335288,1.0,h09,19137905.85543848,0.0,0.0,17745663.72808323,0.0,NONE,0.0,0.0,530246.9102912714,0.0,NONE,9246588.26784191,514702089.341152,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1838230879.8671665,1871246588.2678418,1819092974.011728,303182162.335288,1.0,h09,19137905.85543848,0.0,0.0,17745663.72808323,0.0,NONE,0.0,0.0,530246.9102912714,0.0,NONE,9246588.26784191,772053134.0117282,0.0,0.0,NONE,1862000000.0,1047039839.9999999,P1->P1,606364324.670576,0.0,606364324.670576,0.0,NONE->NONE,NONE->NONE,NONE->NONE,P1->P1,606364324.6705761,0.0,606364324.6705761,0.0,NONE->NONE,NONE->NONE,NONE->NONE,acdf3f50dca709dc7ea78971c0669a0817801d28152a7b633f409c3117831ed1
LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,P4,617985938.1930995,1868953713.649287,598848032.337661,299424016.1688305,1.0,h09,0.0,5384998.5007976815,0.0,0.0,426298.26574119116,R0,10065747.003106233,13039168.667823816,0.0,1237781.1835201595,R0,8586821.5374626,238988417.03065908,0.0,14920439.30094169,R0,1850301145.1087182,346820446.6391781,P4,1216833970.5307605,1880573780.3341582,1197696064.675322,299424016.1688305,1.0,h09,0.0,5384998.5007976815,0.0,0.0,426298.26574119116,R0,10065747.003106233,26078337.33564763,0.0,1338265.7747305832,R0,8508033.331051925,473591167.33967435,0.0,0.0,NONE,1862000000.0,698026560.0,P4,1815682002.8684216,1723840572.498348,1796544097.012983,299424016.1688305,1.0,h09,0.0,5384998.5007976815,0.0,0.0,0.0,NONE,10400000.0,40416480.00000001,0.0,0.0,NONE,9557344.06438629,797999999.9999977,0.0,201658343.0203944,R0,1703883228.4339616,958127617.0129852,P4->P4,598848032.337661,11620066.684871197,598848032.337661,0.0,R0->R0,R0->R0,R0->NONE,P4->P4,598848032.337661,-156733207.83581018,598848032.337661,0.0,R0->NONE,R0->NONE,NONE->R0,96e5169cce4f15f5019d1ee1d2253dc6450757fa64a1decdc95652dd9d8bddbb
