case_id,simulation_id,sample_index,input_sha256,policy_transition,baseline_T_COST,case_T_COST,delta_T_COST,baseline_worst_total_shortage,case_worst_total_shortage,delta_worst_total_shortage,baseline_worst_shortage_penalty,case_worst_shortage_penalty,delta_worst_shortage_penalty,baseline_normalized_shortage_value,case_normalized_shortage_value,delta_normalized_shortage_value,baseline_budget_usage,case_budget_usage,delta_budget_usage,baseline_Q_Water,case_Q_Water,delta_Q_Water,baseline_F_Water,case_F_Water,delta_F_Water,baseline_R_Water,case_R_Water,baseline_worst_shortage_Water,case_worst_shortage_Water,delta_worst_shortage_Water,baseline_weighted_shortage_loss_Water,case_weighted_shortage_loss_Water,delta_weighted_shortage_loss_Water,baseline_C_Q_Water,case_C_Q_Water,delta_C_Q_Water,baseline_C_F_Water,case_C_F_Water,delta_C_F_Water,baseline_C_R_Water,case_C_R_Water,delta_C_R_Water,baseline_Q_Vaccine,case_Q_Vaccine,delta_Q_Vaccine,baseline_F_Vaccine,case_F_Vaccine,delta_F_Vaccine,baseline_R_Vaccine,case_R_Vaccine,baseline_worst_shortage_Vaccine,case_worst_shortage_Vaccine,delta_worst_shortage_Vaccine,baseline_weighted_shortage_loss_Vaccine,case_weighted_shortage_loss_Vaccine,delta_weighted_shortage_loss_Vaccine,baseline_C_Q_Vaccine,case_C_Q_Vaccine,delta_C_Q_Vaccine,baseline_C_F_Vaccine,case_C_F_Vaccine,delta_C_F_Vaccine,baseline_C_R_Vaccine,case_C_R_Vaccine,delta_C_R_Vaccine,baseline_Q_Crackers,case_Q_Crackers,delta_Q_Crackers,baseline_F_Crackers,case_F_Crackers,delta_F_Crackers,baseline_R_Crackers,case_R_Crackers,baseline_worst_shortage_Crackers,case_worst_shortage_Crackers,delta_worst_shortage_Crackers,baseline_weighted_shortage_loss_Crackers,case_weighted_shortage_loss_Crackers,delta_weighted_shortage_loss_Crackers,baseline_C_Q_Crackers,case_C_Q_Crackers,delta_C_Q_Crackers,baseline_C_F_Crackers,case_C_F_Crackers,delta_C_F_Crackers,baseline_C_R_Crackers,case_C_R_Crackers,delta_C_R_Crackers,row_sha256
E2D_LAMBDA_WATER,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,P4->P4,1129507408.2703202,1129507408.2703202,0.0,1552369717.1301227,1552369717.1301227,0.0,1110369502.4148817,1110369502.4148817,0.0,277592375.6037204,277592375.6037204,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13509125.819073599,13509125.819073599,0.0,R0,R0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18129.102761259215,18129.102761259215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414610174.2448552,414610174.2448552,0.0,R0,R0,1542812373.0657363,1542812373.0657363,0.0,578369502.4148833,578369502.4148833,0.0,0.0,0.0,0.0,80509.5505498188,80509.5505498188,0.0,0.0,0.0,0.0,cdd67858954a94a52fe753cc884bbf617ede710300082eb7467eff273a21867d
E2D_LAMBDA_VACCINE,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,P4->P4,1129507408.2703202,1322206719.477761,192699311.20744085,1552369717.1301227,1879323660.218721,326953943.08859825,1110369502.4148817,1303068813.6223226,192699311.20744085,277592375.6037204,325767203.40558064,48174827.80186021,1.0,1.0,0.0,0.0,0.0,0.0,13509125.819073599,0.0,-13509125.819073599,R0,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,18129.102761259215,0.0,-18129.102761259215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3421035.2344956743,3421035.2344956743,NONE,R0,9557344.06438629,6923660.218720926,-2633683.8456653636,531999999.99999845,578097933.6223224,46097933.62232399,0.0,0.0,0.0,0.0,98638.65331107803,98638.65331107803,0.0,0.0,0.0,0.0,0.0,0.0,414610174.2448552,0.0,-414610174.2448552,R0,NONE,1542812373.0657363,1862000000.0,319187626.9342637,578369502.4148833,698026560.0,119657057.58511674,0.0,0.0,0.0,80509.5505498188,0.0,-80509.5505498188,0.0,0.0,0.0,0d06a11dd4b19543f5a4c5d0fe8d8a6b7da15b92438f5a1fd48ae6fca6956671
E2D_LAMBDA_CRACKERS,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,P4->P4,1129507408.2703202,1405219999.4777617,275712591.20744157,1552369717.1301227,1490895197.2837718,-61474519.84635091,1110369502.4148817,1386082093.6223233,275712591.20744157,277592375.6037204,346520523.4055808,68928147.80186039,1.0,1.0,0.0,0.0,0.0,0.0,13509125.819073599,0.0,-13509125.819073599,R0,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,18129.102761259215,0.0,-18129.102761259215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414610174.2448552,507971898.45541835,93361724.21056312,R0,R0,1542812373.0657363,1470937853.2193854,-71874519.84635091,578369502.4148833,827137773.6223247,248768271.20744145,0.0,0.0,0.0,80509.5505498188,98638.65331107803,18129.10276125923,0.0,0.0,0.0,634a3d260b48921f49e608b271e727d7b0d29fe151dbeb5adf7989a77262a378
E2D_LAMBDA_WATER,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,P4->P4,1217715138.4542887,1217715138.4542887,0.0,1787665625.6447635,1787665625.6447635,0.0,1198577232.5988503,1198577232.5988503,0.0,299644308.14971256,299644308.14971256,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18499196.389126413,18499196.389126413,0.0,R0,R0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4652824.9301605625,4652824.9301605625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149223978.31402862,149223978.31402862,0.0,R0,R0,1778108281.580377,1778108281.580377,0.0,666577232.5988518,666577232.5988518,0.0,0.0,0.0,0.0,5430762.94257358,5430762.94257358,0.0,0.0,0.0,0.0,a90118b00bc5dca08d057bdc868dfebd9bcbcee92e87a96b57b10db408935fa9
E2D_LAMBDA_VACCINE,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,P4->P4,1217715138.4542887,1454518314.753714,236803176.29942536,1787665625.6447635,1880908306.1332073,93242680.48844385,1198577232.5988503,1435380408.8982756,236803176.29942536,299644308.14971256,358845102.2245689,59200794.07485634,1.0,1.0,0.0,0.0,0.0,0.0,18499196.389126413,0.0,-18499196.389126413,R0,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,4652824.9301605625,0.0,-4652824.9301605625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865996.029665704,1865996.029665704,NONE,R0,9557344.06438629,8508306.133207284,-1049037.9311790057,531999999.99999845,710409528.8982755,178409528.89827704,0.0,0.0,0.0,0.0,10083587.87273414,10083587.87273414,0.0,0.0,0.0,0.0,0.0,0.0,149223978.31402862,0.0,-149223978.31402862,R0,NONE,1778108281.580377,1862000000.0,83891718.4196229,666577232.5988518,698026560.0,31449327.4011482,0.0,0.0,0.0,5430762.94257358,0.0,-5430762.94257358,0.0,0.0,0.0,208dc37da46973e363e38b5d77438ba6a01a5bec425a500b225cee1b06ca495f
E2D_LAMBDA_CRACKERS,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,P4->P4,1217715138.4542887,1537531594.7537146,319816456.29942584,1787665625.6447635,1726191105.7984128,-61474519.84635067,1198577232.5988503,1518393688.898276,319816456.29942584,299644308.14971256,379598422.224569,79954114.07485646,1.0,1.0,0.0,0.0,0.0,0.0,18499196.389126413,0.0,-18499196.389126413,R0,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,4652824.9301605625,0.0,-4652824.9301605625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149223978.31402862,277072137.73824096,127848159.42421234,R0,R0,1778108281.580377,1706233761.7340264,-71874519.84635067,666577232.5988518,959449368.8982776,292872136.29942584,0.0,0.0,0.0,5430762.94257358,10083587.872734144,4652824.930160564,0.0,0.0,0.0,542987752c406610f6378293b7ac60261adb4cb7852807d936bbbcf8f9f2d6c6
E2D_LAMBDA_WATER,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,P1->P1,1220456158.4677374,1220456158.4677374,0.0,1871041601.2613592,1871041601.2613592,0.0,1201318252.612299,1201318252.612299,0.0,300329563.15307474,300329563.15307474,0.0,1.0,1.0,0.0,14045150.246489204,14045150.246489204,0.0,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,0.0,0.0,9097043.814651059,9097043.814651059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696508.1881789276,696508.1881789276,0.0,0.0,0.0,0.0,NONE,NONE,9041601.261359207,9041601.261359207,0.0,503291692.6122989,503291692.6122989,0.0,10040862.040787421,10040862.040787421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fcf99829649253cd4f4dd9115f92c9858df13e1c5b6c938632894e2d85bc44e4
E2D_LAMBDA_VACCINE,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,P1->P1,1220456158.4677374,1460031637.2267172,239575478.7589798,1871041601.2613592,1880974337.1104157,9932735.849056482,1201318252.612299,1440893731.3712788,239575478.7589798,300329563.15307474,360223432.8428197,59893869.68974495,1.0,1.0,0.0,14045150.246489204,0.0,-14045150.246489204,0.0,0.0,0.0,NONE,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,9097043.814651059,0.0,-9097043.814651059,0.0,0.0,0.0,0.0,0.0,0.0,696508.1881789276,1327546.188640294,631038.0004613663,0.0,0.0,0.0,NONE,NONE,9041601.261359207,8574337.110415813,-467264.15094339475,503291692.6122989,715922851.3712788,212631158.75897986,10040862.040787421,19137905.85543848,9097043.814651057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cbc4ae629233643ce689f3947c36ef0c30a3388ef8f263b24157958c7cb644ec
E2D_LAMBDA_CRACKERS,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,P1->P1,1220456158.4677374,1548598513.3138695,328142354.84613204,1871041601.2613592,1745871925.5454516,-125169675.71590757,1201318252.612299,1529460607.458431,328142354.84613204,300329563.15307474,382365151.86460775,82035588.71153301,1.0,1.0,0.0,14045150.246489204,0.0,-14045150.246489204,0.0,0.0,0.0,NONE,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,9097043.814651059,0.0,-9097043.814651059,0.0,0.0,0.0,0.0,0.0,0.0,696508.1881789276,0.0,-696508.1881789276,0.0,0.0,0.0,NONE,NONE,9041601.261359207,9557344.06438629,515742.80302708223,503291692.6122989,531999999.99999845,28708307.387699544,10040862.040787421,0.0,-10040862.040787421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204203007.42038497,204203007.42038497,0.0,0.0,0.0,NONE,NONE,1862000000.0,1725914581.4810653,-136085418.51893473,698026560.0,970516287.4584326,272489727.45843256,0.0,19137905.85543848,19137905.85543848,0.0,0.0,0.0,0.0,0.0,0.0,91e1fc14101c60c37ac25475c4db2240d439ca5f3375ba3955da99bee4ca075a
E2D_LAMBDA_WATER,LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,P4->P4,1219546842.7838023,1219546842.7838023,0.0,1731077214.2318141,1792551734.0781648,61474519.84635067,1200408936.9283638,1200408936.9283638,0.0,300102234.23209095,300102234.23209095,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22989724.0617264,22989724.0617264,NONE,R0,10400000.0,0.0,-10400000.0,26944320.000000004,0.0,-26944320.000000004,0.0,0.0,0.0,0.0,1182901.6833928863,1182901.6833928863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333528129.92772025,174645882.0107315,-158882247.91698876,R0,R0,1711119870.1674278,1782994390.0137784,71874519.84635067,641464616.9283653,668408936.9283652,26944319.99999988,0.0,0.0,0.0,2483165.939070249,1300264.255677363,-1182901.683392886,0.0,0.0,0.0,e329bbd6c039cb2a2e7302f08b1c73672c4618365e50c98e38935634bd9c4d8a
