level,commodity,mean,median,Q25,Q75,zero_frequency,positive_frequency,weighted_loss_mean,weighted_loss_median,weighted_loss_Q25,weighted_loss_Q75,normalized_value_mean,normalized_value_median
BETA4_BASELINE,Water,4605031.757612175,0.0,0.0,10400000.0,556,444,,,,,,
BETA4_BASELINE,Vaccine,9250138.92051136,9557344.06438629,9073245.614802893,9557344.06438629,0,1000,,,,,,
BETA4_BASELINE,Crackers,1788884704.7910159,1807806731.693983,1723464240.3884692,1862000000.0,0,1000,,,,,,
BETA4_BASELINE,AGGREGATE_PHYSICAL_UNITS,1802739875.4691393,1817364075.7583694,1742895813.1528645,1871170219.135995,,,1197447547.281022,1202359208.215928,1191096387.6387503,1208960382.11027,299361886.8202555,300589802.053982
LAMBDA_WATER,Water,2.60770320892334e-11,0.0,0.0,0.0,1000,0,,,,,,
LAMBDA_WATER,Vaccine,9306019.235458668,9557344.06438629,9105699.957636973,9557344.06438629,0,1000,,,,,,
LAMBDA_WATER,Crackers,1812412752.2365842,1826822846.6108105,1776069966.420995,1862000000.0,0,1000,,,,,,
LAMBDA_WATER,AGGREGATE_PHYSICAL_UNITS,1821718771.472043,1836380190.675197,1785627310.4853814,1871096511.4593425,,,1197447547.281022,1202359208.215928,1191096387.6387503,1208960382.11027,299361886.8202555,300589802.053982
LAMBDA_VACCINE,Water,10400000.0,10400000.0,10400000.0,10400000.0,0,1000,,,,,,
LAMBDA_VACCINE,Vaccine,8491765.610012311,8584817.989847198,8373913.258816295,8700634.260326764,0,1000,,,,,,
LAMBDA_VACCINE,Crackers,1862000000.0,1862000000.0,1862000000.0,1862000000.0,0,1000,,,,,,
LAMBDA_VACCINE,AGGREGATE_PHYSICAL_UNITS,1880891765.6100123,1880984817.9898472,1880773913.2588162,1881100634.2603269,,,1433999341.373588,1441768842.880282,1424159141.4581256,1451439038.2002437,358499835.343397,360442210.7200705
LAMBDA_CRACKERS,Water,10400000.0,10400000.0,10400000.0,10400000.0,0,1000,,,,,,
LAMBDA_CRACKERS,Vaccine,9557344.06438629,9557344.06438629,9557344.06438629,9557344.06438629,0,1000,,,,,,
LAMBDA_CRACKERS,Crackers,1705309452.219787,1719755989.0405023,1686278456.1426373,1737417316.1100738,0,1000,,,,,,
LAMBDA_CRACKERS,AGGREGATE_PHYSICAL_UNITS,1725266796.284173,1739713333.1048887,1706235800.2070236,1757374660.1744602,,,1517873931.172229,1525997507.7572536,1507172421.458126,1535928825.195015,379468482.79305726,381499376.9393134
