part,comparison,commodity,from,to,count
D1,BETA2_BETA4,Water,NONE,NONE,533
D1,BETA2_BETA4,Water,NONE,R0,179
D1,BETA2_BETA4,Water,NONE,R1,5
D1,BETA2_BETA4,Water,NONE,R2,6
D1,BETA2_BETA4,Water,R0,NONE,104
D1,BETA2_BETA4,Water,R0,R0,164
D1,BETA2_BETA4,Water,R1,NONE,4
D1,BETA2_BETA4,Water,R2,NONE,3
D1,BETA2_BETA4,Water,R2,R2,2
D1,BETA2_BETA4,Vaccine,NONE,NONE,731
D1,BETA2_BETA4,Vaccine,NONE,R0,75
D1,BETA2_BETA4,Vaccine,NONE,R1,9
D1,BETA2_BETA4,Vaccine,NONE,R2,6
D1,BETA2_BETA4,Vaccine,R0,NONE,27
D1,BETA2_BETA4,Vaccine,R0,R0,83
D1,BETA2_BETA4,Vaccine,R1,NONE,10
D1,BETA2_BETA4,Vaccine,R1,R1,40
D1,BETA2_BETA4,Vaccine,R2,NONE,7
D1,BETA2_BETA4,Vaccine,R2,R2,12
D1,BETA2_BETA4,Crackers,NONE,NONE,332
D1,BETA2_BETA4,Crackers,NONE,R0,42
D1,BETA2_BETA4,Crackers,NONE,R1,10
D1,BETA2_BETA4,Crackers,NONE,R2,11
D1,BETA2_BETA4,Crackers,R0,NONE,78
D1,BETA2_BETA4,Crackers,R0,R0,480
D1,BETA2_BETA4,Crackers,R1,NONE,8
D1,BETA2_BETA4,Crackers,R1,R1,22
D1,BETA2_BETA4,Crackers,R2,NONE,3
D1,BETA2_BETA4,Crackers,R2,R2,14
D1,BETA4_BETA6,Water,NONE,NONE,516
D1,BETA4_BETA6,Water,NONE,R0,126
D1,BETA4_BETA6,Water,NONE,R1,2
D1,BETA4_BETA6,Water,R0,NONE,115
D1,BETA4_BETA6,Water,R0,R0,228
D1,BETA4_BETA6,Water,R1,NONE,4
D1,BETA4_BETA6,Water,R1,R1,1
D1,BETA4_BETA6,Water,R2,NONE,6
D1,BETA4_BETA6,Water,R2,R2,2
D1,BETA4_BETA6,Vaccine,NONE,NONE,677
D1,BETA4_BETA6,Vaccine,NONE,R0,49
D1,BETA4_BETA6,Vaccine,NONE,R1,27
D1,BETA4_BETA6,Vaccine,NONE,R2,22
D1,BETA4_BETA6,Vaccine,R0,NONE,50
D1,BETA4_BETA6,Vaccine,R0,R0,108
D1,BETA4_BETA6,Vaccine,R1,NONE,7
D1,BETA4_BETA6,Vaccine,R1,R1,42
D1,BETA4_BETA6,Vaccine,R2,NONE,1
D1,BETA4_BETA6,Vaccine,R2,R2,17
D1,BETA4_BETA6,Crackers,NONE,NONE,357
D1,BETA4_BETA6,Crackers,NONE,R0,55
D1,BETA4_BETA6,Crackers,NONE,R1,8
D1,BETA4_BETA6,Crackers,NONE,R2,1
D1,BETA4_BETA6,Crackers,R0,NONE,45
D1,BETA4_BETA6,Crackers,R0,R0,477
D1,BETA4_BETA6,Crackers,R1,NONE,27
D1,BETA4_BETA6,Crackers,R1,R1,5
D1,BETA4_BETA6,Crackers,R2,NONE,22
D1,BETA4_BETA6,Crackers,R2,R2,3
D2,E2D_LAMBDA_WATER,Water,NONE,NONE,241
D2,E2D_LAMBDA_WATER,Water,NONE,R0,299
D2,E2D_LAMBDA_WATER,Water,NONE,R1,72
D2,E2D_LAMBDA_WATER,Water,NONE,R2,32
D2,E2D_LAMBDA_WATER,Water,R0,R0,343
D2,E2D_LAMBDA_WATER,Water,R1,R1,5
D2,E2D_LAMBDA_WATER,Water,R2,R2,8
D2,E2D_LAMBDA_WATER,Vaccine,NONE,NONE,692
D2,E2D_LAMBDA_WATER,Vaccine,NONE,R0,58
D2,E2D_LAMBDA_WATER,Vaccine,NONE,R1,13
D2,E2D_LAMBDA_WATER,Vaccine,NONE,R2,12
D2,E2D_LAMBDA_WATER,Vaccine,R0,NONE,26
D2,E2D_LAMBDA_WATER,Vaccine,R0,R0,132
D2,E2D_LAMBDA_WATER,Vaccine,R1,NONE,7
D2,E2D_LAMBDA_WATER,Vaccine,R1,R1,42
D2,E2D_LAMBDA_WATER,Vaccine,R2,NONE,1
D2,E2D_LAMBDA_WATER,Vaccine,R2,R2,17
D2,E2D_LAMBDA_WATER,Crackers,NONE,NONE,389
D2,E2D_LAMBDA_WATER,Crackers,NONE,R0,23
D2,E2D_LAMBDA_WATER,Crackers,NONE,R1,8
D2,E2D_LAMBDA_WATER,Crackers,NONE,R2,1
D2,E2D_LAMBDA_WATER,Crackers,R0,NONE,67
D2,E2D_LAMBDA_WATER,Crackers,R0,R0,455
D2,E2D_LAMBDA_WATER,Crackers,R1,NONE,13
D2,E2D_LAMBDA_WATER,Crackers,R1,R1,19
D2,E2D_LAMBDA_WATER,Crackers,R2,NONE,12
D2,E2D_LAMBDA_WATER,Crackers,R2,R2,13
D2,E2D_LAMBDA_VACCINE,Water,NONE,NONE,644
D2,E2D_LAMBDA_VACCINE,Water,R0,NONE,343
D2,E2D_LAMBDA_VACCINE,Water,R1,NONE,5
D2,E2D_LAMBDA_VACCINE,Water,R2,NONE,8
D2,E2D_LAMBDA_VACCINE,Vaccine,NONE,NONE,208
D2,E2D_LAMBDA_VACCINE,Vaccine,NONE,R0,510
D2,E2D_LAMBDA_VACCINE,Vaccine,NONE,R1,32
D2,E2D_LAMBDA_VACCINE,Vaccine,NONE,R2,25
D2,E2D_LAMBDA_VACCINE,Vaccine,R0,R0,158
D2,E2D_LAMBDA_VACCINE,Vaccine,R1,R1,49
D2,E2D_LAMBDA_VACCINE,Vaccine,R2,R2,18
D2,E2D_LAMBDA_VACCINE,Crackers,NONE,NONE,421
D2,E2D_LAMBDA_VACCINE,Crackers,R0,NONE,522
D2,E2D_LAMBDA_VACCINE,Crackers,R1,NONE,32
D2,E2D_LAMBDA_VACCINE,Crackers,R2,NONE,25
D2,E2D_LAMBDA_CRACKERS,Water,NONE,NONE,644
D2,E2D_LAMBDA_CRACKERS,Water,R0,NONE,343
D2,E2D_LAMBDA_CRACKERS,Water,R1,NONE,5
D2,E2D_LAMBDA_CRACKERS,Water,R2,NONE,8
D2,E2D_LAMBDA_CRACKERS,Vaccine,NONE,NONE,775
D2,E2D_LAMBDA_CRACKERS,Vaccine,R0,NONE,158
D2,E2D_LAMBDA_CRACKERS,Vaccine,R1,NONE,49
D2,E2D_LAMBDA_CRACKERS,Vaccine,R2,NONE,18
D2,E2D_LAMBDA_CRACKERS,Crackers,NONE,NONE,146
D2,E2D_LAMBDA_CRACKERS,Crackers,NONE,R0,192
D2,E2D_LAMBDA_CRACKERS,Crackers,NONE,R1,56
D2,E2D_LAMBDA_CRACKERS,Crackers,NONE,R2,27
D2,E2D_LAMBDA_CRACKERS,Crackers,R0,R0,522
D2,E2D_LAMBDA_CRACKERS,Crackers,R1,R1,32
D2,E2D_LAMBDA_CRACKERS,Crackers,R2,R2,25
