cell,metric,min,Q25,median,mean,Q75,max,comparison,improved,unchanged,worsened
E2D_BETA2,T_COST_REF,1129507408.2703202,1210234293.4941888,1221497114.0713663,1217164494.8877633,1228098287.9657083,1256970879.9999986,,,,
E2D_BETA2,reference_shortage_loss,1110369502.4148817,1191096387.6387503,1202359208.215928,1198662939.5931816,1208960382.11027,1256970879.9999986,,,,
E2D_BASELINE,T_COST_REF,1129507408.2703202,1210234293.4941888,1221497114.0713663,1216585453.1364605,1228098287.9657083,1243661166.3035135,,,,
E2D_BASELINE,reference_shortage_loss,1110369502.4148817,1191096387.6387503,1202359208.215928,1197447547.281022,1208960382.11027,1224523260.448075,,,,
E2D_BETA6,T_COST_REF,1129507408.2703202,1210234293.4941888,1221497114.0713663,1216585453.1364605,1228098287.9657083,1243661166.3035135,,,,
E2D_BETA6,reference_shortage_loss,1110369502.4148817,1191096387.6387503,1202359208.215928,1197447547.281022,1208960382.11027,1224523260.448075,,,,
,T_COST_REF,-19077557.55282259,0.0,0.0,-579041.7513026238,0.0,2.384185791015625e-07,BETA2_BETA4,36,964,0
,reference_shortage_loss,-38215463.40826106,0.0,0.0,-1215392.3121597006,0.0,2.384185791015625e-07,BETA2_BETA4,0,0,0
,C_Q,-7.450580596923828e-08,0.0,0.0,206664.25480031912,0.0,19137905.85543848,BETA2_BETA4,0,0,0
,C_F,-2.7939677238464355e-09,0.0,0.0,133642.44634585886,0.0,8667647.60161476,BETA2_BETA4,0,0,0
,C_R,-1.862645149230957e-09,0.0,0.0,22739.40915929335,0.0,4572100.007424298,BETA2_BETA4,0,0,0
,first_stage_cost,-7.450580596923828e-08,0.0,0.0,363046.1103054713,0.0,19137905.85543848,BETA2_BETA4,0,0,0
,emergency_expenditure,-3.725290298461914e-09,0.0,0.0,273304.45055160567,0.0,14130082.799580859,BETA2_BETA4,0,0,0
,T_COST_REF,-4.76837158203125e-07,0.0,0.0,7.152557373046875e-10,0.0,2.384185791015625e-07,BETA4_BETA6,0,1000,0
,reference_shortage_loss,-4.76837158203125e-07,0.0,0.0,7.152557373046875e-10,0.0,2.384185791015625e-07,BETA4_BETA6,0,0,0
,C_Q,-5.21540641784668e-08,0.0,0.0,-8.568167686462402e-11,0.0,7.450580596923828e-08,BETA4_BETA6,0,0,0
,C_F,-3.725290298461914e-09,0.0,0.0,-5.3914845921099185e-12,0.0,2.7939677238464355e-09,BETA4_BETA6,0,0,0
,C_R,-1.3969838619232178e-09,0.0,0.0,-2.735760062932968e-12,0.0,9.313225746154785e-10,BETA4_BETA6,0,0,0
,first_stage_cost,-5.21540641784668e-08,0.0,0.0,-9.305222192779183e-11,0.0,7.450580596923828e-08,BETA4_BETA6,0,0,0
,emergency_expenditure,-3.725290298461914e-09,0.0,0.0,1.909211277961731e-11,0.0,3.725290298461914e-09,BETA4_BETA6,0,0,0
