simulation_id,sample_index,input_sha256,BETA2_policy_label,BETA2_T_COST_REF,BETA2_reference_shortage_loss,BETA2_first_stage_cost,BETA2_C_Q,BETA2_C_F,BETA2_C_R,BETA2_emergency_expenditure,BETA2_Q_Water,BETA2_F_Water,BETA2_R_Water,BETA2_shortage_Water,BETA2_reference_shortage_loss_Water,BETA2_Q_Vaccine,BETA2_F_Vaccine,BETA2_R_Vaccine,BETA2_shortage_Vaccine,BETA2_reference_shortage_loss_Vaccine,BETA2_Q_Crackers,BETA2_F_Crackers,BETA2_R_Crackers,BETA2_shortage_Crackers,BETA2_reference_shortage_loss_Crackers,BETA4_policy_label,BETA4_T_COST_REF,BETA4_reference_shortage_loss,BETA4_first_stage_cost,BETA4_C_Q,BETA4_C_F,BETA4_C_R,BETA4_emergency_expenditure,BETA4_Q_Water,BETA4_F_Water,BETA4_R_Water,BETA4_shortage_Water,BETA4_reference_shortage_loss_Water,BETA4_Q_Vaccine,BETA4_F_Vaccine,BETA4_R_Vaccine,BETA4_shortage_Vaccine,BETA4_reference_shortage_loss_Vaccine,BETA4_Q_Crackers,BETA4_F_Crackers,BETA4_R_Crackers,BETA4_shortage_Crackers,BETA4_reference_shortage_loss_Crackers,BETA6_policy_label,BETA6_T_COST_REF,BETA6_reference_shortage_loss,BETA6_first_stage_cost,BETA6_C_Q,BETA6_C_F,BETA6_C_R,BETA6_emergency_expenditure,BETA6_Q_Water,BETA6_F_Water,BETA6_R_Water,BETA6_shortage_Water,BETA6_reference_shortage_loss_Water,BETA6_Q_Vaccine,BETA6_F_Vaccine,BETA6_R_Vaccine,BETA6_shortage_Vaccine,BETA6_reference_shortage_loss_Vaccine,BETA6_Q_Crackers,BETA6_F_Crackers,BETA6_R_Crackers,BETA6_shortage_Crackers,BETA6_reference_shortage_loss_Crackers,delta_T_COST_REF_BETA2_BETA4,delta_reference_shortage_loss_BETA2_BETA4,delta_first_stage_cost_BETA2_BETA4,delta_C_Q_BETA2_BETA4,delta_C_F_BETA2_BETA4,delta_C_R_BETA2_BETA4,delta_emergency_expenditure_BETA2_BETA4,T_COST_REF_direction_BETA2_BETA4,reference_shortage_direction_BETA2_BETA4,policy_transition_BETA2_BETA4,delta_Q_Water_BETA2_BETA4,delta_F_Water_BETA2_BETA4,delta_shortage_Water_BETA2_BETA4,delta_reference_shortage_loss_Water_BETA2_BETA4,R_transition_Water_BETA2_BETA4,delta_Q_Vaccine_BETA2_BETA4,delta_F_Vaccine_BETA2_BETA4,delta_shortage_Vaccine_BETA2_BETA4,delta_reference_shortage_loss_Vaccine_BETA2_BETA4,R_transition_Vaccine_BETA2_BETA4,delta_Q_Crackers_BETA2_BETA4,delta_F_Crackers_BETA2_BETA4,delta_shortage_Crackers_BETA2_BETA4,delta_reference_shortage_loss_Crackers_BETA2_BETA4,R_transition_Crackers_BETA2_BETA4,delta_T_COST_REF_BETA4_BETA6,delta_reference_shortage_loss_BETA4_BETA6,delta_first_stage_cost_BETA4_BETA6,delta_C_Q_BETA4_BETA6,delta_C_F_BETA4_BETA6,delta_C_R_BETA4_BETA6,delta_emergency_expenditure_BETA4_BETA6,T_COST_REF_direction_BETA4_BETA6,reference_shortage_direction_BETA4_BETA6,policy_transition_BETA4_BETA6,delta_Q_Water_BETA4_BETA6,delta_F_Water_BETA4_BETA6,delta_shortage_Water_BETA4_BETA6,delta_reference_shortage_loss_Water_BETA4_BETA6,R_transition_Water_BETA4_BETA6,delta_Q_Vaccine_BETA4_BETA6,delta_F_Vaccine_BETA4_BETA6,delta_shortage_Vaccine_BETA4_BETA6,delta_reference_shortage_loss_Vaccine_BETA4_BETA6,R_transition_Vaccine_BETA4_BETA6,delta_Q_Crackers_BETA4_BETA6,delta_F_Crackers_BETA4_BETA6,delta_shortage_Crackers_BETA4_BETA6,delta_reference_shortage_loss_Crackers_BETA4_BETA6,R_transition_Crackers_BETA4_BETA6,audit_row_sha256
LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,P4,1129507408.2703202,1110369502.4148817,98638.65331107801,0.0,98638.65331107801,0.0,19039267.2021274,0.0,13509125.819073599,R0,0.0,0.0,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,414610174.2448552,R0,1542812373.0657363,578369502.4148833,P4,1129507408.2703202,1110369502.4148817,98638.65331107801,0.0,98638.65331107801,0.0,19039267.2021274,0.0,13509125.819073599,R0,0.0,0.0,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,414610174.2448552,R0,1542812373.0657363,578369502.4148833,P4,1129507408.2703202,1110369502.4148817,98638.65331107803,0.0,98638.65331107803,0.0,19039267.2021274,0.0,13509125.819073599,R0,9.313225746154785e-09,2.412870526313782e-08,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,414610174.2448553,R0,1542812373.0657363,578369502.4148833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P4->P4,0.0,0.0,0.0,0.0,R0->R0,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,R0->R0,0.0,0.0,1.4551915228366852e-11,0.0,1.4551915228366852e-11,0.0,0.0,unchanged,unchanged,P4->P4,0.0,0.0,9.313225746154785e-09,2.412870526313782e-08,R0->R0,0.0,0.0,0.0,0.0,NONE->NONE,0.0,5.960464477539063e-08,0.0,0.0,R0->R0,42b64c3aaabe76ba7f4e8395b8540106dc10b12f420f2d10395695bf01ea1494
LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,P4,1217715138.4542887,1198577232.5988503,10083587.872734142,0.0,10083587.872734142,0.0,9054317.982704338,0.0,18499196.389126413,R0,0.0,0.0,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,149223978.31402862,R0,1778108281.580377,666577232.5988518,P4,1217715138.4542887,1198577232.5988503,10083587.872734142,0.0,10083587.872734142,0.0,9054317.982704338,0.0,18499196.389126413,R0,0.0,0.0,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,149223978.31402862,R0,1778108281.580377,666577232.5988518,P4,1217715138.4542887,1198577232.5988503,10083587.872734144,0.0,10083587.872734144,0.0,9054317.982704334,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,277072137.73824096,R0,1706233761.7340264,639632912.5988518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P4->P4,0.0,0.0,0.0,0.0,R0->R0,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,R0->R0,0.0,0.0,1.862645149230957e-09,0.0,1.862645149230957e-09,0.0,-3.725290298461914e-09,unchanged,unchanged,P4->P4,0.0,-18499196.389126413,10400000.0,26944320.000000004,R0->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,127848159.42421234,-71874519.84635067,-26944320.0,R0->R0,3ad29135160ded9c177854c139e514f53b1c0953ceefff780625441f2cde0d53
LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,P1,1220456158.4677374,1201318252.612299,19137905.85543848,19137905.85543848,0.0,0.0,0.0,14045150.246489204,0.0,NONE,0.0,0.0,696508.1881789276,0.0,NONE,9041601.261359207,503291692.6122989,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1220456158.4677374,1201318252.612299,19137905.85543848,19137905.85543848,0.0,0.0,0.0,14045150.246489204,0.0,NONE,0.0,0.0,696508.1881789276,0.0,NONE,9041601.261359207,503291692.6122989,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1220456158.4677374,1201318252.612299,19137905.85543848,19137905.85543848,0.0,0.0,0.0,14045150.246489204,0.0,NONE,0.0,0.0,696508.1881789276,0.0,NONE,9041601.261359207,503291692.6122989,0.0,0.0,NONE,1862000000.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P1->P1,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P1->P1,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,2dc6e250359033cedf55c13cf6d98665c41eed3b9a3d65ee3ad36f27b9efbd64
LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,P4,1219546842.7838023,1200408936.9283638,2483165.939070249,0.0,2483165.939070249,0.0,16654739.916368231,0.0,22989724.0617264,R0,1.862645149230957e-09,4.825741052627564e-09,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,174645882.0107315,R0,1782994390.0137784,668408936.9283652,P4,1219546842.7838023,1200408936.9283638,2483165.939070249,0.0,2483165.939070249,0.0,16654739.916368227,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,333528129.92772025,R0,1711119870.1674278,641464616.9283653,P4,1219546842.7838023,1200408936.9283638,2483165.939070249,0.0,2483165.939070249,0.0,16654739.916368231,0.0,22989724.0617264,R0,1.862645149230957e-09,4.825741052627564e-09,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,174645882.0107315,R0,1782994390.0137784,668408936.9283652,0.0,0.0,0.0,0.0,0.0,0.0,-3.725290298461914e-09,unchanged,unchanged,P4->P4,0.0,-22989724.0617264,10399999.999999998,26944320.0,R0->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,158882247.91698876,-71874519.84635067,-26944319.99999988,R0->R0,0.0,0.0,0.0,0.0,0.0,0.0,3.725290298461914e-09,unchanged,unchanged,P4->P4,0.0,22989724.0617264,-10399999.999999998,-26944320.0,NONE->R0,0.0,0.0,0.0,0.0,NONE->NONE,0.0,-158882247.91698876,71874519.84635067,26944319.99999988,R0->R0,d779b9f6669e3cfb0cd1b49bfa97719d364d27fd116abf71a2d8b07651851c2d
LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,P1,1231601707.3162727,1212463801.4608343,19137905.85543848,19137905.85543848,0.0,0.0,0.0,17637799.914796602,0.0,NONE,0.0,0.0,535093.150015588,0.0,NONE,9241830.293561982,514437241.4608342,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1231601707.3162727,1212463801.4608343,19137905.85543848,19137905.85543848,0.0,0.0,0.0,17637799.914796602,0.0,NONE,0.0,0.0,535093.150015588,0.0,NONE,9241830.293561982,514437241.4608342,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1231601707.3162727,1212463801.4608343,19137905.85543848,19137905.85543848,0.0,0.0,0.0,17637799.914796602,0.0,NONE,0.0,0.0,535093.150015588,0.0,NONE,9241830.293561982,514437241.4608342,0.0,0.0,NONE,1862000000.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P1->P1,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P1->P1,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,053dacd6d14d15715bcabd84dca0cdd7d4fa8bbcff649251b8c867c470a093bd
LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,P4,1228010902.1554124,1208872996.299974,7589533.079963017,0.0,5188605.7251329925,2400927.3548300248,11548372.775475461,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,929394.5921887123,R2,8693268.832638219,483902116.29997385,0.0,0.0,NONE,1862000000.0,698026560.0,P4,1228010902.1554124,1208872996.299974,7589533.079963017,0.0,5188605.725132992,2400927.354830025,11548372.775475461,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,138001015.2037785,R2,1733697920.1343775,649928676.2999754,P4,1228010902.1554124,1208872996.299974,7589533.079963015,0.0,5188605.725132992,2400927.3548300243,11548372.775475461,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,929394.5921887122,R2,8693268.832638219,483902116.29997385,0.0,0.0,NONE,1862000000.0,698026560.0,0.0,0.0,0.0,0.0,-9.313225746154785e-10,4.656612873077393e-10,0.0,unchanged,unchanged,P4->P4,0.0,0.0,0.0,0.0,NONE->NONE,0.0,-929394.5921887123,864075.2317480706,48097883.700024605,R2->NONE,0.0,138001015.2037785,-128302079.86562252,-48097883.700024605,NONE->R2,0.0,0.0,-1.862645149230957e-09,0.0,0.0,-9.313225746154785e-10,0.0,unchanged,unchanged,P4->P4,0.0,0.0,0.0,0.0,NONE->NONE,0.0,929394.5921887122,-864075.2317480706,-48097883.700024605,NONE->R2,0.0,-138001015.2037785,128302079.86562252,48097883.700024605,R2->NONE,ebb0622ca304ac77ca0b9167fc7532acd8cea980f36dda5863257b3d71cbf5c8
LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,P4,1224101753.973965,1204963848.1185265,1537727.6813731613,0.0,1537727.6813731613,0.0,17600178.174065318,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,295507077.09389716,R0,1723270188.1096032,646019528.118528,P4,1224101753.973965,1204963848.1185265,1537727.6813731613,0.0,1537727.6813731613,0.0,17600178.174065318,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,295507077.09389716,R0,1723270188.1096032,646019528.118528,P4,1224101753.973965,1204963848.1185265,1537727.6813731613,0.0,1537727.6813731613,0.0,17600178.174065318,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,295507077.09389716,R0,1723270188.1096032,646019528.118528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P4->P4,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,R0->R0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P4->P4,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,R0->R0,61e265cfe816196284c07b6850abb64948c060d4ae997c68fbfdf26a45dec524
LA-0008,8,ac30e053d86741bf9a879366d9c9e2bce5e3aae131aedc9e7814d9d440230770,P1,1234247683.2378776,1215109777.3824391,19137905.85543843,19137905.85543843,0.0,0.0,0.0,18778115.09301475,0.0,NONE,0.0,0.0,483859.6496734721,0.0,NONE,9289365.072262846,517083217.3824391,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1234247683.2378776,1215109777.3824391,19137905.85543843,19137905.85543843,0.0,0.0,0.0,18778115.09301475,0.0,NONE,0.0,0.0,483859.6496734721,0.0,NONE,9289365.072262846,517083217.3824391,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1234247683.2378774,1215109777.382439,19137905.85543848,19137905.85543848,0.0,0.0,0.0,18778115.09301475,0.0,NONE,0.0,0.0,483859.6496734755,0.0,NONE,9289365.072262844,517083217.38243896,0.0,0.0,NONE,1862000000.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P1->P1,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,-2.384185791015625e-07,-2.384185791015625e-07,4.842877388000488e-08,4.842877388000488e-08,0.0,0.0,0.0,unchanged,unchanged,P1->P1,0.0,0.0,0.0,0.0,NONE->NONE,3.3760443329811096e-09,0.0,-1.862645149230957e-09,-1.1920928955078125e-07,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0826f5eaebf3c1044d192479571a796af099e0286bf7261d13b9e4a38a10975f
LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,P1,1231866555.1965904,1212728649.341152,19137905.85543848,19137905.85543848,0.0,0.0,0.0,17745663.72808323,0.0,NONE,0.0,0.0,530246.9102912714,0.0,NONE,9246588.26784191,514702089.341152,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1231866555.1965904,1212728649.341152,19137905.85543848,19137905.85543848,0.0,0.0,0.0,17745663.72808323,0.0,NONE,0.0,0.0,530246.9102912714,0.0,NONE,9246588.26784191,514702089.341152,0.0,0.0,NONE,1862000000.0,698026560.0,P1,1231866555.1965904,1212728649.341152,19137905.85543848,19137905.85543848,0.0,0.0,0.0,17745663.72808323,0.0,NONE,0.0,0.0,530246.9102912714,0.0,NONE,9246588.26784191,514702089.341152,0.0,0.0,NONE,1862000000.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P1->P1,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P1->P1,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,0.0,0.0,0.0,0.0,NONE->NONE,597887b8a97fa0e3459bd4cbf350b1a380fe761f4a8c789f7d8a494d4d4f1513
LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,P4,1216833970.5307605,1197696064.675322,5384998.5007976815,0.0,5384998.5007976815,0.0,13752907.354640795,0.0,426298.26574119116,R0,10065747.003106233,26078337.33564763,0.0,1237781.1835201595,R0,8586821.5374626,477976834.06131816,0.0,14920439.30094169,R0,1850301145.1087182,693640893.2783562,P4,1216833970.5307605,1197696064.675322,5384998.5007976815,0.0,5384998.5007976815,0.0,13752907.354640797,0.0,426298.26574119116,R0,10065747.003106233,26078337.33564763,0.0,1338265.7747305832,R0,8508033.331051925,473591167.33967435,0.0,0.0,NONE,1862000000.0,698026560.0,P4,1216833970.5307605,1197696064.675322,5384998.5007976815,0.0,5384998.5007976815,0.0,13752907.354640797,0.0,0.0,NONE,10400000.0,26944320.000000004,0.0,0.0,NONE,9557344.06438629,531999999.99999845,0.0,201658343.0203944,R0,1703883228.4339616,638751744.6753235,0.0,0.0,0.0,0.0,0.0,0.0,1.862645149230957e-09,unchanged,unchanged,P4->P4,0.0,0.0,0.0,0.0,R0->R0,0.0,100484.59121042374,-78788.20641067438,-4385666.7216438055,R0->R0,0.0,-14920439.30094169,11698854.891281843,4385666.7216438055,R0->NONE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,unchanged,P4->P4,0.0,-426298.26574119116,334252.99689376727,865982.6643523723,R0->NONE,0.0,-1338265.7747305832,1049310.7333343644,58408832.6603241,R0->NONE,0.0,201658343.0203944,-158116771.56603837,-59274815.32467651,NONE->R0,ddf29d11e110c88621ee3f427efbf693d5278d2931d241ec0afdb6cb9ab52908
