cell,simulation_id,sample_index,input_sha256,baseline_T_COST_REF,treated_T_COST_REF,delta_T_COST_REF,baseline_reference_shortage_loss,treated_reference_shortage_loss,delta_reference_shortage_loss,baseline_first_stage_cost,treated_first_stage_cost,delta_first_stage_cost,baseline_C_Q,treated_C_Q,delta_C_Q,baseline_C_F,treated_C_F,delta_C_F,baseline_C_R,treated_C_R,delta_C_R,baseline_emergency_expenditure,treated_emergency_expenditure,delta_emergency_expenditure,T_COST_REF_direction,baseline_Q_Water,treated_Q_Water,delta_Q_Water,baseline_F_Water,treated_F_Water,delta_F_Water,baseline_shortage_Water,treated_shortage_Water,delta_shortage_Water,baseline_reference_shortage_loss_Water,treated_reference_shortage_loss_Water,delta_reference_shortage_loss_Water,R_transition_Water,baseline_Q_Vaccine,treated_Q_Vaccine,delta_Q_Vaccine,baseline_F_Vaccine,treated_F_Vaccine,delta_F_Vaccine,baseline_shortage_Vaccine,treated_shortage_Vaccine,delta_shortage_Vaccine,baseline_reference_shortage_loss_Vaccine,treated_reference_shortage_loss_Vaccine,delta_reference_shortage_loss_Vaccine,R_transition_Vaccine,baseline_Q_Crackers,treated_Q_Crackers,delta_Q_Crackers,baseline_F_Crackers,treated_F_Crackers,delta_F_Crackers,baseline_shortage_Crackers,treated_shortage_Crackers,delta_shortage_Crackers,baseline_reference_shortage_loss_Crackers,treated_reference_shortage_loss_Crackers,delta_reference_shortage_loss_Crackers,R_transition_Crackers,audit_row_sha256
E2D_LAMBDA_WATER,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,1129507408.2703202,1129507408.2703202,0.0,1110369502.4148817,1110369502.4148817,0.0,98638.65331107801,98638.65331107801,0.0,0.0,0.0,0.0,98638.65331107801,98638.65331107801,0.0,0.0,0.0,0.0,19039267.2021274,19039267.2021274,0.0,unchanged,0.0,0.0,0.0,13509125.819073599,13509125.819073599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R0->R0,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,414610174.2448552,414610174.2448552,0.0,1542812373.0657363,1542812373.0657363,0.0,578369502.4148833,578369502.4148833,0.0,R0->R0,4c46437706422916d2e622911478d728e73181a75b76bcbe05b87e1e45076313
E2D_LAMBDA_VACCINE,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,1129507408.2703202,1129507408.2703202,0.0,1110369502.4148817,1110369502.4148817,0.0,98638.65331107801,98638.65331107803,1.4551915228366852e-11,0.0,0.0,0.0,98638.65331107801,98638.65331107803,1.4551915228366852e-11,0.0,0.0,0.0,19039267.2021274,19039267.2021274,0.0,unchanged,0.0,0.0,0.0,13509125.819073599,0.0,-13509125.819073599,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,R0->NONE,0.0,0.0,0.0,0.0,3421035.2344956743,3421035.2344956743,9557344.06438629,6923660.218720926,-2633683.8456653636,531999999.99999845,385398622.41488165,-146601377.5851168,NONE->R0,0.0,0.0,0.0,414610174.2448552,0.0,-414610174.2448552,1542812373.0657363,1862000000.0,319187626.9342637,578369502.4148833,698026560.0,119657057.58511674,R0->NONE,31117270be2be5e2385ba2c21191a55c7829f02f447ec33cd5b568e7ccea4aef
E2D_LAMBDA_CRACKERS,LA-0001,1,8eed2552771574a91080a1a09e19cc627254076a2b3b214743b9abc34586428f,1129507408.2703202,1129507408.2703202,0.0,1110369502.4148817,1110369502.4148817,0.0,98638.65331107801,98638.65331107803,1.4551915228366852e-11,0.0,0.0,0.0,98638.65331107801,98638.65331107803,1.4551915228366852e-11,0.0,0.0,0.0,19039267.2021274,19039267.2021274,0.0,unchanged,0.0,0.0,0.0,13509125.819073599,0.0,-13509125.819073599,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,R0->NONE,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,414610174.2448552,507971898.45541835,93361724.21056312,1542812373.0657363,1470937853.2193854,-71874519.84635091,578369502.4148833,551425182.4148831,-26944320.00000012,R0->R0,8c0ae32f7321fd5963e42b35ce89f4daec083d968939bce00a29a59aa840b754
E2D_LAMBDA_WATER,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,1217715138.4542887,1217715138.4542887,0.0,1198577232.5988503,1198577232.5988503,0.0,10083587.872734142,10083587.872734142,0.0,0.0,0.0,0.0,10083587.872734142,10083587.872734142,0.0,0.0,0.0,0.0,9054317.982704338,9054317.982704336,-1.862645149230957e-09,unchanged,0.0,0.0,0.0,18499196.389126413,18499196.389126413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R0->R0,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,149223978.31402862,149223978.31402862,0.0,1778108281.580377,1778108281.580377,0.0,666577232.5988518,666577232.5988518,0.0,R0->R0,26fdae923da9a905c78ecc6096e77ac94cd659e0885070812172c0e66410c17f
E2D_LAMBDA_VACCINE,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,1217715138.4542887,1217715138.4542887,0.0,1198577232.5988503,1198577232.5988503,0.0,10083587.872734142,10083587.87273414,-1.862645149230957e-09,0.0,0.0,0.0,10083587.872734142,10083587.87273414,-1.862645149230957e-09,0.0,0.0,0.0,9054317.982704338,9054317.982704336,-1.862645149230957e-09,unchanged,0.0,0.0,0.0,18499196.389126413,0.0,-18499196.389126413,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,R0->NONE,0.0,0.0,0.0,0.0,1865996.029665704,1865996.029665704,9557344.06438629,8508306.133207284,-1049037.9311790057,531999999.99999845,473606352.59885025,-58393647.4011482,NONE->R0,0.0,0.0,0.0,149223978.31402862,0.0,-149223978.31402862,1778108281.580377,1862000000.0,83891718.4196229,666577232.5988518,698026560.0,31449327.4011482,R0->NONE,d80619bf17eb5ec7138fa3116ed12d2577f1090a11d039736c90547bbac0e4e2
E2D_LAMBDA_CRACKERS,LA-0002,2,ba30741249fd5b686feb55d0712b0c2a3c3c0b651171c2a2e35601989f1cea31,1217715138.4542887,1217715138.4542887,0.0,1198577232.5988503,1198577232.5988503,0.0,10083587.872734142,10083587.872734144,1.862645149230957e-09,0.0,0.0,0.0,10083587.872734142,10083587.872734144,1.862645149230957e-09,0.0,0.0,0.0,9054317.982704338,9054317.982704334,-3.725290298461914e-09,unchanged,0.0,0.0,0.0,18499196.389126413,0.0,-18499196.389126413,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,R0->NONE,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,149223978.31402862,277072137.73824096,127848159.42421234,1778108281.580377,1706233761.7340264,-71874519.84635067,666577232.5988518,639632912.5988518,-26944320.0,R0->R0,9f60b27ea8572a5bb36f38d529e30403f7a5558cee333223380c1cb006268ff2
E2D_LAMBDA_WATER,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,1220456158.4677374,1220456158.4677374,0.0,1201318252.612299,1201318252.612299,0.0,19137905.85543848,19137905.85543848,0.0,19137905.85543848,19137905.85543848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,14045150.246489204,14045150.246489204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE->NONE,696508.1881789276,696508.1881789276,0.0,0.0,0.0,0.0,9041601.261359207,9041601.261359207,0.0,503291692.6122989,503291692.6122989,0.0,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,NONE->NONE,b2389564e2d70689a517ba510f43577c3848b61fcd8cae21703c944ab21aeb32
E2D_LAMBDA_VACCINE,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,1220456158.4677374,1221390686.7696242,934528.301886797,1201318252.612299,1202252780.9141858,934528.301886797,19137905.85543848,19137905.85543848,0.0,19137905.85543848,19137905.85543848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,worsened,14045150.246489204,0.0,-14045150.246489204,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,NONE->NONE,696508.1881789276,1327546.188640294,631038.0004613663,0.0,0.0,0.0,9041601.261359207,8574337.110415813,-467264.15094339475,503291692.6122989,477281900.9141858,-26009791.698113084,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,NONE->NONE,8a9a8a844a5a04d12867d10d954feada5cf884204247f43201fc615922dedc7e
E2D_LAMBDA_CRACKERS,LA-0003,3,59411aa182359257e699b7fb7a72fa14dc02ccf983236a3bbbfb7a7ce21e6809,1220456158.4677374,1225093084.1610587,4636925.693321228,1201318252.612299,1205955178.3056202,4636925.693321228,19137905.85543848,19137905.85543848,0.0,19137905.85543848,19137905.85543848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,worsened,14045150.246489204,0.0,-14045150.246489204,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,NONE->NONE,696508.1881789276,0.0,-696508.1881789276,0.0,0.0,0.0,9041601.261359207,9557344.06438629,515742.80302708223,503291692.6122989,531999999.99999845,28708307.387699544,NONE->NONE,0.0,204203007.42038497,204203007.42038497,0.0,0.0,0.0,1862000000.0,1725914581.4810653,-136085418.51893473,698026560.0,647010858.3056217,-51015701.69437826,NONE->NONE,5e981a72516c097350a1775ca36e445266c5f37de6e8a7a134c9fa6d8efab0d7
E2D_LAMBDA_WATER,LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,1219546842.7838023,1219546842.7838023,0.0,1200408936.9283638,1200408936.9283638,0.0,2483165.939070249,2483165.939070249,0.0,0.0,0.0,0.0,2483165.939070249,2483165.939070249,0.0,0.0,0.0,0.0,16654739.916368227,16654739.91636823,1.862645149230957e-09,unchanged,0.0,0.0,0.0,0.0,22989724.0617264,22989724.0617264,10400000.0,0.0,-10400000.0,26944320.000000004,0.0,-26944320.000000004,NONE->R0,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,333528129.92772025,174645882.0107315,-158882247.91698876,1711119870.1674278,1782994390.0137784,71874519.84635067,641464616.9283653,668408936.9283652,26944319.99999988,R0->R0,bf62f9170f47de41f76d6bcf640515b2ae78e19c0bcc8694a7a2d26ccadf56ff
