cell,metric,min,Q25,median,mean,Q75,max,comparison,improved,unchanged,worsened
E2D_BASELINE,T_COST_REF,1129507408.2703202,1210234293.4941888,1221497114.0713663,1216585453.1364605,1228098287.9657083,1243661166.3035135,,,,
E2D_BASELINE,reference_shortage_loss,1110369502.4148817,1191096387.6387503,1202359208.215928,1197447547.281022,1208960382.11027,1224523260.448075,,,,
E2D_LAMBDA_WATER,T_COST_REF,1129507408.2703202,1210234293.4941888,1221497114.0713663,1216585453.1364605,1228098287.9657083,1243661166.3035135,,,,
E2D_LAMBDA_WATER,reference_shortage_loss,1110369502.4148817,1191096387.6387503,1202359208.215928,1197447547.281022,1208960382.11027,1224523260.448075,,,,
E2D_LAMBDA_VACCINE,T_COST_REF,1129507408.2703202,1210234293.4941888,1221974094.442293,1216794426.7711637,1228420891.3222675,1244579553.4329598,,,,
E2D_LAMBDA_VACCINE,reference_shortage_loss,1110369502.4148817,1191096387.6387503,1202836188.5868545,1197656520.9157252,1209282985.466829,1225441647.5775213,,,,
E2D_LAMBDA_CRACKERS,T_COST_REF,1129507408.2703202,1210234293.4941888,1222784351.0269403,1217368633.3035905,1229405229.3187814,1244579553.4329598,,,,
E2D_LAMBDA_CRACKERS,reference_shortage_loss,1110369502.4148817,1191096387.6387503,1203646445.171502,1198230727.448152,1210267323.463343,1225441647.5775213,,,,
,T_COST_REF,-2.384185791015625e-07,0.0,0.0,-2.1696090698242187e-08,0.0,2.384185791015625e-07,E2D_LAMBDA_WATER,0,1000,0
,reference_shortage_loss,-2.384185791015625e-07,0.0,0.0,-2.1696090698242187e-08,0.0,2.384185791015625e-07,E2D_LAMBDA_WATER,0,0,0
,C_Q,-4.0978193283081055e-08,0.0,0.0,-1.266598701477051e-10,0.0,0.0,E2D_LAMBDA_WATER,0,0,0
,C_F,-3.725290298461914e-09,0.0,0.0,3.804871084867046e-12,0.0,1.862645149230957e-09,E2D_LAMBDA_WATER,0,0,0
,C_R,-9.313225746154785e-10,0.0,0.0,5.355104804039001e-12,0.0,1.862645149230957e-09,E2D_LAMBDA_WATER,0,0,0
,first_stage_cost,-4.0978193283081055e-08,0.0,0.0,-1.184312168334145e-10,0.0,3.725290298461914e-09,E2D_LAMBDA_WATER,0,0,0
,emergency_expenditure,-3.725290298461914e-09,0.0,0.0,1.126900315284729e-10,0.0,3.725290298461914e-09,E2D_LAMBDA_WATER,0,0,0
,T_COST_REF,-2.384185791015625e-07,0.0,0.0,208973.6347033274,2.384185791015625e-07,934528.3018870354,E2D_LAMBDA_VACCINE,0,759,241
,reference_shortage_loss,-2.384185791015625e-07,0.0,0.0,208973.6347033274,2.384185791015625e-07,934528.3018870354,E2D_LAMBDA_VACCINE,0,0,0
,C_Q,-15797462.063222937,0.0,0.0,-354376.7153187063,0.0,7.450580596923828e-08,E2D_LAMBDA_VACCINE,0,0,0
,C_F,-3.725290298461914e-09,0.0,0.0,102850.05438216655,0.0,5919928.399741156,E2D_LAMBDA_VACCINE,0,0,0
,C_R,-1.3969838619232178e-09,0.0,0.0,11806.609014694088,0.0,3405505.354963214,E2D_LAMBDA_VACCINE,0,0,0
,first_stage_cost,-9797189.062345712,-4.656612873077393e-10,0.0,-239720.05192184565,0.0,7.450580596923828e-08,E2D_LAMBDA_VACCINE,0,0,0
,emergency_expenditure,-5.587935447692871e-09,0.0,0.0,239720.05192184573,0.0,9797189.062345713,E2D_LAMBDA_VACCINE,0,0,0
,T_COST_REF,-2.384185791015625e-07,0.0,0.0,783180.1671301563,2.384185791015625e-07,4682918.804445267,E2D_LAMBDA_CRACKERS,0,759,241
,reference_shortage_loss,-2.384185791015625e-07,0.0,0.0,783180.1671301563,2.384185791015625e-07,4682918.804445267,E2D_LAMBDA_CRACKERS,0,0,0
,C_Q,-19137905.85543848,0.0,0.0,-1540926.878355891,0.0,7.450580596923828e-08,E2D_LAMBDA_CRACKERS,0,0,0
,C_F,-3.725290298461914e-09,0.0,0.0,439003.6924360169,2.3283064365386963e-10,11954044.772568164,E2D_LAMBDA_CRACKERS,0,0,0
,C_R,-9.313225746154785e-10,0.0,0.0,43728.900441327554,0.0,5016689.171807512,E2D_LAMBDA_CRACKERS,0,0,0
,first_stage_cost,-18499189.78436683,-2.3283064365386963e-10,0.0,-1058194.2854785465,0.0,7.450580596923828e-08,E2D_LAMBDA_CRACKERS,0,0,0
,emergency_expenditure,-7.450580596923828e-09,0.0,0.0,1058194.2854785477,0.0,18499189.78436683,E2D_LAMBDA_CRACKERS,0,0,0
