case_id,simulation_id,sample_index,input_sha256,model_kind,algorithm_identity,implementation_revision,status,certificate_status,failure_type,failure_message,data_sha256,scenario_sha256,budget_ratio,budget,beta,lambda_Water,lambda_Vaccine,lambda_Crackers,gamma_D,h_V_tau,a_C,result_sha256,iterations,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,policy_label,mixed_aggregate_QF,same_item_QF_coexistence,cross_item_specialization,portfolio_pattern,T_COST,certified_objective,C_Q,C_F,C_R,first_stage_cost,worst_scenario,worst_category,worst_hurricane,exact_worst_case_loss,worst_exercise_cost,worst_shortage_penalty,worst_total_shortage,worst_total_F_exercise,budget_spend,budget_residual,budget_usage,Q_budget_share,F_reservation_budget_share,R_budget_share,emergency_budget_share,Q_Water,F_Water,R_Water,z_R0_Water,z_R1_Water,z_R2_Water,Q_active_Water,F_active_Water,same_item_QF_Water,worst_exercise_Water,worst_shortage_Water,Q_Vaccine,F_Vaccine,R_Vaccine,z_R0_Vaccine,z_R1_Vaccine,z_R2_Vaccine,Q_active_Vaccine,F_active_Vaccine,same_item_QF_Vaccine,worst_exercise_Vaccine,worst_shortage_Vaccine,Q_Crackers,F_Crackers,R_Crackers,z_R0_Crackers,z_R1_Crackers,z_R2_Crackers,Q_active_Crackers,F_active_Crackers,same_item_QF_Crackers,worst_exercise_Crackers,worst_shortage_Crackers,row_sha256,experiment_part,background_simulation_id,background_sample_index,phi,psi,eta_1,eta_2,c_R1_ratio,c_R2_ratio,m_F,shortage_loss_Water,shortage_loss_Vaccine,shortage_loss_Crackers,paid_R_Vaccine,R_level_numeric_Vaccine,F_total,paid_R_any,R1_item_count,R2_item_count
E3A_H050_MF080,LA-0914,914,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,b872a0002564c5c46532846cc97bf5d9cfc0c07e64324a71933f2e3552430fb4,663f493f16f0700e13d30c199b9ffec8598ea4a3081af7144c9ab504b83bf900,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,c431841c43e0f6439d93a78653da85c749a18f2e683c63ad9e5006eb0da56b08,3,2,2,15416cf8d80508cd71a25b742eedb6cbb0232293944431561fca4ea7d8dac651,P4,False,False,False,Q[NONE]|F[Water+Crackers],1199597673.9902155,1199597673.9902155,0.0,6131016.83835086,0.0,6131016.83835086,h09,5,Katrina,1193466657.1518648,13006889.017087618,1180459768.134777,1739336921.8887,142620422.1756863,19137905.85543848,0.0,1.0,0.0,0.32035985988553656,0.0,0.6796401401144635,0.0,20834416.584864948,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,0,1,False,False,False,0.0,9557344.06438629,0.0,264878399.67643884,R0,1,0,0,False,True,False,132220422.17568631,1729779577.8243136,e953f431d8e9ad312b80f6ce22de899911cf0651c159d38665fb234cac45cafc,E3A,LA-0914,914,0.16,0.68,0.41703436585592946,0.5904406859922471,0.1119855930660333,0.24608150148315483,0.8,0.0,531999999.99999845,648459768.1347787,False,0,285712816.2613038,False,0,0
E3A_H050_MF080,LA-0802,802,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,d57d8084106741b9e3e19f991be737abe3a3a35b8ecdb0b94e63d3af59d47f38,da223cdfa2b470b81c36af832a8aea97cd5aa8e81eb2840b7c8398688c2572d1,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,32ba430406c6e6503762f58611d8521394931f9203481b2adab2c9629df42976,3,2,2,aab5f3cb7a0a8db1bde1727f2a075ecdea4bff1f7fa1b6a26c45d97918adec96,P4,False,False,False,Q[NONE]|F[Crackers],1188010729.5474637,1188010729.5474637,0.0,4161236.283083032,0.0,4161236.283083032,h09,5,Katrina,1183849493.2643807,14976669.572355445,1168872823.6920252,1646953992.8373985,235003351.22698787,19137905.85543848,0.0,1.0,0.0,0.21743425401481534,0.0,0.7825657459851846,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,277504553.6627075,R0,1,0,0,False,True,False,235003351.22698787,1626996648.7730122,f3dcb1a4d6dcbe08f25280e3c7b177e408b4ddfd4888681955ae7ed47606433c,E3A,LA-0802,802,0.16,0.68,0.22450693111694414,0.6983941516583669,0.264049851643112,0.35249072367712136,0.8,26944320.000000004,531999999.99999845,609928503.6920267,False,0,277504553.6627075,False,0,0
E3A_H050_MF080,LA-0642,642,df36bdc338b56dbdb6049ba0f8338289089a63b99a8d10e273f60fe82107fd03,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,d0cb01d5beecbb36a6094add7163ec03c140af804cb8abcd349a924588b87bf8,838f7b2cf72dadf93254870bff0c3d4d70a6ef253054161c13854ebb2bac251a,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,415ac11518d8e3ed24bbbb49b027b4fe9361b7a6d8b2ef0dc4d6507a041e789d,3,2,2,eb3a26480fd83778e3ce515f74a07abc620d00e16cdba1979cf7e9f5f42b06d9,P4,False,False,False,Q[NONE]|F[Crackers],1198946733.4531045,1198946733.4531045,0.0,6020356.947041972,0.0,6020356.947041972,h09,5,Katrina,1192926376.5060625,13117548.908396507,1179808827.597666,1676126004.9629874,205831339.10139883,19137905.85543848,0.0,1.0,0.0,0.3145776237231906,0.0,0.6854223762768094,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,401485605.19646096,R0,1,0,0,False,True,False,205831339.10139883,1656168660.898601,b42dab965adf09d8b543ba7d84c8315003b510448e88c8abb77aad4c69e2806e,E3A,LA-0642,642,0.16,0.68,0.06699705468517274,0.4844005160083719,0.16895822976115987,0.5937229103707351,0.8,26944320.000000004,531999999.99999845,620864507.5976676,False,0,401485605.19646096,False,0,0
E3A_H050_MF080,LA-0765,765,029044c21e5aaa3ef1fdc23ba9f93ecbcab421d4ba2aea33a2a93e86bd5dc97c,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,2a1e7121af0ae07bdd292151109cb65abc86bb0832a032972eb8318b0b2ed2b4,3b50a601f0d7492d5e9b297e39ce5dbdbcb31f8499d382c4c3f9f6d074b7a2a1,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,542c2dadcc4d0d049f81e2580b52af37c633fc6292908e308963cb138fb4885a,3,2,2,a1cdba0ef02912186c4f7a90eb9677f4b0963a6c445e3bec6f07f5cc802b5d70,P4,False,False,False,Q[NONE]|F[Water+Crackers],1197336355.4928024,1197336355.4928024,0.0,5746592.693790615,0.0,5746592.693790615,h09,5,Katrina,1191589762.7990117,13391313.161647864,1178198449.637364,1733304808.952792,148652535.11159435,19137905.85543848,0.0,1.0,0.0,0.3002728060843495,0.0,0.6997271939156505,0.0,18967474.959288407,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,252144374.78724107,R0,1,0,0,False,True,False,138252535.11159435,1723747464.8884056,a20770eb3919e67c61efdced8d7c25e603725b24f268b0cc868ff3d995db68ad,E3A,LA-0765,765,0.16,0.68,0.1898448484679951,0.4371363058080994,0.28539794189257744,0.5283998480867639,0.8,0.0,531999999.99999845,646198449.6373655,False,0,271111849.74652946,False,0,0
E3A_H050_MF080,LA-0334,334,edaf1d3f884b2a1b1bc5dfef3d1a8ae510e3ba39112540125e89d3ae561834b0,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,d43a557eb7860a314765135dec8a28ea130d038466cdc19af7be3230d4550bb3,dfcb4cb0c3a31cc625229332ea177ead411bcdbc9a62105ff67c9ce2e224a241,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,7c537b0884857a889c5fcea7bd585a5e373899dde3222db4f5b5c2ac8508e0c1,3,2,2,df58539d385fe16e62086631e5c73fdf9786327fc711c2663ec85a1f5af46698,P4,False,False,False,Q[NONE]|F[Water+Crackers],1189057490.0908477,1189057490.0908477,0.0,4339185.575458294,0.0,4339185.575458294,h09,5,Katrina,1184718304.5153894,14798720.27998018,1169919584.2354093,1711220767.6543636,170736576.41002268,19137905.855438475,3.725290298461914e-09,0.9999999999999998,0.0,0.2267325175614872,0.0,0.7732674824385126,0.0,12960039.706589645,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,199804653.5281287,R0,1,0,0,False,True,False,160336576.41002268,1701663423.5899773,a746df3cb0815df03eff26ee031aaf005dbac26ab2fbc3ba5f6114c6aa91be66,E3A,LA-0334,334,0.16,0.68,0.2895217928490091,0.7929187165613949,0.17394007451564966,0.24644435350093383,0.8,0.0,531999999.99999845,637919584.2354107,False,0,212764693.23471835,False,0,0
E3A_H050_MF080,LA-0396,396,4a8ce3956cb01a1d091e6fc01863a6d00473bea19495791f759d72580abea560,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,76e8776c7e3945c5fba24aaada032ed7446efcbd80dc1de1e2ddb0d5ca205ccb,15cfdb765b791e74408fa2af35f9876e005e17106ccaa9b3f7daa14f2218a0b2,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,0b5933cee405f2507642fabf8076dae8fe1854f25498450664e749538af2a7bd,3,2,2,7ed9bc1294c5d0c6d3796ed3c7c99fcd5e8ec43a381b9c96c430856c58d6f83f,P4,False,False,False,Q[NONE]|F[Crackers],1188014104.7823486,1188014104.7823486,0.0,4161810.073013425,0.0,4161810.073013425,h09,5,Katrina,1183852294.709335,14976095.782425053,1168876198.92691,1646962996.34488,234994347.71950638,19137905.85543848,0.0,1.0,0.0,0.21746423587044403,0.0,0.7825357641295559,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,277542818.5695039,R0,1,0,0,False,True,False,234994347.71950638,1627005652.2804937,56c7d1010014e998c714dc010afaad78351c6d90561129dd443d2a812658963b,E3A,LA-0396,396,0.16,0.68,0.2258018163452346,0.4689931271083667,0.24058119227255972,0.5575706905747949,0.8,26944320.000000004,531999999.99999845,609931878.9269115,False,0,277542818.5695039,False,0,0
E3A_H050_MF080,LA-0358,358,65f12d3443be917eb572e0eca29833f1866f1a45141d44db32bfff161cc2c593,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,1270fd97dfcb500dc8aa074222596e6ff2ac78faa19eaa46ebfa8ecc9cfd6a3d,dba0f2fd04b4d9003b835f260817787fcc69acbc22a653076f34b70045485ed8,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,592662742f57218eed46265465e1100eb2349f070fc623be3dbd0ccf5bdd49a2,3,2,2,67a1d4e871c36aab17243d281d02d9dc7d0b862673a42904c7e566c21785b43c,P4,False,False,False,Q[NONE]|F[Crackers],1210251222.630765,1210251222.630765,0.0,7942120.107244257,0.0,7942120.107244257,h09,5,Katrina,1202309102.5235207,11195785.74819422,1191113316.7753265,1706280959.0220478,175676385.04233858,19137905.85543848,0.0,1.0,0.0,0.41499420925342884,0.0,0.5850057907465711,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,0.0,NONE,1,0,0,False,False,False,0.0,9557344.06438629,0.0,529644159.94746697,R0,1,0,0,False,True,False,175676385.04233858,1686323614.9576614,92d0a1158f2c05c189b61711199213c65cf214707558b2a3e9e96b6402bd6941,E3A,LA-0358,358,0.16,0.68,0.18122989396527178,0.8836407375974568,0.169448012860699,0.30677213883897214,0.8,26944320.000000004,531999999.99999845,632168996.775328,False,0,529644159.94746697,False,0,0
E3A_H050_MF080,LA-0467,467,10bba651114fcf8a3e1f592ebce456644653baea223751f04413e110919e8399,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,315e337677184102bd5b677b0fedfc22c91b2acf334d4791a0e3e3ed1d455970,84d3ed63a907a0ce646917e3248ec6fa8d786775cf8b8b995e5155801c8ef810,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,438b8713c208c36e27ced3642ceb5437072f1c9169b6cbf85ee0168489d09f09,3,2,2,7e95437045db44d0e9fb0aa4ab494a8dec7097930bb1a2a8f79aa11c1cc374cf,P4,False,False,False,Q[NONE]|F[Vaccine],1205517237.8365471,1205517237.8365471,0.0,6293328.07016428,844014.6220629379,7137342.692227218,h09,5,Katrina,1198379895.14432,12000563.16321126,1186379331.9811087,1880689171.6725552,1268172.3918311612,19137905.85543848,0.0,1.0,0.0,0.328840998471935,0.044101722959573014,0.627057278568492,0.0,0.0,NONE,1,0,0,False,False,False,0.0,10400000.0,0.0,2826480.3419464463,R1,0,1,0,False,True,False,1268172.3918311612,8289171.672555128,0.0,0.0,NONE,1,0,0,False,False,False,0.0,1862000000.0,4d32cfe576744bfde1fba1ae3d72d7ef5ad85efcef6caf3133a3588f05ec8d77,E3A,LA-0467,467,0.16,0.68,0.16440350159778977,0.6856890866437177,0.021458016811531793,0.5243704835539995,0.8,26944320.000000004,461408451.98110867,698026560.0,True,1,2826480.3419464463,True,1,0
E3A_H050_MF080,LA-0021,21,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,59f641749d651a5be54d70b3541218c4a1c9a017836b3d8816e0f2ab359f5e20,cf90ac8884db2cbc00c8e1bf27ef07477342ce2234e2ca26bd75adc27c64b1dd,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,92db8a96b0a05d7babe236399032680c5f0520bd8c90620b9f45822bce2d1dc6,3,2,2,b1236f667a638397dcdaa29fa3cb785ad995e160af9de38cc65e95348e698561,P4,False,False,False,Q[NONE]|F[Water+Crackers],1203686691.2662616,1203686691.2662616,0.0,6826149.775278667,0.0,6826149.775278667,h09,5,Katrina,1196860541.490983,12311756.080159811,1184548785.410823,1750244458.36983,131712885.69455655,19137905.85543848,0.0,1.0,0.0,0.3566821692426112,0.0,0.6433178307573888,0.0,24506318.847034913,R0,1,0,0,False,True,False,10400000.0,0.0,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,285858870.87352914,R0,1,0,0,False,True,False,121312885.69455655,1740687114.3054435,22a293cb4842ffa4cd1039a4c2b658f15e895a2b9d9cb39db3461448c1c724ab,E3A,LA-0021,21,0.16,0.68,0.4895801788402024,0.7979024230837806,0.1780116821200538,0.5815412425832497,0.8,0.0,531999999.99999845,652548785.4108247,False,0,310365189.72056407,False,0,0
E3A_H050_MF080,LA-0148,148,7151e912cd4a11e3ecf51701a50a70afb496f08ac17c31ec24434fead2eac7fd,M2,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,,,61f0bfcbc9a2915c8f0800e80a4879ac586af3196b4fb11c8f0fbce70cda1ffb,02cf3e213965b52416d4cc06db651e7a6598e5563a55e7a199c466e6a67ce357,1.0,19137905.85543848,4.0,1.0,1.0,1.0,1.0,0.5,0.9,e71115553de2938074cca9584f98976e6e1135432cfda83c3db94e50b8b740f5,3,2,2,0853972bf0bc29202871e4d36dacf7930aa95883eb8b0a492aee46c2261d7ea3,P4,False,False,False,Q[NONE]|F[Water+Crackers],1189698117.4789383,1189698117.4789383,0.0,4448092.231433711,0.0,4448092.231433711,h09,5,Katrina,1185250025.2475047,14689813.624004766,1170560211.6234999,1712929654.1996334,169027689.8647531,19137905.85543848,0.0,1.0,0.0,0.23242314310840248,0.0,0.7675768568915975,0.0,13383810.1463789,R0,1,0,0,False,True,False,10399999.999999996,3.725290298461914e-09,0.0,0.0,NONE,0,1,0,False,False,False,0.0,9557344.06438629,0.0,204138738.95274305,R0,1,0,0,False,True,False,158627689.8647531,1703372310.135247,84921a0da3680e0b254a3b4bd2c5de1ed5c223506ac2e230946a5b7540b82540,E3A,LA-0148,148,0.16,0.68,0.05591599509288373,0.4695359446158535,0.020611356015534925,0.45254055164375706,0.8,9.651482105255128e-09,531999999.99999845,638560211.6235014,False,0,217522549.09912196,False,0,0
