case_id,commodity,Q_active,F_active,Q_mean,Q_median,F_mean,F_median
E3A_H000_MF080,Water,0,96,0.0,0.0,8204636.748226607,0.0
E3A_H000_MF080,Vaccine,0,56,0.0,0.0,547875.8134139542,0.0
E3A_H000_MF080,Crackers,0,144,0.0,0.0,235386284.64366883,251660290.5972175
E3A_H000_MF100,Water,5,88,361843.81980445934,0.0,7493639.879907391,0.0
E3A_H000_MF100,Vaccine,5,49,17539.623763912983,0.0,378361.5113703975,0.0
E3A_H000_MF100,Crackers,0,146,0.0,0.0,168448222.35719022,173453322.83107617
E3A_H000_MF120,Water,20,76,1496462.0225802127,0.0,6271947.821773222,0.0
E3A_H000_MF120,Vaccine,32,56,150388.50854016608,0.0,321823.13677280373,0.0
E3A_H000_MF120,Crackers,0,112,0.0,0.0,98165261.90689102,104704926.59093732
E3A_H050_MF080,Water,0,88,0.0,0.0,7508230.828443145,0.0
E3A_H050_MF080,Vaccine,0,54,0.0,0.0,540011.2763419733,0.0
E3A_H050_MF080,Crackers,0,146,0.0,0.0,241366918.57599315,266763020.62692195
E3A_H050_MF100,Water,5,97,361843.81980445934,0.0,8578750.461940221,0.0
E3A_H050_MF100,Vaccine,2,44,6916.817806939888,0.0,348278.3128836016,0.0
E3A_H050_MF100,Crackers,0,154,0.0,0.0,168619288.70611432,177167101.25319582
E3A_H050_MF120,Water,32,70,2391190.828638196,0.0,5692278.31550642,0.0
E3A_H050_MF120,Vaccine,24,55,78966.49635356483,0.0,317853.65932565095,0.0
E3A_H050_MF120,Crackers,0,121,0.0,0.0,107682473.48244566,110143642.47015041
E3A_H100_MF080,Water,0,88,0.0,0.0,7301521.480082754,0.0
E3A_H100_MF080,Vaccine,0,53,0.0,0.0,532690.0927126775,0.0
E3A_H100_MF080,Crackers,0,147,0.0,0.0,243882574.1064915,263890351.3647348
E3A_H100_MF100,Water,5,92,361843.81980445934,0.0,7849749.096763257,0.0
E3A_H100_MF100,Vaccine,1,48,3365.8025076385834,0.0,381713.939372304,0.0
E3A_H100_MF100,Crackers,0,151,0.0,0.0,169787449.23717216,174236342.79873914
E3A_H100_MF120,Water,32,70,2391190.828638196,0.0,5537798.475002768,0.0
E3A_H100_MF120,Vaccine,18,58,56946.26227190407,0.0,336321.46165328333,0.0
E3A_H100_MF120,Crackers,0,124,0.0,0.0,109650477.24678801,112190830.90309745
