contrast,outcome,min,Q25,median,mean,Q75,max,unchanged,decreased,increased
EXTREME,Q_Vaccine,-1375244.743851572,0.0,0.0,-93442.24626826198,0.0,0.0,168,32,
EXTREME,F_Vaccine,-3566991.2812788594,0.0,0.0,29684.045581756272,0.0,2801776.7171755293,164,16,20
EXTREME,paid_R_Vaccine,-1.0,0.0,0.0,0.005,0.0,1.0,195,2,3
EXTREME,R_level_numeric_Vaccine,-1.0,0.0,0.0,0.01,0.0,2.0,195,2,3
EXTREME,worst_shortage_Vaccine,-2050706.8711064346,0.0,0.0,39675.93951426593,0.0,1439111.0797100533,137,15,48
EXTREME,shortage_loss_Vaccine,-114150547.27326858,0.0,0.0,2208521.4971220978,0.0,80106679.14098042,137,15,48
EXTREME,T_COST,-2.384185791015625e-07,0.0,0.0,224511.10190172197,0.0,2029389.7944157124,168,,32
EXTREME,C_Q,-10115999.283550305,0.0,0.0,-663880.1891134742,0.0,7.450580596923828e-08,186,14,
EXTREME,C_F,-2.7939677238464355e-09,0.0,0.0,192634.6893092822,0.0,3317894.3176573263,186,,14
EXTREME,C_R,-4.656612873077393e-10,0.0,0.0,11986.57566792134,0.0,1189311.5373082517,197,,3
H0_050_M080_100,Q_Vaccine,-699151.3224274417,0.0,0.0,-10622.805956973094,0.0,0.0,195,5,
H0_050_M080_100,F_Vaccine,-2659438.5745687163,0.0,0.0,-22218.6614148151,0.0,2534812.8447992397,159,22,19
H0_050_M080_100,paid_R_Vaccine,-1.0,0.0,0.0,-0.015,0.0,1.0,193,5,2
H0_050_M080_100,R_level_numeric_Vaccine,-1.0,0.0,0.0,-0.01,0.0,2.0,193,5,2
H0_050_M080_100,worst_shortage_Vaccine,-1513952.9799335934,0.0,0.0,19422.35134619513,0.0,1557745.667963137,154,19,27
H0_050_M080_100,shortage_loss_Vaccine,-84272678.6750235,0.0,0.0,1081125.7653346064,0.0,86710354.86150008,154,19,27
H0_050_M080_100,T_COST,-2.384185791015625e-07,0.0,0.0,22320.157737435104,0.0,1031485.6060540676,195,,5
H0_050_M080_100,C_Q,-9729389.802900279,0.0,0.0,-144368.55879376765,0.0,3.3527612686157227e-08,197,3,
H0_050_M080_100,C_F,-9.313225746154785e-10,0.0,0.0,60044.1344123156,0.0,4031802.638379163,197,,3
H0_050_M080_100,C_R,-9.313225746154785e-10,0.0,0.0,5.820766091346741e-13,0.0,1.862645149230957e-09,200,,
H0_050_M100_120,Q_Vaccine,-1375244.743851572,0.0,0.0,-60799.20622962815,0.0,669270.7968570384,169,29,2
H0_050_M100_120,F_Vaccine,-2021656.0893873544,0.0,0.0,26113.72103964316,0.0,1811178.5040891012,169,13,18
H0_050_M100_120,paid_R_Vaccine,-1.0,0.0,0.0,0.005,0.0,1.0,193,3,4
H0_050_M100_120,R_level_numeric_Vaccine,-2.0,0.0,0.0,0.0,0.0,1.0,193,3,4
H0_050_M100_120,worst_shortage_Vaccine,-1330914.9276720434,0.0,0.0,21015.27305768528,0.0,1120642.4616700783,143,17,40
H0_050_M100_120,shortage_loss_Vaccine,-74084048.53393668,0.0,0.0,1169794.1594829918,0.0,62379441.98640323,143,17,40
H0_050_M100_120,T_COST,-2.384185791015625e-07,0.0,0.0,109219.36454037904,0.0,1049888.2551853657,170,,30
H0_050_M100_120,C_Q,-10115999.283550305,0.0,0.0,-230541.06693443714,0.0,9729389.802900279,189,8,3
H0_050_M100_120,C_F,-4031802.638379163,0.0,0.0,50658.717147059644,0.0,3056278.7265646793,189,3,8
H0_050_M100_120,C_R,-1.862645149230957e-09,0.0,0.0,3318.158915085053,0.0,663631.7830170111,199,,1
H050_100_M080_100,Q_Vaccine,-686855.3732090498,0.0,0.0,-3551.015299301304,0.0,0.0,198,2,
H050_100_M080_100,F_Vaccine,-3566991.2812788594,0.0,0.0,40756.81011799832,0.0,2659438.5745687163,167,13,20
H050_100_M080_100,paid_R_Vaccine,-1.0,0.0,0.0,0.01,0.0,1.0,196,1,3
H050_100_M080_100,R_level_numeric_Vaccine,-2.0,0.0,0.0,0.005,0.0,1.0,196,1,3
H050_100_M080_100,worst_shortage_Vaccine,-1531776.4670922374,0.0,0.0,-24216.252687155556,0.0,1439111.0797100533,165,20,15
H050_100_M080_100,shortage_loss_Vaccine,-85264805.26422232,0.0,0.0,-1347973.489577827,0.0,80106679.14098042,165,20,15
H050_100_M080_100,T_COST,-4.76837158203125e-07,0.0,0.0,7810.811978913545,0.0,962332.6423873901,198,,2
H050_100_M080_100,C_Q,-9901707.06018166,0.0,0.0,-49508.535300908305,0.0,0.0,199,1,
H050_100_M080_100,C_F,-2.7939677238464355e-09,0.0,0.0,20519.19979248085,0.0,4103839.958496182,199,,1
H050_100_M080_100,C_R,-1.862645149230957e-09,0.0,0.0,-8.149072527885438e-12,0.0,9.313225746154785e-10,200,,
H050_100_M100_120,Q_Vaccine,-689957.9133508776,0.0,0.0,-18469.21878235945,0.0,663831.2590628628,177,22,1
H050_100_M100_120,F_Vaccine,-2373328.9125646465,0.0,0.0,-14967.824161070108,0.0,2488787.2408065945,170,18,12
H050_100_M100_120,paid_R_Vaccine,-1.0,0.0,0.0,0.005,0.0,1.0,197,1,2
H050_100_M100_120,R_level_numeric_Vaccine,-1.0,0.0,0.0,0.015,0.0,2.0,197,1,2
H050_100_M100_120,worst_shortage_Vaccine,-1194735.3655620506,0.0,0.0,23454.567797541073,0.0,1626629.4775240328,151,11,38
H050_100_M100_120,shortage_loss_Vaccine,-66503749.38864601,0.0,0.0,1305575.0618823268,0.0,90544703.23689783,151,11,38
H050_100_M100_120,T_COST,-2.384185791015625e-07,0.0,0.0,85160.76764499425,0.0,979501.5392303467,177,,23
H050_100_M100_120,C_Q,-9946433.278866252,0.0,0.0,-239462.0280843611,0.0,9901707.06018166,193,6,1
H050_100_M100_120,C_F,-4103839.9584961813,0.0,0.0,61412.63795742612,0.0,3317894.317657328,193,1,6
H050_100_M100_120,C_R,-2.3283064365386963e-10,0.0,0.0,8668.416752836294,0.0,1189311.5373082517,198,,2
