comparison,outcome,min,Q25,median,mean,Q75,max,unchanged,increased,decreased
h:0.0->0.5|mF:0.8,Q_Vaccine,0.0,0.0,0.0,0.0,0.0,0.0,200,,
h:0.0->0.5|mF:0.8,F_Vaccine,-3345102.2214788725,0.0,0.0,-7864.537071980845,0.0,2659438.5745687163,174,12,14
h:0.0->0.5|mF:0.8,paid_R_Vaccine,0.0,0.0,0.0,0.01,0.0,1.0,198,2,
h:0.0->0.5|mF:0.8,R_level_numeric_Vaccine,0.0,0.0,0.0,0.01,0.0,1.0,198,2,
h:0.0->0.5|mF:0.8,worst_shortage_Vaccine,-1557745.667963137,0.0,0.0,12072.6579335867,0.0,1529417.0849329196,174,14,12
h:0.0->0.5|mF:0.8,shortage_loss_Vaccine,-86710354.86150008,0.0,0.0,672012.4312151703,0.0,85133472.61570603,174,14,12
h:0.0->0.5|mF:0.8,T_COST,-2.384185791015625e-07,0.0,0.0,9.5367431640625e-09,0.0,2.384185791015625e-07,200,,
h:0.0->0.5|mF:0.8,C_Q,0.0,0.0,0.0,0.0,0.0,0.0,200,,
h:0.0->0.5|mF:0.8,C_F,-1.862645149230957e-09,0.0,0.0,-1.862645149230957e-11,0.0,9.313225746154785e-10,200,,
h:0.0->0.5|mF:0.8,C_R,-4.656612873077393e-10,0.0,0.0,2.3283064365386963e-12,0.0,9.313225746154785e-10,200,,
h:0.5->1.0|mF:0.8,Q_Vaccine,0.0,0.0,0.0,0.0,0.0,0.0,200,,
h:0.5->1.0|mF:0.8,F_Vaccine,-2659438.5745687163,0.0,0.0,-7321.1836292958915,0.0,3566991.2812788594,178,11,11
h:0.5->1.0|mF:0.8,paid_R_Vaccine,-1.0,0.0,0.0,-0.01,0.0,0.0,198,,2
h:0.5->1.0|mF:0.8,R_level_numeric_Vaccine,-1.0,0.0,0.0,-0.01,0.0,0.0,198,,2
h:0.5->1.0|mF:0.8,worst_shortage_Vaccine,-1439111.0797100533,0.0,0.0,4740.862403460271,0.0,1531776.4670922374,178,11,11
h:0.5->1.0|mF:0.8,shortage_loss_Vaccine,-80106679.14098042,0.0,0.0,263895.36482621223,0.0,85264805.26422232,178,11,11
h:0.5->1.0|mF:0.8,T_COST,-2.384185791015625e-07,0.0,0.0,-4.76837158203125e-09,0.0,2.384185791015625e-07,200,,
h:0.5->1.0|mF:0.8,C_Q,0.0,0.0,0.0,0.0,0.0,0.0,200,,
h:0.5->1.0|mF:0.8,C_F,-9.313225746154785e-10,0.0,0.0,3.492459654808044e-11,0.0,2.7939677238464355e-09,200,,
h:0.5->1.0|mF:0.8,C_R,-9.313225746154785e-10,0.0,0.0,-1.1641532182693482e-12,0.0,4.656612873077393e-10,200,,
h:0.0->1.0|mF:0.8,Q_Vaccine,0.0,0.0,0.0,0.0,0.0,0.0,200,,
h:0.0->1.0|mF:0.8,F_Vaccine,-2534812.8447992397,0.0,0.0,-15185.720701276738,0.0,3566991.2812788594,180,8,12
h:0.0->1.0|mF:0.8,paid_R_Vaccine,-1.0,0.0,0.0,0.0,0.0,1.0,198,1,1
h:0.0->1.0|mF:0.8,R_level_numeric_Vaccine,-1.0,0.0,0.0,0.0,0.0,1.0,198,1,1
h:0.0->1.0|mF:0.8,worst_shortage_Vaccine,-1557745.667963137,0.0,0.0,16813.52033704697,0.0,1531776.4670922374,180,12,8
h:0.0->1.0|mF:0.8,shortage_loss_Vaccine,-86710354.86150008,0.0,0.0,935907.7960413826,0.0,85264805.26422232,180,12,8
h:0.0->1.0|mF:0.8,T_COST,-2.384185791015625e-07,0.0,0.0,4.76837158203125e-09,0.0,2.384185791015625e-07,200,,
h:0.0->1.0|mF:0.8,C_Q,0.0,0.0,0.0,0.0,0.0,0.0,200,,
h:0.0->1.0|mF:0.8,C_F,-1.862645149230957e-09,0.0,0.0,1.6298145055770876e-11,0.0,2.7939677238464355e-09,200,,
h:0.0->1.0|mF:0.8,C_R,-2.3283064365386963e-10,0.0,0.0,1.1641532182693482e-12,0.0,4.656612873077393e-10,200,,
h:0.0->0.5|mF:1.0,Q_Vaccine,-699151.3224274417,0.0,0.0,-10622.805956973094,0.0,0.0,195,,5
