panel_index,simulation_id,E3A_H000_MF080_policy_label,E3A_H000_MF080_T_COST,E3A_H000_MF080_C_Q,E3A_H000_MF080_C_F,E3A_H000_MF080_C_R,E3A_H000_MF080_first_stage_cost,E3A_H000_MF080_worst_exercise_cost,E3A_H000_MF080_worst_shortage_penalty,E3A_H000_MF080_budget_usage,E3A_H000_MF080_worst_scenario,E3A_H000_MF080_Q_Vaccine,E3A_H000_MF080_F_Vaccine,E3A_H000_MF080_R_Vaccine,E3A_H000_MF080_paid_R_Vaccine,E3A_H000_MF080_R_level_numeric_Vaccine,E3A_H000_MF080_worst_shortage_Vaccine,E3A_H000_MF080_shortage_loss_Vaccine,E3A_H000_MF080_F_total,E3A_H000_MF080_paid_R_any,E3A_H000_MF080_R1_item_count,E3A_H000_MF080_R2_item_count,E3A_H000_MF100_policy_label,E3A_H000_MF100_T_COST,E3A_H000_MF100_C_Q,E3A_H000_MF100_C_F,E3A_H000_MF100_C_R,E3A_H000_MF100_first_stage_cost,E3A_H000_MF100_worst_exercise_cost,E3A_H000_MF100_worst_shortage_penalty,E3A_H000_MF100_budget_usage,E3A_H000_MF100_worst_scenario,E3A_H000_MF100_Q_Vaccine,E3A_H000_MF100_F_Vaccine,E3A_H000_MF100_R_Vaccine,E3A_H000_MF100_paid_R_Vaccine,E3A_H000_MF100_R_level_numeric_Vaccine,E3A_H000_MF100_worst_shortage_Vaccine,E3A_H000_MF100_shortage_loss_Vaccine,E3A_H000_MF100_F_total,E3A_H000_MF100_paid_R_any,E3A_H000_MF100_R1_item_count,E3A_H000_MF100_R2_item_count,E3A_H000_MF120_policy_label,E3A_H000_MF120_T_COST,E3A_H000_MF120_C_Q,E3A_H000_MF120_C_F,E3A_H000_MF120_C_R,E3A_H000_MF120_first_stage_cost,E3A_H000_MF120_worst_exercise_cost,E3A_H000_MF120_worst_shortage_penalty,E3A_H000_MF120_budget_usage,E3A_H000_MF120_worst_scenario,E3A_H000_MF120_Q_Vaccine,E3A_H000_MF120_F_Vaccine,E3A_H000_MF120_R_Vaccine,E3A_H000_MF120_paid_R_Vaccine,E3A_H000_MF120_R_level_numeric_Vaccine,E3A_H000_MF120_worst_shortage_Vaccine,E3A_H000_MF120_shortage_loss_Vaccine,E3A_H000_MF120_F_total,E3A_H000_MF120_paid_R_any,E3A_H000_MF120_R1_item_count,E3A_H000_MF120_R2_item_count,E3A_H050_MF080_policy_label,E3A_H050_MF080_T_COST,E3A_H050_MF080_C_Q,E3A_H050_MF080_C_F,E3A_H050_MF080_C_R,E3A_H050_MF080_first_stage_cost,E3A_H050_MF080_worst_exercise_cost,E3A_H050_MF080_worst_shortage_penalty,E3A_H050_MF080_budget_usage,E3A_H050_MF080_worst_scenario,E3A_H050_MF080_Q_Vaccine,E3A_H050_MF080_F_Vaccine,E3A_H050_MF080_R_Vaccine,E3A_H050_MF080_paid_R_Vaccine,E3A_H050_MF080_R_level_numeric_Vaccine,E3A_H050_MF080_worst_shortage_Vaccine,E3A_H050_MF080_shortage_loss_Vaccine,E3A_H050_MF080_F_total,E3A_H050_MF080_paid_R_any,E3A_H050_MF080_R1_item_count,E3A_H050_MF080_R2_item_count,E3A_H050_MF100_policy_label,E3A_H050_MF100_T_COST,E3A_H050_MF100_C_Q,E3A_H050_MF100_C_F,E3A_H050_MF100_C_R,E3A_H050_MF100_first_stage_cost,E3A_H050_MF100_worst_exercise_cost,E3A_H050_MF100_worst_shortage_penalty,E3A_H050_MF100_budget_usage,E3A_H050_MF100_worst_scenario,E3A_H050_MF100_Q_Vaccine,E3A_H050_MF100_F_Vaccine,E3A_H050_MF100_R_Vaccine,E3A_H050_MF100_paid_R_Vaccine,E3A_H050_MF100_R_level_numeric_Vaccine,E3A_H050_MF100_worst_shortage_Vaccine,E3A_H050_MF100_shortage_loss_Vaccine,E3A_H050_MF100_F_total,E3A_H050_MF100_paid_R_any,E3A_H050_MF100_R1_item_count,E3A_H050_MF100_R2_item_count,E3A_H050_MF120_policy_label,E3A_H050_MF120_T_COST,E3A_H050_MF120_C_Q,E3A_H050_MF120_C_F,E3A_H050_MF120_C_R,E3A_H050_MF120_first_stage_cost,E3A_H050_MF120_worst_exercise_cost,E3A_H050_MF120_worst_shortage_penalty,E3A_H050_MF120_budget_usage,E3A_H050_MF120_worst_scenario,E3A_H050_MF120_Q_Vaccine,E3A_H050_MF120_F_Vaccine,E3A_H050_MF120_R_Vaccine,E3A_H050_MF120_paid_R_Vaccine,E3A_H050_MF120_R_level_numeric_Vaccine,E3A_H050_MF120_worst_shortage_Vaccine,E3A_H050_MF120_shortage_loss_Vaccine,E3A_H050_MF120_F_total,E3A_H050_MF120_paid_R_any,E3A_H050_MF120_R1_item_count,E3A_H050_MF120_R2_item_count,E3A_H100_MF080_policy_label,E3A_H100_MF080_T_COST,E3A_H100_MF080_C_Q,E3A_H100_MF080_C_F,E3A_H100_MF080_C_R,E3A_H100_MF080_first_stage_cost,E3A_H100_MF080_worst_exercise_cost,E3A_H100_MF080_worst_shortage_penalty,E3A_H100_MF080_budget_usage,E3A_H100_MF080_worst_scenario,E3A_H100_MF080_Q_Vaccine,E3A_H100_MF080_F_Vaccine,E3A_H100_MF080_R_Vaccine,E3A_H100_MF080_paid_R_Vaccine,E3A_H100_MF080_R_level_numeric_Vaccine,E3A_H100_MF080_worst_shortage_Vaccine,E3A_H100_MF080_shortage_loss_Vaccine,E3A_H100_MF080_F_total,E3A_H100_MF080_paid_R_any,E3A_H100_MF080_R1_item_count,E3A_H100_MF080_R2_item_count,E3A_H100_MF100_policy_label,E3A_H100_MF100_T_COST,E3A_H100_MF100_C_Q,E3A_H100_MF100_C_F,E3A_H100_MF100_C_R,E3A_H100_MF100_first_stage_cost,E3A_H100_MF100_worst_exercise_cost,E3A_H100_MF100_worst_shortage_penalty,E3A_H100_MF100_budget_usage,E3A_H100_MF100_worst_scenario,E3A_H100_MF100_Q_Vaccine,E3A_H100_MF100_F_Vaccine,E3A_H100_MF100_R_Vaccine,E3A_H100_MF100_paid_R_Vaccine,E3A_H100_MF100_R_level_numeric_Vaccine,E3A_H100_MF100_worst_shortage_Vaccine,E3A_H100_MF100_shortage_loss_Vaccine,E3A_H100_MF100_F_total,E3A_H100_MF100_paid_R_any,E3A_H100_MF100_R1_item_count,E3A_H100_MF100_R2_item_count,E3A_H100_MF120_policy_label,E3A_H100_MF120_T_COST,E3A_H100_MF120_C_Q,E3A_H100_MF120_C_F,E3A_H100_MF120_C_R,E3A_H100_MF120_first_stage_cost,E3A_H100_MF120_worst_exercise_cost,E3A_H100_MF120_worst_shortage_penalty,E3A_H100_MF120_budget_usage,E3A_H100_MF120_worst_scenario,E3A_H100_MF120_Q_Vaccine,E3A_H100_MF120_F_Vaccine,E3A_H100_MF120_R_Vaccine,E3A_H100_MF120_paid_R_Vaccine,E3A_H100_MF120_R_level_numeric_Vaccine,E3A_H100_MF120_worst_shortage_Vaccine,E3A_H100_MF120_shortage_loss_Vaccine,E3A_H100_MF120_F_total,E3A_H100_MF120_paid_R_any,E3A_H100_MF120_R1_item_count,E3A_H100_MF120_R2_item_count,row_sha256
1,LA-0914,P4,1199597673.9902155,0.0,6131016.83835086,0.0,6131016.83835086,13006889.017087618,1180459768.134777,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,285712816.2613038,False,0,0,P4,1214899896.36326,0.0,6131016.83835086,0.0,6131016.83835086,13006889.017087616,1195761990.5078216,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,203939757.70455417,False,0,0,P4,1225101377.9452894,0.0,6131016.83835086,0.0,6131016.83835086,13006889.017087618,1205963472.089851,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,149424385.33338773,False,0,0,P4,1199597673.9902155,0.0,6131016.83835086,0.0,6131016.83835086,13006889.017087618,1180459768.134777,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,285712816.2613038,False,0,0,P4,1214899896.36326,0.0,6131016.83835086,0.0,6131016.83835086,13006889.017087616,1195761990.5078216,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,203939757.70455417,False,0,0,P4,1225101377.9452894,0.0,6131016.83835086,0.0,6131016.83835086,13006889.017087618,1205963472.089851,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,149424385.33338773,False,0,0,P4,1199597673.9902155,0.0,6131016.83835086,0.0,6131016.83835086,13006889.017087618,1180459768.134777,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,285712816.2613038,False,0,0,P4,1214899896.36326,0.0,6131016.83835086,0.0,6131016.83835086,13006889.017087616,1195761990.5078216,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,203939757.70455417,False,0,0,P4,1225101377.9452894,0.0,6131016.83835086,0.0,6131016.83835086,13006889.017087618,1205963472.089851,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,272576861.8558321,False,0,0,02e6369a618ca58e79ab7d63b00bd277ecd5fd4969cebadd25ba6fc4500e26d7
2,LA-0802,P4,1188010729.5474637,0.0,4161236.283083032,0.0,4161236.283083032,14976669.572355445,1168872823.6920252,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,277504553.6627075,False,0,0,P4,1205630340.8090584,0.0,4161236.283083032,0.0,4161236.283083032,14976669.572355445,1186492434.95362,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,222003642.930166,False,0,0,P4,1217376748.3167882,0.0,4161236.2830830314,0.0,4161236.2830830314,14976669.572355445,1198238842.4613497,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,185003035.77513832,False,0,0,P4,1188010729.5474637,0.0,4161236.283083032,0.0,4161236.283083032,14976669.572355445,1168872823.6920252,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,277504553.6627075,False,0,0,P4,1205630340.8090584,0.0,4161236.283083032,0.0,4161236.283083032,14976669.572355445,1186492434.95362,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,222003642.930166,False,0,0,P4,1217376748.3167882,0.0,4161236.2830830314,0.0,4161236.2830830314,14976669.572355445,1198238842.4613497,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,185003035.77513832,False,0,0,P4,1188010729.5474637,0.0,4161236.283083032,0.0,4161236.283083032,14976669.572355445,1168872823.6920252,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,277504553.6627075,False,0,0,P4,1205630340.8090584,0.0,4161236.283083032,0.0,4161236.283083032,14976669.572355445,1186492434.95362,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,149411234.76866177,False,0,0,P4,1217376748.3167882,0.0,4161236.2830830314,0.0,4161236.2830830314,14976669.572355445,1198238842.4613497,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,185003035.77513832,False,0,0,a9e3ac3a385e656189bc9ecbb16c84cf501d9f115285d631d80a7075af35d223
3,LA-0642,P4,1198946733.4531045,0.0,6020356.947041972,0.0,6020356.947041972,13117548.908396507,1179808827.597666,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,281576096.21486056,False,0,0,P4,1214379143.933571,0.0,6020356.947041972,0.0,6020356.947041972,13117548.908396505,1195241238.0781326,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,201278975.1755684,False,0,0,P1,1220159913.137852,19137905.85543848,0.0,0.0,19137905.85543848,0.0,1201022007.2824135,1.0,h09,1375244.743851572,0.0,NONE,False,0,8552226.3452575,476051127.2824135,0.0,False,0,0,P4,1198946733.4531045,0.0,6020356.947041972,0.0,6020356.947041972,13117548.908396507,1179808827.597666,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,401485605.19646096,False,0,0,P4,1214379143.933571,0.0,6020356.947041972,0.0,6020356.947041972,13117548.908396505,1195241238.0781326,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,201278975.1755684,False,0,0,P1,1221165897.9019191,19137905.85543848,0.0,0.0,19137905.85543848,0.0,1202027992.0464807,1.0,h09,688215.5357769011,0.0,NONE,False,0,9054351.6823527,504001432.04648066,0.0,False,0,0,P4,1198946733.4531045,0.0,6020356.947041972,0.0,6020356.947041972,13117548.908396507,1179808827.597666,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,401485605.19646096,False,0,0,P4,1214379143.933571,0.0,6020356.947041971,0.0,6020356.947041971,13117548.908396507,1195241238.0781326,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,321188484.15716875,False,0,0,P1,1222104439.3323803,19137905.85543848,0.0,0.0,19137905.85543848,0.0,1202966533.4769418,1.0,h09,665145.8275516094,0.0,NONE,False,0,9071212.5157542,504939973.4769418,0.0,False,0,0,080d1426436159347e6d9140a2569566d3bc65e2f697f220d95a4b977bb2ab05
4,LA-0765,P4,1197336355.4928024,0.0,5746592.693790615,0.0,5746592.693790615,13391313.161647864,1178198449.637364,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,271111849.74652946,False,0,0,P4,1213090841.5653293,0.0,5746592.693790614,0.0,5746592.693790614,13391313.161647864,1193952935.7098908,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,194466087.18530172,False,0,0,P4,1223593832.2803473,0.0,5746592.693790614,0.0,5746592.693790614,13391313.161647864,1204455926.4249089,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,255485875.2040926,False,0,0,P4,1197336355.4928024,0.0,5746592.693790615,0.0,5746592.693790615,13391313.161647864,1178198449.637364,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,271111849.74652946,False,0,0,P4,1213090841.5653293,0.0,5746592.693790614,0.0,5746592.693790614,13391313.161647864,1193952935.7098908,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,194466087.18530172,False,0,0,P4,1223593832.280347,0.0,5746592.693790613,0.0,5746592.693790613,13391313.161647864,1204455926.4249086,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,143368912.14448318,False,0,0,P4,1197336355.4928024,0.0,5746592.693790615,0.0,5746592.693790615,13391313.161647864,1178198449.637364,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,271111849.74652946,False,0,0,P4,1213090841.5653293,0.0,5746592.693790614,0.0,5746592.693790614,13391313.161647864,1193952935.7098908,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,194466087.18530172,False,0,0,P4,1223593832.280347,0.0,5746592.693790613,0.0,5746592.693790613,13391313.161647864,1204455926.4249086,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,143368912.14448318,False,0,0,75d3c9bddfe2f1fda2ce418f1171751fe951451537fc2a0679a8ac150992a6bf
5,LA-0334,P4,1189057490.0908477,0.0,4339185.575458294,0.0,4339185.575458294,14798720.27998018,1169919584.2354093,0.9999999999999998,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,289371637.2878184,False,0,0,P4,1206467749.2437654,0.0,4339185.575458296,0.0,4339185.575458296,14798720.279980183,1187329843.388327,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,154890365.77715474,False,0,0,P4,1218074588.679044,0.0,4339185.575458293,0.0,4339185.575458293,14798720.27998018,1198936682.8236055,0.9999999999999998,h09,0.0,1280281.5647711067,R0,False,0,8529960.77119704,474811736.36791205,1687170.0044625783,False,0,0,P4,1189057490.0908477,0.0,4339185.575458294,0.0,4339185.575458294,14798720.27998018,1169919584.2354093,0.9999999999999998,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,212764693.23471835,False,0,0,P4,1206467749.2437654,0.0,4339185.575458296,0.0,4339185.575458296,14798720.279980183,1187329843.388327,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,154890365.77715474,False,0,0,P4,1218074588.679044,0.0,4339185.575458293,0.0,4339185.575458293,14798720.27998018,1198936682.8236055,0.9999999999999998,h09,0.0,1280281.5647711067,R0,False,0,8529960.77119704,474811736.36791205,1687170.0044625783,False,0,0,P4,1189057490.0908477,0.0,4339185.575458294,0.0,4339185.575458294,14798720.27998018,1169919584.2354093,0.9999999999999998,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,212764693.23471835,False,0,0,P4,1206467749.2437654,0.0,4339185.575458296,0.0,4339185.575458296,14798720.279980183,1187329843.388327,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,154890365.77715474,False,0,0,P4,1218074588.679044,0.0,4339185.575458293,0.0,4339185.575458293,14798720.27998018,1198936682.8236055,0.9999999999999998,h09,0.0,1280281.5647711067,R0,False,0,8529960.77119704,474811736.36791205,1687170.0044625783,False,0,0,77b3fb3ae11651c060ed0dce2734cb1e82bf288e3a83209d06e19f7b46449f11
6,LA-0396,P4,1188014104.7823484,0.0,4161810.073013424,0.0,4161810.073013424,14976095.782425053,1168876198.92691,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,204937619.02347726,False,0,0,P4,1205633040.9969664,0.0,4161810.073013425,0.0,4161810.073013425,14976095.782425053,1186495135.1415277,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,149429055.30957654,False,0,0,P4,1217378998.473378,0.0,4161810.073013424,0.0,4161810.073013424,14976095.782425052,1198241092.6179395,0.9999999999999998,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,112423346.16697599,False,0,0,P4,1188014104.7823486,0.0,4161810.073013425,0.0,4161810.073013425,14976095.782425053,1168876198.92691,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,277542818.5695039,False,0,0,P4,1205633040.9969664,0.0,4161810.073013425,0.0,4161810.073013425,14976095.782425053,1186495135.1415277,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,149429055.30957654,False,0,0,P4,1217378998.473378,0.0,4161810.073013424,0.0,4161810.073013424,14976095.782425053,1198241092.6179395,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,112423346.166976,False,0,0,P4,1188014104.7823484,0.0,4161810.073013424,0.0,4161810.073013424,14976095.782425053,1168876198.92691,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,204937619.02347726,False,0,0,P4,1205633040.9969664,0.0,4161810.073013425,0.0,4161810.073013425,14976095.782425053,1186495135.1415277,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,149429055.30957654,False,0,0,P4,1217378998.473378,0.0,4161810.073013424,0.0,4161810.073013424,14976095.782425052,1198241092.6179395,0.9999999999999998,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,112423346.16697599,False,0,0,9a065a921f149bd743dacac25088795e001cb972267fb48848ae68cf09c2e059
7,LA-0358,P4,1210251222.630765,0.0,7942120.107244257,0.0,7942120.107244257,11195785.74819422,1191113316.7753265,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,529644159.94746697,False,0,0,P4,1221409673.8373015,0.0,2965571.2994799707,4548773.252104702,7514344.551584673,11623561.303853802,1202271767.981863,0.9999999999999998,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,158214431.256934,True,0,1,P4,1228646002.1070597,0.0,3087895.1577336947,3947000.8418686283,7034895.999602323,12103009.855836153,1209508096.2516212,1.0,h09,0.0,924563.7987848803,R2,True,2,8704678.360369742,484537216.2516213,924563.7987848803,True,0,1,P4,1210251222.630765,0.0,7942120.107244257,0.0,7942120.107244257,11195785.74819422,1191113316.7753265,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,529644159.94746697,False,0,0,P4,1221409673.8373015,0.0,2965571.2994799707,4548773.252104702,7514344.551584673,11623561.303853802,1202271767.981863,0.9999999999999998,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,158214431.256934,True,0,1,P4,1228646002.1070597,0.0,3087895.1577336947,3947000.8418686283,7034895.999602323,12103009.855836153,1209508096.2516212,1.0,h09,0.0,924563.7987848803,R2,True,2,8704678.360369742,484537216.2516213,924563.7987848803,True,0,1,P4,1210251222.630765,0.0,7942120.107244258,0.0,7942120.107244258,11195785.748194221,1191113316.7753265,1.0,h09,0.0,3566991.2812788594,R0,False,0,8374217.389611356,466142436.77532655,3566991.2812788594,False,0,0,P4,1221409673.8373015,0.0,2965571.2994799707,4548773.252104702,7514344.551584673,11623561.303853802,1202271767.981863,0.9999999999999998,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,158214431.256934,True,0,1,P4,1228646002.1070597,0.0,3087895.1577336947,3947000.8418686283,7034895.999602323,12103009.855836153,1209508096.2516212,1.0,h09,0.0,924563.7987848803,R2,True,2,8704678.360369742,484537216.2516213,924563.7987848803,True,0,1,389cbe054142b1dc92890196e60ea4646299be12b7f8f8c440e2e76ccb03de8d
8,LA-0467,P4,1205517237.8365471,0.0,6293328.07016428,844014.6220629379,7137342.692227218,12000563.16321126,1186379331.9811087,1.0,h09,0.0,2826480.3419464463,R1,True,1,8289171.672555128,461408451.98110867,2826480.3419464463,True,1,0,P4,1219133001.387927,0.0,6349331.36069385,681220.2953987733,7030551.656092623,12107354.199345855,1199995095.5324886,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,338739402.51247597,True,1,0,P4,1228345607.692507,0.0,6387223.93024847,571071.4936428743,6958295.423891344,12179610.431547131,1209207701.8370686,0.9999999999999998,h09,0.0,1912434.1076963176,R1,True,1,8699281.795003386,484236821.8370685,1912434.1076963176,True,1,0,P4,1205517237.8365471,0.0,6293328.07016428,844014.6220629379,7137342.692227218,12000563.16321126,1186379331.9811087,1.0,h09,0.0,2826480.3419464463,R1,True,1,8289171.672555128,461408451.98110867,2826480.3419464463,True,1,0,P4,1219133001.387927,0.0,6349331.36069385,681220.2953987733,7030551.656092623,12107354.199345855,1199995095.5324886,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,338739402.51247597,True,1,0,P4,1228345607.692507,0.0,6387223.93024847,571071.4936428743,6958295.423891344,12179610.431547131,1209207701.8370686,0.9999999999999998,h09,0.0,1912434.1076963176,R1,True,1,8699281.795003386,484236821.8370685,1912434.1076963176,True,1,0,P4,1205517237.8365471,0.0,6293328.07016428,844014.6220629379,7137342.692227218,12000563.16321126,1186379331.9811087,1.0,h09,0.0,2826480.3419464463,R1,True,1,8289171.672555128,461408451.98110867,2826480.3419464463,True,1,0,P4,1219133001.387927,0.0,6349331.36069385,681220.2953987733,7030551.656092623,12107354.199345855,1199995095.5324886,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,338739402.51247597,True,1,0,P4,1228345607.692507,0.0,6387223.93024847,571071.4936428743,6958295.423891344,12179610.431547131,1209207701.8370686,0.9999999999999998,h09,0.0,1912434.1076963176,R1,True,1,8699281.795003386,484236821.8370685,1912434.1076963176,True,1,0,c8c8663015e76760381c0c9ece5c7e95cb3ee8cd65d0c2560ff27b14d83e8794
9,LA-0021,P4,1203686691.2662616,0.0,6826149.775278667,0.0,6826149.775278667,12311756.080159811,1184548785.410823,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,310365189.72056407,False,0,0,P4,1218171110.1840966,0.0,6826149.775278666,0.0,6826149.775278666,12311756.080159811,1199033204.328658,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,364177858.2628396,False,0,0,P4,1227827389.4626534,0.0,6826149.775278668,0.0,6826149.775278668,12311756.08015981,1208689483.607215,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,303481548.55236644,False,0,0,P4,1203686691.2662616,0.0,6826149.775278667,0.0,6826149.775278667,12311756.080159811,1184548785.410823,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,310365189.72056407,False,0,0,P4,1218171110.1840966,0.0,6826149.775278666,0.0,6826149.775278666,12311756.080159811,1199033204.328658,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,364177858.2628396,False,0,0,P4,1227827389.4626534,0.0,6826149.775278668,0.0,6826149.775278668,12311756.08015981,1208689483.607215,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,303481548.55236644,False,0,0,P4,1203686691.2662616,0.0,6826149.775278667,0.0,6826149.775278667,12311756.080159811,1184548785.410823,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,310365189.72056407,False,0,0,P4,1218171110.1840966,0.0,6826149.775278666,0.0,6826149.775278666,12311756.080159811,1199033204.328658,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,364177858.2628396,False,0,0,P4,1227827389.4626534,0.0,6826149.775278668,0.0,6826149.775278668,12311756.08015981,1208689483.607215,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,303481548.55236644,False,0,0,5d8ab9a84709e0beac13089d05f20810c8c3de0d37467a702db07365cd67a358
10,LA-0148,P4,1189698117.4789383,0.0,4448092.231433711,0.0,4448092.231433711,14689813.624004766,1170560211.6234999,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,217522549.09912196,False,0,0,P4,1206980251.154238,0.0,4448092.231433711,0.0,4448092.231433711,14689813.624004766,1187842345.2987995,1.0,h09,0.0,1579222.0051655606,R0,False,0,8330196.587390328,463692062.8404952,1986830.0540842155,False,0,0,P4,1218501673.6044378,0.0,4448092.231433711,0.0,4448092.231433711,14689813.624004766,1199363767.7489994,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,197756270.07014292,False,0,0,P4,1189698117.4789383,0.0,4448092.231433711,0.0,4448092.231433711,14689813.624004766,1170560211.6234999,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,217522549.09912196,False,0,0,P4,1206980251.154238,0.0,4448092.231433712,0.0,4448092.231433712,14689813.624004766,1187842345.2987995,1.0,h09,0.0,975263.5330094093,R0,False,0,8799507.496744746,489815785.2987996,14359073.67938831,False,0,0,P4,1218501673.6044378,0.0,4448092.231433711,0.0,4448092.231433711,14689813.624004768,1199363767.7489994,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,118644414.0640505,False,0,0,P4,1189698117.4789383,0.0,4448092.231433711,0.0,4448092.231433711,14689813.624004766,1170560211.6234999,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,217522549.09912196,False,0,0,P4,1206980251.154238,0.0,4448092.231433711,0.0,4448092.231433711,14689813.624004766,1187842345.2987995,1.0,h09,0.0,1579222.0051655606,R0,False,0,8330196.587390328,463692062.8404952,1986830.0540842155,False,0,0,P4,1218501673.6044378,0.0,4448092.231433711,0.0,4448092.231433711,14689813.624004768,1199363767.7489994,1.0,h09,0.0,0.0,NONE,False,0,9557344.06438629,531999999.99999845,118644414.0640505,False,0,0,96780d4769edbe149dffe7d6babf900125a1ddb5ab7eeff9383dd3fd00917985
