case_id,commodity,NONE,R0,R1,R2
E3A_H000_MF080,Water,104,90,2,4
E3A_H000_MF080,Vaccine,144,29,20,7
E3A_H000_MF080,Crackers,56,142,2,0
E3A_H000_MF100,Water,112,85,1,2
E3A_H000_MF100,Vaccine,151,18,21,10
E3A_H000_MF100,Crackers,54,136,5,5
E3A_H000_MF120,Water,124,65,3,8
E3A_H000_MF120,Vaccine,144,19,23,14
E3A_H000_MF120,Crackers,88,102,6,4
E3A_H050_MF080,Water,112,82,1,5
E3A_H050_MF080,Vaccine,146,25,22,7
E3A_H050_MF080,Crackers,54,146,0,0
E3A_H050_MF100,Water,103,96,0,1
E3A_H050_MF100,Vaccine,156,14,19,11
E3A_H050_MF100,Crackers,46,143,7,4
E3A_H050_MF120,Water,130,61,1,8
E3A_H050_MF120,Vaccine,145,18,23,14
E3A_H050_MF120,Crackers,79,110,7,4
E3A_H100_MF080,Water,112,84,1,3
E3A_H100_MF080,Vaccine,147,26,20,7
E3A_H100_MF080,Crackers,53,145,2,0
E3A_H100_MF100,Water,108,91,0,1
E3A_H100_MF100,Vaccine,152,18,20,10
E3A_H100_MF100,Crackers,49,140,6,5
E3A_H100_MF120,Water,130,60,4,6
E3A_H100_MF120,Vaccine,142,20,23,15
E3A_H100_MF120,Crackers,76,112,8,4
