case_id,commodity,shortage_min,shortage_Q25,shortage_median,shortage_mean,shortage_Q75,shortage_max,valued_min,valued_Q25,valued_median,valued_mean,valued_Q75,valued_max
E3A_H000_MF080,Water,0.0,0.0,10400000.0,5660147.211041114,10400000.0,10400000.0,0.0,0.0,26944320.000000004,14664309.39436532,26944320.000000004,26944320.000000004
E3A_H000_MF080,Vaccine,7990261.605683884,8653353.959164642,9557344.06438629,9208151.378260467,9557344.06438629,9557344.06438629,444769922.0187877,481680294.7829407,531999999.99999845,512562538.3194907,531999999.99999845,531999999.99999845
E3A_H000_MF080,Crackers,1626996648.7730122,1672537044.701166,1712021660.9635372,1738877487.7188091,1862000000.0,1862000000.0,609928503.6920267,627000687.3175731,641802680.2620108,651870392.5960271,698026560.0,698026560.0
E3A_H000_MF100,Water,0.0,0.0,10400000.0,5917512.941273042,10400000.0,10400000.0,0.0,0.0,26944320.000000004,15331092.528250199,26944320.000000004,26944320.000000004
E3A_H000_MF100,Vaccine,8291721.306394735,9049449.460979111,9557344.06438629,9281671.783576006,9557344.06438629,9557344.06438629,461550374.79915655,503728554.7959413,531999999.99999845,516654978.1609748,531999999.99999845,531999999.99999845
E3A_H000_MF100,Crackers,1673997319.0184097,1709314545.9203267,1755533343.720181,1766881292.6214478,1862000000.0,1862000000.0,627548114.9536214,640787836.9746121,658114339.8938215,662368458.9779283,698026560.0,698026560.0
E3A_H000_MF120,Water,0.0,0.0,10400000.0,5508722.168691876,10400000.0,10400000.0,0.0,0.0,26944320.000000004,14271997.394646915,26944320.000000004,26944320.000000004
E3A_H000_MF120,Vaccine,8513843.462872034,8924965.716018843,9557344.06438629,9233440.14835798,9557344.06438629,9557344.06438629,473914582.5173089,496799291.61647284,531999999.99999845,513970212.4181985,531999999.99999845,531999999.99999845
E3A_H000_MF120,Crackers,1705331099.182008,1737287881.8814752,1800433477.4306657,1802212545.091765,1862000000.0,1862000000.0,639294522.4613512,651274481.1597275,674946502.019208,675613438.9040009,698026560.0,698026560.0
E3A_H050_MF080,Water,0.0,0.0,10400000.0,6177744.962686854,10400000.0,10400000.0,0.0,0.0,26944320.000000004,16005301.649329104,26944320.000000004,26944320.000000004
E3A_H050_MF080,Vaccine,7990261.605683884,8767970.953348853,9557344.06438629,9220224.036194054,9557344.06438629,9557344.06438629,444769922.0187877,488060335.1472106,531999999.99999845,513234550.7507059,531999999.99999845,531999999.99999845
E3A_H050_MF080,Crackers,1626996648.7730122,1664881111.7113686,1708665036.8011289,1733507756.9084725,1862000000.0,1862000000.0,609928503.6920267,624130631.1583579,640544348.9960072,649857387.9098482,698026560.0,698026560.0
E3A_H050_MF100,Water,0.0,0.0,10092282.91308128,5448865.453977015,10400000.0,10400000.0,0.0,0.0,26147086.571210988,14116920.618163653,26944320.000000004,26944320.000000004
