case_id,commodity,Q_active,F_active,Q_mean,Q_median,F_mean,F_median
E3B_LOW_UNFAVORABLE,Water,40,76,3202952.884682183,0.0,5064175.8900962,0.0
E3B_LOW_UNFAVORABLE,Vaccine,32,43,99635.42512761515,0.0,343079.6785642467,0.0
E3B_LOW_UNFAVORABLE,Crackers,0,127,0.0,0.0,121176316.60461125,87715546.91192064
E3B_LOW_REFERENCE,Water,40,73,3202952.884682183,0.0,4844684.130295608,0.0
E3B_LOW_REFERENCE,Vaccine,32,55,99635.42512761515,0.0,433239.39193115215,0.0
E3B_LOW_REFERENCE,Crackers,0,115,0.0,0.0,109305875.30722527,58749808.66209844
E3B_LOW_FAVORABLE,Water,40,80,3202952.884682183,0.0,5498626.434073784,0.0
E3B_LOW_FAVORABLE,Vaccine,32,43,99635.42512761515,0.0,339538.99020748644,0.0
E3B_LOW_FAVORABLE,Crackers,0,128,0.0,0.0,118699562.46289544,87715546.91192064
E3B_MEDIUM_UNFAVORABLE,Water,48,73,3995571.769024711,0.0,5583207.197683524,0.0
E3B_MEDIUM_UNFAVORABLE,Vaccine,41,36,121602.96125252437,0.0,312832.95673570974,0.0
E3B_MEDIUM_UNFAVORABLE,Crackers,0,123,0.0,0.0,148912803.04474232,131713669.09620744
E3B_MEDIUM_REFERENCE,Water,48,73,3995571.769024711,0.0,5322507.031043128,0.0
E3B_MEDIUM_REFERENCE,Vaccine,41,44,121602.96125252437,0.0,408253.5496689259,0.0
E3B_MEDIUM_REFERENCE,Crackers,0,116,0.0,0.0,136545992.61659837,122779593.47023922
E3B_MEDIUM_FAVORABLE,Water,48,68,3995571.769024711,0.0,5482923.323384532,0.0
E3B_MEDIUM_FAVORABLE,Vaccine,41,36,121602.96125252437,0.0,320678.59129403817,0.0
E3B_MEDIUM_FAVORABLE,Crackers,0,123,0.0,0.0,148440908.1970018,141063169.5411893
E3B_HIGH_UNFAVORABLE,Water,58,60,4947287.957603625,0.0,6281578.461533355,0.0
E3B_HIGH_UNFAVORABLE,Vaccine,50,28,143631.38602463712,0.0,257172.1545270092,0.0
E3B_HIGH_UNFAVORABLE,Crackers,0,122,0.0,0.0,166358155.7733064,152197126.98201087
E3B_HIGH_REFERENCE,Water,60,57,5102885.071017626,0.0,5764877.796616566,0.0
E3B_HIGH_REFERENCE,Vaccine,50,43,143631.38602463712,0.0,387251.280244333,0.0
E3B_HIGH_REFERENCE,Crackers,0,107,0.0,0.0,151163498.2577037,75706573.18821892
E3B_HIGH_FAVORABLE,Water,58,44,4947287.957603625,0.0,4302558.259030946,0.0
E3B_HIGH_FAVORABLE,Vaccine,50,32,143631.38602463712,0.0,307093.5269085184,0.0
E3B_HIGH_FAVORABLE,Crackers,0,118,0.0,0.0,167131851.43244556,136420846.8962906
