contrast,outcome,min,Q25,median,mean,Q75,max,unchanged,decreased,increased
EXTREME,F_total,-423816080.2853367,0.0,0.0,890441.1151132254,0.0,617887238.9430542,114,43,43
EXTREME,F_Water,-35118081.29612416,0.0,0.0,-2413470.7464799937,0.0,35571378.858483955,148,37,15
EXTREME,F_Vaccine,-3350303.2239743047,0.0,0.0,53462.0607382694,0.0,3157066.041858517,141,29,30
EXTREME,F_Crackers,-426689704.8280562,0.0,0.0,3250449.800854949,0.0,642176137.0388064,115,43,42
EXTREME,paid_R_any,0.0,0.0,0.0,0.01,0.0,1.0,198,,2
EXTREME,R1_item_count,-1.0,0.0,0.0,-0.085,0.0,0.0,183,17,
EXTREME,R2_item_count,0.0,0.0,0.0,0.095,0.0,1.0,181,,19
EXTREME,worst_shortage_Water,-20800000.0,0.0,0.0,1291738.6900145516,0.0,20477826.539855655,150,15,35
EXTREME,worst_shortage_Vaccine,-1756742.7089904714,0.0,0.0,-27524.80647129298,0.0,2381170.497766371,141,33,26
EXTREME,worst_shortage_Crackers,-425442260.42378163,-945898.7700338364,0.0,-4980032.336691041,0.0,241775060.50345874,115,53,32
EXTREME,worst_shortage_penalty,-1032157.6501386166,0.0,0.0,-52418.75170709491,0.0,4.76837158203125e-07,181,19,
EXTREME,T_COST,-1032157.6501386166,0.0,0.0,-52418.75170709729,0.0,4.76837158203125e-07,181,19,
EXTREME,budget_usage,-2.220446049250313e-16,0.0,0.0,1.4432899320127036e-17,0.0,4.440892098500626e-16,200,,
LOW_MED_UNF_REF,F_total,-469110058.5386677,0.0,0.0,-532316.6580314786,0.0,494118963.3661496,126,35,39
LOW_MED_UNF_REF,F_Water,-32548147.84615352,0.0,0.0,-41208.40683980347,0.0,17915363.859447412,145,24,31
LOW_MED_UNF_REF,F_Vaccine,-3350303.2239743047,0.0,0.0,5260.879566310668,0.0,3568575.3294039113,146,29,25
LOW_MED_UNF_REF,F_Crackers,-472290792.4469841,0.0,0.0,-496369.1307579872,0.0,497469266.59012395,128,35,37
LOW_MED_UNF_REF,paid_R_any,0.0,0.0,0.0,0.0,0.0,0.0,200,,
LOW_MED_UNF_REF,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,200,,
LOW_MED_UNF_REF,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,200,,
LOW_MED_UNF_REF,worst_shortage_Water,-10710776.194365503,0.0,0.0,-4661.642915482707,0.0,20800000.0,149,28,23
LOW_MED_UNF_REF,worst_shortage_Vaccine,-2071584.1284032632,0.0,0.0,8687.114978112304,0.0,2381170.497766371,146,19,35
LOW_MED_UNF_REF,worst_shortage_Crackers,-353567740.5774307,0.0,0.0,-1257688.2833872437,0.0,274168265.8517959,131,40,29
LOW_MED_UNF_REF,worst_shortage_penalty,-2.384185791015625e-07,0.0,0.0,-1.1920928955078125e-09,0.0,2.384185791015625e-07,179,11,10
LOW_MED_UNF_REF,T_COST,-2.384185791015625e-07,0.0,0.0,-1.1920928955078125e-09,0.0,2.384185791015625e-07,179,11,10
LOW_MED_UNF_REF,budget_usage,-2.220446049250313e-16,0.0,0.0,4.440892098500626e-18,0.0,2.220446049250313e-16,200,,
LOW_MED_REF_FAV,F_total,-453442737.3171819,0.0,0.0,2013827.8566452884,0.0,420412869.5396545,145,27,28
LOW_MED_REF_FAV,F_Water,-32548147.84615352,0.0,0.0,-493526.01143677364,0.0,17915363.859447412,164,22,14
LOW_MED_REF_FAV,F_Vaccine,-3568575.3294039113,0.0,0.0,6125.443348778005,0.0,3074503.8692145064,154,21,25
LOW_MED_REF_FAV,F_Crackers,-456517241.1863964,0.0,0.0,2501228.424733285,0.0,406066081.009611,149,23,28
LOW_MED_REF_FAV,paid_R_any,0.0,0.0,0.0,0.0,0.0,0.0,200,,
LOW_MED_REF_FAV,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,200,,
LOW_MED_REF_FAV,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,200,,
LOW_MED_REF_FAV,worst_shortage_Water,-10400000.0,0.0,0.0,371655.4322013494,0.0,20800000.0,168,11,21
LOW_MED_REF_FAV,worst_shortage_Vaccine,-2185150.841349126,0.0,0.0,-15758.04679251872,0.0,2215176.7024143785,154,31,15
LOW_MED_REF_FAV,worst_shortage_Crackers,-275942128.40992403,0.0,0.0,-228683.7843803227,0.0,324461791.59426403,151,21,28
LOW_MED_REF_FAV,worst_shortage_penalty,-2.384185791015625e-07,0.0,0.0,-4.76837158203125e-09,0.0,2.384185791015625e-07,182,11,7
LOW_MED_REF_FAV,T_COST,-2.384185791015625e-07,0.0,0.0,-3.5762786865234374e-09,0.0,2.384185791015625e-07,183,10,7
LOW_MED_REF_FAV,budget_usage,-2.220446049250313e-16,0.0,0.0,4.440892098500626e-18,0.0,2.220446049250313e-16,200,,
MED_HIGH_UNF_REF,F_total,-536330869.364694,0.0,0.0,-3049189.052951048,0.0,439500607.0966028,123,43,34
MED_HIGH_UNF_REF,F_Water,-38853958.73122526,0.0,0.0,-256000.4982763932,0.0,20938594.871777847,158,24,18
MED_HIGH_UNF_REF,F_Vaccine,-2979971.2418713565,0.0,0.0,34658.532784107665,0.0,3636515.037812801,146,22,32
MED_HIGH_UNF_REF,F_Crackers,-539967384.4025068,0.0,0.0,-2827847.0874587633,0.0,442480578.33847415,126,40,34
MED_HIGH_UNF_REF,paid_R_any,-1.0,0.0,0.0,-0.06,0.0,0.0,188,12,
MED_HIGH_UNF_REF,R1_item_count,-1.0,0.0,0.0,-0.085,0.0,0.0,183,17,
MED_HIGH_UNF_REF,R2_item_count,0.0,0.0,0.0,0.025,0.0,1.0,195,,5
