comparison,outcome,min,Q25,median,mean,Q75,max,increased,decreased,unchanged
risk:Low->Medium|rel:Unfavorable,F_total,-299774621.3466318,0.0,12552684.424779363,28225271.02588986,47062920.41145858,609347649.3777518,123,45,32
risk:Low->Medium|rel:Unfavorable,F_Water,-14632783.986706106,0.0,0.0,519031.30758732406,3282579.872741306,17915363.859447412,69,28,103
risk:Low->Medium|rel:Unfavorable,F_Vaccine,-3383711.7405846585,0.0,0.0,-30246.72182853696,0.0,2743587.7343458016,32,25,143
risk:Low->Medium|rel:Unfavorable,F_Crackers,-302249274.06992906,0.0,4610328.205114756,27736486.440131072,45038780.24223349,612731361.1183364,104,42,54
risk:Low->Medium|rel:Unfavorable,paid_R_any,0.0,0.0,0.0,0.0,0.0,0.0,,,200
risk:Low->Medium|rel:Unfavorable,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
risk:Low->Medium|rel:Unfavorable,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
risk:Low->Medium|rel:Unfavorable,worst_shortage_Water,-10400000.0,0.0,0.0,-57816.619585051114,0.0,10400000.0,28,31,141
risk:Low->Medium|rel:Unfavorable,worst_shortage_Vaccine,-1592672.7841561362,0.0,0.0,49480.7948843449,0.0,2404915.0273831096,38,26,136
risk:Low->Medium|rel:Unfavorable,worst_shortage_Crackers,-355695045.0811136,0.0,2020686.9641370773,-320986.718042748,11946895.621575832,214818482.46943545,109,37,54
risk:Low->Medium|rel:Unfavorable,worst_shortage_penalty,0.0,325037.85938566923,2017745.9975180626,2484176.1675613536,4318881.911375105,7375215.694112778,168,,32
risk:Low->Medium|rel:Unfavorable,T_COST,0.0,325037.85938566923,2017745.9975180626,2484176.1675613583,4318881.911375105,7375215.694112778,168,,32
risk:Low->Medium|rel:Unfavorable,budget_usage,-2.7755575615628914e-15,0.0,0.0,-5.0515147620444624e-17,0.0,4.440892098500626e-16,,,200
risk:Medium->High|rel:Unfavorable,F_total,-535126021.4198505,-948149.2348278647,560872.4487579863,18088063.19020522,38059583.23083938,424215052.104759,106,53,41
risk:Medium->High|rel:Unfavorable,F_Water,-17915363.859447412,0.0,0.0,698371.2638498306,3023231.012330435,20938594.871777847,60,31,109
risk:Medium->High|rel:Unfavorable,F_Vaccine,-3129094.671887938,0.0,0.0,-55660.80220870049,0.0,4111042.734313651,22,26,152
risk:Medium->High|rel:Unfavorable,F_Crackers,-539237064.1541642,0.0,0.0,17445352.72856409,38059583.23083938,426689704.8280562,96,44,60
risk:Medium->High|rel:Unfavorable,paid_R_any,0.0,0.0,0.0,0.085,0.0,1.0,17,,183
risk:Medium->High|rel:Unfavorable,R1_item_count,0.0,0.0,0.0,0.085,0.0,1.0,17,,183
risk:Medium->High|rel:Unfavorable,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
risk:Medium->High|rel:Unfavorable,worst_shortage_Water,-10400000.0,0.0,0.0,-398907.3093098969,0.0,10400000.0,26,28,146
risk:Medium->High|rel:Unfavorable,worst_shortage_Vaccine,-2041915.6442292705,0.0,0.0,34725.732682911286,0.0,1816462.3863039035,33,21,146
risk:Medium->High|rel:Unfavorable,worst_shortage_Crackers,-211932699.27548862,0.0,1744133.5884789228,2598689.8638107753,9883260.861997843,313031067.1444149,110,30,60
risk:Medium->High|rel:Unfavorable,worst_shortage_penalty,0.0,198555.27200585604,1427289.1259390116,1873680.983246888,3414440.913290322,5648319.397329807,159,,41
risk:Medium->High|rel:Unfavorable,T_COST,0.0,198555.27200585604,1427289.1259390116,1873680.9832468843,3414440.9132905006,5648319.397329807,159,,41
risk:Medium->High|rel:Unfavorable,budget_usage,-2.220446049250313e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16,,,200
risk:Low->High|rel:Unfavorable,F_total,-241561866.7369514,-1219064.3394496322,6812343.510209363,46313334.216095075,94984947.60334457,710172968.0054941,113,55,32
risk:Low->High|rel:Unfavorable,F_Water,-14632783.986706106,0.0,0.0,1217402.571437155,6305810.885071741,20938594.871777847,60,35,105
risk:Low->High|rel:Unfavorable,F_Vaccine,-3383711.7405846585,0.0,0.0,-85907.52403723745,0.0,2255764.464917096,25,29,146
risk:Low->High|rel:Unfavorable,F_Crackers,-243109300.1947608,0.0,0.0,45181839.16869517,95362167.099929,713556679.7460787,98,49,53
risk:Low->High|rel:Unfavorable,paid_R_any,0.0,0.0,0.0,0.085,0.0,1.0,17,,183
risk:Low->High|rel:Unfavorable,R1_item_count,0.0,0.0,0.0,0.085,0.0,1.0,17,,183
risk:Low->High|rel:Unfavorable,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
risk:Low->High|rel:Unfavorable,worst_shortage_Water,-10400000.0,0.0,0.0,-456723.92889494804,0.0,10400000.0,25,31,144
risk:Low->High|rel:Unfavorable,worst_shortage_Vaccine,-1120416.6554059628,0.0,0.0,84206.52756725618,0.0,2404915.0273831096,42,24,134
risk:Low->High|rel:Unfavorable,worst_shortage_Crackers,-354416784.6411519,0.0,3276749.735501528,2277703.1457680273,23029959.41470158,172785761.36451602,109,38,53
risk:Low->High|rel:Unfavorable,worst_shortage_penalty,0.0,590624.6353774071,3480737.5667535067,4357857.150808241,7720844.512575269,13023535.091442585,168,,32
risk:Low->High|rel:Unfavorable,T_COST,0.0,590624.6353774071,3480737.5667535067,4357857.150808242,7720844.512575269,13023535.091442585,168,,32
risk:Low->High|rel:Unfavorable,budget_usage,-2.7755575615628914e-15,0.0,0.0,-5.0515147620444624e-17,0.0,4.440892098500626e-16,,,200
risk:Low->Medium|rel:Reference,F_total,-436550526.9376343,0.0,6246520.669583067,27692954.36785838,42192935.91258091,609347649.3777518,132,36,32
risk:Low->Medium|rel:Reference,F_Water,-14632783.986706106,0.0,0.0,477822.9007475206,3282579.872741306,17915363.859447412,71,21,108
risk:Low->Medium|rel:Reference,F_Vaccine,-3383711.7405846585,0.0,0.0,-24985.84226222629,0.0,3568575.3294039113,40,30,130
risk:Low->Medium|rel:Reference,F_Crackers,-440119102.2670382,0.0,1946891.4014905915,27240117.30937309,41860546.214295745,612731361.1183364,103,38,59
risk:Low->Medium|rel:Reference,paid_R_any,0.0,0.0,0.0,0.0,0.0,0.0,,,200
risk:Low->Medium|rel:Reference,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
risk:Low->Medium|rel:Reference,R2_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
risk:Low->Medium|rel:Reference,worst_shortage_Water,-10400000.0,0.0,0.0,-62478.26250053383,0.0,10400000.0,21,24,155
risk:Low->Medium|rel:Reference,worst_shortage_Vaccine,-2071584.1284032632,0.0,0.0,58167.90986245721,3417.4158433056436,2404915.0273831096,52,26,122
risk:Low->Medium|rel:Reference,worst_shortage_Crackers,-355695045.0811136,0.0,2198013.063172102,-1578675.0014299918,13763289.8862862,312807095.883847,105,36,59
risk:Low->Medium|rel:Reference,worst_shortage_penalty,0.0,325037.85938566923,2017745.9975180626,2484176.1675613523,4318881.911375105,7375215.694112778,168,,32
risk:Low->Medium|rel:Reference,T_COST,0.0,325037.85938566923,2017745.9975180626,2484176.167561357,4318881.911375105,7375215.694112778,168,,32
risk:Low->Medium|rel:Reference,budget_usage,-2.7755575615628914e-15,0.0,0.0,-4.6074255521943994e-17,0.0,4.440892098500626e-16,,,200
risk:Medium->High|rel:Reference,F_total,-535126021.4198505,0.0,3480643.4909577686,15038874.13725417,37462413.05987969,516854836.8266837,114,45,41
risk:Medium->High|rel:Reference,F_Water,-17915363.859447412,0.0,0.0,442370.76557343744,3023231.012330435,20938594.871777847,57,29,114
risk:Medium->High|rel:Reference,F_Vaccine,-2979971.2418713565,0.0,0.0,-21002.269424592825,0.0,4111042.734313651,36,29,135
risk:Medium->High|rel:Reference,F_Crackers,-539237064.1541642,0.0,0.0,14617505.641105328,35673946.076662146,516811577.0562246,94,38,68
risk:Medium->High|rel:Reference,paid_R_any,0.0,0.0,0.0,0.025,0.0,1.0,5,,195
risk:Medium->High|rel:Reference,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
risk:Medium->High|rel:Reference,R2_item_count,0.0,0.0,0.0,0.025,0.0,1.0,5,,195
risk:Medium->High|rel:Reference,worst_shortage_Water,-10400000.0,0.0,0.0,-397605.38331708417,0.0,10400000.0,25,29,146
risk:Medium->High|rel:Reference,worst_shortage_Vaccine,-2041915.6442292705,0.0,0.0,26806.676122998037,0.0,1729895.1424377058,43,26,131
risk:Medium->High|rel:Reference,worst_shortage_Crackers,-256695372.0771985,0.0,0.0,3834309.9806604814,9883260.861997843,313031067.1444149,99,33,68
risk:Medium->High|rel:Reference,worst_shortage_penalty,0.0,198555.27200585604,1427289.1259391308,1899456.9181626725,3437784.704609394,5648319.397329807,159,,41
risk:Medium->High|rel:Reference,T_COST,0.0,198555.27200585604,1427289.1259391308,1899456.918162669,3437784.704609394,5648319.397329807,159,,41
risk:Medium->High|rel:Reference,budget_usage,-2.220446049250313e-16,0.0,0.0,-3.3306690738754695e-18,0.0,4.440892098500626e-16,,,200
risk:Low->High|rel:Reference,F_total,-435366380.45773023,0.0,9717181.003907144,42731828.50511255,105887958.0090618,710172968.0054941,119,49,32
risk:Low->High|rel:Reference,F_Water,-14632783.986706106,0.0,0.0,920193.6663209582,6305810.885071741,20938594.871777847,57,34,109
risk:Low->High|rel:Reference,F_Vaccine,-3383711.7405846585,0.0,0.0,-45988.111686819124,0.0,4076301.1215421744,36,37,127
risk:Low->High|rel:Reference,F_Crackers,-440119102.2670382,0.0,0.0,41857622.95047841,105887958.0090618,713556679.7460787,95,43,62
risk:Low->High|rel:Reference,paid_R_any,0.0,0.0,0.0,0.025,0.0,1.0,5,,195
risk:Low->High|rel:Reference,R1_item_count,0.0,0.0,0.0,0.0,0.0,0.0,,,200
risk:Low->High|rel:Reference,R2_item_count,0.0,0.0,0.0,0.025,0.0,1.0,5,,195
risk:Low->High|rel:Reference,worst_shortage_Water,-10400000.0,0.0,0.0,-460083.645817618,0.0,10400000.0,23,32,145
risk:Low->High|rel:Reference,worst_shortage_Vaccine,-2024659.8171293177,0.0,0.0,84974.58598545525,9837.809067932656,2404915.0273831096,54,30,116
risk:Low->High|rel:Reference,worst_shortage_Crackers,-354416784.6411519,0.0,0.0,2255634.9792304896,23318176.609003425,312807095.883847,98,40,62
risk:Low->High|rel:Reference,worst_shortage_penalty,0.0,590624.6353774071,3480737.5667533875,4383633.085724025,7720844.512575269,13023535.091442585,168,,32
risk:Low->High|rel:Reference,T_COST,0.0,590624.6353774071,3480737.5667533875,4383633.085724026,7720844.512575269,13023535.091442585,168,,32
risk:Low->High|rel:Reference,budget_usage,-2.7755575615628914e-15,0.0,0.0,-4.9404924595819467e-17,0.0,4.440892098500626e-16,,,200
risk:Low->Medium|rel:Favorable,F_total,-299774621.3466318,0.0,17016460.65855208,29706782.22450367,46582999.75693781,609347649.3777518,134,34,32
risk:Low->Medium|rel:Favorable,F_Water,-14632783.986706106,0.0,0.0,-15703.110689252982,3282579.872741306,17915363.859447412,66,26,108
risk:Low->Medium|rel:Favorable,F_Vaccine,-3383711.7405846585,0.0,0.0,-18860.398913448287,0.0,2474652.7232972556,34,21,145
