case_id,commodity,NONE,R0,R1,R2
E3B_LOW_UNFAVORABLE,Water,124,76,0,0
E3B_LOW_UNFAVORABLE,Vaccine,157,43,0,0
E3B_LOW_UNFAVORABLE,Crackers,73,127,0,0
E3B_LOW_REFERENCE,Water,127,73,0,0
E3B_LOW_REFERENCE,Vaccine,145,55,0,0
E3B_LOW_REFERENCE,Crackers,85,115,0,0
E3B_LOW_FAVORABLE,Water,120,80,0,0
E3B_LOW_FAVORABLE,Vaccine,157,43,0,0
E3B_LOW_FAVORABLE,Crackers,72,128,0,0
E3B_MEDIUM_UNFAVORABLE,Water,127,73,0,0
E3B_MEDIUM_UNFAVORABLE,Vaccine,164,36,0,0
E3B_MEDIUM_UNFAVORABLE,Crackers,77,123,0,0
E3B_MEDIUM_REFERENCE,Water,127,73,0,0
E3B_MEDIUM_REFERENCE,Vaccine,156,44,0,0
E3B_MEDIUM_REFERENCE,Crackers,84,116,0,0
E3B_MEDIUM_FAVORABLE,Water,132,68,0,0
E3B_MEDIUM_FAVORABLE,Vaccine,164,36,0,0
E3B_MEDIUM_FAVORABLE,Crackers,77,123,0,0
E3B_HIGH_UNFAVORABLE,Water,140,60,0,0
E3B_HIGH_UNFAVORABLE,Vaccine,172,21,7,0
E3B_HIGH_UNFAVORABLE,Crackers,78,112,10,0
E3B_HIGH_REFERENCE,Water,143,57,0,0
E3B_HIGH_REFERENCE,Vaccine,157,40,0,3
E3B_HIGH_REFERENCE,Crackers,93,105,0,2
E3B_HIGH_FAVORABLE,Water,156,44,0,0
E3B_HIGH_FAVORABLE,Vaccine,168,28,0,4
E3B_HIGH_FAVORABLE,Crackers,82,103,0,15
