case_id,commodity,shortage_min,shortage_Q25,shortage_median,shortage_mean,shortage_Q75,shortage_max,valued_min,valued_Q25,valued_median,valued_mean,valued_Q75,valued_max
E3B_LOW_UNFAVORABLE,Water,0.0,0.0,0.0,4720723.928894948,10400000.0,10400000.0,0.0,0.0,0.0,12230451.554981034,26944320.000000004,26944320.000000004
E3B_LOW_UNFAVORABLE,Vaccine,7152429.03700318,9084955.758789148,9557344.06438629,9246236.720783781,9557344.06438629,9557344.06438629,398132809.915745,505704977.3572391,531999999.99999845,514682520.8257084,531999999.99999845,531999999.99999845
E3B_LOW_UNFAVORABLE,Crackers,1504547859.2530923,1704635483.6844115,1799657680.950341,1775876013.3524227,1862000000.0,1862000000.0,564024901.4767992,639033750.1236122,674655671.4346638,665740399.8855562,698026560.0,698026560.0
E3B_LOW_REFERENCE,Water,0.0,0.0,2.7939677238464355e-09,4876723.928894948,10400000.0,10400000.0,0.0,0.0,7.238611578941346e-09,12634616.354981033,26944320.000000004,26944320.000000004
E3B_LOW_REFERENCE,Vaccine,7152429.03700318,8968154.343060488,9557344.06438629,9182157.252388177,9557344.06438629,9557344.06438629,398132809.915745,499203343.352119,531999999.99999845,511115601.29693556,531999999.99999845,531999999.99999845
E3B_LOW_REFERENCE,Crackers,1504547859.2530923,1711800290.145984,1820244582.1218357,1784312725.7104383,1862000000.0,1862000000.0,564024901.4767992,641719692.7699264,682373288.9458337,668903154.6143291,698026560.0,698026560.0
E3B_LOW_FAVORABLE,Water,0.0,0.0,0.0,4411945.663496392,10400000.0,10400000.0,0.0,0.0,0.0,11430468.824986452,26944320.000000004,26944320.000000004
E3B_LOW_FAVORABLE,Vaccine,7152429.03700318,9084955.758789148,9557344.06438629,9248753.204246106,9557344.06438629,9557344.06438629,398132809.915745,505704977.3572391,531999999.99999845,514822598.3611553,531999999.99999845,531999999.99999845
E3B_LOW_FAVORABLE,Crackers,1504547859.2530923,1709644608.334179,1799657680.950341,1777636323.8372388,1862000000.0,1862000000.0,564024901.4767992,640911570.7723169,674655671.4346638,666400305.0801041,698026560.0,698026560.0
E3B_MEDIUM_UNFAVORABLE,Water,0.0,0.0,0.0,4662907.309309897,10400000.0,10400000.0,0.0,0.0,0.0,12080660.256960083,26944320.000000004,26944320.000000004
E3B_MEDIUM_UNFAVORABLE,Vaccine,7387518.770667374,9123917.084146202,9557344.06438629,9295717.515668126,9557344.06438629,9557344.06438629,411218844.8504287,507873720.57191414,531999999.99999845,517436819.79215056,531999999.99999845,531999999.99999845
E3B_MEDIUM_UNFAVORABLE,Crackers,1506304954.9188864,1715362949.9114926,1785539249.9227304,1775555026.63438,1862000000.0,1862000000.0,564683601.4999921,643055262.6628202,669362954.0110332,665620068.3846965,698026560.0,698026560.0
E3B_MEDIUM_REFERENCE,Water,0.0,0.0,9.313225746154785e-10,4814245.666394414,10400000.0,10400000.0,0.0,0.0,2.412870526313782e-09,12472747.67249465,26944320.000000004,26944320.000000004
E3B_MEDIUM_REFERENCE,Vaccine,7387518.770667374,9084955.758789148,9557344.06438629,9240325.162250636,9557344.06438629,9557344.06438629,411218844.8504287,505704977.3572391,531999999.99999845,514353459.83151937,531999999.99999845,531999999.99999845
E3B_MEDIUM_REFERENCE,Crackers,1506304954.9188864,1721956174.5276093,1790725546.2904189,1782734050.7090085,1862000000.0,1862000000.0,564683601.4999921,645526930.7069101,671307192.7933522,668311340.929793,698026560.0,698026560.0
E3B_MEDIUM_FAVORABLE,Water,0.0,0.0,0.0,4721122.833197207,10400000.0,10400000.0,0.0,0.0,0.0,12231485.036247324,26944320.000000004,26944320.000000004
E3B_MEDIUM_FAVORABLE,Vaccine,7387518.770667374,9123917.084146202,9557344.06438629,9291163.067316044,9557344.06438629,9557344.06438629,411218844.8504287,507873720.57191414,531999999.99999845,517183300.97908026,531999999.99999845,531999999.99999845
