heldout_scenario,simulation_id,sample_index,loho_first_stage_sha256,full24_first_stage_sha256,loho_policy_sha256,full24_policy_sha256,loho_heldout_recourse_sha256,full24_heldout_recourse_sha256,heldout_emergency_expenditure,heldout_shortage_loss,heldout_total_cost,full24_policy_heldout_total_cost,heldout_policy_regret_vs_full24,heldout_exercise_Water,heldout_shortage_Water,heldout_exercise_Vaccine,heldout_shortage_Vaccine,heldout_exercise_Crackers,heldout_shortage_Crackers,heldout_raw_total_shortage,heldout_service_level_cross_unit_descriptive,row_sha256,status
h09,LA-0914,914,9e005c73951de164bd28ec2ff4d837595b4286d9d5368f99660bd34b0a13890e,b0cd97439c36a8dc0fb2ecbf5d6d0140713fd5e423d17c79a4e8ad127509ad07,c8234595cd67d87b3a22c9e7442a7d95a76fbcd1a79d4c490c2ce69828787355,fea7e2bd1f76a7b001baeac8e70c6c4513f3a4e6ebd8c2d56c44a8ced852191d,0edbf3d9025f9f26a0de93ac8bd6c66baf4647196a87e59e03c4f9f43c026eda,e858d03c4180ee1b77b93260ec97f5179eea7c369ed7e45bf24745e145a4fe07,11472717.309511231,1197187570.9976544,1215238207.0559764,1212254701.0327225,2983506.0232539177,10400000.0,0.0,0.0,9557344.06438629,87598668.91363615,1774401331.0863638,1783958675.1507502,0.0520727365169672,d53d4178f3786af1c1979c89c375c7e3e44a63ac9a806c2e65907adf62278aa7,PASS
h09,LA-0802,802,6627caef59cf2e43dc2afa066c8b64edd77b3981d2818d6d7309767bdd8046b3,98abb891557869060b34f30516f6af956cc96ed1bb5e54b615d5a1cda32ca7ba,a89f02d382acba1f057e45cdf33ca6cdba2d436ba5c4c6d7a0d896a315759cee,8c68cd363295a80a6c076e957d45b83ecee681984fc17feee92fa4b88a8e79b9,80a72382d740d843064025febbd5e3d15616fcc1de266928d949604591321e5e,c7a48321ecd5d11b995f9b69e8a0f7e77e60eee9f63aaf9b5543cc49c1ca8808,0.0,1230026559.9999986,1249164465.855437,1228589997.4005196,20574468.45491743,0.0,0.0,0.0,9557344.06438629,0.0,1862000000.0,1871557344.0643864,0.0055261613834134415,8a5b150e338bc762a13196d739765a1525e77e3a1e39739380a314e3f0ed74b9,PASS
h09,LA-0642,642,7dd69d97287f4eb31ffb98e648caf41f0d2c3a3c9027fd8921e318f6d1951f37,46e78e6e42701e48c539ef42555acf45c46431d71b7a9d0bc73e7bd94f862859,a89f02d382acba1f057e45cdf33ca6cdba2d436ba5c4c6d7a0d896a315759cee,99cd56c56fdba833c6dd1558a25723eb71028448c6e9f459a688864e2573ae3f,7b8548f03c5d4dcb82c73e20bf9817910d0f26ad38cc03468aa24675713d758e,d3a7c2f9a9dec888cdd7976cebdd1b9adf7519ad64a3a4e8e26d3199a04be41d,0.0,1230026559.9999986,1249164465.855437,1221165897.9019191,27998567.953517914,0.0,0.0,0.0,9557344.06438629,0.0,1862000000.0,1871557344.0643864,0.0055261613834134415,09b42ba48eaac85ade5ddb792df56045d3783fdae2360c25b998f9767e6db0bf,PASS
h09,LA-0765,765,f4592cb3242a642248346d5e9f28ece8145caa6a406a35eaa9158dcaf24792ea,db5220c6436b325b032342b57b366f0664d9fb27550f29bc808d7d4d309334cb,930948207e1b1252227020baca3bd025e2889f7c17578da558529790c6dbe5ec,9846171180d7fb2337bc339cd1e3d5fe62f34a6d62ed2a15b647a194fbaabd61,0653bc617757dcda1e6006b01fb7c06d65df8c131e8051004aa83bf05869c16a,9b78cef4b0b92f7e434ac60495bf5fdb9eebf58c6b13c2d862b3a9a453984cab,18751185.357689343,1206092058.8666296,1225143253.6750813,1224998391.0126872,144862.66239404678,6104525.46614819,4295474.53385181,0.0,9557344.06438629,93531841.00424694,1768468158.995753,1782320977.593991,0.0529429462281088,d9a130e79c4c37b2ec2d2e3fb18b628a7e43e01a6cc2bf6348e3914fd557c0e9,PASS
h09,LA-0334,334,b000310e5f6353c18116f88dd968d54ed6026fd354a801a144b82aba60a2701e,93e44626d4e257a2561a87b512ca670b2f6d9f94aadeb1e21cf86f78d7cf52ae,00fca2e396759b2917009857bdb3aef4bdfbea1d968005a15a8fe17cecd4a70a,8f1f50a2cc179079aae8afd5fc19dbc298a30b64b36e4ec6ac1c244a28a729fe,47962ead2be8f8877036c46adbf690dc86feb5c6677d36992b5e40545f8a532f,9f06170fa5452c99e5eecde2e36b9cf2ecd1f055f4b81bf35a87cfe4f57bfa46,17640838.47944994,1208039646.8854523,1226135291.6432214,1224359243.616294,1776048.0269274712,0.0,10400000.0,455397.8746055418,9101946.189780748,62905371.91235405,1799094628.087646,1818596574.2774267,0.03366748454038915,e0eb56d759efdc3953b2d70510d2b9f5f8c878787d6d0d51d5185c992ea6c604,PASS
h09,LA-0396,396,162286dc92fbef7942edbf04523367c42017efcfa73c01d59550854307f19f91,6aa61f97a73add7082ed9b3484989c97745891b0ec05b9daaa357aa67793bfcf,1c23930e8c5411889bb3153d52aad7ed49eb99b3fb93b2c956f5b3c528ea2bfb,fdcb7e0a151b0e042ddb8b70b2148461491661ff5b5fb2ac41a279daed7535b7,c3edce9cfdc171c45a6b177e808711ef2b1aea2204dc1bcd8932662219fb27cb,76a862a44502f436d6ef9b92e2130ca007379cccf5021660980b915989ee42bb,11100760.891444929,1195412998.1885815,1211087800.17432,1195686432.2114403,15401367.962879658,10400000.0,0.0,0.0,9557344.06438629,92332377.8580265,1769667622.1419735,1779224966.2063599,0.054588048013967994,fe786d52d8249e3e742243807d099b7109e35aba9a9e118e460b601102b49b28,PASS
h09,LA-0358,358,ab034b48115e36d882a146be963afd9819c2c18816244aeceaa55d2a0474575b,003111069f562e7bec42cdfdb4ecd4484b45bdd89db2758f9cf1d583de6dade7,b4bdb552569afa91ff720dd866ad7f1bd058877321b22d1f67efb5eea2bb7798,6faca3c761acad43136dfdbadf66429a8719fbaff656ed04e4b987c3ad6c177d,e2eb357f28a14205e87d9c810056c2583b6d157f084695e3d1b6431ad56f1dc1,3f484bf49094c060886c6f7bbb7be64029b8dc77932ade2bb921a6830544eebc,7813821.431523208,1205183911.5499434,1215099529.136987,1168155110.8672476,46944418.26973939,10400000.0,0.0,0.0,9557344.06438629,66268268.37936126,1795731731.6206388,1805289075.6850252,0.04073857923569291,5d1bfcca030f5982edbb612930ef0b416693a0ec94cb2473a5c498c3ad393629,PASS
h09,LA-0467,467,dff9ee03bd4c8998c0be85b4c729a6524b722aac0f768361d9ccb449a28d9698,a635e2756ae4b717e8015b783fa663fa4b3976bd9a969e2e286ab451e1a34e91,19313089e452acc4227b2d91f3587581edcb40b34c0fbcb62e21c4df9956f3e1,89c4834bc02a71a472899068ee9a2b672c63ad69c04a8d167bb105a28c328bba,ec3ec3d3dfe6afa9514baef5ff99c8285906dfe61601f6f1603095e6782a3717,d5de2d875701149fb9962b82c6d55df512e9dd4ffd80c251aa36d328b5004dcf,0.0,1230026559.9999986,1249164465.855437,1229783603.3591182,19380862.496318817,0.0,0.0,0.0,9557344.06438629,0.0,1862000000.0,1871557344.0643864,0.0055261613834134415,b7bca70a1dadde1a47f73d979787643ea007d9b4abb90fa41c7ebee83c1d7681,PASS
h09,LA-0021,21,4cd1e751fc5ac9f83820c2e1673e409d63f233fdeab4de28aa70966ba51d898a,374653a59e3c08adc8d3795cd0ff0312e192ba14a3b7af6f2b731e26a7e28b22,ff5497445cc90ed1e3e3d0e50d9e641a3b2e66122c8b54920dab3278e9e925dd,1043c26bc69168369bc901ea703ec25f7f026952832577aa46ccfa6b5ef68654,3355c0f0c838d77fbe1a58b80aafc27abc53e2a4870d5507391e42d83aec383f,e6be4df5a54424bdc84737c087c866bd334d40fd6519a7897be4cd5a39229e85,0.0,1230026559.9999986,1249164465.855437,1233499223.9417398,15665241.913697243,0.0,0.0,0.0,9557344.06438629,0.0,1862000000.0,1871557344.0643864,0.0055261613834134415,c6424b9dd81f73338250e47b5c66c780276b53076bb6162c99cf3001217c3ad7,PASS
h09,LA-0148,148,8227f52d1fea9c703e9d0e0711e05caa17ab556cb41845ef0704a424fe00543d,6024117e31a15079dfc0da4753540f87fa9c5e5d594252437835ea999ba8b650,78eaa5130d0f80f0e378b70f1eac8b1e4da9e8ba48b6a7babdf396eef0e469bc,259b6d6901da74ab80c15b5199bb5a1c25a6ab4cb43397349702a7cba5f85bd5,c46b83ee564b7ba8aac226ee6c3aec483038eb4329530cc6f523e508a4286229,0e6e62772869d419b03c2a9d0bb0e3f310556ef8e52b231f3a542d5566c33052,0.0,1230026559.9999986,1249164465.855437,1237050663.6348436,12113802.220593452,0.0,0.0,0.0,9557344.06438629,0.0,1862000000.0,1871557344.0643864,0.0055261613834134415,c4bb7ede84702bafaeee1d20f9531ab2de16f27454bc9d752406b0d540b07e9f,PASS
