heldout_scenario,N,heldout_total_cost_min,heldout_total_cost_median,heldout_total_cost_mean,heldout_total_cost_P90,heldout_total_cost_P95,heldout_total_cost_max,heldout_emergency_expenditure_min,heldout_emergency_expenditure_median,heldout_emergency_expenditure_mean,heldout_emergency_expenditure_P90,heldout_emergency_expenditure_P95,heldout_emergency_expenditure_max,heldout_shortage_loss_min,heldout_shortage_loss_median,heldout_shortage_loss_mean,heldout_shortage_loss_P90,heldout_shortage_loss_P95,heldout_shortage_loss_max,heldout_policy_regret_vs_full24_min,heldout_policy_regret_vs_full24_median,heldout_policy_regret_vs_full24_mean,heldout_policy_regret_vs_full24_P90,heldout_policy_regret_vs_full24_P95,heldout_policy_regret_vs_full24_max,heldout_shortage_Water_min,heldout_shortage_Water_median,heldout_shortage_Water_mean,heldout_shortage_Water_P90,heldout_shortage_Water_P95,heldout_shortage_Water_max,heldout_shortage_Vaccine_min,heldout_shortage_Vaccine_median,heldout_shortage_Vaccine_mean,heldout_shortage_Vaccine_P90,heldout_shortage_Vaccine_P95,heldout_shortage_Vaccine_max,heldout_shortage_Crackers_min,heldout_shortage_Crackers_median,heldout_shortage_Crackers_mean,heldout_shortage_Crackers_P90,heldout_shortage_Crackers_P95,heldout_shortage_Crackers_max,policy_stable_count,policy_label_changed_count,first_stage_stable_count,canonical_policy_hash_stable_count,mean_absolute_Q_change,mean_absolute_F_change,mean_absolute_first_stage_cost_change,mean_absolute_heldout_regret,training_worst_scenario_mode,training_worst_scenario_mode_count
h09,200,1181872534.0047987,1237554125.2350254,1231228767.8166778,1249164465.855437,1249164465.855437,1249164465.855437,0.0,7690997.26836046,6693085.151239085,15873264.057359967,17170845.887153722,18751185.357689343,1168614165.1321745,1224904231.2412868,1214300164.5592518,1230026559.9999986,1230026559.9999986,1231866780.4391768,15504.824750185013,16705219.62093234,16674210.850495543,28801519.099671338,40306601.376476206,62979920.75841665,0.0,0.0,1677776.006595638,9386078.290184898,10400000.0,10400000.0,9075154.395853145,9557344.06438629,9480612.515341647,9557344.06438629,9557344.06438629,9557344.06438629,1768057880.0176985,1818861515.665446,1819847864.4563231,1862000000.0,1862000000.0,1862000000.0,165,35,0,0,7901043.075726853,119216952.2938272,2441589.8751358385,16674210.850495543,h19,200
h01,200,1434630.1167874006,12036448.064888082,13286608.14056451,23730185.85543848,23730185.85543848,23730185.85543848,0.0,949895.8410508739,958923.0391387503,1779199.075036167,2051862.2724373462,3217661.16223135,0.0,4406779.999999991,3857071.9730530703,4592280.0,5499060.0,5499060.0,-4624677.078631386,0.0,-388012.5805483604,608918.2948718013,751642.6367649161,4381643.459752884,0.0,0.0,154000.0,350000.0,350000.0,350000.0,0.0,62877.263581488754,33661.83122041301,62877.263581488754,62877.263581488754,62877.263581488754,0.0,0.0,4226250.0,12250000.0,12250000.0,12250000.0,200,0,113,0,1.7462298274040222e-12,65017843.47408424,2.272281562909484e-10,649658.4953525382,h09,200
h02,200,7811178.0313605415,16462966.325529689,17796753.299509462,27248239.717838477,27248239.717838477,27248239.717838477,0.0,1425103.6380240736,1408314.4538264542,2699169.746850871,3108391.201211243,3567238.8697336316,5201792.817739405,8110333.8624,7917825.717310318,9561181.8624,9561181.8624,9561181.8624,-2622339.2763410937,0.0,147555.0612648072,1335644.3810742146,1702829.3807781416,4101323.8706830647,0.0,0.0,255967.42792900561,560000.0,560000.0,560000.0,0.0,0.0,44418.51106639826,111046.27766599566,111046.27766599566,111046.27766599566,0.0,21634480.0,12756490.890503244,21634480.0,21634480.0,21634480.0,200,0,127,0,0.0,63724494.821353175,2.2104359231889247e-10,535478.1922356922,h09,200
h03,200,3634571.7690163115,10925343.25418561,12332486.617700549,20719250.913038477,20719250.913038477,20719250.913038477,0.0,423180.9139439825,476519.05913586303,1047527.6451492688,1239375.4512543418,1424814.279626002,1581345.0576,2812179.999999992,3385354.4301919956,5042858.799999992,5042858.799999992,5042858.799999992,-2861117.4177400544,0.0,152092.40484993462,1568378.8454267825,1925255.4703399953,3011240.467168767,0.0,0.0,426195.0,861000.0,861000.0,861000.0,0.0,50520.62374245458,29049.358651911385,50520.62374245458,50520.62374245458,50520.62374245458,0.0,0.0,1771673.4,4218270.0,4218270.0,4218270.0,200,0,143,0,0.0,62487691.97788063,1.4100805856287479e-10,456355.92373386887,h09,200
h04,200,22526617.379022505,44590724.34763185,45478678.510523796,60372818.62647373,61560002.533695415,62873348.74257277,0.0,4300514.2281013215,4786313.884654573,10293394.752973007,12545822.874810524,15520065.658870496,14800262.4,26628565.52028033,32221751.497496534,49637199.999999925,49637199.999999925,49637199.999999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4214942.610309572,9000000.0,9000000.0,9000000.0,0.0,472837.0221327954,252729.5203714348,472837.0221327954,472837.0221327954,472837.0221327954,0.0,8318246.010267898,19296153.86457252,39480000.0,39480000.0,39480000.0,200,0,200,3,0.0,0.0,0.0,0.0,h09,200
h05,200,17996052.085868597,34630421.66343848,35070917.78315068,43712033.66315105,44569847.74199804,49138678.59596835,0.0,3301377.214946422,3835752.590743627,8995548.664102329,11254855.689930536,13053308.656182114,11177970.729950225,15492515.808,22764552.06403436,34923515.808,34923515.808,34923515.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3511797.7888988866,7500000.0,7500000.0,7500000.0,0.0,212122.73641851044,108759.59251634772,212122.73641851044,212122.73641851044,212122.73641851044,0.0,12060390.662356716,20305677.536078602,41326600.0,41326600.0,41326600.0,200,0,200,3,0.0,0.0,0.0,0.0,h09,200
h06,200,16322995.841030182,25506738.98182375,26635827.22204941,35217131.35623848,35217131.35623848,35479248.05984516,0.0,2809229.6647314103,2836201.82011139,5587716.547856357,6016818.1203191625,6978266.644760528,11486945.5008,14845559.999999965,15329012.273565333,18670025.5008,18670025.5008,19017322.448009837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456000.0,1000000.0,1000000.0,1000000.0,0.0,220155.93561368145,112426.30417165214,220155.93561368145,220155.93561368145,220155.93561368145,0.0,12206724.957970306,21045427.011722386,42891660.0,42891660.0,42891660.0,200,0,200,3,0.0,0.0,0.0,0.0,h09,200
h07,200,3896438.265737098,12777423.032097243,13835198.462481184,21971998.65543848,21971998.65543848,21971998.65543848,0.0,772442.4146947656,756396.33931846,1518020.979823902,1682485.1133120432,3167597.3406752003,0.0,5039999.999999985,4608188.9947900325,6594479.999999985,6594479.999999985,6594479.999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266942.6103095723,600000.0,600000.0,600000.0,0.0,90543.2595573438,46177.06237424534,90543.2595573438,90543.2595573438,90543.2595573438,0.0,0.0,3591000.0,7560000.0,7560000.0,7560000.0,200,0,200,3,0.0,0.0,0.0,0.0,h09,200
h08,200,2450241.7629749742,11883712.227667235,12799830.901019718,20554952.255438477,20554952.255438477,20554952.255438477,0.0,424209.4507800374,586391.2284178189,1403239.2050875982,1812253.6169467256,2628276.30625993,0.0,2519999.9999999925,3742826.5442292094,6406199.999999993,6406199.999999993,6406199.999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688794.7754474346,1500000.0,1500000.0,1500000.0,0.0,45271.6297786719,23088.53118712267,45271.6297786719,45271.6297786719,45271.6297786719,0.0,0.0,1795500.0,3780000.0,3780000.0,3780000.0,200,0,200,3,0.0,0.0,0.0,0.0,h09,200
h10,200,8473880.966962881,21125246.753405057,21076321.402668096,25268007.262589365,26824062.05433843,28444646.413318496,0.0,1705430.3409615485,1731971.2283497206,3600678.70734644,4122037.323713225,7133232.799918562,917384.3840814657,10499999.999999968,10873737.045945682,16329299.99999997,16329299.99999997,16329299.99999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042442.6103095724,2250000.0,2250000.0,2250000.0,0.0,188631.79074446624,96202.21327967777,188631.79074446624,188631.79074446624,188631.79074446624,0.0,0.0,7517010.059634171,15750000.0,15750000.0,15750000.0,200,0,200,3,0.0,0.0,0.0,0.0,h09,200
