heldout_scenario,simulation_id,sample_index,baseline_policy_label,loho_policy_label,policy_stable,delta_Q_Water,delta_F_Water,baseline_R_Water,loho_R_Water,R_stable_Water,delta_Q_Vaccine,delta_F_Vaccine,baseline_R_Vaccine,loho_R_Vaccine,R_stable_Vaccine,delta_Q_Crackers,delta_F_Crackers,baseline_R_Crackers,loho_R_Crackers,R_stable_Crackers,canonical_policy_hash_stable,first_stage_stable,delta_first_stage_cost,row_sha256
h01,LA-0914,914,P4,P4,True,0.0,0.0,R0,R0,True,0.0,0.0,NONE,NONE,True,0.0,-2.9802322387695312e-08,R0,R0,True,False,True,-9.313225746154785e-10,1e2657ccd8a6533089678301cb2cd05df2a0a03a3041cb2e5af5c41da3dc9b1d
h01,LA-0802,802,P4,P4,True,0.0,-12280877.45567742,R0,NONE,False,0.0,0.0,NONE,NONE,True,0.0,84873285.61718167,R0,R0,True,False,False,0.0,00ec91eb6f91843148d7965ffa74ff73b819c4fb275cc848a7366f1ef799bf56
h01,LA-0642,642,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,b029a84e98fb2ce77d13ff69804f8fca7c4b97cf46215ec65200b2f5e4c6dcf4
h01,LA-0765,765,P4,P4,True,0.0,18967474.959288407,NONE,R0,False,0.0,0.0,NONE,NONE,True,0.0,-131084438.01889777,R0,R0,True,False,False,1.1641532182693481e-10,85dc21bf33c6a793d4f32eddc39910f6e2747703d1bdf064824dfa69663bfcc1
h01,LA-0334,334,P4,P4,True,0.0,-406888.4396914717,R0,NONE,False,0.0,-162629.1342959107,R0,R0,True,0.0,26959973.060713418,NONE,R0,False,False,False,5.820766091346741e-11,bb83f732bd85f4f658fbdacc1af0eb64d713003833109e657877bdf514fcc71b
h01,LA-0396,396,P4,P4,True,0.0,-12283041.448163489,R0,NONE,False,0.0,0.0,NONE,NONE,True,0.0,84888240.99419007,R0,R0,True,False,False,0.0,bcc6e08997c198684fab51fd55d10ec2a24a74ded22fe607c1f1189b55ce5bcc
h01,LA-0358,358,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,48f97bf4dda006c72aeb6c79444d18afc73e0bb0b68bc536b5898709173fcae0
h01,LA-0467,467,P4,P4,True,0.0,-23179337.24593857,R1,NONE,False,0.0,-776008.295513691,R1,NONE,False,0.0,275418141.0004581,NONE,R1,False,False,False,0.0,53c7e3c464f06f2bae3585b88fa4b6d8ba4c9869485dc85c6bb66e5d4df8d990
h01,LA-0021,21,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,-5.960464477539063e-08,R0,R0,True,False,True,-9.313225746154785e-10,c95963e1a431da2a3b8ada9dbb39004a0c07a4379db9b01c1d7489b92445ebe0
h01,LA-0148,148,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,-1.4901161193847656e-08,R0,R0,True,False,True,-9.313225746154785e-10,3711a998b4c7933e175b9bb33ca8b5a5809ca556b8dcc100769669d29d8cecae
h01,LA-0248,248,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,f6b1c0892e22d032b3d16b17439fd33fa7b594b6eb859e83dca3c9d35ccc56b5
h01,LA-0349,349,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,b1bf2ca52a9934c94e5a613175d3d936ee0a82e3e7d955596952da638c77c77d
h01,LA-0460,460,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,28bbf252a1f684443b0e5da01c9558f7797e1237a1089c668bd60ca34ad370fa
h01,LA-0561,561,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,ea50e9aab034a8b2ed5c6c78f8de4ed5399a0f412b2b6f55c1e319f2ba2e0721
h01,LA-0563,563,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,64cb56f97ecae025162b5e0aca7b693ef1c67643f93f2a380dfd370aa66a4b9b
h01,LA-0925,925,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,-1515150.0263708746,R0,NONE,False,0.0,224976822.0974935,NONE,R0,False,False,False,0.0,fe8bb6b653266a7e93bc13a144ee581af3865f225061cbe187a96d500bbad967
h01,LA-0803,803,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,8fb5f2c2034c4304ca216f63051c0d42ea9086b93b64e51e5766f7d41302690e
h01,LA-0008,8,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,36dc0277cb32aac8160a3b752027c9c6fa60be059cf3a5c3df2e85539c4e8ab7
h01,LA-0461,461,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,2.9802322387695312e-08,R0,R0,True,False,True,1.862645149230957e-09,89bae62571bebe73f38379db6d0b3bf399db75061980da051d5a5ca6825b1b67
h01,LA-0873,873,P4,P4,True,0.0,-13634029.6928412,R2,R2,True,0.0,0.0,NONE,NONE,True,0.0,94224936.32152417,R2,R2,True,False,False,0.0,d7b3e58d175d8483cf246fe9e382ec8c773ab92d272a8dcbf5bc5b1a08a5e8a6
h01,LA-0954,954,P4,P4,True,0.0,767183.7544508773,NONE,R0,False,0.0,1302436.04077536,NONE,R0,False,0.0,-198694033.94353116,R0,R0,True,False,False,1.862645149230957e-09,44f33a798ce8a3b03f32ee0f0f8bbfad114bb975e5b3ad1d6aa66572facd99bd
h01,LA-0631,631,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,348953e7f4001f78bcbefe2587d8e167623e36945e52991d0ef05e911625a1cc
h01,LA-0266,266,P4,P4,True,0.0,0.0,R0,R0,True,0.0,-240972.16879262845,R0,R0,True,0.0,35780715.97223875,NONE,R0,False,False,False,0.0,6ed888b7b31cb9ac62fdc48ae0dd0257f5ad2bd06b26587bd87794b0d87f14a5
h01,LA-0537,537,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,32550e70fb8fce006e39636c8951b5a6bd3bb18935819eacae6775b6d28dbd28
h01,LA-0751,751,P4,P4,True,0.0,696157.0357795756,NONE,R0,False,0.0,1720040.8842232109,NONE,R0,False,0.0,-260211159.37819713,R0,R0,True,False,False,-1.1641532182693481e-10,8ecfc68f3b5d9cefe9bdb7e825376d46f73cdd42adbaccaa3fb140db0096e692
h01,LA-0580,580,P4,P4,True,0.0,0.0,R0,R0,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,7875309dbe4c46f9f4d677accd66cdd608d33829bc43db797cb2cebb9c3a64fa
h01,LA-0675,675,P4,P4,True,0.0,0.0,R0,R0,True,0.0,0.0,NONE,NONE,True,0.0,5.960464477539063e-08,R0,R0,True,False,True,5.820766091346741e-11,ea78b8605ad10a665af961a0692def80e58efb30f97dda3e56c9ad3265e08e3a
h01,LA-0291,291,P4,P4,True,0.0,0.0,R0,R0,True,0.0,-3495150.943005016,R0,NONE,False,0.0,518976958.20377505,NONE,R0,False,False,False,-4.656612873077393e-10,f96e90b404aa5cf7a78fc51200a9aceb89cd691806c49805b4b27764e0701ca7
h01,LA-0482,482,P4,P4,True,0.0,-16015968.462868473,R0,NONE,False,0.0,0.0,NONE,NONE,True,0.0,110686542.60990089,R0,R0,True,False,False,0.0,2fff4d06133e6661e794a90ed8f7d5a84a58cca5e8154851f81e6923d4d4ddf9
h01,LA-0568,568,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,1850922.0147475835,NONE,R0,False,0.0,-274833874.91706544,R0,NONE,False,False,False,9.313225746154785e-10,14fd9d02e73ab4adbf5832653908edcd2ca7f6515dd69f758175f6843a39238b
h01,LA-0800,800,P4,P4,True,0.0,-13367466.762139332,R0,NONE,False,0.0,0.0,NONE,NONE,True,0.0,92382716.83565563,R0,R0,True,False,False,1.862645149230957e-09,3dc64101645d906d3f60be6c3509ba4499ae2d5885d061b3e1bc9a6face8247b
h01,LA-0187,187,P2,P2,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,c04ed6d908cb380828eaf3c161ed0a3cbe756cdc5a31e67d1a0f2942b67380f3
h01,LA-0814,814,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,18c310363f82808301eaa273a5a1d27ff94337e7515f3626da6d26cc93334efc
h01,LA-0420,420,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,16f9054f39fabede2c731d7de9ad0c42dd42c984244cb3fc884608159a169d6d
h01,LA-0222,222,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,4.656612873077393e-10,R1,R1,True,0.0,0.0,NONE,NONE,True,False,True,1.862645149230957e-09,c32bcf4aba71a2731562b4a91c0d87d0b0497171ed6466e5d295e3bb2d412422
h01,LA-0513,513,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R1,R1,True,0.0,0.0,NONE,NONE,True,False,True,0.0,9492ddebd6d63fee86353ea6373d7b593b6079cf382cfa00167eaed246b6ed9e
h01,LA-0061,61,P4,P4,True,0.0,0.0,R0,R0,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,52edbd50edaf9d6c9e4c6721ec65b7aa3512dd3d159c43a820ede3b5b4e2e752
h01,LA-0619,619,P4,P4,True,0.0,-15612157.58275886,R0,NONE,False,0.0,-1877363.8682975005,R0,NONE,False,0.0,386655890.4991564,NONE,R0,False,False,False,9.313225746154785e-10,d3fa20919737b88695eade1f5a826074f84ccb73900fa3029090a9eef3b3324c
h01,LA-0234,234,P4,P4,True,0.0,28956979.70726505,NONE,R0,False,0.0,0.0,NONE,NONE,True,0.0,-200122020.44809616,R0,R0,True,False,False,0.0,d558ba771fd90bd2e33800d71c98c27ddd4cd30e6a7a4c50a674a28cd4915f2e
