heldout_scenario,simulation_id,sample_index,input_sha256,training_scenario_count,budget,algorithm_identity,implementation_revision,status,certificate_status,iterations,full_exact_certification_calls,result_sha256,failure_type,failure_message,first_stage_sha256,policy_sha256,policy_label,training_T_COST,training_worst_scenario,training_worst_loss,first_stage_cost,Q_Water,F_Water,R_Water,Q_Vaccine,F_Vaccine,R_Vaccine,Q_Crackers,F_Crackers,R_Crackers,row_sha256,full24_source_first_stage_sha256,full24_policy_sha256
h01,LA-0914,914,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,2,2,30b05b32d2ced089f3cf3d50f515a259fdb33ed2e3ce90d2728d5983779b82c2,,,d2c114e50cf90f8393ef5adf566e013ec769105fbe6da9be13ec06963311fa68,bebf1b13f0b08a4c83df49c9b4016dcde153dcffe440f47b3d004ea819a669c0,P4,1212254701.0327222,h09,1205370714.8156202,6883986.217102074,0.0,20834416.584864948,R0,0.0,0.0,NONE,0.0,197240916.16133288,R0,55f2b31dbfe38a4f96383110b6c67dfe74a13c21522b1d94c8a10fd6ae4301a1,5781a113e0147f440d32596ad5362f958cee8a07f32c8cd8365aced4e52793e2,fea7e2bd1f76a7b001baeac8e70c6c4513f3a4e6ebd8c2d56c44a8ced852191d
h01,LA-0802,802,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,2,2,82f9baa8848da2abd67516931389c69c17260973e50c04e8985d50605ad38ce3,,,ee108bc4738d21db45a0770e2a94d48303dc0b84d81d7474113f88805c8e86a8,72505e908f7fa96d717d0fb26dd160a549477c005fbc4e26c240e926d4b27856,P4,1228589997.4005196,h09,1223511068.8220685,5078928.578451205,0.0,0.0,NONE,0.0,0.0,NONE,0.0,149681851.48916844,R0,ffbb462673b10d537aaf6ac84a25a915809d6fa30ad65656f1a5b1b8b914b18b,14850fcbb4039461ac3473e5167138bad44c78f72304891cf1224949e7c0fb9b,8c68cd363295a80a6c076e957d45b83ecee681984fc17feee92fa4b88a8e79b9
h01,LA-0642,642,df36bdc338b56dbdb6049ba0f8338289089a63b99a8d10e273f60fe82107fd03,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,5,2,cd886fab22a04a65fc7b086ca7fea9910e4c4d8ee9684ef1604218f0db1c0426,,,a1ab5e265a925f4dbf5c38f6c3084c27d13f2f29e038092e2cfea92fc53fe051,f8865a610b658129099e27ca534731203a1d8f330a4927c5c35d907e8b661215,P1,1221165897.9019191,h09,1202027992.0464807,19137905.85543848,14229721.617536936,0.0,NONE,688215.5357769008,0.0,NONE,0.0,0.0,NONE,9aba843797503389b9c0c9f81d9711dd3c51d6cf301c9d18f480c4aa9f34d808,00fad34c6985a1520333da73f27ab22a1345cd2dbac3cfe4ad0469ff5a7a2175,99cd56c56fdba833c6dd1558a25723eb71028448c6e9f459a688864e2573ae3f
h01,LA-0765,765,029044c21e5aaa3ef1fdc23ba9f93ecbcab421d4ba2aea33a2a93e86bd5dc97c,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,2,2,3a3b1d0fd680e0bc40ad4aabbb95ac854e78b67092d8746e04a1823e0430b7b5,,,653d6bdec6a0d9431a238935a3198530c045a2921286499f300f4eebb37ba1cd,6ce5fc8ffbf2fac058cadd1b54b9ea9c77404426d077678cad1e3ebe9f7e3de2,P4,1224998391.012687,h09,1224697016.0762508,301374.9364361677,0.0,18967474.959288407,R0,0.0,0.0,NONE,0.0,117568242.20780018,R0,930e5eda9895ab5428fdda9c740441ebf344dee2dc7ea14c8e913fdab7886103,75ea928a548f83ac5dee4837c163a541cd2cd8e00856b314283b074725a9bf0e,9846171180d7fb2337bc339cd1e3d5fe62f34a6d62ed2a15b647a194fbaabd61
h01,LA-0334,334,edaf1d3f884b2a1b1bc5dfef3d1a8ae510e3ba39112540125e89d3ae561834b0,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,2,2,197f70a4f4ff056574eca04c2755cb6c8efd7fb4bdb2e0801cc09a320513a1c4,,,e2b62a9b9d41a1c6690c937d009d366d24e9ab722edfd63d15c1cc7339547c55,402d8d1168a6b574f6e4e11fd2f19f4049689e6b66cd26281da8b1bcf6f501e0,P4,1224359243.6162937,h09,1223878241.7037647,481001.91252907115,0.0,0.0,NONE,0.0,976956.9914796645,R0,0.0,26959973.060713418,R0,afe874a82e0386a856e80eb60b8a4206076a5857ec084dbfdd3d0f6c6f3a3404,3ab8080c2cd9b2d8e60d97139b586fb8609b1bc5ea7a6c20729dcfd0f8d4519f,8f1f50a2cc179079aae8afd5fc19dbc298a30b64b36e4ec6ac1c244a28a729fe
h01,LA-0396,396,4a8ce3956cb01a1d091e6fc01863a6d00473bea19495791f759d72580abea560,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,2,2,509c00478ed17afb1fd2ea05e58984fe4308733d96e091d903b22cdee47a8d8b,,,b7e70e2896e4f9835bafd60848d3a87a16163653ac147f48a637fc8c784184f1,4d46e26ef4cdd383e7e2e9a191d5490a180d4745ce33eed2702971e2844268df,P4,1195686432.2114403,h09,1191051126.0533757,4635306.158064613,0.0,0.0,NONE,0.0,0.0,NONE,0.0,253371105.20701838,R0,f4a692ef85c51f718024451d8e2d8e7d7afb8ad4b96f0a0199ef94edfb89ed9c,6321601fb1544f6fa904d6dc8c1f4396442dac34e9260793551cab38bec52802,fdcb7e0a151b0e042ddb8b70b2148461491661ff5b5fb2ac41a279daed7535b7
h01,LA-0358,358,65f12d3443be917eb572e0eca29833f1866f1a45141d44db32bfff161cc2c593,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,2,2,b76bb27492692f9a36c963e6e53c449d45d82cf8d05eea3d6ee516c2c6ae1f54,,,889ec3ae3e882d17cf3f609268531eb001609f963dc6ba270618c096481f1a91,17de16b0d6951c01a6ead0d5687d9076ca387d051ab479c45587a6f766e4ba63,P4,1168155110.8672476,h09,1165305679.9791734,2849430.888074171,0.0,0.0,NONE,0.0,0.0,NONE,0.0,868192363.9856374,R0,18636054b129e8ff012583077e11df05c6712f2ab553accb7804f1c4a122ac2b,fb1dc2ff59df43241a9a4691b0c60828a912025060f1637cde4dda39f5e525cd,6faca3c761acad43136dfdbadf66429a8719fbaff656ed04e4b987c3ad6c177d
h01,LA-0467,467,10bba651114fcf8a3e1f592ebce456644653baea223751f04413e110919e8399,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,2,2,ee005046b590dedef4288da3c00f6fea7f66e5dbbe88050d1b001b9688ebd362,,,58f3b8f9b85719d29216770a807226363fe44b672eb777117e5c7f544b6510c8,ea1184408b6a14f8815dced6456aac44fdda2618b078d1d16c54c675c2f61227,P4,1229783603.3591185,h09,1216823757.4785635,12959845.880554896,0.0,0.0,NONE,0.0,0.0,NONE,0.0,275418141.0004581,R1,e9b8768849d80f1bed1ec36f4637421b6840fc06f1d16036a834d1a24f0c562b,459cdf77a9f30bf46b6834568261fc6193863ac4968604741fab07b60e882b8c,89c4834bc02a71a472899068ee9a2b672c63ad69c04a8d167bb105a28c328bba
h01,LA-0021,21,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,2,2,da7b6a4448196cff03b490d6f35b94d31e6b051c3ec2abb6b8c863e54eae3bff,,,d478b95a22a1f5217493c474dd4ca722b8afdde039820251b1e5f04e1e335004,ec81c41902a4a725d1f3b6416cfeb5a278bd605974fc597b8ea014f2df1cbde9,P4,1233499223.9417398,h09,1229183651.3295689,4315572.612170885,0.0,0.0,NONE,0.0,0.0,NONE,0.0,267830195.4547347,R0,fcb7a9b9b244036f24178f55cdbc22aadb3c22bb7037c1385b66d1fe530a177f,fbb66c657174c3eb494e70bcbf150d790ef245ef49a7f4c520736f540e2a0b67,1043c26bc69168369bc901ea703ec25f7f026952832577aa46ccfa6b5ef68654
h01,LA-0148,148,7151e912cd4a11e3ecf51701a50a70afb496f08ac17c31ec24434fead2eac7fd,23,19137905.85543848,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,certified,PASS,2,2,1ed0386c79cb4ce0b6fee2260a07961b3619e71a8a64d0ae5ce79a7f59e697cc,,,808b146075d60b19e1fef3562e5f999f6647a40b4b837a8bc1893deda627095f,219f3402af37b3d90ab07be4b63495f03ee0a8285632268a348b1c9ca866c853,P4,1237050663.6348436,h09,1230832025.3260527,6218638.308790869,0.0,0.0,NONE,0.0,0.0,NONE,0.0,134080467.92267978,R0,e2e1cccf450ed869062d842164f29adc86bf983b857b642f626f54c6efcdc479,70144a1e05815d4dc6b051fb2e96f5a208050735c21579657d4987fc5d3bfdbc,259b6d6901da74ab80c15b5199bb5a1c25a6ab4cb43397349702a7cba5f85bd5
