policy_label,commodity,policy_seed_N,mean_shortage,mean_of_seed_medians,mean_of_seed_maxima,mean_of_seed_P95
P1,Water,220,4937654.629556216,0.0,70991661.78145903,35069650.242361
P1,Vaccine,220,404501.24027619144,0.0,10941879.268972756,851596.3834381616
P1,Crackers,220,109185673.21435016,22260034.87789319,2208800650.4698277,248925140.63030797
P2,Water,20,5027469.589253293,0.0,71199645.97075194,35636588.4786605
P2,Vaccine,20,593375.0154707821,123000.25174272872,11332135.255744804,1286395.4535487588
P2,Crackers,20,80516081.17655288,0.0,2149287904.50479,189412394.66527018
P3a,Water,10,4548541.370380895,0.0,71742463.48751415,31551384.577285457
P3a,Vaccine,10,447875.6921983367,0.0,11100427.605391707,1054687.8031956651
P3a,Crackers,10,109185673.21435013,22260034.87789319,2208800650.4698277,248925140.6303079
P4,Water,750,8320683.814047734,2488297.809380223,78260930.34233887,42902967.46849161
P4,Vaccine,750,521603.80582007417,83640.17118505554,10985558.54175605,1102756.2756047605
P4,Crackers,750,85933979.99855389,6961156.244178569,2112360127.583351,182468599.37562147
