simulation_id,sample_index,seed,initial_status,production_status,production_solver_status,production_termination,final_status,witness_gated_retry,scaled_retry_status,mapped_back_original_semantic_validation
LA-0048,48,20260904,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0048,48,20260905,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0048,48,20260906,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0048,48,20260907,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0048,48,20260908,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0048,48,20260909,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0048,48,20260910,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0048,48,20260911,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0048,48,20260912,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0048,48,20260913,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0061,61,20260904,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0061,61,20260905,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0061,61,20260906,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0061,61,20260907,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0061,61,20260908,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0061,61,20260909,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0061,61,20260910,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0061,61,20260911,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0061,61,20260912,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0061,61,20260913,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0291,291,20260904,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0291,291,20260905,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0291,291,20260906,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0291,291,20260907,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0291,291,20260908,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0291,291,20260909,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0291,291,20260910,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0291,291,20260911,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0291,291,20260912,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0291,291,20260913,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0618,618,20260904,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0618,618,20260905,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0618,618,20260906,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0618,618,20260907,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0618,618,20260908,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0618,618,20260909,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0618,618,20260910,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0618,618,20260911,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0618,618,20260912,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0618,618,20260913,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0734,734,20260904,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0734,734,20260905,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0734,734,20260906,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0734,734,20260907,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0734,734,20260908,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0734,734,20260909,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0734,734,20260910,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0734,734,20260911,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0734,734,20260912,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0734,734,20260913,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0930,930,20260904,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0930,930,20260905,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0930,930,20260906,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0930,930,20260907,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0930,930,20260908,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0930,930,20260909,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0930,930,20260910,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0930,930,20260911,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0930,930,20260912,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
LA-0930,930,20260913,FAIL,failed,warning,infeasible,PASS,True,optimal,PASS
