Pr_any_shortage_gt_policy_tolerance,T_COST_P05,T_COST_P90,T_COST_P95,T_COST_max,T_COST_mean,T_COST_median,T_COST_min,batch_results_sha256,emergency_expenditure_P05,emergency_expenditure_P90,emergency_expenditure_P95,emergency_expenditure_max,emergency_expenditure_mean,emergency_expenditure_median,emergency_expenditure_min,in_sample_robust_T_COST,policy_label,raw_total_shortage_cross_unit_descriptive_P05,raw_total_shortage_cross_unit_descriptive_P90,raw_total_shortage_cross_unit_descriptive_P95,raw_total_shortage_cross_unit_descriptive_max,raw_total_shortage_cross_unit_descriptive_mean,raw_total_shortage_cross_unit_descriptive_median,raw_total_shortage_cross_unit_descriptive_min,row_sha256,runtime_seconds,sample_index,scenario_count,seed,service_level_cross_unit_descriptive_P05,service_level_cross_unit_descriptive_P90,service_level_cross_unit_descriptive_P95,service_level_cross_unit_descriptive_max,service_level_cross_unit_descriptive_mean,service_level_cross_unit_descriptive_median,service_level_cross_unit_descriptive_min,shortage_Crackers_P95,shortage_Crackers_max,shortage_Crackers_mean,shortage_Crackers_median,shortage_Vaccine_P95,shortage_Vaccine_max,shortage_Vaccine_mean,shortage_Vaccine_median,shortage_Water_P95,shortage_Water_max,shortage_Water_mean,shortage_Water_median,shortage_loss_P05,shortage_loss_P90,shortage_loss_P95,shortage_loss_max,shortage_loss_mean,shortage_loss_median,shortage_loss_min,simulation_id,solver_status,status,production_termination,scaled_retry_triggered,pre_disaster_expenditure
1.0,9913951.931060955,95629142.90396312,217223550.93384704,1430274861.864053,82108665.36559033,20781763.16754705,8421663.723551445,7da1013d9c06da43caf9e93570a7caa88fca7a2eda17241d3572471315047f78,776556.9642673329,11846644.368223205,12253919.638336403,12253919.638336403,5133345.751888425,4142683.316707,606042.556177937,1212254701.0327225,P4,40298.42569049232,28356948.426188797,65722347.92715265,2143000828.0520325,76039782.53072998,199231.41229333682,4722.171328954669,b59b3592c1dc231e7926a313d7d5af0565d2c76c7a6c28bab75dda8ed4e8b006,0.4465129000018351,914,2000,20260904,0.5546239963572758,0.9958530721449373,0.9963816393796663,0.9986591591112144,0.9094055992168588,0.991462530947732,0.04834120440215206,0.0,2130683518.8445897,70852794.48474382,0.0,538242.2987532084,11454469.186062234,566982.7553382523,124651.73813599834,30896411.32849962,74148521.28037146,4620005.290647909,0.0,2239396.020864846,79683270.3395299,198085645.07840857,1411136956.0086145,70091333.39659984,10367368.96530001,262854.94485493266,LA-0914,optimal,optimal,optimal,False,6883986.217102075
1.0,10031966.025326459,112646572.70686285,1020163242.9637852,1415349515.7620053,95985255.73085397,20425406.855823845,8443191.613083113,7006959517461a22994b947b49dcb698d706f0f648c454bd4df9dc6b32836c86,810322.7830716303,12151666.296564775,12253919.638336403,12253919.638336403,5304212.696414429,4129222.6075035436,608793.1104704374,1212254701.0327225,P4,41634.06394797835,34469056.83896817,1479296916.3938763,2129396631.6275249,96506788.93131071,195725.9327190985,4701.253776227616,1ad7ac20386bb6001048040d79dd0b1de4b969c0076186768897218710fceadc,0.32996489998186007,914,2000,20260905,0.06788462778937437,0.9958767152729141,0.9962509305156715,0.9986702589820853,0.8994897685034373,0.9915221798398888,0.04863502413302734,1471105396.9304519,2117261806.310679,91192409.68806991,0.0,7978101.220687432,11350510.192601183,675338.0713822705,127023.75884799974,33132871.322605457,73599061.98115034,4639041.171858539,0.0,2317518.535600267,96410043.89811379,1001633212.7840549,1396211609.9065669,83797056.81733747,10153348.504417991,261690.59019993403,LA-0914,optimal,optimal,optimal,False,6883986.217102075
1.0,9999512.855875615,102317023.22050412,220439815.6984273,1436493140.7101183,83926988.65839243,20495920.33207463,8372076.440232931,33ea16dee5e4cb9f9af586e9d59a006c36fd25d8e02e687b1adf7e8990a8127b,802657.5637814894,11907785.560293077,12253919.638336403,12253919.638336403,5198220.135379058,4089139.5727734417,599964.5003143133,1212254701.0327225,P4,42848.06056324472,30713796.875464607,67014821.418526575,2156812110.288937,77938860.52142851,197553.0133597443,4701.856879231542,671857a159725a9a723dc625c8f6b0f17e3882924267bde8c3ba92a13ba8f0eb,0.3249313000123948,914,2000,20260906,0.5473777755330268,0.9958946719017158,0.9962654299451835,0.9986584997304437,0.9060318440318931,0.9915480127456031,0.0480465215405822,0.0,2143768711.1607103,72455266.33369999,0.0,540621.2908613281,11368567.150270928,574223.0775827863,124912.58576050587,33721474.916635364,73060839.04562673,4909371.110145754,0.0,2381788.6044553644,86142681.40425645,201301909.84298882,1417355234.8546798,71844782.30591129,10376998.379293285,261724.16132554456,LA-0914,optimal,optimal,optimal,False,6883986.217102075
1.0,10044270.053595534,108326108.5165486,228203899.17558497,1412954340.0622156,91836536.11431304,21293108.754299603,8360325.156516703,6ebac2d187eebf56689bd4e6ea8decef58b5b3b85fd6b81c12c6891a76092e47,799925.4796796844,11966562.390038926,12253919.638336403,12253919.638336403,5259777.705533865,4326242.285069032,614642.3556003288,1212254701.0327225,P4,41528.73255884691,32955503.11629182,71269402.66034918,2081580570.4535046,89646251.44841021,200753.78739683368,4733.972122693422,8684b4855f6a175106272fd1b563c4058e3dd2c86a1e839a2f330ef47b271205,0.3303478000452742,914,2000,20260907,0.5265201520726969,0.9958538826957077,0.9962697272214143,0.998636492083801,0.8987569234794643,0.9914755874444765,0.049696700001310656,2149142.292422386,2068963642.1975508,84148173.75389825,0.0,556300.1506369758,11308129.239959078,638794.8177964415,124917.4880172147,33583524.25638407,74470398.27851434,4859282.876715531,0.0,2311655.3691556547,92210661.56168495,209065993.3201465,1393816434.206777,79692772.1916771,10645828.305932924,263511.8242376066,LA-0914,optimal,optimal,optimal,False,6883986.217102075
1.0,9973015.486530904,104631597.33216594,222103568.63496333,1437701021.4677486,87793926.88933524,20959819.140455063,8377543.7453485755,7b6766d64ebe6a9cfbc10c5110d7d07c70c2b41994f14229708a7ad19e6493a9,809869.0581967473,12006417.70045169,12253919.638336403,12253919.638336403,5241488.901669684,4213060.39624457,602791.5150930546,1212254701.0327225,P4,39830.14119231123,31641391.878777534,68150961.92514667,2103012663.5325315,83467625.61981922,197548.87097399164,4810.574111137006,5db99b3f9c68dc8f0d256e3d2265ea69ecc46de23c4fa792703417138f440fb6,0.33358119998592883,914,2000,20260908,0.5411321572018843,0.9959538933604936,0.9963648457493401,0.9986500710339655,0.9027252183114659,0.9916444636827371,0.049215159856872415,0.0,2090909664.9075856,78019927.77647766,0.0,551855.0808731132,11454571.023755131,608714.8631171329,124352.4677508971,32663170.30077321,73068687.34181683,4838982.980224428,0.0,2217104.9793288126,88557890.8261601,202965662.77952486,1418563115.6123102,75668451.7705635,10468220.689360105,267775.7973223303,LA-0914,optimal,optimal,optimal,False,6883986.217102075
1.0,9914582.719090853,107154649.02103479,225349195.4520759,1446473651.397996,85404833.11841625,20290312.368400343,8372119.647056208,bad8490a4ad86a901c73b9696f428a369d1330fb034249a13a9cbea0225177dd,835977.6467811507,11957314.845290592,12253919.638336403,12253919.638336403,5181654.594882133,4118686.5563727617,616270.8252419678,1212254701.0327225,P4,39169.63801331432,32540305.228473436,69298140.94660614,2131105231.079834,80041562.62820596,193145.14542967203,4651.961533600129,6919e887cde5aa8c32bc1b38ee6013103e61ce146b8390dbbc99d89d2824ce98,0.33261760004097596,914,2000,20260909,0.5436015724072168,0.9959277164216908,0.9963904308609032,0.9986531032034837,0.9058787578259603,0.9917645726533163,0.048597926295309235,0.0,2117818622.6211915,74494126.40890951,0.0,546526.4430017103,11299632.82967544,584862.7262216497,121673.7746334876,34332745.44188478,72625055.75865346,4962573.493074776,0.0,2180338.7303731283,91082819.83745092,206211289.59663743,1427335745.5425575,73339192.30643204,9899648.803404206,258946.78680631757,LA-0914,optimal,optimal,optimal,False,6883986.217102075
1.0,10038771.277894594,108365235.2018681,231016836.21446764,1408458559.0600617,90964049.80062342,21172264.81826666,8364521.3977705,934faa99832ea7ebeec95d9bf28aa2d41d2c2d2aba14f1bc16fd1af934cbbf4e,805462.8560977719,11938372.123394087,12253919.638336403,12253919.638336403,5235257.878233228,4118898.549687187,628448.1982904775,1212254701.0327225,P4,40897.75410397067,32933897.43726698,72608949.51293886,2144881613.2128096,88391186.63492373,198738.08246592083,4858.33124063814,a16cf9cfbf5bd50c9f93a351e67404017cae44e34f39813b7c108f0bb5805c99,0.32823139999527484,914,2000,20260910,0.5363125685913321,0.9958817701565719,0.996275906542182,0.9986565109023902,0.9006096445002896,0.9914562467636336,0.04830086281269863,2742063.9863998303,2133153039.9361615,82845738.08797912,0.0,555814.0440637419,11370702.077329053,629704.772190907,124605.15036685101,33770713.846814215,71155448.28515536,4915743.774753685,0.0,2276532.5844434234,92225294.83289093,211878930.35902917,1389320653.2046232,78844805.70528811,10342138.919450697,270434.1501788814,LA-0914,optimal,optimal,optimal,False,6883986.217102075
1.0,9980620.380792568,101177472.54075168,221875935.81422034,1413434289.0453632,85982645.86709504,20282935.501638636,8372887.984154832,1b736463885c34884bdaefc7e347a0000f4fae16f277aa1656c3d68a9e17a264,809148.1384198249,11898138.342214571,12253919.638336403,12253919.638336403,5123633.511257496,4044340.3973526005,607526.0632537545,1212254701.0327225,P4,40869.09773353289,30467740.82384368,68037522.95828341,2106240697.075307,81758803.06410025,192148.11820634268,4835.978040688725,6d47bd921922099a9587c3071f36464352694b7c95b287c6bfc7148bd15a672f,0.3354255000012927,914,2000,20260911,0.5387996652878371,0.9958706016944792,0.996345754583788,0.9986599827736912,0.9038636182859588,0.9915373122496144,0.04914343925155318,0.0,2094322110.507677,76477860.98779978,0.0,543912.4420111208,11158622.648789255,595840.1016021235,119222.29219400995,31938031.179488145,73258550.90748157,4685101.974698343,0.0,2274937.4562393753,85109692.5883165,202738029.95878187,1394296383.1899247,73975026.13873546,9788763.165021868,269189.8816568972,LA-0914,optimal,optimal,optimal,False,6883986.217102075
1.0,10007175.954629289,93282560.8073079,199327326.7550078,1418339295.3035219,78144470.35205194,19180096.13560449,8385938.532686074,22d576f07fe0aa076c038cf11e32edacf5b003ea8b405afa44e97232ddd3b779,790936.0896395724,11772838.987111397,12253919.638336403,12253919.638336403,4961864.644813375,3822224.6381317014,609828.441986863,1212254701.0327225,P4,40556.14990895899,27563743.62316026,59264049.41485849,2115541790.848946,72175817.80080567,176350.18797655095,4751.775754853952,f447f8c5e9c8a8b79b5477d7351888156956fbaa0be6df3d4fc46fe76de60c73,0.2900678999722004,914,2000,20260912,0.5476768982144092,0.9958630437876326,0.9963213227082122,0.9986454051703325,0.9107979255265426,0.9916751827209231,0.04893795108705068,0.0,2102599851.2755728,67231254.39151976,0.0,527308.7708771051,11422644.447305309,532935.4921705419,117899.13326111683,31807175.047840368,71202899.91372779,4411627.917115377,0.0,2241200.550598275,77314044.58794682,180203464.88076752,1399201389.4480834,66298619.4901365,7861557.685069868,264502.8456181904,LA-0914,optimal,optimal,optimal,False,6883986.217102075
1.0,10053696.356416153,89812467.78732155,199320511.1520848,1408414186.5122535,76389505.16311267,20224290.153018788,8387870.385809675,7d4ed73ff50f0b2261e251dfd186361269fd619353e5c6a84f45f66a8838fd6b,796728.6012564457,11503745.510525294,12253919.638336403,12253919.638336403,5079300.691535298,4106402.376546264,614781.5783951271,1212254701.0327225,P4,42344.32623474581,26134826.17222934,59194648.80476158,2116554540.5420725,68954537.61967854,190062.85348981922,4844.007469493103,fe171c6635cc55edb987981c6aceda88f9212ec02b065c78b428391c75a0293f,0.31976620003115386,914,2000,20260913,0.5508573478809355,0.9958815247862808,0.9962538717686477,0.9986691880864301,0.9121535351335324,0.9915486397163706,0.04891568020281922,0.0,2103950077.5171547,64152343.57843671,0.0,525272.7937218522,11133503.761700407,526353.4773057135,120744.12845920627,30268345.490320083,72542744.92512514,4275840.5639361255,0.0,2341951.244489908,73840595.22379842,180202507.86365986,1389276280.656815,64426218.254475296,9858891.877348466,269636.83178186405,LA-0914,optimal,optimal,optimal,False,6883986.217102075
