OOS_exercise_cost_P90,OOS_exercise_cost_P95,OOS_exercise_cost_max,OOS_exercise_cost_mean,OOS_exercise_cost_median,OOS_exercise_cost_min,OOS_raw_total_shortage_P90,OOS_raw_total_shortage_P95,OOS_raw_total_shortage_max,OOS_raw_total_shortage_mean,OOS_raw_total_shortage_median,OOS_raw_total_shortage_min,OOS_service_level_cross_unit_descriptive_P90,OOS_service_level_cross_unit_descriptive_P95,OOS_service_level_cross_unit_descriptive_max,OOS_service_level_cross_unit_descriptive_mean,OOS_service_level_cross_unit_descriptive_median,OOS_service_level_cross_unit_descriptive_min,OOS_shortage_Crackers_P90,OOS_shortage_Crackers_P95,OOS_shortage_Crackers_max,OOS_shortage_Crackers_mean,OOS_shortage_Crackers_median,OOS_shortage_Crackers_min,OOS_shortage_Vaccine_P90,OOS_shortage_Vaccine_P95,OOS_shortage_Vaccine_max,OOS_shortage_Vaccine_mean,OOS_shortage_Vaccine_median,OOS_shortage_Vaccine_min,OOS_shortage_Water_P90,OOS_shortage_Water_P95,OOS_shortage_Water_max,OOS_shortage_Water_mean,OOS_shortage_Water_median,OOS_shortage_Water_min,OOS_shortage_loss_P90,OOS_shortage_loss_P95,OOS_shortage_loss_max,OOS_shortage_loss_mean,OOS_shortage_loss_median,OOS_shortage_loss_min,OOS_total_cost_P90,OOS_total_cost_P95,OOS_total_cost_max,OOS_total_cost_mean,OOS_total_cost_median,OOS_total_cost_min,in_sample_robust_T_COST,policy_label,row_sha256,sample_index,scenario_evaluations,simulation_id,status,OOS_mean_minus_in_sample_robust_T_COST,OOS_max_minus_in_sample_robust_T_COST,pre_disaster_expenditure
11926252.218090681,12253919.638336403,12253919.638336403,5171875.651160698,4101365.9139451003,599964.5003143133,30778399.017274916,67757903.2753087,2156812110.288937,81492121.67994128,194764.1504094937,4651.961533600129,0.9958865381182449,0.9963040527713961,0.9986702589820853,0.9049712834815403,0.9915648640878046,0.0480465215405822,0.0,0.0,2143768711.1607103,76186989.54915345,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,16713731.873252846,32646956.385497265,74470398.27851434,4711757.115317047,0.0,0.0,86167442.76634304,202900330.42494917,1427335745.5425575,73797825.83771566,10142624.44337646,258946.78680631757,102266414.42663012,222038236.28038764,1446473651.397996,85853687.70597842,20503107.195715617,8360325.156516703,1212254701.0327225,P4,a75b725738a7b8609021c9ba4190d73670bbd3c9a2de516413c69039d54047e9,914,20000,LA-0914,PASS,-1126401013.326744,234218950.36527348,6883986.217102075
14058977.276987273,14058977.276987273,14058977.276987273,7032308.848397021,6323107.194219253,924969.8582891121,36127418.43770732,114117791.12934989,2200386844.5180163,86709437.96708658,195530.76282210695,4651.961533600129,0.9958817701565719,0.9962936365696777,0.9986702589820853,0.8688294581327013,0.9905395174367169,0.02881391447924686,21075964.997110102,46759210.75992985,2187343445.3897896,80851312.11609572,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,17292549.04372583,36535735.43787111,73687163.50242192,5264750.835520088,0.0,0.0,96242491.53523321,219235626.79274642,1443671041.9103549,76979083.21191302,10884024.38172976,258946.78680631757,112508184.33193007,238373532.64818493,1462808947.7657933,89090320.63876124,20783830.37660052,7210210.195373004,1228589997.4005196,P4,f681e1b3df3fb2213ec479657e26324a3bf6ae66d54a66d3a7b84dd2d36b1d4d,802,20000,LA-0802,PASS,-1139499676.7617583,234218950.3652737,5078928.578451205
0.0,0.0,0.0,0.0,0.0,0.0,85025776.58777797,168880840.44122136,2254766663.8488436,114578785.04334646,23350245.825494826,913588.4804794688,0.3088583550890044,0.5061469690064091,0.7357717841620828,0.17055466313334136,0.14045994300713555,0.004812260407005553,79631693.15176815,103147091.36385679,2242226257.1026506,109185673.21435013,22298660.849496126,913588.4804794688,0.0,0.0,10951578.641721541,390865.52062762424,0.0,0.0,16589000.832501665,35507394.68633039,72588898.45108089,5002246.3083687015,0.0,0.0,95784157.2159799,208167914.35977793,1436246942.4117544,75648483.25053328,10816532.528871305,342486.0495621433,114922063.07141837,227305820.2152164,1455384848.2671928,94786389.10597177,29954438.384309784,19480391.905000623,1221165897.9019191,P1,ad7720ca7e8ef37bc86b6629f1962f1b34f8b06b97ce81149999e2215b10f72d,642,20000,LA-0642,PASS,-1126379508.7959473,234218950.3652737,19137905.85543848
11001956.106340159,14250855.743064316,18836530.91900231,4786154.9483773615,3080794.5704325996,126221.85920794954,45821367.652423784,77115368.03141873,2129331641.8189328,85476283.54503523,4150488.1665327717,335811.7190791916,0.9676376914292077,0.970630002195942,0.9747180260200735,0.7336249004813749,0.8243886276124054,0.060175592693752944,0.0,0.0,2105888242.6907063,74543686.04932529,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,27869487.504236855,47689925.020646125,83869385.12281607,10339222.48023917,3972036.6347562666,284862.44308632676,125140765.90628672,227520219.35362098,1440079435.5225224,87761421.4891403,19417505.214077458,3574062.1164148846,128704990.37715752,242278869.1258847,1459217341.377961,92848951.37395383,23049320.758706674,4920229.20492718,1224998391.0126872,P4,e7542fe3e2b5f895f4cff263860d6904d7eedb8a36e2fce8dacbbee3bd9495d0,765,20000,LA-0765,PASS,-1132149439.6387334,234218950.3652737,301374.93643616757
9928440.471656997,11241013.225822011,18656903.942909405,4746503.3904919475,2781638.5576968123,420271.4022979545,95761092.22263493,179815521.48013765,2264428661.92492,119549147.82110898,27796246.535857566,2884987.2955169696,0.07423600680319238,0.08413479824794008,0.10951394632687428,0.025952618402244814,0.017599021733434583,0.0005477384147969389,79631693.15176815,103147091.36385679,2242226257.1026506,109185673.21435013,22298660.849496126,913588.4804794688,0.0,0.0,10540091.131996784,373092.10937531,0.0,0.0,27523681.871417943,47339925.020646125,83523579.48999716,9990382.497383533,3616949.474033692,0.0,126439876.8061251,236349596.2990012,1439440288.1261292,87582407.32508409,20465072.818319507,2201747.1997028254,129629178.3018288,247835377.81048104,1458578193.9815676,92809912.62810512,24288222.52953253,3890274.0211755745,1224359243.616294,P4,01edc05f2e4956e27313aeae000f71ca7b88ffab1f3560da2573fb0df8814d65,334,20000,LA-0334,PASS,-1131549330.9881887,234218950.3652737,481001.9125290711
10306382.187492738,11917741.31430788,14502599.697373863,4768705.025795302,3853995.9622086487,563778.2168662273,34606783.28160603,66531547.20203835,2112615917.3171003,80049056.44220799,195530.76282210695,4651.961533600129,0.9958817701565719,0.9962936365696777,0.9986702589820853,0.8957642242533075,0.9915555054581386,0.06755342222678407,0.0,0.0,2099572518.1888738,74271478.32329631,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,17285666.67485648,36475340.64982838,73285564.2934357,5184203.103440919,0.0,0.0,96086020.7183721,200099656.34886232,1410767476.7212756,74303752.05539766,10884024.38172976,258946.78680631757,107596265.61180717,216669367.33482745,1429905382.576714,83707763.23925757,18624351.15286103,6038723.403147171,1195686432.2114403,P4,f8bdee578afde9ceb5b30b439addda1f62fd795cf4189802a79c0a05f04332ff,396,20000,LA-0396,PASS,-1111978668.9721828,234218950.3652737,4635306.158064613
4504236.801425384,5834346.935153096,16288474.967364307,2329124.875969,1261287.3699593535,51675.64184892068,45821367.652423784,77115368.03141873,1977701039.6383958,78941004.59105408,4150488.1665327717,335811.7190791916,0.9676376914292077,0.970630002195942,0.9747180260200735,0.7371201409676342,0.8243886276124054,0.12710088419136112,0.0,0.0,1954257640.5101693,68008407.09534413,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,27869487.504236855,47689925.020646125,83869385.12281607,10339222.48023917,3972036.6347562666,284862.44308632676,125140765.90628672,227520219.35362098,1383236155.3770828,85311476.11487184,19417505.214077458,3574062.1164148846,129370444.44319278,236183283.5666504,1402374061.2325213,90490031.87891503,23396215.651920427,7001442.992054496,1168155110.8672476,P4,97dd1574f02a39a5d6053c00d3f9d0bf72f6059655fe9bafa094e388d7bad0e2,358,20000,LA-0358,PASS,-1077665078.9883325,234218950.3652737,2849430.888074171
6178059.974883582,6178059.974883582,6178059.974883583,3245382.980039771,2589574.510250847,476647.23416740465,84201711.4139932,168302225.87559047,2254921480.345272,114343134.65275826,23350245.825494826,913588.4804794688,0.3088583550890044,0.568084703294748,0.7357717841620828,0.17509613761590642,0.14506992521036638,0.004743928955417864,79631693.15176815,103147091.36385679,2242226257.1026506,109185673.21435013,22298660.849496126,913588.4804794688,173557.65219130507,261086.6262927461,11106395.138150098,416774.46467653895,0.0,0.0,15752060.780324321,34011486.95484828,71751958.39890353,4740686.9737315755,0.0,0.0,91908559.46525605,220429232.75134522,1444864647.8689535,76413030.78789422,10021790.306403317,342486.0495621433,110479406.10727298,239567138.6067837,1464002553.724392,92618259.64848888,26307732.313829936,14140812.312971879,1229783603.3591182,P4,3979a46dfc007c8d8621dd84326a7124db7e516064c89def570221e1297c126d,467,20000,LA-0467,PASS,-1137165343.7106295,234218950.3652737,12959845.880554896
10384551.038802702,13451129.724575402,14822333.243267592,4390114.212244082,2907907.298256442,119138.57194923393,45821367.652423784,77115368.03141873,2152007785.9958763,86453625.35906148,4150488.1665327717,335811.7190791916,0.9676376914292077,0.970630002195942,0.9747180260200735,0.7331021921622116,0.8243886276124054,0.050167009088203374,0.0,0.0,2128564386.8676496,75521027.86335152,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,27869487.504236855,47689925.020646125,83869385.12281607,10339222.48023917,3972036.6347562666,284862.44308632676,125140765.90628672,227520219.35362098,1448580268.4515748,88127807.38838246,19417505.214077458,3574062.1164148846,132541317.23350032,245499700.94559008,1467718174.3070133,96833494.21279743,26866221.624200895,8905663.54832511,1233499223.9417398,P4,c8c3cdd46bb4c3494f9debdfc8fd32f19050dd52536d63412566410f40984081,21,20000,LA-0021,PASS,-1136665729.7289424,234218950.36527348,4315572.612170886
9874264.428958224,12790154.458520642,12919267.546647608,4121598.2151531028,2765015.59774626,113284.21986848222,45821367.652423784,77916260.97837749,2161481323.376115,86879354.86723466,4150488.1665327717,335811.7190791916,0.9676376914292077,0.970630002195942,0.9747180260200735,0.7327912134553715,0.8243886276124054,0.04598566810842508,0.0,0.0,2138037924.2478883,75946757.37152469,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,27869487.504236855,47689925.020646125,83869385.12281607,10339222.48023917,3972036.6347562666,284862.44308632676,125140765.90628672,227958706.75059643,1452131708.1446788,88287404.86640643,19417505.214077458,3574062.1164148846,134297372.31716922,246986239.9102126,1471269614.0001173,98627641.3903504,28588405.18508727,10784956.289202262,1237050663.6348436,P4,240d76dc8520d9740a1db1312e12f859ad4b43a07f6e2dbd5d72e97a887c7578,148,20000,LA-0148,PASS,-1138423022.2444932,234218950.3652737,6218638.30879087
