seed,N,T_COST_mean_min,T_COST_mean_median,T_COST_mean_mean,T_COST_mean_P90,T_COST_mean_P95,T_COST_mean_max,T_COST_max_min,T_COST_max_median,T_COST_max_mean,T_COST_max_P90,T_COST_max_P95,T_COST_max_max,shortage_loss_mean_min,shortage_loss_mean_median,shortage_loss_mean_mean,shortage_loss_mean_P90,shortage_loss_mean_P95,shortage_loss_mean_max,shortage_loss_max_min,shortage_loss_max_median,shortage_loss_max_mean,shortage_loss_max_P90,shortage_loss_max_P95,shortage_loss_max_max,emergency_expenditure_mean_min,emergency_expenditure_mean_median,emergency_expenditure_mean_mean,emergency_expenditure_mean_P90,emergency_expenditure_mean_P95,emergency_expenditure_mean_max,emergency_expenditure_max_min,emergency_expenditure_max_median,emergency_expenditure_max_mean,emergency_expenditure_max_P90,emergency_expenditure_max_P95,emergency_expenditure_max_max
20260904,100,69450285.68426865,90788973.51421745,89020424.05175275,95617496.2815263,96453906.28353392,99350417.53984982,1359916962.689797,1440941123.3809729,1432885398.612989,1453973291.5825152,1456743339.4838374,1458974964.3381023,63906278.12937191,74871571.57578346,77342353.84625614,84137540.56965981,84478717.26757622,85161574.28039458,1340779056.8343585,1421803217.5255344,1413747492.7575502,1434835385.7270768,1437605433.628399,1439837058.4826639,0.0,3093915.5994908647,3121040.108219138,6180832.010074002,7292511.995139598,9070822.600078091,0.0,12532613.349067967,10580875.758161,18090675.125880253,18836910.189306576,19096538.55871975
20260905,100,82729474.54993223,104740807.0703743,103010731.9517834,109694934.21565351,110534420.49079223,113661280.87085012,1344991616.5877492,1426015777.2789252,1417960052.5109413,1439047945.4804676,1441817993.38179,1444049618.2360547,76964971.19874349,88893932.81553988,91215727.59179826,98259819.60217433,98590003.2145884,99398919.50860107,1325853710.7323108,1406877871.4234867,1398822146.6555026,1419910039.625029,1422680087.5263515,1424911712.3806162,0.0,3289954.6049613697,3237974.262707651,6352718.292131921,7454153.880755201,9273301.028542677,0.0,12532613.349067967,10580875.758161,18090675.125880253,18836910.189306576,19096538.55871975
20260906,100,71317343.59436357,92811143.1396611,91013158.48250574,97687653.371727,98519357.02291235,101477032.36455278,1366135241.5358622,1447159402.2270381,1439103677.4590542,1460191570.4285805,1462961618.329903,1465193243.1841676,65735756.073759645,76717315.59262061,79319255.48081234,86216058.3055997,86597310.52659275,87297238.96473157,1346997335.6804237,1428021496.3715997,1419965771.6036158,1441053664.573142,1443823712.4744644,1446055337.3287292,0.0,3099887.9533337667,3136872.9044159297,6261251.456881814,7374191.243039824,9133507.542237388,0.0,12532613.349067967,10580875.758161,18090675.125880253,18836910.189306576,19096538.55871975
20260907,100,78734792.96550255,100616745.03647737,98874145.272762,105575994.63510652,106413231.57044937,109446576.26990822,1342596440.8879595,1423620601.5791354,1415564876.8111515,1436652769.7806776,1439422817.682,1441654442.5362647,73027409.89868838,84671918.292741,87119146.3528083,94157602.47257861,94419139.61867964,95215435.09504962,1323458535.032521,1404482695.723697,1396426970.9557128,1417514863.925239,1420284911.8265615,1422516536.6808262,0.0,3217465.9480648013,3197968.822676224,6315145.338599817,7443862.666317886,9234323.093466442,0.0,12532613.349067966,10580875.758161,18090675.125880253,18836910.189306576,19096538.55871975
20260908,100,74937648.59330569,96594013.81698382,94881059.94527277,101670674.54008994,102504902.54134008,105413497.56620811,1367343122.2934926,1448367282.9846683,1440311558.2166843,1461399451.1862106,1464169499.087533,1466401123.9417977,69284259.39730157,80517524.10867459,83158173.24532402,90225824.06598935,90462055.68348236,91204662.68492234,1348205216.438054,1429229377.12923,1421173652.361246,1442261545.3307722,1445031593.2320945,1447263218.0863593,0.0,3143607.956733831,3165856.602671278,6316541.013928319,7444655.836228506,9209429.118016407,0.0,12532613.349067967,10580875.758161,18090675.125880253,18836910.189306576,19096538.55871975
20260909,100,72774260.39226116,94254870.30795673,92450416.92314865,99074590.99858549,99907389.70254806,102921970.73490284,1376115752.2237399,1457139912.9149158,1449084188.1469316,1470172081.1164582,1472942129.0177803,1475173753.8720453,67200848.42770754,78231122.85557234,80760165.91625917,87618143.75991651,88034675.46510884,88751675.32856813,1356977846.3683014,1438002007.0594773,1429946282.2914934,1451034175.2610197,1453804223.1623418,1456035848.0166068,0.0,3104853.579010602,3133220.909612004,6242972.98732823,7348677.626624451,9104102.50567701,0.0,12532613.349067967,10580875.758161,18090675.125880253,18836910.189306576,19096538.55871975
20260910,100,77852955.4234784,99737614.01530018,97979590.19394971,104732173.08394054,105570099.13769202,108557067.53623024,1338100659.8858056,1419124820.5769815,1411069095.8089974,1432156988.7785237,1434927036.679846,1437158661.5341108,72161294.39569007,83709716.90093839,86244759.05776902,93312950.60413793,93577550.95009644,94348151.55299245,1318962754.0303671,1399986914.7215428,1391931189.953559,1413019082.9230852,1415789130.8244076,1418020755.6786723,0.0,3180750.9782022038,3177801.038903221,6314220.223033054,7445910.074268058,9210334.406450205,0.0,12532613.349067967,10580875.758161,18090675.125880253,18836910.189306576,19096538.55871975
20260911,100,73140939.17286095,94754039.17660329,92932542.21316658,99660955.6760702,100500699.09406379,103322852.85856335,1343076389.871107,1424100550.562283,1416044825.7942991,1437132718.7638254,1439902766.6651475,1442134391.5194125,67573083.96955074,78666865.91486582,81281292.2585669,88213818.38129394,88496586.5850152,89169927.34357134,1323938484.0156686,1404962644.7068446,1396906919.9388604,1417994812.908387,1420764860.809709,1422996485.663974,0.0,3078558.5625285367,3094219.857322205,6199998.925154346,7293277.29135101,8994247.600146886,0.0,12532613.349067966,10580875.758161,18090675.125880253,18836910.189306576,19096538.55871975
20260912,100,65891503.50650153,86989644.47193134,85016622.87008266,91527717.8620569,92428911.94811584,95156115.67700525,1347981396.1292658,1429005556.8204417,1420949832.0524578,1442037725.021984,1444807772.9233062,1447039397.7775712,60536279.21945421,70724678.36454368,73478500.4848887,80180385.63924845,80453902.05391204,81094080.50342926,1328843490.2738273,1409867650.9650033,1401811926.1970193,1422899819.1665456,1425669867.0678678,1427901491.9221327,0.0,2920272.4755425863,2981092.2879164796,6038787.245801681,7097021.860194494,8731785.418149108,0.0,12532613.349067967,10580875.758161,18090675.125880253,18836910.189306576,19096538.55871975
20260913,100,64096247.95745696,85261862.23623157,83456799.67563628,90206974.54004592,91117705.75394493,93803045.22793171,1338056287.3379974,1419080448.0291731,1411024723.2611892,1432112616.2307155,1434882664.1320379,1437114288.9863026,58651479.12690176,68855632.10456622,71871691.78030612,78833067.30483396,79102566.64176345,79717137.95329997,1318918381.482559,1399942542.1737347,1391886817.4057508,1412974710.375277,1415744758.2765994,1417976383.1308641,0.0,2928516.8427608116,3028077.798052692,6212031.734664847,7321373.606901667,8967182.376350785,0.0,12532613.349067967,10580875.758161,18090675.125880253,18836910.189306576,19096538.55871975
