simulation_id,sample_index,A0_objective,A1_objective,absolute_objective_difference,objective_tolerance,objective_agreement,max_absolute_Q_difference,max_absolute_F_difference,R_equal,first_stage_hash_equal,worst_loss_difference,worst_loss_agreement,worst_scenario_equal,A0_full_exact_certificate,A1_full_exact_certificate,decision_equivalent,classification,row_sha256
LA-0914,914,1212254701.0327225,1212254701.0327225,0.0,1.2122548010327225,True,0.0,197240916.1613329,True,False,0.0,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,1ee617b7242250eb1fc025a5c1091a00d0b94d89fa053e2c9a4580671fc708ea
LA-0802,802,1228589997.4005196,1228589997.4005196,0.0,1.2285900974005197,True,0.0,84873285.61718167,True,False,0.0,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,faf1b974230f8f6d6296cc83f4e60e2cf770bc39eee8daffaa7da1b52bbee1e3
LA-0642,642,1221165897.9019191,1221165897.9019191,0.0,1.2211659979019192,True,2.3283064365386963e-10,0.0,True,False,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,39d883b801ed7094cbba05ef4ab02a0ce51cd582d2b9802518036b6e424254f5
LA-0765,765,1224998391.012687,1224998391.0126872,2.384185791015625e-07,1.2249984910126874,True,0.0,131084438.01889777,True,False,2.384185791015625e-07,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,f2b30636fabc095ab0a52265305612fdc8c9c55a956d25d7b0f08d22a0bc1b47
LA-0334,334,1224359243.616294,1224359243.616294,0.0,1.224359343616294,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,887e367f570eca7c24ac9e216fd75aa06bdef0e8114c079e680e0eb9792f7c70
LA-0396,396,1195686432.2114403,1195686432.2114403,0.0,1.1956865322114405,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,bc6f081e8253e33d8fa65f8a37b1e30d5d396a91e1b0130de719532d8dd54cda
LA-0358,358,1168155110.8672473,1168155110.8672476,2.384185791015625e-07,1.1681552108672477,True,0.0,216693437.06311774,True,False,2.384185791015625e-07,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,5604958db32a7eb4fd090826991d2716637145883c0018a56bc73743d9972b90
LA-0467,467,1229783603.3591185,1229783603.3591182,2.384185791015625e-07,1.2297837033591186,True,0.0,275418141.0004581,False,False,2.384185791015625e-07,True,True,True,True,False,OBJECTIVE_EQUIVALENT_DECISION_DIFFERENT_CONSISTENT_WITH_ALTERNATIVE_OPTIMA_OR_DEGENERACY,cd90799e3a82e1c8ae09f9f47766d08d253caddb256a88bdc100f6c3ae1667f7
LA-0021,21,1233499223.9417398,1233499223.9417398,0.0,1.23349932394174,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,92936efe8cbb7824a8b7182bf13c2e41e7f744fc38eafa4af30b24a287809701
LA-0148,148,1237050663.6348436,1237050663.6348436,0.0,1.2370507636348438,True,0.0,1.4901161193847656e-08,True,False,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,11c71a1cbdb913d4517fcda620deef3e87aed81b66119a91400d5644555f878c
LA-0248,248,1221280555.623522,1221280555.623522,0.0,1.2212806556235223,True,1.1641532182693481e-10,0.0,True,False,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,3c108fd41bdbf3a5a552fef23ed938829c7fd908f2274c6038300cf550327181
LA-0349,349,1239632077.264095,1239632077.264095,0.0,1.2396321772640952,True,0.0,0.0,True,True,0.0,True,True,True,True,True,SAME_OBJECTIVE_AND_DECISION,7bd0aa53d53d9fbb7763dc029f94b1803d072bd612b2683a896fc6c1fdecdbda
