simulation_id,sample_index,S200_position,A0_median_runtime_seconds,A1_median_runtime_seconds,speedup_A0_over_A1,A0_iterations,A1_iterations
LA-0914,914,1,1.4397167999995872,1.4062704999814741,1.0237836888554184,2,3
LA-0802,802,2,1.349549799982924,1.3352065000217408,1.0107423832650229,2,3
LA-0642,642,3,1.4294118999969214,1.668012899986934,0.8569549432190353,2,6
LA-0765,765,4,1.3898733000387438,1.305283399997279,1.0648057732455964,2,3
LA-0334,334,5,1.4726771000423469,1.4097538000205532,1.0446342474983052,2,3
LA-0396,396,6,1.4332338999956846,1.401712899969425,1.022487486579418,2,3
LA-0358,358,7,1.417723999998998,1.388935399998445,1.020727097891367,2,3
LA-0467,467,8,1.4282238999730907,1.278557199984789,1.1170590568729208,2,3
LA-0021,21,9,1.4997951000113972,1.3428499000146985,1.1168747154801,2,3
LA-0148,148,10,1.4989902999950573,1.4028839999809861,1.0685062343111573,2,3
LA-0248,248,11,1.376339700014796,1.6017454999964684,0.8592748973028679,2,6
LA-0349,349,12,1.2530509000062011,1.4913244000053965,0.8402269150841137,2,6
LA-0460,460,13,1.4194654000457376,1.612994399969466,0.8800188023421582,2,6
LA-0561,561,14,1.4317427999922074,1.4155502999783494,1.0114390142223175,2,3
LA-0563,563,15,1.4851110000163317,1.422846200002823,1.0437607381693013,2,3
LA-0925,925,16,1.428460700029973,1.385929899988696,1.0306875550066594,2,3
LA-0803,803,17,1.0961070000194013,1.3165616000187583,0.8325527647196941,2,3
LA-0008,8,18,1.2739791000494733,1.2362618999904953,1.030509069364079,2,3
LA-0461,461,19,1.2960805000038818,1.320151399995666,0.9817665610233317,2,3
LA-0873,873,20,1.4231476999702863,1.3435180999804288,1.0592694657340438,2,3
LA-0954,954,21,1.3938851000275463,1.333401599957142,1.0453603026067677,2,3
LA-0631,631,22,1.338103600020986,1.0777749000117183,1.2415427377334889,2,3
LA-0266,266,23,1.433318600000348,1.363179600040894,1.05145250116518,2,3
LA-0537,537,24,1.4271846999763511,1.6644750999985263,0.8574382999046455,2,6
LA-0751,751,25,1.442052100028377,1.467808099987451,0.9824527470864248,2,3
LA-0580,580,26,1.0112013000180013,1.344200199993793,0.7522698627947465,2,3
LA-0675,675,27,1.4747203000006266,1.3689029000233859,1.0773008808553426,2,3
LA-0291,291,28,1.486921900010202,1.514636000036262,0.9817024684310974,2,3
LA-0482,482,29,1.5309890999924392,1.4961361999739893,1.0232952721945072,2,3
LA-0568,568,30,1.5202817000099458,1.456775899976492,1.043593390057097,2,3
LA-0800,800,31,1.4324462999938987,1.2679605000303127,1.129724703537416,2,3
LA-0187,187,32,1.3690294999978505,1.3771712000016123,0.9940880988480211,2,3
LA-0814,814,33,1.4845208000042476,1.4120714000309817,1.051307178922876,2,3
LA-0420,420,34,1.461262499971781,1.3655706999707036,1.0700745849359028,2,3
LA-0222,222,35,1.467035899986513,1.4726261000032537,0.9962039243928053,2,3
LA-0513,513,36,1.5628360999980941,1.4364593999926,1.0879779129198814,2,3
LA-0061,61,37,1.53146420000121,1.4766390000004321,1.0371283705772107,2,3
