simulation_id,sample_index,S200_position,input_sha256,repetition,algorithm,algorithm_identity,implementation_revision,order_in_pair,wall_clock_seconds,algorithm_runtime_seconds,status,certificate_status,failure_message,result_sha256,iterations,scenario_evaluations,exact_oracle_calls,complete_oracle_calls,candidate_hits,full_exact_certification_calls,complete_full_exact_certification_calls,first_stage_sha256,objective,worst_loss,worst_scenario,full_exact_certificate,Q_Water,F_Water,R_Water,Q_Vaccine,F_Vaccine,R_Vaccine,Q_Crackers,F_Crackers,R_Crackers,scientific_decision_sha256,row_sha256,execution_sequence
LA-0914,914,1,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,1,A0,R3_V2_A0_STANDARD_CCG,A0_PRODUCTION,1,1.2688752000103705,1.2145148999989033,certified,PASS,,872eede04dff010a0b9c264c8cdcac54ca09d9d9a025c266b7c799d67b4ed76d,2,48,2,2,unavailable,unavailable,unavailable,03bf82b05f8fb88e8f696695b21fdfc7fcf6ba61c3c59e3c30183a19d8877bca,1212254701.0327225,1205370714.8156204,h09,True,0.0,0.0,R0,0.0,2298064.837931671,R0,0.0,0.0,R0,7efb6868ce9567dbd1aebccd01d1416a1fb8224cb363bf4e3e85aa6ac30fc4a3,c1bb7cc8eb1025041138686f6db5641f9aaec97a6fbf60c105f6ff092a16e059,1
LA-0914,914,1,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,1,A1,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,2,0.8630245999665931,0.8558513000025414,certified,PASS,,7414ec60e34d538ebf7acc90dce9e2faaedb3c2f7b1169b1933b15270b71e6aa,3,51,unavailable,unavailable,1,2,2,5781a113e0147f440d32596ad5362f958cee8a07f32c8cd8365aced4e52793e2,1212254701.0327225,1205370714.8156204,h09,True,0.0,20834416.584864948,R0,0.0,0.0,R0,0.0,197240916.1613329,R0,1b8d47840622b290125bfe4e0a419bb94b32259c1106ebaf05169f938dccc256,03458e0d7e134f30a1423c0490a10ab76c0f93f44df33f469ccba3d45dc7d7f5,2
LA-0914,914,1,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,2,A1,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,1,1.4062704999814741,1.3950828000088222,certified,PASS,,896307598460633f8232d0561c2fe3e62ce2c86dcfbf08f5b2f987a2ad6e89aa,3,51,unavailable,unavailable,1,2,2,5781a113e0147f440d32596ad5362f958cee8a07f32c8cd8365aced4e52793e2,1212254701.0327225,1205370714.8156204,h09,True,0.0,20834416.584864948,R0,0.0,0.0,R0,0.0,197240916.1613329,R0,1b8d47840622b290125bfe4e0a419bb94b32259c1106ebaf05169f938dccc256,516f6d2ffd93fd5f1c1ca8494f13990472262642d8712856c6b3af7393d41f39,3
LA-0914,914,1,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,2,A0,R3_V2_A0_STANDARD_CCG,A0_PRODUCTION,2,1.4397167999995872,1.257467599993106,certified,PASS,,1c8d13541bc9de71b4565da4569280fedddfee461ff43359d5f7cefab7aa693f,2,48,2,2,unavailable,unavailable,unavailable,03bf82b05f8fb88e8f696695b21fdfc7fcf6ba61c3c59e3c30183a19d8877bca,1212254701.0327225,1205370714.8156204,h09,True,0.0,0.0,R0,0.0,2298064.837931671,R0,0.0,0.0,R0,7efb6868ce9567dbd1aebccd01d1416a1fb8224cb363bf4e3e85aa6ac30fc4a3,fb31049d8a398e07a23229600f64ca1793a951a4dec6c8e4e3ea05eaafebe3ec,4
LA-0914,914,1,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,3,A0,R3_V2_A0_STANDARD_CCG,A0_PRODUCTION,1,1.5139557999791577,1.3317759999772534,certified,PASS,,4b971b98920134174ed05fc57543c7c66df8c339971e0c8a9a2b279ebc77893e,2,48,2,2,unavailable,unavailable,unavailable,03bf82b05f8fb88e8f696695b21fdfc7fcf6ba61c3c59e3c30183a19d8877bca,1212254701.0327225,1205370714.8156204,h09,True,0.0,0.0,R0,0.0,2298064.837931671,R0,0.0,0.0,R0,7efb6868ce9567dbd1aebccd01d1416a1fb8224cb363bf4e3e85aa6ac30fc4a3,f131c656d176825c15d1710a5d4b51cc2df6f76164080a07bd4f66422e527bf8,5
LA-0914,914,1,ee8287c989d9f42998cac1b0ade9bc594e098eb99d83ed33e878189f5cc95b45,3,A1,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,2,1.414078800007701,1.4071730999858119,certified,PASS,,31eb2e2c9b05d5b96d6b1ba50fc2c3cc72b2aa36b74f6286cda5bf1584151b0c,3,51,unavailable,unavailable,1,2,2,5781a113e0147f440d32596ad5362f958cee8a07f32c8cd8365aced4e52793e2,1212254701.0327225,1205370714.8156204,h09,True,0.0,20834416.584864948,R0,0.0,0.0,R0,0.0,197240916.1613329,R0,1b8d47840622b290125bfe4e0a419bb94b32259c1106ebaf05169f938dccc256,0770ec4e559ed9a8a278d1a725928c3abf4eebfc58c18ded34460b9642b6c69b,6
LA-0802,802,2,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,1,A1,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,1,1.3860538000008091,1.3804692000267096,certified,PASS,,df3a312c9d9254450598e665f3c70be1dfe3a6a80aa70daedf1cb7655dad1566,3,51,unavailable,unavailable,1,2,2,14850fcbb4039461ac3473e5167138bad44c78f72304891cf1224949e7c0fb9b,1228589997.4005196,1223511068.8220685,h09,True,0.0,12280877.45567742,R0,0.0,0.0,R0,0.0,64808565.87198676,R0,c9238a6d9ab5b0bdba4cff1b145c0800b0b830db027b89656c9b071bb5453e34,e030cca5a78ab3de78c8e9ef64450db838becd0cec44b928ae714325b4b583c0,7
LA-0802,802,2,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,1,A0,R3_V2_A0_STANDARD_CCG,A0_PRODUCTION,2,1.0272016000235453,0.9062152000260539,certified,PASS,,261da422d06b3166ebac348a32217a122246f121ec3034d5d5e1b7f0bc0a6fd6,2,48,2,2,unavailable,unavailable,unavailable,51f5710845a89c5fafdf3e8712443f1c5e530380cb0982bebd97cb605f19dacd,1228589997.4005196,1223511068.8220685,h09,True,0.0,0.0,R0,0.0,0.0,R0,0.0,149681851.48916844,R0,1b1d17256cd3f898de31089970c60f8b69b399653579a908b118231f3abc72a9,df30f2a5ada0de1576096e4b3289f6c017e1725370d1e03a92c250c1164044d2,8
LA-0802,802,2,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,2,A0,R3_V2_A0_STANDARD_CCG,A0_PRODUCTION,1,1.349549799982924,1.1664531999849714,certified,PASS,,54fa5118d00e442747ccd934225c0db4c88048b50d50ff4c243a87f6eb146b18,2,48,2,2,unavailable,unavailable,unavailable,51f5710845a89c5fafdf3e8712443f1c5e530380cb0982bebd97cb605f19dacd,1228589997.4005196,1223511068.8220685,h09,True,0.0,0.0,R0,0.0,0.0,R0,0.0,149681851.48916844,R0,1b1d17256cd3f898de31089970c60f8b69b399653579a908b118231f3abc72a9,17f815f3c9e1730aea5802ee0016afa2ce5968a61956d9f8c89c9076d9294574,9
LA-0802,802,2,08d200d068730669000640f9037f4ea66dcff16c72d21874b825ba042565721f,2,A1,A1_FINAL_NO_MEMORY_V1,A1_FINAL_NO_MEMORY_V1_R1_WITNESS_GATED_INFEASIBLE_RETRY,2,1.3352065000217408,1.325090900005307,certified,PASS,,57300852c999e1277cc1dc65f5295b35276aa890d16ace6db9afce07b43d2f1c,3,51,unavailable,unavailable,1,2,2,14850fcbb4039461ac3473e5167138bad44c78f72304891cf1224949e7c0fb9b,1228589997.4005196,1223511068.8220685,h09,True,0.0,12280877.45567742,R0,0.0,0.0,R0,0.0,64808565.87198676,R0,c9238a6d9ab5b0bdba4cff1b145c0800b0b830db027b89656c9b071bb5453e34,b9616adb9ab6b9196f25b131acc8feb5acec20dd13e7c469e1952960e0f95ee4,10
