scenario_size,algorithm,metric,min,Q25,median,mean,Q75,P90,P95,max
50,A1,iterations,2.0,2.0,3.0,2.966666666666667,3.0,5.0,6.0,6.0
50,A1,scenario_evaluations,102.0,102.0,103.0,102.96666666666667,103.0,105.0,106.0,106.0
50,A1,candidate_hits,0.0,0.0,1.0,0.9666666666666667,1.0,3.0,4.0,4.0
50,A1,full_exact_certification_calls,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
50,A1,complete_full_exact_certification_calls,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
100,A1,iterations,2.0,2.0,3.0,2.966666666666667,3.0,5.0,6.0,6.0
100,A1,scenario_evaluations,202.0,202.0,203.0,202.96666666666667,203.0,205.0,206.0,206.0
100,A1,candidate_hits,0.0,0.0,1.0,0.9666666666666667,1.0,3.0,4.0,4.0
100,A1,full_exact_certification_calls,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
100,A1,complete_full_exact_certification_calls,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
200,A1,iterations,2.0,2.0,3.0,3.0,3.0,5.0,6.0,6.0
200,A1,scenario_evaluations,402.0,402.0,403.0,409.6666666666667,404.0,405.1,406.0,603.0
200,A1,candidate_hits,0.0,0.0,1.0,0.9666666666666667,1.0,3.0,4.0,4.0
200,A1,full_exact_certification_calls,2.0,2.0,2.0,2.033333333333333,2.0,2.0,2.0,3.0
200,A1,complete_full_exact_certification_calls,2.0,2.0,2.0,2.033333333333333,2.0,2.0,2.0,3.0
500,A1,iterations,2.0,2.0,3.0,2.966666666666667,3.0,5.0,6.0,6.0
500,A1,scenario_evaluations,1002.0,1002.0,1003.0,1002.9666666666667,1003.0,1005.0,1006.0,1006.0
500,A1,candidate_hits,0.0,0.0,1.0,0.9666666666666667,1.0,3.0,4.0,4.0
500,A1,full_exact_certification_calls,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
500,A1,complete_full_exact_certification_calls,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
