replicate_id,seed,B_ref_full500,B_used_50,B_used_100,B_used_200,B_used_500,B_ref_sha256
E5B-R01,20261001,20925367.001651604,20925367.001651604,20925367.001651604,20925367.001651604,20925367.001651604,b494d300707c344a48a5a2a31cad82dbfa21e73ddacf6478873e37b8e634e5cb
E5B-R02,20261002,23003258.90921186,23003258.90921186,23003258.90921186,23003258.90921186,23003258.90921186,b8146ad4830d253714df597b7eb8f98b685f55ae40036b58921ba8a01d13de7e
E5B-R03,20261003,27376744.830184214,27376744.830184214,27376744.830184214,27376744.830184214,27376744.830184214,b736040254f17dc2ef92a9047a26d9ea04a4a85eef6057c829e7796b5015598d
E5B-R04,20261004,28004830.036748,28004830.036748,28004830.036748,28004830.036748,28004830.036748,2ff150221adb5f25f18c744a5ea64dca27c020979ab3ae54866e0aea926e90ef
E5B-R05,20261005,26093887.66851123,26093887.66851123,26093887.66851123,26093887.66851123,26093887.66851123,5f37df18f91a6fb661d9259b83281b219811d9c35f0ff30e2a98b1fc26f386c9
E5B-R06,20261006,23518118.09406852,23518118.09406852,23518118.09406852,23518118.09406852,23518118.09406852,e381f92584644e096f4165f04939678903bc072f40c3d27868f20014bfea4068
E5B-R07,20261007,28305459.361521002,28305459.361521002,28305459.361521002,28305459.361521002,28305459.361521002,682af4f31626f4e9c62844725fa6b47e27c735c1ae374eb571d249a3fda85430
E5B-R08,20261008,28759771.44377176,28759771.44377176,28759771.44377176,28759771.44377176,28759771.44377176,e600e341c243a717163e3d0e908bdf36229822310c9b9bf0aa153c8dcbd83534
E5B-R09,20261009,22882377.78953956,22882377.78953956,22882377.78953956,22882377.78953956,22882377.78953956,2a65694a153cbfa0254e17454f90a7e73efab0c5e2f09082326488abcf3966d8
E5B-R10,20261010,26969229.65297859,26969229.65297859,26969229.65297859,26969229.65297859,26969229.65297859,52fa665dffae93bbfe9b014dc16831fdf780182ea693501225b557d413aa48fe
E5B-R11,20261011,28535587.467596017,28535587.467596017,28535587.467596017,28535587.467596017,28535587.467596017,79f1d12f30a1ab4712d3007feb494f2c1c4a545dc4342adb193c8f100351c8fb
E5B-R12,20261012,21032465.92147788,21032465.92147788,21032465.92147788,21032465.92147788,21032465.92147788,9834fd3280f56de77d28a8103fcd1ceab4c6070d450bacc1639c4b3dfd44444b
E5B-R13,20261013,25369655.00089605,25369655.00089605,25369655.00089605,25369655.00089605,25369655.00089605,c3035b0702b3fa4970e2cbbcf7500646e9323ebd9c2e9c1e3c34a76e72e3fd1d
E5B-R14,20261014,25046514.22178396,25046514.22178396,25046514.22178396,25046514.22178396,25046514.22178396,b7805a9d844fd19438c914ca68101d3bcf511a6a8bc326530eb72e582fb06410
E5B-R15,20261015,28187081.105465963,28187081.105465963,28187081.105465963,28187081.105465963,28187081.105465963,8aa9239616d5872e5ab5aab3864887b0d935c8f3f7b6d7bf69626ed6e998f6e1
E5B-R16,20261016,25125408.106193997,25125408.106193997,25125408.106193997,25125408.106193997,25125408.106193997,eba3a0ce1272375891f21d839693e1df7fc44c3369d88d2fff9fc82e73c4e171
E5B-R17,20261017,24427525.802882835,24427525.802882835,24427525.802882835,24427525.802882835,24427525.802882835,bd1dc92db6c8fb7c1d6e25826f86983bb8085f30fb4efa7118cf62fb6b567a5a
E5B-R18,20261018,29845208.430861585,29845208.430861585,29845208.430861585,29845208.430861585,29845208.430861585,745c3be8136596d9d49835b6860e667783fb6700ffc0f151ace73b007e4f5f89
E5B-R19,20261019,21837023.654254608,21837023.654254608,21837023.654254608,21837023.654254608,21837023.654254608,55c771386fe2b0cd68b164e726890630816ec9878976a4ce4e66f08e3de05504
E5B-R20,20261020,22753369.18862841,22753369.18862841,22753369.18862841,22753369.18862841,22753369.18862841,5f12d4301005a2f6a84d722e331756aed77f2b236d8253d7f49cd04afdea0ece
E5B-R21,20261021,27513989.901190147,27513989.901190147,27513989.901190147,27513989.901190147,27513989.901190147,6bec69d292eaca52a54857b464c6887738c5796d14495cda9ed88ce1ecb89395
E5B-R22,20261022,28472828.898279764,28472828.898279764,28472828.898279764,28472828.898279764,28472828.898279764,269fccb7eae2dca7b77136da03c28b337119503a4864c480db46bddb6a4fa398
E5B-R23,20261023,23924560.77841721,23924560.77841721,23924560.77841721,23924560.77841721,23924560.77841721,aa2655f51d54e32432f9ee28ffa1c257fe1407410fdae9457dc9566a86393721
E5B-R24,20261024,26975621.834527332,26975621.834527332,26975621.834527332,26975621.834527332,26975621.834527332,c1bbee29a88e8885fb814518c78f6881ce90c0b9037bed23246b7d2a25f30197
E5B-R25,20261025,27718135.903961293,27718135.903961293,27718135.903961293,27718135.903961293,27718135.903961293,4e770f0b904b3cfb639e1cf20f6afa998d8ee575d2672438913cd53c58870bf0
E5B-R26,20261026,24615915.802318923,24615915.802318923,24615915.802318923,24615915.802318923,24615915.802318923,7082c1e00beef4f689b1ee114de8f802b5fbd5364f8e0e87e15dc5d66f0d9e2e
E5B-R27,20261027,23598177.4576832,23598177.4576832,23598177.4576832,23598177.4576832,23598177.4576832,f5586ff0dd119e6d0c825378f15f69ffbb3b89673cf1b8657b55985ffc7611da
E5B-R28,20261028,32107311.50487707,32107311.50487707,32107311.50487707,32107311.50487707,32107311.50487707,d9115d772e8eb9fbc9fbeca9b9910efbe64b263d56b101bf0dab80f636da83de
E5B-R29,20261029,27844192.639323607,27844192.639323607,27844192.639323607,27844192.639323607,27844192.639323607,0645581818f8b56bdb6eb139bc553db436a248606bce744487641874c3fa38b5
E5B-R30,20261030,25580310.884288132,25580310.884288132,25580310.884288132,25580310.884288132,25580310.884288132,4d453680d685f683f479e636b299e6dd245d64a8b094c9dcdb6f774879a65ab7
