replicate_id,transition,A0_growth,A1_growth,A0_over_A1_growth_ratio
E5B-R01,50_to_100,3.016395916564925,2.7689001870684082,1.0893841282731662
E5B-R02,50_to_100,2.9524962228918765,2.901274663511481,1.0176548466867321
E5B-R03,50_to_100,2.9660680156482515,2.839940764408358,1.0444119302841057
E5B-R04,50_to_100,2.990184707240947,2.84744418273264,1.0501293494614954
E5B-R05,50_to_100,3.0271239438148023,2.856301043179115,1.0598056360493284
E5B-R06,50_to_100,3.0076741043184856,2.8791233522481656,1.044649268663651
E5B-R07,50_to_100,2.9856970836844,2.8669139522532388,1.0414324020216248
E5B-R08,50_to_100,3.054764531299283,2.876117861327788,1.062113820985424
E5B-R09,50_to_100,3.0279845490917627,2.867373447240338,1.056013318392832
E5B-R10,50_to_100,2.9591300466344035,2.8439049289866793,1.0405165153283729
E5B-R11,50_to_100,2.9909513402966366,2.8527679685642453,1.048438349439943
E5B-R12,50_to_100,2.980693041504118,2.8950958021425217,1.0295662890665829
E5B-R13,50_to_100,2.9619490822887924,2.911562963326519,1.0173055227027294
E5B-R14,50_to_100,3.017601239601252,2.814083287060342,1.072321225699581
E5B-R15,50_to_100,2.9984181350543335,2.797927456095962,1.071656853905041
E5B-R16,50_to_100,2.961398983055922,2.8886990407099407,1.0251670185510617
E5B-R17,50_to_100,2.97191096860354,2.933753387972257,1.0130064036015163
E5B-R18,50_to_100,2.992046760323874,2.8286469849848426,1.0577660543031342
E5B-R19,50_to_100,2.9572764556634734,2.7374442829751944,1.0803056245036535
E5B-R20,50_to_100,2.9763379844107383,2.794157513145721,1.0652005015493615
E5B-R21,50_to_100,2.9661141323255147,2.88705242967471,1.0273849209796695
E5B-R22,50_to_100,3.009415583440594,2.919938704375645,1.0306434100588702
E5B-R23,50_to_100,2.9675730330760377,2.895601576475461,1.024855441848523
E5B-R24,50_to_100,3.0300942837792,2.853580078600278,1.0618571059220125
E5B-R25,50_to_100,2.9262123427619864,2.840811910945189,1.0300619803401145
E5B-R26,50_to_100,2.99726326177764,2.858394669979288,1.048582721363442
E5B-R27,50_to_100,2.962838142979776,2.857079042482967,1.0370165119425252
E5B-R28,50_to_100,2.9907968425849867,2.7429826751302486,1.0903447804106057
E5B-R29,50_to_100,3.008116618517736,2.780863776038613,1.081720235430895
E5B-R30,50_to_100,2.988729537158451,2.7413633697851525,1.0902347241156451
E5B-R01,100_to_200,3.291575218200947,3.1768349262445748,1.0361178010882706
E5B-R02,100_to_200,3.301262685874983,3.191363285366684,1.0344365058695195
E5B-R03,100_to_200,3.2740199191233614,3.196544990071106,1.0242370838805344
E5B-R04,100_to_200,3.2516391178876254,3.1587407225751196,1.029409946390526
E5B-R05,100_to_200,3.258280591919894,3.178157351383026,1.0252105958510838
E5B-R06,100_to_200,3.2766598710905157,3.1843028421189,1.02900384591252
E5B-R07,100_to_200,3.2605236420439776,3.1419279489672216,1.03774615300002
E5B-R08,100_to_200,3.2477978394501217,3.195086108942422,1.016497749578695
E5B-R09,100_to_200,3.2879875031781576,3.1605077202167307,1.040335222770057
E5B-R10,100_to_200,3.287778742923484,3.2042326277885755,1.0260736734313103
E5B-R11,100_to_200,3.295685541232894,3.2074404445493814,1.0275126220452426
E5B-R12,100_to_200,3.324516188998947,3.217632576981473,1.0332180910841424
E5B-R13,100_to_200,3.2818810421317544,3.158237218615188,1.0391496315690882
E5B-R14,100_to_200,3.28525631233687,3.1869585183912683,1.0308437632238845
E5B-R15,100_to_200,3.2965047046491684,3.198128600499004,1.0307605216797144
E5B-R16,100_to_200,3.274979651095158,3.2001406690546,1.0233861538538764
E5B-R17,100_to_200,3.2870876862324705,3.177741811381039,1.0344099304920906
E5B-R18,100_to_200,3.2902561439028366,3.1859994810766405,1.032723377215041
E5B-R19,100_to_200,3.2999209387139077,3.17974505402399,1.0377941887315254
E5B-R20,100_to_200,3.2939054636406753,3.1879401055048353,1.033239444477913
E5B-R21,100_to_200,3.3244994224098385,3.208168780273585,1.0362607612328716
E5B-R22,100_to_200,3.282386540986347,3.2047242115964893,1.0242337013303147
E5B-R23,100_to_200,3.315681121648451,3.224663338316028,1.0282255149711081
E5B-R24,100_to_200,3.2730881624009154,3.1786662908679117,1.0297048708146153
E5B-R25,100_to_200,3.334909898868715,3.1852741914693294,1.046977339596112
E5B-R26,100_to_200,4.968668293185504,4.878234982903976,1.0185381209799151
E5B-R27,100_to_200,3.3505221562195375,3.2366212446332248,1.0351913007353506
E5B-R28,100_to_200,3.2624633854640077,3.172012746779966,1.0285152191698668
E5B-R29,100_to_200,3.2927502228789387,3.213357616248055,1.024707056018117
E5B-R30,100_to_200,3.2923119596477446,3.157050805561522,1.042844148674435
E5B-R01,200_to_500,5.395020591843429,5.209300610397106,1.0356516153196553
E5B-R02,200_to_500,5.3361845879444365,5.240598089215258,1.0182396163762086
E5B-R03,200_to_500,5.408933673965608,5.197311848353595,1.0407175539560996
E5B-R04,200_to_500,5.4088860015579,5.202539196649423,1.0396627102860407
E5B-R05,200_to_500,5.4158889360272955,5.211742310087764,1.0391705141569239
E5B-R06,200_to_500,5.360392182714457,5.24055108574803,1.0228680333433522
E5B-R07,200_to_500,5.410225188202057,5.251549873180154,1.0302149496536752
E5B-R08,200_to_500,5.4150360170795295,5.197812090094276,1.041791415930412
E5B-R09,200_to_500,5.262286930197218,5.15315452695166,1.021177785893045
E5B-R10,200_to_500,5.409250664188954,5.207526992867425,1.0387369420452015
E5B-R11,200_to_500,5.3834962647871345,5.253177234664222,1.0248076591177953
E5B-R12,200_to_500,5.32159909020342,5.208782774557537,1.0216588636018646
E5B-R13,200_to_500,5.403865980312787,5.282315848886951,1.0230107655246417
E5B-R14,200_to_500,5.342389965730633,5.203029010206746,1.0267845816831895
E5B-R15,200_to_500,5.419852041857166,5.217783419640646,1.0387269087206454
E5B-R16,200_to_500,5.412521551451378,5.245570308390046,1.031827090906455
E5B-R17,200_to_500,5.3462422300273635,5.220779280769959,1.024031460153761
E5B-R18,200_to_500,5.402046649389099,5.185342450785997,1.041791685054524
E5B-R19,200_to_500,5.3768923728379665,5.2324747627016315,1.0276002497261485
E5B-R20,200_to_500,5.387186344206213,5.232385762152431,1.0295850858653246
E5B-R21,200_to_500,5.3716521300598865,5.251554246421051,1.0228690170573183
E5B-R22,200_to_500,5.363514473703575,5.2191237585765435,1.0276657005670264
E5B-R23,200_to_500,5.401099480277827,5.224289535696241,1.0338438257247207
E5B-R24,200_to_500,5.369366035477199,5.222721132302736,1.0280782564222046
E5B-R25,200_to_500,5.332897667330142,5.226670951977927,1.0203239722431763
E5B-R26,200_to_500,3.572357182449688,3.474838917957943,1.0280641108247555
E5B-R27,200_to_500,5.336982147038544,5.236364135365036,1.019215243453747
E5B-R28,200_to_500,5.416660550275972,5.192532577528594,1.043163517878987
E5B-R29,200_to_500,5.528884471421921,5.314776927758915,1.0402853302355417
E5B-R30,200_to_500,5.376864391104304,5.194069285286092,1.0351930434074184
E5B-R01,50_to_500,53.565508835014285,45.8227731924334,1.1689713455374067
E5B-R02,50_to_500,52.01160767168093,48.52281007639866,1.0719001556131886
E5B-R03,50_to_500,52.5259697314513,47.18118876094918,1.1132820327521267
E5B-R04,50_to_500,52.590607051422865,46.793395447984956,1.123889526458537
E5B-R05,50_to_500,53.418099714345985,47.311019661413695,1.1290836700759834
E5B-R06,50_to_500,52.82733523984096,48.0453758829926,1.0995300644227264
E5B-R07,50_to_500,52.66819557042003,47.304055332927135,1.113397048091119
E5B-R08,50_to_500,53.72396748122381,47.76500430127887,1.124755838863923
E5B-R09,50_to_500,52.3911989997184,46.69972041723478,1.1218739326838272
E5B-R10,50_to_500,52.6264096571732,47.45376138231953,1.1090039677398662
E5B-R11,50_to_500,53.066388270629915,48.06700960879769,1.1040085227377487
E5B-R12,50_to_500,52.73365324540774,48.521658404652364,1.086806489704637
E5B-R13,50_to_500,52.52970880532537,48.57304157177321,1.081458090856955
E5B-R14,50_to_500,52.96228254833465,46.66267213071088,1.1350032077026662
E5B-R15,50_to_500,53.57144076622345,46.689413844347285,1.1474001568068386
E5B-R16,50_to_500,52.493456139539106,48.491328077481676,1.0825328614564371
E5B-R17,50_to_500,52.22707653055165,48.67181541260835,1.0730455827012837
E5B-R18,50_to_500,53.18098971946004,46.730657869131626,1.138032121619012
E5B-R19,50_to_500,52.471901672011924,45.545422091149824,1.1520785023574964
E5B-R20,50_to_500,52.81476791137237,46.60803498080874,1.1331687322393942
E5B-R21,50_to_500,52.96902754286208,48.6406908932273,1.0889859204330803
E5B-R22,50_to_500,52.98114571164843,48.83846341393396,1.0848241735740713
E5B-R23,50_to_500,53.14425813222097,48.78096893857257,1.0894465462369736
E5B-R24,50_to_500,53.25211446490553,47.37310360259356,1.1241001837589149
E5B-R25,50_to_500,52.04190586236068,47.29491645942639,1.1003699711998998
E5B-R26,50_to_500,53.200996878654934,48.452878922037655,1.0979945477389932
E5B-R27,50_to_500,52.98051447161059,48.42213961860805,1.0941382369491746
E5B-R28,50_to_500,52.852335111739606,45.17906288019717,1.1698413322978811
E5B-R29,50_to_500,54.76347167883153,47.492367204247856,1.1531004854593419
E5B-R30,50_to_500,52.90743153796703,44.95271375901994,1.1769574540391554
