replicate_id,seed,item_size,B_ref,B_used,B_over_B_ref
E5C-R01,20261101,3,31969389.64125255,31969389.64125255,1.0
E5C-R01,20261101,6,64985948.42561574,64985948.42561574,1.0
E5C-R01,20261101,9,97205490.45371202,97205490.45371202,1.0
E5C-R02,20261102,3,26427134.77370707,26427134.77370707,1.0
E5C-R02,20261102,6,52135414.6764976,52135414.6764976,1.0
E5C-R02,20261102,9,78874692.59848574,78874692.59848574,1.0
E5C-R03,20261103,3,12569879.442166034,12569879.442166034,1.0
E5C-R03,20261103,6,22357390.560802802,22357390.560802802,1.0
E5C-R03,20261103,9,35973845.12597471,35973845.12597471,1.0
E5C-R04,20261104,3,33658590.561297804,33658590.561297804,1.0
E5C-R04,20261104,6,64665154.17513682,64665154.17513682,1.0
E5C-R04,20261104,9,93306007.55647738,93306007.55647738,1.0
E5C-R05,20261105,3,22530772.686922044,22530772.686922044,1.0
E5C-R05,20261105,6,45981555.752737574,45981555.752737574,1.0
E5C-R05,20261105,9,68326241.33223282,68326241.33223282,1.0
E5C-R06,20261106,3,23689174.450610474,23689174.450610474,1.0
E5C-R06,20261106,6,48808577.991320394,48808577.991320394,1.0
E5C-R06,20261106,9,76401048.97226118,76401048.97226118,1.0
E5C-R07,20261107,3,49252699.86224583,49252699.86224583,1.0
E5C-R07,20261107,6,93817150.85891509,93817150.85891509,1.0
E5C-R07,20261107,9,130403904.95907219,130403904.95907219,1.0
E5C-R08,20261108,3,19645274.773621436,19645274.773621436,1.0
E5C-R08,20261108,6,41969541.681962974,41969541.681962974,1.0
E5C-R08,20261108,9,71683021.46957353,71683021.46957353,1.0
E5C-R09,20261109,3,30039282.54259068,30039282.54259068,1.0
E5C-R09,20261109,6,54254083.92211354,54254083.92211354,1.0
E5C-R09,20261109,9,80356850.49357034,80356850.49357034,1.0
E5C-R10,20261110,3,14690570.039488163,14690570.039488163,1.0
E5C-R10,20261110,6,26861643.267691135,26861643.267691135,1.0
E5C-R10,20261110,9,40368447.144190155,40368447.144190155,1.0
E5C-R11,20261111,3,28126200.4174888,28126200.4174888,1.0
E5C-R11,20261111,6,53399229.58571838,53399229.58571838,1.0
E5C-R11,20261111,9,79423998.34733903,79423998.34733903,1.0
E5C-R12,20261112,3,21799982.387631577,21799982.387631577,1.0
E5C-R12,20261112,6,40806251.93927416,40806251.93927416,1.0
E5C-R12,20261112,9,63522087.4865476,63522087.4865476,1.0
E5C-R13,20261113,3,21368405.94558152,21368405.94558152,1.0
E5C-R13,20261113,6,43039099.50626177,43039099.50626177,1.0
E5C-R13,20261113,9,68948483.2490468,68948483.2490468,1.0
E5C-R14,20261114,3,21055340.719093066,21055340.719093066,1.0
E5C-R14,20261114,6,43531580.783287875,43531580.783287875,1.0
E5C-R14,20261114,9,69623201.74004942,69623201.74004942,1.0
E5C-R15,20261115,3,23120327.778904937,23120327.778904937,1.0
E5C-R15,20261115,6,47735462.3750614,47735462.3750614,1.0
E5C-R15,20261115,9,72642614.79525673,72642614.79525673,1.0
E5C-R16,20261116,3,40034834.93283679,40034834.93283679,1.0
E5C-R16,20261116,6,80283394.12382163,80283394.12382163,1.0
E5C-R16,20261116,9,123175863.64331038,123175863.64331038,1.0
E5C-R17,20261117,3,33975315.49381959,33975315.49381959,1.0
E5C-R17,20261117,6,67090185.21058387,67090185.21058387,1.0
E5C-R17,20261117,9,103452064.2219034,103452064.2219034,1.0
E5C-R18,20261118,3,17729047.757638883,17729047.757638883,1.0
E5C-R18,20261118,6,43610965.83494589,43610965.83494589,1.0
E5C-R18,20261118,9,65206768.38537111,65206768.38537111,1.0
E5C-R19,20261119,3,15847211.148323176,15847211.148323176,1.0
E5C-R19,20261119,6,33012160.07599717,33012160.07599717,1.0
E5C-R19,20261119,9,46908021.78912308,46908021.78912308,1.0
E5C-R20,20261120,3,26414180.288563907,26414180.288563907,1.0
E5C-R20,20261120,6,49171835.34532223,49171835.34532223,1.0
E5C-R20,20261120,9,75573856.679906,75573856.679906,1.0
E5C-R21,20261121,3,36893571.40737082,36893571.40737082,1.0
E5C-R21,20261121,6,64083868.52391297,64083868.52391297,1.0
E5C-R21,20261121,9,95587943.76000679,95587943.76000679,1.0
E5C-R22,20261122,3,50362712.117930874,50362712.117930874,1.0
E5C-R22,20261122,6,93498099.49772087,93498099.49772087,1.0
E5C-R22,20261122,9,140732346.12906116,140732346.12906116,1.0
E5C-R23,20261123,3,18498906.47115521,18498906.47115521,1.0
E5C-R23,20261123,6,40498135.925011486,40498135.925011486,1.0
E5C-R23,20261123,9,61797040.47556874,61797040.47556874,1.0
E5C-R24,20261124,3,26444694.155893523,26444694.155893523,1.0
E5C-R24,20261124,6,53001611.57554638,53001611.57554638,1.0
E5C-R24,20261124,9,76618997.08412495,76618997.08412495,1.0
E5C-R25,20261125,3,36436535.646065876,36436535.646065876,1.0
E5C-R25,20261125,6,71404821.2863696,71404821.2863696,1.0
E5C-R25,20261125,9,107975130.1050129,107975130.1050129,1.0
E5C-R26,20261126,3,20929179.073359706,20929179.073359706,1.0
E5C-R26,20261126,6,48126031.79067847,48126031.79067847,1.0
E5C-R26,20261126,9,70363211.44780079,70363211.44780079,1.0
E5C-R27,20261127,3,26305611.327215504,26305611.327215504,1.0
E5C-R27,20261127,6,48297738.45074264,48297738.45074264,1.0
E5C-R27,20261127,9,75201115.28145495,75201115.28145495,1.0
E5C-R28,20261128,3,16533874.927034685,16533874.927034685,1.0
E5C-R28,20261128,6,33677587.62354671,33677587.62354671,1.0
E5C-R28,20261128,9,48537996.8685898,48537996.8685898,1.0
E5C-R29,20261129,3,23792770.143804967,23792770.143804967,1.0
E5C-R29,20261129,6,46519523.683421865,46519523.683421865,1.0
E5C-R29,20261129,9,68836618.11331604,68836618.11331604,1.0
E5C-R30,20261130,3,35209300.79062178,35209300.79062178,1.0
E5C-R30,20261130,6,81491290.72768144,81491290.72768144,1.0
E5C-R30,20261130,9,117086053.55522521,117086053.55522521,1.0
