replicate_id,seed,master_9_sha256,I3_sha256,I6_sha256,I9_sha256,nesting
E5C-R01,20261101,874cc4e4412d2221194ff5ae861420738ed5ee862aebea2423e5f0dc9869bb5d,4e7ffc365d6816fc94b2a0251245a393e9d7caca32ac8bea90ad5324e2cb618a,ee7a15f548668a8047eb0e33b3713782d1485651e68f40df58f0ebfb49d1d1cf,874cc4e4412d2221194ff5ae861420738ed5ee862aebea2423e5f0dc9869bb5d,GENERATION_ORDER_PREFIXES_NO_SORTING
E5C-R02,20261102,95d280b3e9df0aec4a363ab2fcb3b3e645cfc4a17a88dd1ebe347757ed8a8af6,e400ef887ca9535f82941f010f97a0a947ad1388927855139d0da67f025303df,1803220897f730d29a2ce0521c78f714f24b78df85bb1be6f14fe1691e97450f,95d280b3e9df0aec4a363ab2fcb3b3e645cfc4a17a88dd1ebe347757ed8a8af6,GENERATION_ORDER_PREFIXES_NO_SORTING
E5C-R03,20261103,45537b829dda08a7e9cfa0b2c9ea0bf64cc070c20c69a6021e05223886bce9a0,e7bd6be521f9e2a9758bfba2fd4c80d9790011c6e4bf0ef97d0826ce41e6f834,ceae39c7b4046b0d5e039909817c449ea9762a8b755f1a47b9c4b93eeae90423,45537b829dda08a7e9cfa0b2c9ea0bf64cc070c20c69a6021e05223886bce9a0,GENERATION_ORDER_PREFIXES_NO_SORTING
E5C-R04,20261104,44bbcc58068a1f94751668953e405cd7bb4ad985860bb5aa3e54d1a76c65a4b4,15653b9092fc5e11b2981e54992ecd0a2e420722bd5d5999e468b21fa5007fbd,490d685b94dbb02638118e98bb020ebeba7083f151da73048fa07478a08028ee,44bbcc58068a1f94751668953e405cd7bb4ad985860bb5aa3e54d1a76c65a4b4,GENERATION_ORDER_PREFIXES_NO_SORTING
E5C-R05,20261105,488a2fae7e6b4accbaa68abf5a5694021eb9a9931b0d690d0e2af56bc9425021,7b0a688e7b6d56a665dcdcb4ba5fe8458fd17693b3160c27c4d5d57a67fdbaac,41c18c0137ddd306513646dcb40b5cfe6957ce3a9d737cf26d8db57037dfe3c6,488a2fae7e6b4accbaa68abf5a5694021eb9a9931b0d690d0e2af56bc9425021,GENERATION_ORDER_PREFIXES_NO_SORTING
E5C-R06,20261106,570b34429557dac6181d69b9aa3ebb2e597c7fe405b34e3abb0e8e5ca8ee273c,48a33c43667106cc41ab1a81e195f3632a45d28c1a02cc3de759ddda7fb1093f,05c07910e9aab07e331445317a9f3c48ee19503bc9937876e55b95c06a7afce9,570b34429557dac6181d69b9aa3ebb2e597c7fe405b34e3abb0e8e5ca8ee273c,GENERATION_ORDER_PREFIXES_NO_SORTING
E5C-R07,20261107,c8f8355e852bccb167d2a10064d51148e15a848e2e84067e8d0e7774e28c6973,5195318299b0071adde5c5268ee44c19cfef748364e6c939acce62ca55f0a7a3,823e4f33f7a29924224fe56c2fec90f8de0a8fb970df3f0d5510ac8c8fd49490,c8f8355e852bccb167d2a10064d51148e15a848e2e84067e8d0e7774e28c6973,GENERATION_ORDER_PREFIXES_NO_SORTING
E5C-R08,20261108,73f11c12ad8817b1b0db7512072c6272604c546aaf663e6d74e6650559793bae,0b52ba897344e1043be312b93047bcb393e5b694ea84728f4f188982c4371c25,9f6bb1d2c648da7ccaf45c86bd5cf92d7ce4edd7c34684db102b019b5dbd00b4,73f11c12ad8817b1b0db7512072c6272604c546aaf663e6d74e6650559793bae,GENERATION_ORDER_PREFIXES_NO_SORTING
E5C-R09,20261109,398a773173992f234aa401c014e3e5a5b52adec76a19bdbb940d8e5318ab93f5,59bb795095caa08d4ccf42990370e254651dbb4d75f8f50650da5925b97fe332,c111e7f63dcf5a7ecf82cd9bd977aba2c2472ee4a15983d405f5de4acbdb5f23,398a773173992f234aa401c014e3e5a5b52adec76a19bdbb940d8e5318ab93f5,GENERATION_ORDER_PREFIXES_NO_SORTING
E5C-R10,20261110,93bff28fcebe4bc48f26759bcdf5456387c758904a3d20c6d4daf711ad5aa78b,ca61279d5dcafddd3e910d0ba03e7b8f32e91826acaacfcad8185533ebf08cec,0a3f9209223b30f0de74f1a20cea075561266c2b4571f1ca043a6b73bd1da943,93bff28fcebe4bc48f26759bcdf5456387c758904a3d20c6d4daf711ad5aa78b,GENERATION_ORDER_PREFIXES_NO_SORTING
